time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769687760,254.74,254.75,254.51,254.51,254.88,254.6,254.74,254.684,0,0,0,254.80177385888723
1769687820,254.53,254.53,254.53,254.53,254.88,254.6,254.74,254.684,0,0,0,254.79906964138587
1769687880,254.54,254.54,254.54,254.54,254.88,254.6,254.74,254.684,0,0,0,254.7964918340089
1769687940,254.51,254.51,254.5,254.5,254.88,254.6,254.74,254.684,0,0,0,254.79354166650631
1769688000,254.5,254.64,254.5,254.54,254.88,254.6,254.74,254.684,0,0,0,254.7910188638545
1769688060,254.6,254.65,254.6,254.65,254.88,254.6,254.74,254.684,0,0,0,254.78961569107983
1769688120,254.6,254.6,254.49,254.49,254.88,254.6,254.74,254.684,0,0,0,254.78663444042232
1769688180,254.56,254.56,254.56,254.56,254.88,254.6,254.74,254.684,0,0,0,254.7843793713634
1769688240,254.43,254.56,254.39,254.39,254.88,254.6,254.74,254.684,0,0,0,254.780455198514
1769688300,254.37,254.5,254.37,254.5,254.88,254.6,254.74,254.684,0,0,0,254.7776645995238
1769688420,254.63,254.63,254.53,254.53,254.88,254.6,254.74,254.684,0,0,0,254.77520027515044
1769688480,254.55,254.7,254.55,254.7,254.88,254.6,254.74,254.684,0,0,0,254.77445201370617
1769688540,254.7,254.77,254.7,254.77,254.88,254.6,254.74,254.684,0,0,0,254.77440771506232
1769688600,254.85,254.85,254.85,254.85,254.88,254.6,254.74,254.684,0,0,0,254.77515987710152
1769688660,254.74,254.74,254.73,254.73,254.88,254.6,254.74,254.684,0,0,0,254.77471052509057
1769688720,254.73,254.8,254.73,254.8,254.88,254.6,254.74,254.684,0,0,0,254.77496216165684
1769688780,254.8,254.8,254.77,254.77,254.85,254.37,254.61,254.514,0,0,0,254.774912786914
1769688840,254.7,254.7,254.67,254.7,254.85,254.37,254.61,254.514,0,0,0,254.77416738604919
1769688900,254.8,254.8,254.7,254.7,254.85,254.37,254.61,254.514,0,0,0,254.7734294021084
1769689020,254.7,254.7,254.7,254.7,254.85,254.37,254.61,254.514,0,0,0,254.7726987612914
1769689080,254.64,254.64,254.55,254.55,254.85,254.37,254.61,254.514,0,0,0,254.77048285321885
1769689140,254.55,254.55,254.55,254.55,254.85,254.37,254.61,254.514,0,0,0,254.76828899398285
1769689200,254.6,254.6,254.6,254.6,254.85,254.37,254.61,254.514,0,0,0,254.7666144766298
1769689260,254.53,254.59,254.45,254.49,254.85,254.37,254.61,254.514,0,0,0,254.76386209377776
1769689320,254.33,254.33,254.22,254.31,254.85,254.37,254.61,254.514,0,0,0,254.75934605304366
1769689380,254.3,254.3,254.3,254.3,254.85,254.37,254.61,254.514,0,0,0,254.75477544555068
1769689440,254.23,254.34,254.23,254.34,254.85,254.37,254.61,254.514,0,0,0,254.7506483266895
1769689500,254.33,254.33,254.11,254.11,254.85,254.37,254.61,254.514,0,0,0,254.74427371647366
1769689560,254.18,254.22,254.1,254.22,254.85,254.37,254.61,254.514,0,0,0,254.7390570625784
1769689620,254.23,254.23,254.23,254.23,254.85,254.37,254.61,254.514,0,0,0,254.73399181817464
1769689680,254.25,254.25,254.25,254.25,254.85,254.37,254.61,254.514,0,0,0,254.72917597918783
1769689740,254.25,254.28,254.23,254.24,254.85,254.37,254.61,254.514,0,0,0,254.72430855650936
1769689800,254.23,254.23,254.1,254.1,254.85,254.37,254.61,254.514,0,0,0,254.71809653107144
1769689860,254.09,254.09,253.85,253.85,254.85,254.37,254.61,254.514,0,0,0,254.70945875464287
1769689920,253.85,253.85,253.85,253.85,254.85,254.37,254.61,254.514,0,0,0,254.70090692623847
1769689980,253.9,254.03,253.88,254.03,254.85,254.37,254.61,254.514,0,0,0,254.69423123543012
1769690040,253.93,253.93,253.85,253.85,254.85,254.37,254.61,254.514,0,0,0,254.6858309246298
1769690100,253.95,253.95,253.95,253.95,254.85,254.37,254.61,254.514,0,0,0,254.67850922388723
1769690160,253.88,254,253.87,253.92,254.85,254.37,254.61,254.514,0,0,0,254.67096186842568
