time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1760126400,214.63,215.3,207.28,215.2,244,159.06,201.53,176.8974,0,0,0,170.54093900059775
1760342400,223.15,224.44,220.74,222.57,244,159.06,201.53,176.8974,0,0,0,171.0586411000943
1760356800,222.48,224.18,215.2,219.36,244,159.06,201.53,176.8974,0,0,0,171.53925163641176
1760371200,219.41,219.72,214.9,216.395,244,159.06,201.53,176.8974,0,0,0,171.98557749077582
1760385600,216.21,217.34,216.17,216.65,244,159.06,201.53,176.8974,0,0,0,172.42999960529548
1760428800,211.98,217.06,208.6,213.22,244,159.06,201.53,176.8974,0,0,0,172.83587025598905
1760443200,213.1,223.88,212.77,221.63,244,159.06,201.53,176.8974,0,0,0,173.32138398478517
1760457600,221.65,224.98,217.82,217.99,244,159.06,201.53,176.8974,0,0,0,173.76584782573258
1760472000,218.11,219.54,217.69,218.89,244,159.06,201.53,176.8974,0,0,0,174.21484436478002
1760515200,221.17,225.82,221.17,223.54,244,159.06,201.53,176.8974,0,0,0,174.70564193328968
1760529600,223.51,238.9,220.79,235.07,244,159.06,201.53,176.8974,0,0,0,175.30628231206293
1760544000,235.07,239.23,230.32,238.615,244,159.06,201.53,176.8974,0,0,0,175.93621980149516
1760558400,238.61,240.57,238,238.05,244,159.06,201.53,176.8974,0,0,0,176.55426736565937
1760601600,240.17,241.98,238.06,239.52,244,159.06,201.53,176.8974,0,0,0,177.18079206848864
1760616000,239.51,241.2,235.03,236.99,244,159.06,201.53,176.8974,0,0,0,177.7759085653196
1760630400,236.95,240.4,232.24,234.64,244,159.06,201.53,176.8974,0,0,0,178.34172042039106
1760644800,234.74,234.74,231.87,231.98,244,159.06,201.53,176.8974,0,0,0,178.8754346450638
1760688000,227.84,232.75,223.5,232.72,244,159.06,201.53,176.8974,0,0,0,179.4112014645159
1760702400,232.69,235.65,227.92,230.87,244,159.06,201.53,176.8974,0,0,0,179.92322931064012
1760716800,230.92,235.02,230.32,233.13,241.98,207.28,224.63,214.567,0,0,0,180.45264991451435
1760731200,233.13,233.5,232.6,233.5,241.98,207.28,224.63,214.567,0,0,0,180.98048424372317
1760947200,236.17,238,236.17,237,241.98,207.28,224.63,214.567,0,0,0,181.53789236070105
1760961600,237.02,242.85,234.41,241.03,241.98,207.28,224.63,214.567,0,0,0,182.12985363074384
1760976000,241.08,242.88,240.37,240.52,241.98,207.28,224.63,214.567,0,0,0,182.71085011202996
1760990400,240.555,240.99,240.3,240.89,241.98,207.28,224.63,214.567,0,0,0,183.28974712584062
1761033600,240.38,242.45,238.5,240.5,241.98,207.28,224.63,214.567,0,0,0,183.8590033733447
1761048000,240.55,242.25,234.02,238.75,241.98,207.28,224.63,214.567,0,0,0,184.4051824442567
1761062400,238.73,240.88,237.93,238.065,241.98,207.28,224.63,214.567,0,0,0,184.93911097714965
1761076800,238.03,238.32,236.8,237.02,241.98,207.28,224.63,214.567,0,0,0,185.45732877837204
1761120000,236.92,238.75,235.95,236.55,242.88,223.5,233.19,227.5698,0,0,0,185.96571356664694
1761134400,236.66,240.12,227.65,229.955,242.88,223.5,233.19,227.5698,0,0,0,186.40341790926738
1761148800,229.98,230.54,224.9,230.245,242.88,223.5,233.19,227.5698,1,0,0,186.83965255693636
1761163200,230.22,231.01,228.56,229.44,242.88,223.5,233.19,227.5698,0,0,0,187.26353661109619
1761206400,231,232.36,229,229.17,242.88,223.5,233.19,227.5698,0,0,0,187.68051634630916
1761220800,229.18,234.51,227.3,233.52,242.88,223.5,233.19,227.5698,0,0,0,188.13663061152002
1761235200,233.51,235.91,232.32,235.015,242.88,223.5,233.19,227.5698,0,0,0,188.60308204822132
1761249600,235.28,238.9,234.68,238.47,242.88,223.5,233.19,227.5698,0,0,0,189.0992702865475
1761292800,237.44,242,237.44,240.35,242.88,223.5,233.19,227.5698,0,0,0,189.6092277961341
1761307200,240.4,253.07,240.33,250.05,242.88,223.5,233.19,227.5698,0,0,0,190.21062851458052
1761321600,250.1,253.39,249.42,252.94,242.88,223.5,233.19,227.5698,0,0,0,190.8348013651817
1761336000,252.95,254.25,252.41,254.25,242.88,223.5,233.19,227.5698,0,0,0,191.4657983665232
1761552000,259.42,262.42,256.8,258.06,242.88,223.5,233.19,227.5698,0,0,0,192.1284272384981
1761566400,258.16,259.55,249.82,254.54,242.88,223.5,233.19,227.5698,0,0,0,192.74943791274188
1761580800,254.49,260.43,253.82,259.65,242.88,223.5,233.19,227.5698,0,0,0,193.41511514744096
1761595200,259.71,260.27,259.02,259.38,242.88,223.5,233.19,227.5698,0,0,0,194.07148216089925
1761638400,258.58,258.89,256.5,258,242.88,223.5,233.19,227.5698,0,0,0,194.70758681601467
1761652800,257.93,264.58,257.8,260.56,242.88,223.5,233.19,227.5698,0,0,0,195.36283470839263
1761667200,260.53,263.75,257.93,257.975,242.88,223.5,233.19,227.5698,0,0,0,195.9858413282096
1761681600,257.98,259.8,257.81,259.25,242.88,223.5,233.19,227.5698,0,0,0,196.6153354443468
1761724800,262.41,264.4,261.4,263.01,242.88,223.5,233.19,227.5698,0,0,0,197.27597887276127
1761739200,263.1,267.07,258.65,259.3,242.88,223.5,233.19,227.5698,0,0,0,197.89313331183828
1761753600,259.29,265.59,257.42,264.42,242.88,223.5,233.19,227.5698,0,0,0,198.5550921843573
1761768000,264.36,264.36,262.11,262.85,242.88,223.5,233.19,227.5698,0,0,0,199.1948425108811
1761811200,262.39,264,261.21,263.14,242.88,223.5,233.19,227.5698,0,0,0,199.83111273465343
1761825600,263.1,263.88,254.61,258.92,242.88,223.5,233.19,227.5698,0,0,0,200.4190618616718
1761840000,258.9,262.47,252.31,254.9,242.88,223.5,233.19,227.5698,0,0,0,200.96116074862033
1761854400,254.8,258.8,254.69,258,267.07,224.9,245.985,233.7557,0,0,0,201.52871138793753
1761897600,258.83,260.4,257.8,259.83,267.07,224.9,245.985,233.7557,0,0,0,202.10882371243568
1761912000,259.83,262.1,257.25,257.54,267.07,224.9,245.985,233.7557,0,0,0,202.66037770534678
1761926400,257.5,258.275,253.42,256.055,267.07,224.9,245.985,233.7557,0,0,0,203.19166747942293
1761940800,256.08,257.12,256,256.8,267.07,224.9,245.985,233.7557,0,0,0,203.72508372340877
1762160400,257.64,260.06,257.23,259.43,267.07,224.9,245.985,233.7557,0,0,0,204.2793614973052
1762174800,259.43,260.88,253.88,257.3,267.07,224.9,245.985,233.7557,0,0,0,204.80693003962057
1762189200,257.33,260.41,256.53,259.64,267.07,224.9,245.985,233.7557,0,0,0,205.3525327257935
