time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1768476600,228.42,229,228.37,228.37,223.85,219.9,221.875,221.4089,0,0,0,215.2380705139929
1768478400,228.37,228.46,227.24,227.65,223.85,219.9,221.875,221.4089,0,0,0,215.36157229992332
1768480200,227.64,228.31,227.25,228.28,223.85,219.9,221.875,221.4089,0,0,0,215.49011386907833
1768482000,228.25,229.51,227.67,229.09,223.85,219.9,221.875,221.4089,0,0,0,215.62543611913725
1768483800,229.24,231.36,229,229.62,223.85,219.9,221.875,221.4089,0,0,0,215.76468551098662
1768485600,229.7,230.08,227.79,227.97,223.85,219.9,221.875,221.4089,0,0,0,215.88613142630018
1768487400,227.88,236.58,227.44,235.8,223.85,219.9,221.875,221.4089,0,0,0,216.08427937230715
1768489200,235.71,238.09,235.06,235.7,223.85,219.9,221.875,221.4089,0,0,0,216.27946067208518
1768491000,235.72,237.34,235.2,236.95,223.85,219.9,221.875,221.4089,0,0,0,216.48513768032313
1768492800,236.91,238.01,236.22,236.4,223.85,219.9,221.875,221.4089,0,0,0,216.68329551434977
1768494600,236.38,236.87,235.96,236.62,223.85,219.9,221.875,221.4089,0,0,0,216.88167068336122
1768496400,236.58,237.25,235.46,236.09,238.09,219.9,228.995,226.84858,0,0,0,217.07279833825314
1768498200,236.14,237.8,235.8,236.97,238.09,219.9,228.995,226.84858,0,0,0,217.27078044434018
1768500000,236.95,238.35,236.86,237.65,238.09,219.9,228.995,226.84858,0,0,0,217.4735587483766
1768501800,237.63,237.87,235.47,235.9,238.09,219.9,228.995,226.84858,0,0,0,217.6569064225221
1768503600,235.85,235.86,233.66,233.88,238.09,219.9,228.995,226.84858,0,0,0,217.81833023921342
1768505400,233.88,233.93,232.4,232.7,238.09,219.9,228.995,226.84858,0,0,0,217.96640655524115
1768507200,232.69,232.75,229.42,229.95,238.35,219.9,229.125,226.9479,0,0,0,218.0856462910099
1768509000,229.96,229.99,227.22,227.95,238.35,219.9,229.125,226.9479,0,0,0,218.18379906423368
1768510800,227.96,228.75,227.96,228.46,238.35,219.9,229.125,226.9479,0,0,0,218.28604981981346
1768512600,228.45,229.16,228.41,228.6,238.35,219.9,229.125,226.9479,0,0,0,218.38867618976556
1768514400,228.59,229.06,228.56,229,238.35,219.9,229.125,226.9479,0,0,0,218.49426150131018
1768516200,229.1,229.71,229.1,229.55,238.35,219.9,229.125,226.9479,0,0,0,218.60426884955584
1768518000,229.51,230.24,229.09,230.02,238.35,219.9,229.125,226.9479,0,0,0,218.71785821423688
1768519800,230.21,231.17,230.21,230.75,238.35,219.9,229.125,226.9479,0,0,0,218.83758101807533
1768521600,230.75,231.09,230.52,230.6,238.35,219.9,229.125,226.9479,0,0,0,218.95462001292034
1768523400,230.79,231.5,230.66,231.08,238.35,219.9,229.125,226.9479,0,0,0,219.07527056005546
1768554000,233.44,235,232,234.7,238.35,219.9,229.125,226.9479,0,0,0,219.23074050473153
1768555800,234.66,234.66,233.97,234.02,238.35,219.9,229.125,226.9479,0,0,0,219.37789731562972
1768557600,234.02,234.73,234.01,234.71,238.35,219.9,229.125,226.9479,0,0,0,219.5304555512951
1768559400,234.65,235.71,234.64,235.25,238.35,219.9,229.125,226.9479,0,0,0,219.68686892889414
1768561200,235.28,235.59,234.74,234.82,238.35,219.9,229.125,226.9479,0,0,0,219.83744734751212
1768563000,234.76,234.77,234.22,234.27,238.35,219.9,229.125,226.9479,0,0,0,219.9810548365916
1768564800,234.23,234.46,233.31,233.58,238.35,219.9,229.125,226.9479,0,0,0,220.1163677237897
1768566600,233.51,233.79,232.88,233.24,235.71,227.22,231.465,230.46318,0,0,0,220.24695112952313
1768568400,233.25,233.5,232.65,233.07,235.71,227.22,231.465,230.46318,0,0,0,220.37454365559753
1768570200,233.11,233.65,233.05,233.58,235.71,227.22,231.465,230.46318,0,0,0,220.50594123116372
1768572000,233.6,234.5,233.42,234.41,235.71,227.22,231.465,230.46318,0,0,0,220.64429007463474
1768573800,234.17,234.36,228.88,231.33,235.71,227.22,231.465,230.46318,0,0,0,220.75061554652893
1768575600,231.16,233.65,230.45,231.54,235.71,227.22,231.465,230.46318,0,0,0,220.85797260576746
1768577400,231.57,233.15,230.41,232.96,235.71,227.22,231.465,230.46318,0,0,0,220.97839078879466
1768579200,232.99,233.88,232.24,233,235.71,227.22,231.465,230.46318,0,0,0,221.0980087908962
1768581000,232.96,233.17,231.66,232.24,235.71,227.22,231.465,230.46318,0,0,0,221.2088743750664
1768582800,232.21,234.37,231.28,234.26,235.71,227.22,231.465,230.46318,0,0,0,221.33873632158313
1768584600,234.24,234.49,232.38,232.38,235.71,227.22,231.465,230.46318,0,0,0,221.44859964176638
1768586400,232.37,232.9,231.51,231.52,235.71,227.22,231.465,230.46318,0,0,0,221.54881258065427
1768588200,231.56,231.86,230.57,230.97,235.71,227.22,231.465,230.46318,0,0,0,221.64255573905572
1768590000,230.9,231.86,230.7,231.46,235.71,227.22,231.465,230.46318,0,0,0,221.74024175160244
1768591800,231.46,232.48,231.39,232.11,234.49,228.88,231.685,231.02302,0,0,0,221.84342342571586
1768593600,232.095,232.98,232.01,232.2,234.49,228.88,231.685,231.02302,0,0,0,221.9464739388928
1768595400,232.18,232.47,231.48,231.87,234.49,228.88,231.685,231.02302,0,0,0,222.04521549173964
1768597200,231.99,232,231.35,231.35,234.49,228.88,231.685,231.02302,0,0,0,222.13780041221983
1768599000,231.37,231.77,231.31,231.73,234.49,228.88,231.685,231.02302,0,0,0,222.23324518423755
1768600800,231.7,231.89,231.66,231.89,232.98,230.57,231.77499999999998,231.49061999999998,0,0,0,222.3293322968322
