time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769119200,116.89,116.9,116.37,116.59,120.07,105.9,112.985,108.93238,0,0,0,109.62457065054869
1769120100,116.43,116.72,115.22,116.06,120.07,105.9,112.985,108.93238,0,0,0,109.6886047734288
1769121000,116,116.2,115.73,116.2,120.07,105.9,112.985,108.93238,0,0,0,109.75339477568325
1769121900,116.19,116.19,115.77,116,120.07,105.9,112.985,108.93238,0,0,0,109.81555005154709
1769122800,116,116,115.5,115.66,120.07,105.9,112.985,108.93238,0,0,0,109.87370378237748
1769123700,115.52,115.87,115.52,115.87,120.07,105.9,112.985,108.93238,0,0,0,109.9333684213588
1769124600,115.87,115.9,115.54,115.54,120.07,105.9,112.985,108.93238,0,0,0,109.98915580025074
1769125500,115.7,116.299,115.7,115.73,120.07,105.9,112.985,108.93238,0,0,0,110.04627862810895
1769126400,115.74,115.74,115.6,115.6,120.07,105.9,112.985,108.93238,0,0,0,110.101539537282
1769127300,115.73,115.9,115.73,115.9,120.07,105.9,112.985,108.93238,0,0,0,110.15923566128915
1769128200,115.86,116,115.63,115.64,120.07,105.9,112.985,108.93238,0,0,0,110.21377062983353
1769129100,115.96,116.27,115.96,116.2,120.07,105.9,112.985,108.93238,0,0,0,110.27333510117847
1769158800,116.28,117.15,116.2,116.22,120.07,105.9,112.985,108.93238,0,0,0,110.33250589619162
1769159700,116.26,116.84,116.26,116.84,120.07,105.9,112.985,108.93238,0,0,0,110.39725708130415
1769160600,116.85,117.15,116.2,116.2,120.07,105.9,112.985,108.93238,0,0,0,110.45499581681356
1769161500,116.31,116.31,115.68,116.1,120.07,105.9,112.985,108.93238,0,0,0,110.51116501266617
1769162400,116.03,116.04,115.6,115.6,120.07,105.9,112.985,108.93238,0,0,0,110.56180018666949
1769163300,115.59,115.83,115.56,115.82,120.07,105.9,112.985,108.93238,0,0,0,110.61412058282203
1769164200,115.86,115.92,115.775,115.83,120.07,105.9,112.985,108.93238,0,0,0,110.66601988050539
1769165100,115.84,115.84,115.62,115.68,117.15,114.9,116.025,115.3815,0,0,0,110.7159102299531
