time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769687220,122.37,122.37,122.26,122.37,122.38,121.79,122.08500000000001,121.967,0,0,0,122.10542973299061
1769687280,122.37,122.41,122.37,122.41,122.38,121.79,122.08500000000001,121.967,0,0,0,122.10846028291111
1769687340,122.41,122.41,122.37,122.37,122.38,121.79,122.08500000000001,121.967,0,0,0,122.11106266815578
1769687400,122.46,122.46,122.46,122.46,122.38,121.79,122.08500000000001,121.967,0,0,0,122.11453468140796
1769687520,122.37,122.38,122.37,122.38,122.38,121.79,122.08500000000001,121.967,0,0,0,122.1171761273641
1769687580,122.45,122.45,122.45,122.45,122.38,121.79,122.08500000000001,121.967,0,0,0,122.12048780768885
1769687640,122.4,122.4,122.3,122.33,122.46,122.1,122.28,122.208,0,0,0,122.12257250611981
1769687700,122.33,122.44,122.33,122.44,122.46,122.1,122.28,122.208,0,0,0,122.12573098864598
1769687760,122.41,122.41,122.41,122.41,122.46,122.1,122.28,122.208,0,0,0,122.12855953602264
1769687820,122.41,122.5,122.41,122.5,122.46,122.1,122.28,122.208,0,0,0,122.13225546103733
1769687940,122.41,122.41,122.41,122.41,122.46,122.1,122.28,122.208,0,0,0,122.13501908829069
1769688000,122.34,122.52,122.2,122.4,122.46,122.1,122.28,122.208,0,0,0,122.13765571427784
1769688060,122.41,122.41,122.28,122.4,122.46,122.1,122.28,122.208,0,0,0,122.14026610518054
1769688120,122.16,122.17,122.1,122.17,122.46,122.1,122.28,122.208,0,0,0,122.14056196483048
1769688180,122.19,122.21,122,122.15,122.52,122.3,122.41,122.366,0,0,0,122.14065587562818
1769688240,122.12,122.14,122.12,122.14,122.52,122.3,122.41,122.366,0,0,0,122.14064934950252
1769688300,121.92,121.97,121.92,121.97,122.52,122.3,122.41,122.366,0,0,0,122.13895134602488
1769688360,122,122,121.96,121.96,122.52,122.3,122.41,122.366,0,0,0,122.13717073561668
1769688480,122.02,122.02,121.96,121.96,122.52,122.3,122.41,122.366,0,0,0,122.13540784272497
1769688540,121.93,121.93,121.64,121.76,122.52,122.3,122.41,122.366,0,0,0,122.13167244130483
1769688600,121.66,121.83,121.66,121.83,122.52,122.3,122.41,122.366,0,0,0,122.12867072547095
1769688660,121.89,121.89,121.83,121.83,122.52,122.3,122.41,122.366,0,0,0,122.12569887745632
1769688780,121.67,121.67,121.67,121.67,122.52,122.3,122.41,122.366,0,0,0,122.1211645602677
1769688840,121.89,121.89,121.75,121.75,122.52,122.3,122.41,122.366,0,0,0,122.11747138056354
1769688900,121.85,121.9,121.85,121.89,122.52,122.3,122.41,122.366,0,0,0,122.11520798374201
1769689020,121.93,121.93,121.86,121.86,122.52,122.3,122.41,122.366,0,0,0,122.1126686008192
1769689080,121.92,121.94,121.92,121.94,122.52,122.3,122.41,122.366,0,0,0,122.11095050528867
1769689200,121.84,121.84,121.84,121.84,122.52,122.3,122.41,122.366,0,0,0,122.10825448036043
1769689380,121.92,121.92,121.78,121.81,122.52,122.3,122.41,122.366,0,0,0,122.10528677408819
1769689440,121.8,121.85,121.8,121.85,121.94,121.64,121.78999999999999,121.73,0,0,0,122.10274660718183
1769689500,121.94,122,121.76,121.76,121.94,121.64,121.78999999999999,121.73,0,0,0,122.09933619318002
1769689560,121.82,121.82,121.82,121.82,121.94,121.64,121.78999999999999,121.73,0,0,0,122.09655672857127
1769689620,121.9,122.04,121.9,122.02,121.94,121.64,121.78999999999999,121.73,0,0,0,122.09579497007803
1769689680,122.08,122.08,122.08,122.08,121.94,121.64,121.78999999999999,121.73,0,0,0,122.09563780619666
1769689800,122.12,122.13,122.12,122.12,121.94,121.64,121.78999999999999,121.73,0,0,0,122.09588021608525
1769689860,122.06,122.06,122.06,122.06,121.94,121.64,121.78999999999999,121.73,0,0,0,122.09552319900978
1769689920,122.15,122.15,122.15,122.15,121.94,121.64,121.78999999999999,121.73,0,0,0,122.09606525673107
