time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1760126400,81.81,82.43,75.5,80,91.4,47.5,69.45,56.719,0,0,0,53.56336362094457
1760342400,85,87.5,85,86.2,91.4,47.5,69.45,56.719,0,0,0,53.888106271482435
1760356800,86.28,89.1,83,87.04,91.4,47.5,69.45,56.719,0,0,0,54.21797586082092
1760371200,87.02,92.05,86.96,90.5,91.4,47.5,69.45,56.719,0,0,0,54.57899102638489
1760385600,90.58,92.29,90.23,92.29,91.4,47.5,69.45,56.719,0,0,0,54.95422494652036
1760428800,92.6,94.18,88.03,91.32,91.4,47.5,69.45,56.719,0,0,0,55.316073454515184
1760443200,91.31,95.67,85.3,95.21,91.4,47.5,69.45,56.719,0,0,0,55.71302794750508
1760457600,95.29,99.13,94.32,94.37,91.4,47.5,69.45,56.719,0,0,0,56.09767443558961
1760472000,94.47,95.23,93.71,95.23,91.4,47.5,69.45,56.719,0,0,0,56.48705080936484
1760515200,96,99.66,96,99.24,91.4,47.5,69.45,56.719,0,0,0,56.91245328887364
1760529600,99.22,99.84,93.14,94.92,91.4,47.5,69.45,56.719,0,0,0,57.29063783326296
1760544000,94.9,97.75,93.64,95.69,91.4,47.5,69.45,56.719,0,0,0,57.67272103890214
1760558400,95.55,95.88,94.04,94.15,91.4,47.5,69.45,56.719,0,0,0,58.035679038515056
1760601600,94.3,95.39,93.94,94.98,91.4,47.5,69.45,56.719,0,0,0,58.403284222211425
1760616000,94.9,102.79,92.36,93.11,91.4,47.5,69.45,56.719,0,0,0,58.74862467771181
1760630400,93.14,94.48,88.93,89.46,91.4,47.5,69.45,56.719,0,0,0,59.05421050181418
1760644800,89.51,90.29,88.62,88.78,91.4,47.5,69.45,56.719,0,0,0,59.34998950179613
1760688000,86.49,86.49,78.05,85.39,91.4,47.5,69.45,56.719,0,0,0,59.60909408386781
1760702400,85.52,88,80.86,82.68,91.4,47.5,69.45,56.719,0,0,0,59.838655336764646
1760716800,82.7,84.57,82.65,83.59,91.4,47.5,69.45,56.719,0,0,0,60.07498712445853
1760731200,83.74,85.5,83.74,85.5,102.79,75.5,89.14500000000001,81.2309,0,0,0,60.327972327200236
1760947200,86.04,88.84,86.04,87.09,102.79,75.5,89.14500000000001,81.2309,0,0,0,60.59426115976541
1760961600,87.07,89.64,84.8,85.09,102.79,75.5,89.14500000000001,81.2309,0,0,0,60.837999854693116
1760976000,84.95,86.6,81.71,82.79,102.79,75.5,89.14500000000001,81.2309,0,0,0,61.05642771683547
1760990400,82.9,83.69,82.9,83.45,102.79,75.5,89.14500000000001,81.2309,0,0,0,61.27924933159333
1761033600,83.33,84.11,82.01,82.8,102.79,75.5,89.14500000000001,81.2309,0,0,0,61.49338615416454
1761048000,82.82,82.94,79.25,80.99,102.79,75.5,89.14500000000001,81.2309,0,0,0,61.68738231183455
1761062400,81.04,81.44,76.33,78.61,102.79,75.5,89.14500000000001,81.2309,0,0,0,61.85576656743818
1761076800,78.61,78.61,71.8,73.4,102.79,75.5,89.14500000000001,81.2309,0,0,0,61.97063456179203
1761120000,74.77,74.77,71.94,72.28,102.79,75.5,89.14500000000001,81.2309,0,0,0,62.07321531242097
1761134400,72.39,72.62,67.61,68.81,102.79,75.5,89.14500000000001,81.2309,0,0,0,62.14024799587947
1761148800,68.72,71.66,66.68,71.38,102.79,75.5,89.14500000000001,81.2309,0,0,0,62.23218582676624
1761163200,71.38,72.67,71,72.6,102.79,75.5,89.14500000000001,81.2309,0,0,0,62.33534815684817
1761206400,73.3,74.49,71,71,102.79,75.5,89.14500000000001,81.2309,0,0,0,62.42156359807356
1761220800,71.19,74.22,70.81,71.46,102.79,75.5,89.14500000000001,81.2309,0,0,0,62.51149828863999
1761235200,71.43,73.18,70.835,71.7,102.79,75.5,89.14500000000001,81.2309,0,0,0,62.602926166364966
1761249600,71.71,73,71.55,72.99,102.79,75.5,89.14500000000001,81.2309,0,0,0,62.706280134858844
1761292800,73.05,74.04,72.44,73.26,102.79,75.5,89.14500000000001,81.2309,0,0,0,62.811292272820445
1761307200,73.26,74.94,72.35,72.95,102.79,75.5,89.14500000000001,81.2309,0,0,0,62.91217493677248
1761321600,72.96,74.06,72.55,73.7,102.79,75.5,89.14500000000001,81.2309,0,0,0,63.01951647969017
1761336000,73.77,74.3,73.64,74.2,102.79,75.5,89.14500000000001,81.2309,0,0,0,63.13076507193205
1761552000,75.49,77.77,74.29,76.18,102.79,75.5,89.14500000000001,81.2309,0,0,0,63.26060820554467
1761566400,76.19,77.51,74.51,76.575,102.79,75.5,89.14500000000001,81.2309,0,0,0,63.39308971593726
1761580800,76.6,79.84,76.44,79.4,102.79,75.5,89.14500000000001,81.2309,0,0,0,63.55236245508216
1761595200,79.43,81.54,79.43,81.29,102.79,75.5,89.14500000000001,81.2309,0,0,0,63.72885636100174
1761638400,80.19,81.42,79.62,80.56,102.79,75.5,89.14500000000001,81.2309,0,0,0,63.89633042706142
1761652800,80.51,81.285,77.71,79.5,102.79,75.5,89.14500000000001,81.2309,0,0,0,64.051590820822
1761667200,79.5,79.96,76.5,77.81,102.79,75.5,89.14500000000001,81.2309,0,0,0,64.18849041464466
1761681600,77.781,78.8,77.78,78.31,102.79,75.5,89.14500000000001,81.2309,0,0,0,64.32900294783228
1761724800,79,79.2,77.86,78.13,102.79,75.5,89.14500000000001,81.2309,0,0,0,64.4663263015852
1761739200,78.05,84,78.05,80.99,102.79,75.5,89.14500000000001,81.2309,0,0,0,64.63074096525102
1761753600,80.91,81.06,77.08,80.05,102.79,75.5,89.14500000000001,81.2309,0,0,0,64.78416642828336
1761768000,80.06,80.32,78.64,79.499,102.79,75.5,89.14500000000001,81.2309,0,0,0,64.9305826827283
1761811200,80.32,80.45,78.85,79.74,102.79,75.5,89.14500000000001,81.2309,0,0,0,65.07794006896981
1761825600,79.7,80.47,76.9,79.255,102.79,75.5,89.14500000000001,81.2309,0,0,0,65.21900534191538
1761840000,79.255,80.01,74.53,76.62,102.79,75.5,89.14500000000001,81.2309,0,0,0,65.33244807483165
1761854400,77.04,78.22,75.99,77.87,84,66.68,75.34,70.3172,0,0,0,65.45719983528109
1761897600,78.22,78.69,77.4,77.99,84,66.68,75.34,70.3172,0,0,0,65.58190431453203
1761912000,78,80.93,77.5,78.35,84,66.68,75.34,70.3172,0,0,0,65.70895004274564
1761926400,78.3,80.36,77.63,80.245,84,66.68,75.34,70.3172,0,0,0,65.85358735575315
1761940800,80.26,81.3,80.2,80.9,84,66.68,75.34,70.3172,0,0,0,66.00330290445213
1762160400,80.89,81.635,80.68,81.06,84,66.68,75.34,70.3172,0,0,0,66.15312078599986
1762174800,81.08,81.23,73.37,74.06,84,66.68,75.34,70.3172,0,0,0,66.23179620106454
1762189200,74,74.22,71,71.15,84,66.68,75.34,70.3172,0,0,0,66.28073355229773
1762203600,71.19,73.15,70.88,71,84,66.68,75.34,70.3172,0,0,0,66.32769142739924
1762246800,70.46,70.87,68.05,68.12,84,66.68,75.34,70.3172,0,0,0,66.34552534354452
1762261200,68.18,71.93,67.02,71.08,84,66.68,75.34,70.3172,1,0,0,66.39263454410627
1762275600,71,71.93,69.7,70.05,81.635,74.53,78.08250000000001,76.02205000000001,0,0,0,66.42902624018481
1762290000,70.11,70.84,68.5,68.501,81.635,74.53,78.08250000000001,76.02205000000001,0,0,0,66.44964289451133
1762333200,69,70.27,68,69.89,81.635,74.53,78.08250000000001,76.02205000000001,0,0,0,66.48387530352116
1762347600,69.88,71.77,68.1,70.64,81.635,74.53,78.08250000000001,76.02205000000001,0,0,0,66.52522977811299
1762362000,70.66,71.02,69.21,70.38,81.635,74.53,78.08250000000001,76.02205000000001,0,0,0,66.56358570071883
1762376400,70.3,70.8,69.47,70.13,81.635,74.53,78.08250000000001,76.02205000000001,0,0,0,66.59907241016441
1762419600,70.7,70.85,70.06,70.56,81.635,74.53,78.08250000000001,76.02205000000001,0,0,0,66.63848462498865
1762434000,70.56,70.71,66.47,66.8,81.635,74.53,78.08250000000001,76.02205000000001,0,0,0,66.64009174314796
1762448400,66.83,67.3,65.03,65.26,81.635,74.53,78.08250000000001,76.02205000000001,0,0,0,66.62635948699723
1762462800,65.2,65.57,64.02,64.26,81.635,74.53,78.08250000000001,76.02205000000001,0,0,0,66.60281362145497
1762506000,67,67.96,63.01,63.53,81.635,74.53,78.08250000000001,76.02205000000001,0,0,0,66.57223836154
1762520400,63.94,66.59,61.91,64.75,81.635,74.53,78.08250000000001,76.02205000000001,0,0,0,66.55410663654955
