time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1768476600,95.37,95.37,94.97,95.11,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.43711572185234
1768478400,95.31,95.31,94.6,95.06,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.46321407287869
1768480200,95.06,95.22,94.76,95.12,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.48964975374557
1768482000,95.29,95.4,94.9,95.14,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.5160213979869
1768483800,95.15,95.24,94.85,95.05,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.54123511541987
1768485600,94.93,95.1,94.43,94.43,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.56002879586345
1768487400,94.865,97.77,92.09,95.61,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.59037676804391
1768489200,95.8,98.83,95.65,96.83,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.63256207383452
1768491000,96.9,98.5,96.49,98.255,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.68850672981627
1768492800,98.14,98.94,97.38,98.02,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.7415564140967
1768494600,97.99,99.89,97.24,98.1,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.79487426072261
1768496400,98.05,100.44,97.81,100.12,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.867761083999
1768498200,100.14,101.11,99.67,100.43,95.99,94.22,95.10499999999999,94.89614,0,0,0,92.94300724236717
1768500000,100.41,101.54,100.25,101.35,95.99,94.22,95.10499999999999,94.89614,0,0,0,93.02665891159735
1768501800,101.29,103.66,101.08,103.34,95.99,94.22,95.10499999999999,94.89614,0,0,0,93.12927922093469
1768503600,103.41,104.8,101.82,102.87,95.99,94.22,95.10499999999999,94.89614,0,0,0,93.22620181575127
1768505400,102.93,102.95,101.35,102.59,95.99,94.22,95.10499999999999,94.89614,0,0,0,93.31937393698757
1768507200,102.51,102.63,100.9,101.59,95.99,94.22,95.10499999999999,94.89614,0,0,0,93.40166872368421
1768509000,101.53,102.06,100.33,101.31,95.99,94.22,95.10499999999999,94.89614,0,0,0,93.48035858713014
1768510800,101.28,101.69,101.15,101.35,104.8,92.09,98.445,96.94522,0,0,0,93.55866347681044
1768512600,101.46,101.62,101.07,101.42,104.8,92.09,98.445,96.94522,0,0,0,93.63688573077252
1768514400,101.3,101.4,101.2,101.25,104.8,92.09,98.445,96.94522,0,0,0,93.71263811156085
1768516200,101.2,101.29,101.15,101.29,104.8,92.09,98.445,96.94522,0,0,0,93.7880347472667
1768518000,101.23,104.12,101.23,104.12,104.8,92.09,98.445,96.94522,0,0,0,93.89084037167201
1768519800,104.5,109.9,104.21,108.01,104.8,92.09,98.445,96.94522,0,0,0,94.03132952220264
1768521600,108.03,108.25,106.3,107.43,104.8,92.09,98.445,96.94522,0,0,0,94.16464962645934
1768523400,107.45,108.43,107.3,107.9,104.8,92.09,98.445,96.94522,0,0,0,94.30131977942989
1768554000,106.88,107.27,106.66,106.98,104.8,92.09,98.445,96.94522,0,0,0,94.42747580152512
1768555800,106.93,106.93,106.3,106.58,109.9,100.33,105.11500000000001,103.98574,0,0,0,94.54839644031591
1768557600,106.58,106.58,106.02,106.5,109.9,100.33,105.11500000000001,103.98574,0,0,0,94.66731786877048
1768559400,106.45,107.07,106.26,106.71,109.9,100.33,105.11500000000001,103.98574,0,0,0,94.78714555166829
1768561200,106.64,107.27,106.6,107.03,109.9,100.33,105.11500000000001,103.98574,0,0,0,94.90896499891537
1768563000,107.15,107.15,106.29,106.4,109.9,100.33,105.11500000000001,103.98574,0,0,0,95.02330365564258
1768564800,106.44,109.77,106.33,108.31,109.9,100.33,105.11500000000001,103.98574,0,0,0,95.15550958941728
1768566600,108.31,109,107.9,108.8,109.9,100.33,105.11500000000001,103.98574,0,0,0,95.29127566315442
1768568400,108.8,109.42,108.26,108.48,109.9,100.33,105.11500000000001,103.98574,0,0,0,95.42250675108323
1768570200,108.48,109.44,108.4,108.4,109.9,100.33,105.11500000000001,103.98574,0,0,0,95.5516360371421
1768572000,108.44,108.52,107,107.21,109.77,106.02,107.895,107.4525,0,0,0,95.66763965866308
1768573800,107.26,119.98,106.33,116.39,109.77,106.02,107.895,107.4525,0,0,0,95.87383229887539
1768575600,116.34,120.8,114.85,116.57,109.77,106.02,107.895,107.4525,0,0,0,96.079764315802
1768577400,116.6,116.8,112.89,116,109.77,106.02,107.895,107.4525,0,0,0,96.27797561614227
1768579200,115.93,116.13,113.27,115.72,109.77,106.02,107.895,107.4525,0,0,0,96.47142859508612
1768581000,115.7,117.22,115.43,116.37,109.77,106.02,107.895,107.4525,0,0,0,96.6694243304584
1768582800,116.37,116.98,114.87,116.78,120.8,106.33,113.565,111.85754,0,0,0,96.8695295610011
1768584600,116.73,117.8,116.06,116.67,120.8,106.33,113.565,111.85754,0,0,0,97.0665491673593
1768586400,116.64,119.22,116.52,118.36,120.8,106.33,113.565,111.85754,0,0,0,97.2784243000224
1768588200,118.27,118.7,117.3,118.26,120.8,106.33,113.565,111.85754,0,0,0,97.48719619753462
1768590000,118.26,119.16,116.65,116.96,120.8,106.33,113.565,111.85754,0,0,0,97.68095543935019
1768591800,116.92,117.5,116.39,117,120.8,106.33,113.565,111.85754,0,0,0,97.87318473846113
1768593600,116.86,117.93,115.6,116.25,120.8,106.33,113.565,111.85754,0,0,0,98.05603862166052
1768595400,116.295,116.69,114.61,115.74,120.8,106.33,113.565,111.85754,0,0,0,98.23199843637036
1768597200,115.86,117.1,115.76,116.72,120.8,106.33,113.565,111.85754,0,0,0,98.41595865093385
1768599000,116.71,117,116.5,116.9,120.8,106.33,113.565,111.85754,0,0,0,98.5998794603773
1768600800,116.9,117.5,116.8,117.2,120.8,106.33,113.565,111.85754,0,0,0,98.7849552866422
1768602600,117.2,117.49,116.76,117.31,120.8,106.33,113.565,111.85754,0,0,0,98.9692840897602
1768604400,117.44,117.63,116.35,116.7,120.8,106.33,113.565,111.85754,0,0,0,99.14570912369292
1768606200,116.7,116.73,116.16,116.63,120.8,106.33,113.565,111.85754,0,0,0,99.31968216723827
1768608000,116.6,116.6,116.18,116.18,120.8,106.33,113.565,111.85754,0,0,0,99.48744652378316
1768609800,116.3,116.5,116.3,116.42,120.8,106.33,113.565,111.85754,0,0,0,99.6559296429495
1768899600,110.93,113.87,108.33,108.61,117.63,114.61,116.12,115.76364,0,0,0,99.74502487038284
1768901400,108.63,109.39,107.69,109.17,117.63,114.61,116.12,115.76364,0,0,0,99.8388057174437
1768903200,109.14,110.6,108.665,110.59,117.63,114.61,116.12,115.76364,0,0,0,99.94578277498158
1768905000,110.5,110.59,109.98,110.28,117.63,114.61,116.12,115.76364,0,0,0,100.04861080707131
1768906800,110.27,112.8,110.22,111.66,117.63,114.61,116.12,115.76364,0,0,0,100.16414701794622
1768908600,111.68,111.73,111,111.44,117.63,114.61,116.12,115.76364,0,0,0,100.2763445600562
1768910400,111.58,113.6,111,113.59,117.63,114.61,116.12,115.76364,0,0,0,100.40881874353823
1768912200,113.5,114.35,112.83,113.11,117.63,114.61,116.12,115.76364,0,0,0,100.53519865653786
1768914000,113.35,113.45,112.5,112.56,117.63,114.61,116.12,115.76364,0,0,0,100.65484842114942
1768915800,112.55,112.86,111.32,112.46,117.63,114.61,116.12,115.76364,0,0,0,100.77231261596386
1768917600,112.33,113.91,111.8,113.1,117.63,114.61,116.12,115.76364,0,0,0,100.89497617202392
1768919400,113.09,119,112.92,113.67,117.63,114.61,116.12,115.76364,0,0,0,101.0220908369789
1768921200,113.7,115.51,112.38,114.08,117.63,114.61,116.12,115.76364,0,0,0,101.15202028138708
1768923000,114.33,116.39,114.155,115.39,117.63,114.61,116.12,115.76364,0,0,0,101.29369172137328
1768924800,115.31,117.49,114.465,117.4,117.63,114.61,116.12,115.76364,0,0,0,101.45395349528997
1768926600,117.38,119.7,117.3,119.3,117.63,114.61,116.12,115.76364,0,0,0,101.63152609732688
1768928400,119.19,119.88,118.48,119.26,117.63,114.61,116.12,115.76364,0,0,0,101.80693379785099
1768930200,119.14,119.14,117.04,117.22,117.63,114.61,116.12,115.76364,0,0,0,101.96029764065844
