time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769109300,253.51,253.6,253,253.405,254.1,249.78,251.94,250.70448,0,0,0,248.93294322437663
1769110200,253.43,253.71,253.41,253.65,254.1,249.78,251.94,250.70448,0,0,0,248.9798791126913
1769111100,253.63,253.8,253.33,253.35,254.1,249.78,251.94,250.70448,0,0,0,249.02336290261476
1769112000,253.37,253.52,252.95,253.07,254.1,249.78,251.94,250.70448,0,0,0,249.06362794835988
1769112900,253.06,253.46,252.71,252.77,254.1,249.78,251.94,250.70448,0,0,0,249.1005072722568
1769113800,252.73,253.1,252,252.24,254.1,249.78,251.94,250.70448,0,0,0,249.1317460058662
1769114700,252.19,252.48,251.19,251.42,254.1,249.78,251.94,250.70448,0,0,0,249.15451470232526
1769115600,251.33,251.77,250,250.89,253.8,251.81,252.805,252.23586,0,0,0,249.1717832127499
1769116500,250.98,251.41,250.8,251.23,253.8,251.81,252.805,252.23586,0,0,0,249.19226298177725
1769117400,251.23,251.39,251.11,251.27,253.8,251.81,252.805,252.23586,0,0,0,249.21293698195856
1769118300,251.29,251.29,251.09,251.09,253.8,251.81,252.805,252.23586,0,0,0,249.23161422591917
1769119200,251.39,251.39,251.22,251.28,253.8,251.81,252.805,252.23586,0,0,0,249.25199617392
1769120100,251.41,251.69,251.41,251.65,253.8,251.81,252.805,252.23586,0,0,0,249.27585690850785
1769121000,251.69,251.79,251.69,251.78,253.8,251.81,252.805,252.23586,0,0,0,249.30077375518937
1769121900,251.88,251.88,251.88,251.88,253.8,251.81,252.805,252.23586,0,0,0,249.3264376979238
1769122800,251.84,252,251.84,252,253.8,251.81,252.805,252.23586,0,0,0,249.3530403078947
1769123700,252.21,252.21,251.8,251.8,253.8,251.81,252.805,252.23586,0,0,0,249.37738816552758
1769124600,251.78,251.78,251.56,251.56,253.8,251.81,252.805,252.23586,0,0,0,249.39910569621884
1769125500,251.55,251.55,251.51,251.51,253.8,251.81,252.805,252.23586,0,0,0,249.42010961963956
1769126400,251.45,251.45,251.41,251.41,253.8,251.81,252.805,252.23586,0,0,0,249.43990952392176
1769128200,251.56,251.56,251.56,251.56,253.8,251.81,252.805,252.23586,0,0,0,249.46100495154442
1769158800,252.8,252.8,251.49,251.6,253.8,251.81,252.805,252.23586,0,0,0,249.4822884843649
1769159700,251.59,251.59,251.41,251.45,253.8,251.81,252.805,252.23586,0,0,0,249.50186770342594
1769160600,251.31,251.35,251,251.17,253.8,251.81,252.805,252.23586,0,0,0,249.51846603473513
1769162400,251.25,251.36,251.21,251.21,253.8,251.81,252.805,252.23586,0,0,0,249.5352972184691
1769163300,251.37,251.37,251.37,251.37,253.8,251.81,252.805,252.23586,0,0,0,249.55355296753908
1769164200,251.25,251.25,251.17,251.19,252.8,250,251.4,250.5992,0,0,0,249.56983602258845
1769166000,251.35,251.38,251.03,251.38,252.8,250,251.4,250.5992,0,0,0,249.58784760445323
1769166900,251.5,251.5,251.37,251.49,252.8,250,251.4,250.5992,0,0,0,249.60677449396115
1769167800,251.34,251.34,251.14,251.16,252.8,250,251.4,250.5992,0,0,0,249.62222947412076
1769168700,251.11,251.28,251.11,251.28,252.8,250,251.4,250.5992,0,0,0,249.63872470323398
1769169600,251.22,251.7,251.22,251.7,252.8,250,251.4,250.5992,0,0,0,249.65923490519185
1769170500,251.65,251.68,251.5,251.62,252.8,250,251.4,250.5992,0,0,0,249.6787450056377
1769171400,251.47,251.65,251.45,251.65,252.8,250,251.4,250.5992,0,0,0,249.69835948319354
1769173200,251.75,251.88,251.66,251.66,252.8,250,251.4,250.5992,0,0,0,249.71787829430605
1769174100,251.85,251.97,251.85,251.87,252.8,250,251.4,250.5992,0,0,0,249.73929244063137
1769175000,251.8,251.82,251.65,251.77,252.8,250,251.4,250.5992,0,0,0,249.75949848599822
1769175900,251.82,251.88,251.64,251.7,252.8,250,251.4,250.5992,0,0,0,249.77880695877437
1769176800,251.63,251.78,251.38,251.38,252.8,250,251.4,250.5992,0,0,0,249.7947392278413
1769177700,251.35,252.56,251.35,252.56,252.8,250,251.4,250.5992,0,0,0,249.8222542604001
1769178600,252.67,253.7,249.02,250.725,252.8,250,251.4,250.5992,0,0,0,249.83123680507273
1769179500,250.69,251.28,250.16,251.065,252.8,250,251.4,250.5992,0,0,0,249.84351305576854
1769180400,251.09,251.51,250.7,250.78,252.8,250,251.4,250.5992,0,0,0,249.8528313338206
1769181300,250.725,251.82,250.5,251.09,252.8,250,251.4,250.5992,0,0,0,249.8651414698025
1769182200,251.13,251.14,250.55,250.75,252.8,250,251.4,250.5992,0,0,0,249.87394603229203
1769183100,250.71,251.37,250.5,251.17,253.7,251,252.35,251.5778,0,0,0,249.8868420916722
1769184000,251.16,251.59,250.8,251.56,253.7,251,252.35,251.5778,0,0,0,249.9034904290685
1769184900,251.51,251.6,250.31,250.31,253.7,251,252.35,251.5778,0,0,0,249.90753530042107
1769185800,250.27,250.82,249.88,250.44,253.7,251,252.35,251.5778,0,0,0,249.91283345663578
1769186700,250.42,250.76,250.3,250.56,253.7,251,252.35,251.5778,0,0,0,249.91927292472894
1769187600,250.55,250.96,250.45,250.89,253.7,251,252.35,251.5778,0,0,0,249.9289319006023
1769188500,250.88,251.225,250.71,251.05,253.7,251,252.35,251.5778,0,0,0,249.94008680706395
1769189400,251.02,251.07,249.9,249.95,253.7,251,252.35,251.5778,0,0,0,249.94018544579964
1769190300,250.01,250.5,249.8,250.13,253.7,251,252.35,251.5778,0,0,0,249.94207414783148
1769191200,250.15,250.95,250.04,250.53,253.7,251,252.35,251.5778,0,0,0,249.94792415631076
1769192100,250.56,251.17,250.52,250.86,253.7,251,252.35,251.5778,0,0,0,249.95699953784
1769193000,250.88,251.36,250.64,251.25,253.7,251,252.35,251.5778,0,0,0,249.96986521408041
1769193900,251.19,251.79,251.02,251.71,253.7,251,252.35,251.5778,0,0,0,249.98717998806967
1769194800,251.71,252.72,251.64,252.67,253.7,251,252.35,251.5778,0,0,0,250.01387471455655
1769195700,252.73,253.19,252.58,252.69,253.7,251,252.35,251.5778,0,0,0,250.04050282684952
1769196600,252.73,253.02,252.55,252.99,253.7,251,252.35,251.5778,0,0,0,250.06985105742814
1769197500,252.97,253.18,252.62,253,253.7,251,252.35,251.5778,0,0,0,250.0990067682995
1769198400,252.955,253.05,252.67,252.82,253.7,251,252.35,251.5778,0,0,0,250.1260813278189
1769199300,252.87,253.1,252.58,252.58,253.7,251,252.35,251.5778,0,0,0,250.15049842903463
