time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769635200,241.83,241.83,241.83,241.83,242.47,241.6,242.035,241.861,0,0,0,243.41050112325456
1769635860,241.9,241.9,241.9,241.9,242.47,241.6,242.035,241.861,0,0,0,243.39547126133164
1769635920,241.85,241.85,241.85,241.85,242.47,241.6,242.035,241.861,0,0,0,243.3800934378358
1769635980,241.95,241.95,241.95,241.95,242.47,241.6,242.035,241.861,0,0,0,243.3658636523847
1769636040,241.87,241.87,241.87,241.87,242.47,241.6,242.035,241.861,0,0,0,243.35097943693808
1769636340,241.9,241.9,241.86,241.86,242.47,241.6,242.035,241.861,0,0,0,243.33614382065014
1769636400,241.86,241.86,241.8,241.85,241.95,241.75,241.85,241.81,0,0,0,243.32135631994714
1769636460,241.78,241.78,241.68,241.68,241.95,241.75,241.85,241.81,0,0,0,243.30502441626606
1769636580,241.59,241.59,241.59,241.59,241.95,241.75,241.85,241.81,0,0,0,243.28795949670123
1769636700,241.69,241.69,241.69,241.69,241.95,241.75,241.85,241.81,0,0,0,243.2720594022067
1769636760,241.62,241.62,241.62,241.62,241.95,241.75,241.85,241.81,0,0,0,243.2556210001947
1769636880,241.75,241.8,241.75,241.8,241.95,241.75,241.85,241.81,0,0,0,243.241137209148
1769637000,241.86,241.88,241.86,241.88,241.95,241.75,241.85,241.81,0,0,0,243.22759355532563
1769637180,241.75,241.75,241.75,241.75,241.95,241.75,241.85,241.81,0,0,0,243.21289113188956
1769637300,241.78,241.78,241.78,241.78,241.95,241.75,241.85,241.81,0,0,0,243.19863350868667
1769637360,241.75,241.75,241.75,241.75,241.88,241.59,241.735,241.677,0,0,0,243.18421924491864
1769637780,241.85,241.85,241.85,241.85,241.88,241.59,241.735,241.677,0,0,0,243.17094343153636
1769637900,241.75,241.75,241.7,241.72,241.88,241.59,241.735,241.677,0,0,0,243.15650618346137
1769638020,241.6,241.6,241.59,241.59,241.88,241.59,241.735,241.677,0,0,0,243.14091905725778
1769638320,241.78,241.78,241.78,241.78,241.88,241.59,241.735,241.677,0,0,0,243.127377574101
1769638560,241.84,241.84,241.84,241.84,241.88,241.59,241.735,241.677,0,0,0,243.1145678469955
1769638620,241.7,241.7,241.7,241.7,241.88,241.59,241.735,241.677,0,0,0,243.10049254503534
1769638680,241.7,241.7,241.7,241.7,241.88,241.59,241.735,241.677,0,0,0,243.086557295831
1769638800,241.74,241.74,241.69,241.69,241.84,241.59,241.715,241.665,0,0,0,243.07266120333517
1769638920,241.68,241.69,241.68,241.69,241.84,241.59,241.715,241.665,0,0,0,243.0589033804164
1769638980,241.69,241.84,241.68,241.84,241.84,241.59,241.715,241.665,0,0,0,243.04677498857146
1769639100,241.85,241.89,241.85,241.89,241.84,241.59,241.715,241.665,0,0,0,243.0352647896802
1769639220,241.89,241.89,241.88,241.88,241.84,241.59,241.715,241.665,0,0,0,243.02376961764358
1769639340,241.77,241.77,241.77,241.77,241.84,241.59,241.715,241.665,0,0,0,243.01129429806502
1769639400,241.73,241.73,241.7,241.7,241.84,241.59,241.715,241.665,0,0,0,242.99824659360667
1769640060,241.71,241.71,241.69,241.69,241.89,241.59,241.74,241.68,0,0,0,242.9852292145658
1769640120,241.66,241.66,241.66,241.66,241.89,241.59,241.74,241.68,0,0,0,242.97204285422185
1769640360,241.85,241.85,241.85,241.85,241.89,241.59,241.74,241.68,0,0,0,242.96087824870722
1769641080,241.87,241.87,241.87,241.87,241.89,241.59,241.74,241.68,0,0,0,242.95002373876983
1769641140,241.87,241.87,241.87,241.87,241.89,241.59,241.74,241.68,0,0,0,242.93927723390644
1769641200,241.87,241.87,241.87,241.87,241.89,241.59,241.74,241.68,0,0,0,242.92863765943972
1769641260,241.8,241.8,241.8,241.8,241.89,241.59,241.74,241.68,0,0,0,242.91740743397264
1769641320,241.8,241.8,241.8,241.8,241.89,241.59,241.74,241.68,0,0,0,242.90628895204256
1769641380,241.78,241.78,241.78,241.78,241.87,241.66,241.765,241.723,0,0,0,242.89508209679835
1769642340,241.77,241.77,241.77,241.77,241.87,241.66,241.765,241.723,0,0,0,242.88388725006405
1769642400,241.75,241.75,241.72,241.72,241.87,241.66,241.765,241.723,0,0,0,242.87230628240172
1769642640,241.6,241.6,241.56,241.56,241.87,241.66,241.765,241.723,0,0,0,242.85924850844748
1769642880,241.6,241.6,241.57,241.57,241.87,241.66,241.765,241.723,0,0,0,242.84642016507985
1769642940,241.56,241.56,241.55,241.55,241.87,241.66,241.765,241.723,0,0,0,242.83352046194472
1769643060,241.51,241.51,241.51,241.51,241.87,241.66,241.765,241.723,0,0,0,242.82035110411442
1769643180,241.5,241.5,241.5,241.5,241.87,241.66,241.765,241.723,0,0,0,242.80721328218294
