time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1768473000,242.62,242.65,242.41,242.65,242.78,239.67,241.225,240.85801999999998,0,0,0,236.34197340389397
1768474800,242.89,243.37,242.85,243.04,242.78,239.67,241.225,240.85801999999998,0,0,0,236.408620434701
1768476600,242.99,243.15,242.79,242.8,242.78,239.67,241.225,240.85801999999998,0,0,0,236.47221625127113
1768478400,242.76,243.45,242.71,243.44,242.78,239.67,241.225,240.85801999999998,0,0,0,236.54154743285054
1768480200,243.14,243.3,243.08,243.3,242.78,239.67,241.225,240.85801999999998,0,0,0,236.60879571710078
1768482000,243.13,243.5,242.95,243.3,242.78,239.67,241.225,240.85801999999998,0,0,0,236.6753748641943
1768483800,243.46,243.46,242.9,242.96,242.78,239.67,241.225,240.85801999999998,0,0,0,236.73790844763516
1768485600,242.93,244.33,242.85,244.33,242.78,239.67,241.225,240.85801999999998,0,0,0,236.81345164716117
1768487400,244.39,246.54,244,246.54,242.78,239.67,241.225,240.85801999999998,0,0,0,236.9102332228113
1768489200,246.49,248.72,246.47,247.22,242.78,239.67,241.225,240.85801999999998,0,0,0,237.01281796686294
1768491000,247.3,247.32,246.11,246.85,242.78,239.67,241.225,240.85801999999998,0,0,0,237.11070037515287
1768492800,246.84,247.59,246.84,247.355,242.78,239.67,241.225,240.85801999999998,0,0,0,237.21263370475333
1768494600,247.31,247.47,246.67,246.82,242.78,239.67,241.225,240.85801999999998,0,0,0,237.30822938928316
1768496400,246.81,247.17,246.3,247,248.72,242.04,245.38,244.59176,0,0,0,237.404664917748
1768498200,247.05,247.29,246.84,247.26,248.72,242.04,245.38,244.59176,0,0,0,237.50272795339228
1768500000,247.27,247.89,247.23,247.84,248.72,242.04,245.38,244.59176,0,0,0,237.60558638171673
1768501800,247.77,247.98,247.35,247.8,248.72,242.04,245.38,244.59176,0,0,0,237.70702333314244
1768503600,247.79,247.8,246.99,247.59,248.72,242.04,245.38,244.59176,0,0,0,237.8053614094296
1768505400,247.55,248,247.28,247.9,248.72,242.04,245.38,244.59176,0,0,0,237.90580557450988
1768507200,247.88,248.59,247.58,247.58,248.72,242.04,245.38,244.59176,0,0,0,238.00206621555952
1768509000,247.57,248.05,247.44,247.7,248.72,242.04,245.38,244.59176,0,0,0,238.09856306913605
1768510800,247.71,247.88,247.58,247.72,248.72,242.04,245.38,244.59176,0,0,0,238.1942987599904
1768512600,247.58,247.85,247.58,247.85,248.72,242.04,245.38,244.59176,0,0,0,238.29037538924422
1768514400,247.79,247.83,247.7,247.8,248.72,242.04,245.38,244.59176,0,0,0,238.3849985196995
1768516200,247.7,247.85,247.7,247.84,248.72,242.04,245.38,244.59176,0,0,0,238.4790781364189
1768518000,247.75,247.82,247.75,247.82,248.72,242.04,245.38,244.59176,0,0,0,238.57202263257395
1768519800,247.78,247.8,247.66,247.8,248.72,242.04,245.38,244.59176,0,0,0,238.6638433028966
1768521600,247.75,247.79,247.65,247.79,248.72,242.04,245.38,244.59176,0,0,0,238.75465083222102
1768523400,247.8,247.83,247.8,247.83,248.72,242.04,245.38,244.59176,0,0,0,238.84495281398995
1768554000,248.25,248.57,248.24,248.24,248.72,242.04,245.38,244.59176,0,0,0,238.93843587056716
1768555800,248.57,248.64,248.45,248.45,248.72,242.04,245.38,244.59176,0,0,0,239.03307829971575
1768557600,248.54,248.54,248.41,248.41,248.72,242.04,245.38,244.59176,0,0,0,239.12638100320117
1768559400,248.44,248.49,248.27,248.44,248.72,242.04,245.38,244.59176,0,0,0,239.21905382903998
1768561200,248.44,248.69,248.425,248.69,248.72,242.04,245.38,244.59176,0,0,0,239.31329209939778
1768563000,248.55,248.55,248.4,248.46,248.72,242.04,245.38,244.59176,0,0,0,239.40430411830926
1768564800,248.46,248.69,248.38,248.55,248.72,242.04,245.38,244.59176,0,0,0,239.4953060673808
1768566600,248.59,248.69,248.5,248.68,248.72,242.04,245.38,244.59176,0,0,0,239.5866960567601
1768568400,248.41,248.87,248.38,248.66,248.72,242.04,245.38,244.59176,0,0,0,239.67697768803612
1768570200,248.74,248.77,248.5,248.51,248.72,242.04,245.38,244.59176,0,0,0,239.76486845730938
1768572000,248.6,248.83,247.8,247.8,248.72,242.04,245.38,244.59176,0,0,0,239.84482001494808
1768573800,247.75,248.275,245.22,245.59,248.72,242.04,245.38,244.59176,0,0,0,239.9019859849486
1768575600,245.46,247.01,244.96,246.45,248.87,247.65,248.26,248.11604,0,0,0,239.96714035325758
1768577400,246.45,246.89,245.7,246.81,248.87,247.65,248.26,248.11604,0,0,0,240.03522850894655
1768579200,246.84,247.13,246,246.06,248.87,247.65,248.26,248.11604,0,0,0,240.0951764839819
1768581000,246.085,247,246,246.46,248.87,247.65,248.26,248.11604,0,0,0,240.1585080612557
1768582800,246.41,248.14,246.38,247.55,248.87,247.65,248.26,248.11604,0,0,0,240.23205524472579
1768584600,247.56,248.1,247.07,247.11,248.87,247.65,248.26,248.11604,0,0,0,240.3004925059723
1768586400,247.02,247.37,247,247.3,248.87,247.65,248.26,248.11604,0,0,0,240.3701393467089
1768588200,247.34,247.96,247.28,247.4,248.87,247.65,248.26,248.11604,0,0,0,240.4400882089307
1768590000,247.41,247.8,246.91,246.91,248.14,244.96,246.55,246.17476,0,0,0,240.50446544068262
