time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1767214800,217.1,217.12,216.72,216.75,219.5,218.41,218.95499999999998,218.6389,0,0,0,212.89791904203003
1767218400,217.06,217.1,216.91,216.92,219.5,218.41,218.95499999999998,218.6389,0,0,0,212.9379397480795
1767222000,217.1,217.1,217.1,217.1,219.5,218.41,218.95499999999998,218.6389,0,0,0,212.97935328292448
1767225600,217.11,217.11,217.01,217.01,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.0194592204078
1767344400,218.5,218.5,217.96,218.4,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.07299693960772
1767348000,218.35,218.99,218.31,218.99,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.13187259194993
1767351600,218.99,219.39,218.7,218.7,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.18727684476636
1767355200,218.67,219.4,218.26,218.45,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.23964224929605
1767358800,218.47,218.67,218.24,218.4,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.29098909258664
1767362400,218.46,219.08,215.25,217.94,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.33724790758578
1767366000,217.94,222.34,217.94,222.29,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.42633001795807
1767369600,222.22,224.29,221.74,222.05,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.51213767947092
1767373200,222.12,225.18,222.05,224.57,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.6221661602722
1767376800,224.59,224.9,224.12,224.62,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.73159734275706
1767380400,224.71,225.63,224.68,225.42,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.84789985675948
1767384000,225.455,227.75,225.44,227.68,219.5,218.41,218.95499999999998,218.6389,0,0,0,213.98553269400566
1767387600,227.68,227.69,226.86,227.04,219.5,218.41,218.95499999999998,218.6389,0,0,0,214.11542789108023
1767391200,227,227.39,226.9,227.26,219.5,218.41,218.95499999999998,218.6389,0,0,0,214.24621965335803
1767394800,227.01,227.12,226.86,226.86,219.5,218.41,218.95499999999998,218.6389,0,0,0,214.37172990556343
1767398400,226.97,227.05,226.87,227.04,219.5,218.41,218.95499999999998,218.6389,0,0,0,214.49778234431403
1767603600,227.13,228.42,227.13,228.25,219.5,218.41,218.95499999999998,218.6389,0,0,0,214.63462033093776
1767607200,228.39,228.48,228.21,228.4,219.5,218.41,218.95499999999998,218.6389,0,0,0,214.77158928286875
1767610800,228.42,228.42,228.25,228.31,219.5,218.41,218.95499999999998,218.6389,0,0,0,214.90629983726805
1767614400,228.31,228.45,227.96,228.1,219.5,218.41,218.95499999999998,218.6389,0,0,0,215.03758043590219
1767618000,228.07,228.2,227.58,228.2,219.5,218.41,218.95499999999998,218.6389,0,0,0,215.16854978479867
1767621600,228.3,230.94,227.9,229.75,219.5,218.41,218.95499999999998,218.6389,0,0,0,215.31363884166635
1767625200,229.78,230.06,228.29,229.52,219.5,218.41,218.95499999999998,218.6389,0,0,0,215.45499566911246
1767628800,229.51,229.93,227.81,228.17,219.5,218.41,218.95499999999998,218.6389,0,0,0,215.58151312514119
1767632400,228.18,230.26,227.96,229.37,219.5,218.41,218.95499999999998,218.6389,0,0,0,215.7187119995179
1767636000,229.37,230.29,228.945,229.32,219.5,218.41,218.95499999999998,218.6389,0,0,0,215.85404819852766
1767639600,229.33,229.33,228.14,228.24,230.94,215.25,223.095,218.5449,0,0,0,215.97729150003485
