time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1743168600,39,41.94,37.46,40,,,,,0,0,0,
1743427800,38.49,38.49,36,37.08,,,,,0,0,0,
1743514200,38.5,53.27,37.2,52.57,,,,,0,0,0,
1743600600,55.91,64.62,51.4,61.36,,,,,0,0,0,
1743687000,55.39,57.6462,48.26,53.8,,,,,0,0,0,
1743773400,49.6,51,43.5101,47.82,,,,,0,0,0,
1744032600,43.885,52,42.16,49.85,,,,,0,0,0,
1744119000,54.145,54.8,42.36,43.61,,,,,0,0,0,
1744205400,43.725,49.88,39.121148,48.77,,,,,0,0,0,
1744291800,46.9,46.9999,41.8443,42.2,,,,,0,0,0,
1744378200,42.5,44.88,41.02,43.75,,,,,0,0,0,
1744637400,46.795,46.85,42.4,43.61,,,,,0,0,0,
1744723800,43.56,44.7399,40.0003,40.78,,,,,0,0,0,
1744810200,40.165,40.84,38.2641,40.73,,,,,0,0,0,
1744896600,41.05,41.63,38.35,39.09,,,,,0,0,0,
1745242200,38.62,38.6388,33.515,35.415,,,,,0,0,0,
1745328600,36.98,39.61,36,38.51,,,,,0,0,0,
1745415000,42.075,43.948,40.16,41.62,,,,,0,0,0,
1745501400,42.55,43.5,38.8,41.77,,,,,0,0,0,
1745587800,41.95,44.36,40.9,41.54,,,,,0,0,0,
1745847000,42.01,43.33,39.78,42.02,,,,,0,0,0,
1745933400,42.205,46.45,41.0101,42.82,,,,,0,0,0,
1746019800,41,41.5099,39.5,41.3,,,,,0,0,0,
1746106200,47.025,48.35,44.03,44.32,,,,,0,0,0,
1746192600,46.939,51.82,45.8,51.57,,,,,0,0,0,
1746451800,50.429,52.78,49.7,51.01,,,,,0,0,0,
1746538200,49.36,54.832,49.0608,54.295,,,,,0,0,0,
1746624600,54.91,54.91,51.4,53.6,,,,,0,0,0,
1746711000,54.71,55.7,52.77,55,,,,,0,0,0,
1746797400,55.96,56.82,50.18,51.37,,,,,0,0,0,
1747056600,54.3,59.44,52.9,58.49,,,,,0,0,0,
1747143000,57.6,64.87,57.32,63.26,,,,,0,0,0,
1747229400,66,68.5,64,67.46,,,,,0,0,0,
1747315800,68.87,72.97,61.33,65.77,,,,,0,0,0,
1747402200,68.075,84,67.55,80.3,,,,,0,0,0,
1747661400,76.9,88.9,76.08,86.59,,,,,0,0,0,
1747747800,89.67,96.3499,83.305,90.24,,,,,0,0,0,
1747834200,89.46,109.49,89.3,107.39,,,,,0,0,0,
1747920600,112.14,116.5388,99.51,100.16,,,,,0,0,0,
1748007000,98,106.79,97.1,102.74,,,,,0,0,0,
1748352600,109.268,125.02,107.975,123.97,,,,,0,0,0,
1748439000,123.75,123.75,113,116.15,,,,,0,0,0,
1748525400,123.5,130.76,105.53,105.55,,,,,0,0,0,
1748611800,109,111.95,104.9,111.31,,,,,0,0,0,
1748871000,116.295,123.66,114,120.2,,,,,0,0,0,
1748957400,125.3,150.88,124.7,150.48,,,,,0,0,0,
1749043800,155.875,166.63,144.3,163.1,,,,,0,0,0,
1749130200,156,157.46,132.8,135.05,,,,,0,0,0,
1749216600,144.93,148.79,138.59,140.16,,,,,0,0,0,
1749475800,147.8,163.29,144.1367,162.1,,,,,0,0,0,
1749562200,156.5,158.3,149,154.9,,,,,0,0,0,
1749648600,160.01,166.03,145.5,149.7,166.63,33.515,100.07249999999999,61.469149999999985,0,0,0,
1749735000,153.7,154.8,142.5,148.97,166.63,33.515,100.07249999999999,61.469149999999985,0,0,0,
1749821400,143.24,154.4999,142.5,147.19,166.63,33.515,100.07249999999999,61.469149999999985,0,0,0,
