time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1768476600,92.76,92.95,92.455,92.51,,,,,,,,
1768478400,92.5,93.09,92.5,92.85,,,,,,,,
1768480200,92.82,92.99,92.49,92.89,,,,,,,,
1768482000,92.85,93.87,92.78,93.71,,,,,,,,
1768483800,93.65,94.36,93.5,94.27,,,,,,,,
1768485600,94.26,94.84,93.7,94.84,,,,,,,,
1768487400,94.73,98.7,94.25,96.37,,,,,,,,
1768489200,96.41,98.7,95.75,97.11,,,,,,,,
1768491000,97.1,99.05,96.8,99.05,,,,,,,,
1768492800,98.98,99.67,98.4,99.22,,,,,,,,
1768494600,99.19,99.35,98.1,98.48,,,,,,,,
1768496400,98.48,99.49,98.36,99.33,,,,,,,,
1768498200,99.33,99.5,98.33,99.03,,,,,,,,
1768500000,99.01,99.73,97.68,98.17,,,,,,,,
1768501800,98.15,98.92,97.8,98.38,,,,,,,,
1768503600,98.34,98.53,97.4,98.24,,,,,,,,
1768505400,98.16,98.16,97.01,97.61,,,,,,,,
1768507200,97.59,97.59,95.97,96.44,,,,,,,,
1768509000,96.4,97.24,94.84,95.02,,,,,,,,
1768510800,95.05,95.05,94.02,94.39,,,,,,,,
1768512600,94.43,94.99,94.41,94.83,,,,,,,,
1768514400,94.8,94.85,94.66,94.66,,,,,,,,
1768516200,94.78,95.4,94.78,95.23,,,,,,,,
1768518000,95.13,95.44,95.13,95.44,,,,,,,,
1768519800,95.4,95.65,95.3,95.4,,,,,,,,
1768521600,95.3,95.53,95.25,95.53,,,,,,,,
1768523400,95.52,96.08,95.5,96,,,,,,,,
1768554000,96.93,97.4,96.29,97.3,,,,,,,,
1768555800,97.31,97.4,96.9,97.01,,,,,,,,
1768557600,97.22,97.86,97.15,97.61,,,,,,,,
1768559400,97.52,97.53,97.04,97.12,,,,,,,,
1768561200,97.06,97.49,96.95,97.33,,,,,,,,
1768563000,97.4,97.41,97,97.01,,,,,,,,
1768564800,97.01,97.63,96.99,97.4,,,,,,,,
1768566600,97.35,97.77,97,97.56,,,,,,,,
1768568400,97.56,97.59,96.9,96.95,,,,,,,,
1768570200,97.04,97.3,96.77,97.04,,,,,,,,
1768572000,97.08,98.21,96.9,97.33,,,,,,,,
1768573800,97.32,98.5,96.08,96.85,,,,,,,,
1768575600,96.85,98.9,95.84,98.27,,,,,,,,
1768577400,98.31,99.02,95.75,97.84,,,,,,,,
1768579200,97.88,101.66,97.54,101.56,,,,,,,,
1768581000,101.57,102.96,100.74,102.74,,,,,,,,
1768582800,102.57,102.63,100.02,100.37,,,,,,,,
1768584600,100.42,102.03,100.41,101.18,,,,,,,,
1768586400,101.15,102.05,101.1,101.35,,,,,,,,
1768588200,101.34,101.36,100.2,100.46,,,,,,,,
1768590000,100.43,101,100.22,100.58,,,,,,,,
1768591800,100.57,101.93,100.5,101.595,,,,,,,,
1768593600,101.56,102.62,100.955,101.37,,,,,,,,
1768595400,101.3,101.98,100.82,101.16,,,,,,,,
1768597200,101.155,101.73,101.13,101.26,,,,,,,,
1768599000,101.3,101.42,101.22,101.3,,,,,,,,
1768600800,101.32,101.38,101.25,101.3,,,,,,,,
1768602600,101.28,101.38,101.09,101.33,,,,,,,,
1768604400,101.21,101.26,101.15,101.15,,,,,,,,
1768606200,101.14,101.32,101.11,101.16,,,,,,,,
1768608000,101.15,101.22,101.11,101.14,,,,,,,,
1768609800,101.1,101.25,101.08,101.19,,,,,,,,
1768899600,95.28,97.87,94.25,94.51,,,,,,,,
1768901400,94.5,94.9,93.68,94.9,,,,,,,,
1768903200,94.86,95.73,94.58,95.44,,,,,,,,
1768905000,95.64,95.8,95.1,95.38,,,,,,,,
1768906800,95.43,95.79,95.3,95.51,,,,,,,,
1768908600,95.5,95.6,95,95.4,,,,,,,,
1768910400,95.4,96.37,95.3,96.12,,,,,,,,
1768912200,96.05,96.85,95.85,96.3,,,,,,,,
1768914000,96.4,96.74,96.1,96.4,,,,,,,,
1768915800,96.41,96.41,95.66,95.7,,,,,,,,
1768917600,95.66,96.16,95.2,95.5,,,,,,,,
1768919400,95.22,96.75,93.18,95.35,,,,,,,,
1768921200,95.25,97.32,94.94,96.01,,,,,,,,
1768923000,96,97.35,94.61,95.1,,,,,,,,
1768924800,95.07,96.19,94.69,96.08,,,,,,,,
1768926600,96,97.35,95.73,96.35,,,,,,,,
1768928400,96.25,96.77,95.94,96.31,,,,,,,,
1768930200,96.28,96.66,95.21,95.76,,,,,,,,
1768932000,95.73,95.86,95.1,95.39,,,,,,,,
1768933800,95.43,95.64,93.83,93.95,,,,,,,,
1768935600,93.99,94.42,93.67,93.92,,,,,,,,
