time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1767218400,71.8,72,71.67,71.84,75.86,74.05,74.955,74.4301,0,0,0,76.87983178079645
1767222000,71.76,71.8,71.53,71.53,75.86,74.05,74.955,74.4301,0,0,0,76.8265996237736
1767225600,71.53,71.77,71.39,71.77,75.86,74.05,74.955,74.4301,0,0,0,76.77628519965646
1767344400,72.72,73.87,72.35,73.83,75.86,74.05,74.955,74.4301,0,0,0,76.74696892901311
1767348000,73.81,73.9,73.6,73.82,75.86,74.05,74.955,74.4301,0,0,0,76.7178448600677
1767351600,73.81,73.81,73.55,73.59,75.86,74.05,74.955,74.4301,0,0,0,76.68672202563917
1767355200,73.58,73.75,73.29,73.56,75.86,74.05,74.955,74.4301,0,0,0,76.65561036369252
1767358800,73.58,73.73,73.31,73.47,75.86,74.05,74.955,74.4301,0,0,0,76.62391274813339
1767362400,73.45,76.6,73.18,76.46,75.86,74.05,74.955,74.4301,0,0,0,76.62228177551515
1767366000,76.41,78.12,75.65,77.81,75.86,74.05,74.955,74.4301,0,0,0,76.63409986730106
1767369600,77.8,81.12,77.48,80.94,75.86,74.05,74.955,74.4301,0,0,0,76.67694464474086
1767373200,80.93,81.13,80.2,80.5,75.86,74.05,74.955,74.4301,0,0,0,76.71498499653448
1767376800,80.48,80.61,79.595,80.16,75.86,74.05,74.955,74.4301,0,0,0,76.74926375278787
1767380400,80.16,80.7,79.89,80.1,75.86,74.05,74.955,74.4301,0,0,0,76.78260441196412
1767384000,80.1,80.7,79.28,79.35,75.86,74.05,74.955,74.4301,0,0,0,76.8081506367207
1767387600,79.33,79.7,79.2,79.67,75.86,74.05,74.955,74.4301,0,0,0,76.83662674978815
1767391200,79.6,79.74,79.58,79.73,81.13,70.43,75.78,72.677,0,0,0,76.86541653337235
1767394800,79.74,79.88,79.69,79.72,81.13,70.43,75.78,72.677,0,0,0,76.89382034896069
1767398400,79.78,79.99,79.74,79.98,81.13,70.43,75.78,72.677,0,0,0,76.9245286041949
1767603600,79.12,80.5,79.12,80.07,81.13,70.43,75.78,72.677,0,0,0,76.95582682703873
1767607200,80.07,80.5,80.06,80.4,81.13,70.43,75.78,72.677,0,0,0,76.9900972068692
1767610800,80.4,83.61,80.39,82.21,81.13,70.43,75.78,72.677,0,0,0,77.04203653814413
1767614400,82.17,83.15,81.82,82.96,81.13,70.43,75.78,72.677,0,0,0,77.1009217467198
1767618000,82.98,83,82.11,82.47,81.13,70.43,75.78,72.677,0,0,0,77.15434541093155
1767621600,82.49,84.52,80.11,80.32,81.13,70.43,75.78,72.677,0,0,0,77.18584446156905
1767625200,80.37,81.58,79.74,80.84,81.13,70.43,75.78,72.677,0,0,0,77.22220421817035
1767628800,80.805,81.3,79.46,79.94,81.13,70.43,75.78,72.677,0,0,0,77.24924696226816
1767632400,79.92,80.02,78.27,78.29,81.13,70.43,75.78,72.677,0,0,0,77.25960271388738
1767636000,78.28,78.28,77.27,77.86,81.13,70.43,75.78,72.677,0,0,0,77.26557681623676
1767639600,77.9,78.92,77.68,78.34,84.52,79.12,81.82,80.254,0,0,0,77.27626759418465
1767643200,78.3,79,76.79,76.85,84.52,79.12,81.82,80.254,0,0,0,77.2720261255858
1767646800,76.75,77.1,76.31,76.94,84.52,79.12,81.82,80.254,0,0,0,77.26872238304266
1767650400,76.91,77.17,76.8,77.12,84.52,79.12,81.82,80.254,0,0,0,77.26724255833577
1767654000,77.1,78.05,77.1,78.02,84.52,79.12,81.82,80.254,0,0,0,77.27473268213342
1767657600,77.97,78.04,77.89,77.99,84.52,79.12,81.82,80.254,0,0,0,77.28184976987339
1767690000,78.28,78.45,77.71,78.21,84.52,79.12,81.82,80.254,0,0,0,77.2910850955463
1767693600,78.07,78.29,77.83,78.03,84.52,79.12,81.82,80.254,0,0,0,77.29843748265529
1767697200,78.08,78.17,77.98,78.04,84.52,79.12,81.82,80.254,0,0,0,77.30581621417116
1767700800,78.14,78.9,78,78.75,84.52,79.12,81.82,80.254,0,0,0,77.32018620208986
1767704400,78.72,79,78.52,78.74,84.52,79.12,81.82,80.254,0,0,0,77.33431370256658
1767708000,78.72,79.1,75.35,75.87,84.52,79.12,81.82,80.254,0,0,0,77.3197434169689
1767711600,75.85,78.35,75.19,75.6,84.52,79.12,81.82,80.254,0,0,0,77.30263154217319
1767715200,75.57,75.79,73.88,74.06,84.52,79.12,81.82,80.254,0,0,0,77.2703665517038
1767718800,74.1,75.75,73.75,74.5,84.52,79.12,81.82,80.254,0,0,0,77.24280071536845
1767722400,74.5,75.4,74.28,75.23,84.52,79.12,81.82,80.254,0,0,0,77.22277284755384
1767726000,75.23,76.91,75.05,76.71,79.1,76.31,77.705,76.8959,0,0,0,77.21767063016524
1767729600,76.72,78.19,76.72,77.88,79.1,76.31,77.705,76.8959,0,0,0,77.22426097215364
1767733200,77.97,78.43,77.65,77.91,79.1,76.31,77.705,76.8959,0,0,0,77.23108424606257
1767736800,77.9,77.95,77.8,77.9,79.1,76.31,77.705,76.8959,0,0,0,77.2377401242112
1767740400,77.95,78.18,77.81,77.95,79.1,76.31,77.705,76.8959,0,0,0,77.24482728715438
1767744000,77.95,77.95,77.771,77.88,79.1,76.31,77.705,76.8959,0,0,0,77.25114741365036
1767776400,77.5,77.79,76.91,76.96,79.1,76.31,77.705,76.8959,0,0,0,77.24825042445981
1767780000,76.96,76.96,76.2,76.5,78.43,73.75,76.09,74.7328,0,0,0,77.24080514660449
1767783600,76.49,76.67,76.26,76.67,78.43,73.75,76.09,74.7328,0,0,0,77.23512549340444
1767787200,76.75,76.84,76.53,76.78,78.43,73.75,76.09,74.7328,0,0,0,77.23059688152976
1767790800,76.71,76.94,76.44,76.88,78.43,73.75,76.09,74.7328,0,0,0,77.2271083553454
1767794400,76.82,77.57,75.75,77.44,78.43,73.75,76.09,74.7328,0,0,0,77.22922668016783
1767798000,77.43,78.73,76.6,78.63,78.43,73.75,76.09,74.7328,0,0,0,77.24316472315122
1767801600,78.65,79.64,77.86,79.46,78.43,73.75,76.09,74.7328,0,0,0,77.26522278560743
1767805200,79.44,79.92,78.87,78.99,78.43,73.75,76.09,74.7328,0,0,0,77.2823847479397
1767808800,78.98,79.09,78.15,78.28,78.43,73.75,76.09,74.7328,0,0,0,77.2923112678607
1767812400,78.28,79.38,77.95,79.015,78.43,73.75,76.09,74.7328,0,0,0,77.30945244927501
1767816000,79.03,79.09,77.01,77.19,78.43,73.75,76.09,74.7328,0,0,0,77.30826386769019
