time,open,high,low,close,Volume
1768558500,334.09,334.09,333.69,333.79,339
1768559400,333.83,334.07,333.71,334.02,518
1768560300,334.08,334.32,334.08,334.3,857
1768561200,334.35,334.4,334.2,334.4,856
1768562100,334.38,336.89,334.38,335.29,2891
1768563000,335.45,335.52,335.02,335.22,755
1768563900,335.34,335.34,334.76,334.76,573
1768564800,334.74,336.2,334.64,335.29,6151
1768565700,335.26,335.44,334.94,335.04,881
1768566600,335.16,335.66,334.97,335.45,4064
1768567500,335.55,335.55,334.86,335.16,5378
1768568400,335.14,335.23,334.5,335.19,1612
1768569300,335.1,335.36,334.6,335.14,2237
1768570200,335.16,335.2,334.58,335.16,2077
1768571100,335.15,335.36,335.11,335.12,581
1768572000,335.25,335.69,335.2,335.51,905
1768572900,335.5,335.9,334.34,335.04,21505
1768573800,334.89,335.07,331.77,332.03,107898
1768574700,332.24,332.905,331,331.05,74331
1768575600,331.04,331.91,330.33,331.64,72451
1768576500,331.62,331.96,329.85,329.95,69369
1768577400,329.95,330.62,329.46,329.55,61001
1768578300,329.59,330.46,329.49,330.22,33729
1768579200,330.24,330.45,329.85,330.06,27247
1768580100,330.03,330.66,330.03,330.33,47050
1768581000,330.37,331.17,330.29,331.09,45478
1768581900,331.06,331.24,330.1,330.82,41156
1768582800,330.8,330.8,330.14,330.63,14927
1768583700,330.62,330.71,330.24,330.24,14789
1768584600,330.23,330.45,330.06,330.19,25681
1768585500,330.2,330.28,328.18,328.38,69576
1768586400,328.36,330.23,328.36,329.87,36330
1768587300,329.85,330.4,329.78,330.02,16682
1768588200,330.02,330.15,329.3,329.65,36299
1768589100,329.7,329.91,329.26,329.28,32771
1768590000,329.28,329.88,329.09,329.42,39045
1768590900,329.41,329.93,329.41,329.89,20697
1768591800,329.87,330.26,329.84,330.08,30931
1768592700,330.13,330.61,330.13,330.22,21124
1768593600,330.17,330.28,329.75,330.07,28392
1768594500,330.05,330.41,329.99,330.16,32553
1768595400,330.11,330.27,329.8,330.12,58894
1768596300,330.1,330.67,329.47,330.41,170781
1768597200,330.34,330.5,330.3,330.5,2608
1768598100,330.5,330.55,330.39,330.45,494
1768599000,330.45,330.45,330.38,330.43,242
1768599900,330.39,330.49,330.39,330.43,279
1768600800,330.5,330.5,330.39,330.5,109
1768601700,330.45,330.58,330.45,330.48,252
1768602600,330.47,330.49,330.46,330.47,15
1768603500,330.49,330.5,330.36,330.49,676
1768604400,330.43,330.43,330.36,330.36,24
1768605300,330.39,330.4,330.39,330.4,154
1768606200,330.33,330.33,330.15,330.15,50
1768607100,330.04,330.3,330,330,506
1768608000,330,330,330,330,7
1768608900,330.1,330.17,330.1,330.1,56
1768609800,330.1,330.1,330.05,330.05,73
1768610700,330.02,330.02,329.95,329.95,289
1768899600,322.17,324.75,320.19,320.35,10125
1768900500,320.28,320.44,318.25,318.89,7820
1768901400,318.8,318.93,317.1,317.56,5367
1768902300,317.73,318.55,317.73,317.85,1842
1768903200,318.04,319.52,317.35,319.43,4767
1768904100,319.43,319.97,319.28,319.78,1434
1768905000,319.63,320.2,319.2,320.16,986
1768905900,320.19,320.55,320.04,320.3,1259
1768906800,320.29,321.1,320.19,320.85,1440
1768907700,320.85,321.37,320.38,320.9,2117
1768908600,321.09,321.2,320.7,321,2766
1768909500,320.91,321.34,320.75,321.34,1215
1768910400,321.3,322.3,321,322.26,16017
1768911300,322.31,322.73,321.32,321.93,4414
