time,open,high,low,close,Volume
1753358400,197.76,199.2,191.94,194.39,2631743
1753372800,194.39,195.18,192.69,193.21,1549524
1753387200,193.2,193.72,193.09,193.48,14446
1753430400,193.59,194,192.75,193.91,14131
1753444800,193.86,195.27,192.13,194.37,1317481
1753459200,194.4,194.86,193.69,194.09,1116128
1753473600,194.06,194.14,193.84,194,9131
1753689600,195,195.24,194.5,194.81,20342
1753704000,194.85,195.17,191.91,192.28,1315417
1753718400,192.27,193.52,191.86,193.42,1108121
1753732800,193.42,193.53,193.18,193.28,9189
1753776000,193.75,193.75,192.49,192.9,16438
1753790400,192.87,195.33,192.55,195.08,1031749
1753804800,195.09,196.65,194.98,196.44,1244964
1753819200,196.43,196.67,195.84,196.04,8891
1753862400,196.13,196.4,195.8,196.2,7666
1753876800,196.16,198.09,195.56,198.06,911381
1753891200,198.06,198.47,196.19,197.49,1063214
1753905600,197.48,198.14,196.1,196.75,56201
1753948800,196.9,197.54,196.5,196.66,24326
1753963200,196.57,197.53,192.3,194.29,1425379
1753977600,194.27,194.99,192.1,192.85,944691
1753992000,192.89,193.18,191.37,191.6,30422
1754035200,190.78,191.32,188.1,189.35,61883
1754049600,189.28,191.61,188.35,189.9,945528
1754064000,189.9,190.33,188.83,189.9,713011
1754078400,189.925,189.98,189.31,189.31,6457
1754294400,191.25,191.64,190.17,191.28,20015
1754308800,191.25,195.41,190.75,194.93,1001461
1754323200,194.93,196.07,194.59,195.74,1062686
1754337600,195.65,195.93,195.02,195.39,13077
1754380800,195.45,196.06,195.01,195.65,8999
1754395200,195.61,198.7,195.25,196.34,836429
1754409600,196.36,196.64,194.69,195.35,619664
1754424000,195.37,195.39,194.28,194.75,10427
1754467200,195.09,196,194.77,195.46,8222
1754481600,195.49,196.91,194.49,196.77,520265
1754496000,196.76,197.37,196.26,196.92,597543
1754510400,196.66,197.1,196.37,196.7,4706
1754553600,196.91,198.63,196.81,197.86,17963
1754568000,197.95,198.58,196.32,197.5,483446
1754582400,197.49,197.7,195.22,197.34,542117
1754596800,197.33,197.53,197,197.2,9614
1754640000,197.48,198.05,197.48,197.98,6976
1754654400,198.05,203.43,197.7,201.88,1467491
1754668800,201.85,202.52,201.21,202.155,823815
1754683200,202.165,202.75,201.98,202.48,15972
1754899200,202.25,203,201.3,201.73,12205
1754913600,201.74,202.04,199.83,201.77,548354
1754928000,201.78,202.16,201.06,201.63,593678
1754942400,201.64,201.7,201.23,201.45,6051
1754985600,201.67,201.88,201.11,201.19,5181
1755000000,201.26,205.13,201.14,203.97,903346
1755014400,203.92,204.99,203.12,204.14,744905
1755028800,204.14,204.18,203.81,204.18,5680
1755072000,204.1,205.04,204.1,204.57,7606
1755086400,204.59,205.43,203.19,203.83,681843
1755100800,203.82,204.055,198.65,203.04,1207808
1755115200,203,203.02,202.11,202.73,4049
1755158400,203.67,203.67,202.5,203.1,8128
1755172800,203.15,205.42,201.44,205.17,819515
1755187200,205.15,205.2,203.735,203.78,819659
1755201600,203.84,203.89,203.32,203.74,3996
1755244800,203.72,205.01,203.72,204.54,16160
1755259200,204.51,207.33,203.9,205.37,748741
1755273600,205.36,207.28,202.08,204.92,1068617
1755288000,204.93,205.1,204.51,205.05,11259
1755504000,205,205.53,204.5,205.04,8838
1755518400,205.05,206.12,203.84,204.06,389231
1755532800,204.065,204.56,203.41,204.27,623234
1755547200,204.32,204.62,203.8,204.38,3338
1755590400,204.2,204.37,203.5,203.71,8313
1755604800,203.71,204.29,201,201.57,530271
1755619200,201.56,202.53,200.93,202.5,556545
1755633600,202.51,202.83,201.65,201.65,13144
1755676800,201.87,202.49,201.09,201.24,9057
1755691200,201.2,202.18,197.47,199.51,616534
1755705600,199.51,201.41,199.43,200.2,454495
1755720000,200.22,200.3,199.8,199.8,8198
1755763200,200.18,200.4,199.44,199.7,3733
1755777600,199.73,203.36,199.06,200.64,449855
1755792000,200.66,201.18,200.44,200.65,334449
1755806400,200.53,201.88,200.46,201.57,9282
1755849600,202,203.2,201.9,202.77,13193
1755864000,202.85,205.98,202.15,205.47,936128
1755878400,205.47,209.23,204.45,206.74,1650034
1755892800,206.74,207.59,206.68,207.35,7765
1756108800,207.8,207.8,206.26,206.8,11997
1756123200,206.79,210.28,205.96,210.25,1053271
1756137600,210.25,211.1,209.12,209.16,867755
1756152000,209.12,209.2,208.5,209.08,6403
1756195200,209.2,210.18,208.34,208.54,5328
1756209600,208.49,208.86,206.47,207.62,613695
1756224000,207.61,208.45,206.58,207.96,688441
1756238400,207.95,208.2,207.7,208.19,5397
1756281600,207.6,207.8,207.11,207.71,4941
1756296000,207.71,209.56,206.07,208.7,535711
1756310400,208.71,208.79,207.39,208.15,397039
1756324800,208.21,208.64,207.1,207.66,5870
1756368000,208.15,209,207.85,208.37,4576
1756382400,208.4,212.57,207.64,211.9,656771
1756396800,211.88,212.9,211.73,212.36,490816
1756411200,212.38,212.38,212.15,212.35,4952
1756454400,212.42,212.42,208.84,210.36,14723
1756468800,210.42,213.08,209.92,212.21,365819
1756483200,212.2,215.33,212.13,213.65,853669
1756497600,213.65,213.83,213.26,213.35,7511
1756800000,213,213.13,210.49,210.55,22080
1756814400,210.55,210.66,206.97,207.54,655969
1756828800,207.57,212.36,207.55,211.955,578167
1756843200,211.94,229.88,210.93,226.459,611650
1756886400,224.88,225.12,222.35,223.54,210942
1756900800,223.6,231.31,223.6,229.18,3572144
