time,open,high,low,close,Volume
1767690000,316.8,318.15,316.56,316.8,3302
1767691800,316.87,317.48,316.83,317.12,216
1767693600,317.16,317.25,317,317.08,269
1767695400,317.09,317.83,317.07,317.73,470
1767697200,317.8,317.89,317.68,317.88,414
1767699000,317.77,318.04,317.56,317.83,2794
1767700800,317.9,318,317.47,317.71,2590
1767702600,317.77,318,317.57,317.77,3315
1767704400,317.7,317.95,317.4,317.4,6272
1767706200,317.6,317.85,317.32,317.63,2291
1767708000,317.63,318.02,316.92,317.2,7701
1767709800,317.21,321.55,317.17,318.5,280810
1767711600,318.59,318.7,314.44,314.91,189796
1767713400,314.89,315.66,314.14,314.575,117205
1767715200,314.52,314.65,312.35,312.89,110319
1767717000,312.86,313.72,312.33,312.72,66797
1767718800,312.7,314.215,312.53,313.59,59241
1767720600,313.59,314.47,313.55,313.94,41058
1767722400,313.96,314.23,313.3,313.77,45825
1767724200,313.8,315.09,313.63,315.05,52396
1767726000,315.06,315.22,314.2,314.22,40229
1767727800,314.25,314.25,313.66,313.81,48047
1767729600,313.84,314.02,313.41,313.62,75803
1767731400,313.62,314.69,313.29,314.56,260221
1767733200,314.6,315.2,314.58,315.04,11251
1767735000,314.98,315,314.79,314.9,3040
1767736800,314.83,314.92,314.77,314.8,388
1767738600,314.8,314.9,314.73,314.8,569
1767740400,314.71,314.74,314.58,314.64,395
1767742200,314.64,314.71,314.56,314.63,674
1767744000,314.63,314.7,314.55,314.58,1066
1767745800,314.6,314.72,314.47,314.72,734
1767776400,314.3,314.55,312.92,313.33,2846
1767778200,313.28,313.49,313,313.49,203
1767780000,313.46,313.76,313.27,313.3,329
1767781800,313.3,313.53,313.2,313.52,962
1767783600,313.5,313.5,313.3,313.38,501
1767785400,313.5,313.7,313.5,313.66,410
1767787200,313.66,313.71,313.25,313.36,1547
1767789000,313.33,313.49,313.22,313.42,1755
1767790800,313.41,315.17,313.34,315.09,3075
1767792600,315.17,316.29,314.95,316.17,11007
1767794400,316.01,316.01,314.38,314.55,4287
1767796200,314.61,322.56,314.44,320.14,448856
1767798000,320.14,321.29,319.37,319.69,157654
1767799800,319.75,321.14,318.88,320.44,109481
1767801600,320.41,320.63,319.94,320.18,113905
1767803400,320.19,320.7,319.23,320.66,60648
1767805200,320.635,322.32,320.41,322.095,79749
1767807000,322.13,322.15,321.1,321.56,49357
1767808800,321.545,322.38,321.16,322.17,60774
1767810600,322.23,326.44,322.065,324.78,276506
1767812400,324.7,325.18,322.38,322.51,108698
1767814200,322.46,322.88,321.74,322.74,66370
1767816000,322.89,323.59,322.18,322.54,56259
1767817800,322.48,322.54,321.35,322.46,150763
1767819600,322.26,322.72,322.04,322.52,2244
1767821400,322.511,322.93,322.511,322.8,2636
1767823200,322.77,323.41,322.77,323.29,1790
1767825000,323.29,323.29,323.08,323.14,780
1767826800,323.155,323.33,322.8,322.94,578
1767828600,322.98,322.98,322.7,322.7,417
1767830400,322.62,322.69,322.3,322.3,2725
1767832200,322.31,322.95,322.31,322.95,490
1767862800,323.26,323.87,322.76,323.67,1581
1767864600,323.6,324.95,323.6,324.73,1434
1767866400,324.75,324.75,323.95,323.97,1074
1767868200,323.92,324.32,323.92,324.26,1063
1767870000,324.4,324.97,324.4,324.75,782
1767871800,324.7,325.84,324.08,325,2813
1767873600,324.94,325.5,324.17,325.15,9294
1767875400,325.26,325.41,324.5,325.17,4603
1767877200,325.19,327.77,324.94,327.62,21871
1767879000,327.66,327.89,327.01,327.36,10539
1767880800,327.28,329.76,327.03,329.16,37292
1767882600,329.46,330.55,322.47,322.6,405012
1767884400,322.58,326.7,322,326.46,176307
1767886200,326.41,328.42,324.53,328.42,149159
1767888000,328.4,329.19,326.45,326.48,114126
1767889800,326.47,327.92,325.04,327.87,77957
1767891600,327.89,328.2,327.12,327.43,65974
1767893400,327.45,327.85,327.29,327.38,61339
1767895200,327.29,327.33,326.14,326.88,46422
1767897000,326.81,326.85,326.02,326.19,32800
1767898800,326.19,326.51,325.71,326.22,37158
1767900600,326.19,326.19,324.7,325.27,69017
1767902400,325.32,326.05,324.82,325.83,59669
1767904200,325.9,326.29,325.48,325.97,157648
1767906000,326.06,326.2,326,326.12,2058
1767907800,326.23,326.65,326.17,326.17,1987
1767909600,326.17,326.44,326.1,326.3,882
1767911400,326.49,326.66,326.32,326.5,406
1767913200,326.49,326.49,326.15,326.2,390
1767915000,326.2,326.2,326.01,326.2,905
1767916800,326.23,326.25,326.2,326.2,116
1767918600,326.19,326.19,326,326,201
1767949200,327.19,327.65,326.38,327.64,1437
1767951000,327.62,328.12,327.62,327.79,1307
1767952800,327.84,329.8,327.74,329.3,3635
1767954600,329.3,329.5,328.56,328.65,1660
1767956400,328.67,329.08,328.55,329.07,1038
1767958200,329.01,329.48,328.76,328.84,2022
1767960000,328.71,329.5,328.25,328.32,11408
1767961800,328.33,328.59,327.6,328.43,6127
1767963600,328.46,328.53,327.59,327.69,4980
1767965400,328.16,329.28,327.68,329.23,7042
1767967200,329.01,329.12,327.32,327.43,10288
1767969000,327.59,331.21,326.28,329.8,314889
1767970800,329.79,330.68,327.86,330.325,217703
1767972600,330.36,330.75,329.09,329.44,76828
1767974400,329.45,331.48,329.36,330.66,94772
1767976200,330.72,331.36,330.09,330.93,57932
1767978000,330.89,330.93,330.26,330.5,57595
1767979800,330.49,330.68,329.35,329.66,49067
1767981600,329.58,329.93,329.1,329.9,42542
1767983400,329.91,330.68,329.88,330.64,79031
1767985200,330.68,330.94,330.39,330.46,49858
1767987000,330.42,331.19,330.05,330.15,56991
1767988800,330.14,330.77,329.99,330.33,38647
1767990600,330.33,330.55,329.12,329.14,164025
1767992400,329.42,329.43,329.08,329.34,1148
1767994200,329.33,329.47,329.17,329.47,1643
1767996000,329.54,329.61,329.39,329.49,1199
1767997800,329.4,329.47,329.12,329.33,785
1767999600,329.33,329.33,329.25,329.32,92
1768001400,329.4,329.85,329.34,329.45,525
1768003200,329.7,329.7,329.65,329.66,42
1768005000,329.65,329.8,329.6,329.6,240
1768208400,326.3,326.61,325.64,326.07,3727
1768210200,325.93,326.53,325.63,326.4,459
1768212000,326.49,326.67,326.35,326.57,1100
1768213800,326.56,326.98,326.17,326.17,1684
1768215600,326.3,326.72,326.3,326.49,506
1768217400,326.43,326.68,326.21,326.4,524
1768219200,326.48,326.99,326.38,326.81,2913
1768221000,326.76,327,326.55,326.82,2249
1768222800,327.04,327.09,326.61,326.8,7597
1768224600,326.8,327.06,326.57,326.8,1768
1768226400,326.8,327.04,326.3,326.34,7560
1768228200,326.67,329.89,325.55,327.04,200394
1768230000,327.055,334.43,325.75,331.23,302519
1768231800,331.17,331.24,327.55,328.63,208400
1768233600,328.56,330.4,328.3,329.9,125084
1768235400,329.92,330.95,329.86,330.23,56409
1768237200,330.17,330.89,330.06,330.67,89611
1768239000,330.65,330.91,329.83,330.41,54254
1768240800,330.41,331.05,330.09,330.58,52815
1768242600,330.59,331.34,330.47,330.64,97680
1768244400,330.61,331.07,330.22,330.95,48434
1768246200,330.95,332.14,330.93,332.04,68797
1768248000,332.1,332.16,331.17,331.56,64947
1768249800,331.58,333.01,331.4,332.76,205765
1768251600,332.87,333.65,332.73,333.65,6675
1768253400,333.56,333.56,332.9,333.03,1944
1768255200,333.03,333.5,333.03,333.5,214
1768257000,333.5,333.68,333.22,333.52,2417
1768258800,333.39,333.41,332.94,333.15,1098
1768260600,333.2,333.2,332.56,332.56,667
1768262400,332.74,332.74,332.04,332.18,1534
1768264200,332.08,332.15,332,332,592
1768294800,334.9,335.01,333.73,334.99,5134
1768296600,334.98,335.25,334.7,335.11,1654
1768298400,335.05,335.17,334.19,334.94,1695
1768300200,335,335.2,334.47,334.66,2796
1768302000,334.72,335.05,334.53,335.01,1185
1768303800,335,335,334.56,334.87,1986
1768305600,334.91,335.23,334.51,335.18,6223
1768307400,335.2,335.49,335.08,335.13,11863
1768309200,335.12,335.4,334.97,335.09,4965
1768311000,335.25,336.72,335.25,335.39,16052
1768312800,335.36,336.19,334.87,335.31,12959
1768314600,335.28,341.2,334.35,339.67,594019
1768316400,339.72,340.15,335.57,336.27,222992
1768318200,336.23,337.78,334.94,337.38,186529
1768320000,337.45,338.79,336.6,337.69,122932
1768321800,337.68,339.86,337.36,339.86,125481
1768323600,339.82,340.47,339.63,340.4,87344
1768325400,340.36,340.5,337.94,338.43,87858
1768327200,338.35,339.54,338.19,338.5,70567
1768329000,338.48,339.17,336.82,336.95,56020
1768330800,337,337.31,336.32,337.23,97885
1768332600,337.18,337.91,336.42,336.67,51545
1768334400,336.62,337.14,335.72,336.1,64249
1768336200,336.06,336.6,335.14,336.38,138822
1768338000,336.29,337,336.27,336.85,3133
1768339800,336.9,337.12,336.77,337,1871
1768341600,337.05,337.25,337.03,337.25,1752
1768343400,337.33,337.56,337.25,337.56,2216
1768345200,337.46,337.51,337.34,337.35,609
1768347000,337.44,337.52,337.4,337.42,978
1768348800,337.5,337.88,337.5,337.84,662
1768350600,337.85,337.85,337.62,337.85,1254
1768381200,337.75,338.33,336.8,338,3062
1768383000,338,338.03,337.61,337.95,556
1768384800,337.86,337.87,336.26,336.39,2152
1768386600,336.37,336.57,335.5,336.2,730
1768388400,336.28,336.28,335.61,336.05,1271
1768390200,336.01,336.01,334.84,335.2,6639
1768392000,335.24,335.86,334.27,335.62,5672
1768393800,335.7,335.74,335.25,335.5,1760
1768395600,335.5,335.64,335,335.64,1585
1768397400,335.61,335.7,334.74,335.11,3712
1768399200,335.19,335.68,334.55,334.87,3731
1768401000,335.24,335.24,332.25,332.25,273402
1768402800,332.33,335.5,331.2,333.58,162343
1768404600,333.55,333.69,331.7,332.41,133167
1768406400,332.45,334.44,332.34,334.12,72634
1768408200,334.1,334.52,332.02,332.66,63540
1768410000,332.66,333.66,332.41,333.285,49542
1768411800,333.28,334.5,332.79,333.89,54566
1768413600,333.81,335.37,333.81,334.52,60762
1768415400,334.51,336.19,334.1,335.92,51462
1768417200,335.88,335.88,334.78,335.1,36927
1768419000,335.26,335.75,335.04,335.48,34826
1768420800,335.5,336.65,335.2,335.63,71358
1768422600,335.64,337.03,335.56,336.24,178054
1768424400,336.41,336.56,336,336.02,1679
1768426200,336.08,336.2,335.01,335.98,772
1768428000,335.94,336.11,335.76,335.85,1298
1768429800,335.8,335.85,335.64,335.65,352
1768431600,335.64,335.89,335.13,335.26,313
1768433400,335.7,335.94,335.6,335.94,966
1768435200,335.85,335.96,335.6,335.6,649
1768437000,335.5,335.77,335.5,335.76,50
1768467600,337.14,338.25,336.98,338.15,2219
1768469400,338.21,338.57,338.09,338.14,4272
1768471200,338.13,338.14,337.7,337.7,883
1768473000,337.73,337.91,337.62,337.88,956
1768474800,337.94,338.08,337.83,337.93,2024
1768476600,337.92,338.54,337.91,338.28,1518
1768478400,338.34,338.4,337.8,338.02,3188
1768480200,338.15,338.15,337.94,338.14,3114
1768482000,338.05,338.41,337.93,338.06,4851
1768483800,338.13,338.66,337.93,338.34,8044
1768485600,338.4,338.86,337.91,338,10370
1768487400,337.98,338.14,333.65,334.31,263522
1768489200,334.22,334.35,332.66,333.25,163441
1768491000,333.28,334.18,331.29,332.63,217309
1768492800,332.65,333.37,332.15,332.29,78334
1768494600,332.26,333.38,331.83,333.04,58238
1768496400,333,333.55,332.51,333.12,46980
1768498200,333.14,333.44,332.54,332.96,40320
1768500000,332.91,333.875,332.91,333.66,101067
1768501800,333.65,333.98,333.37,333.98,66015
1768503600,333.95,334.01,333.16,333.2,65507
1768505400,333.17,333.33,332.5,332.75,54094
1768507200,332.74,333.28,331.85,332.4,75656
