time,open,high,low,close,Volume
1769445300,334.79,335.73,334.72,335.48,33817
1769445600,335.48,335.62,335.01,335.14,7550
1769445900,335.12,335.6,334.99,335.18,10118
1769446200,335.21,335.61,335.21,335.36,6212
1769446500,335.37,335.63,335.28,335.62,6874
1769446800,335.645,336.29,335.61,336.16,22514
1769447100,336.19,336.33,335.84,336.08,9722
1769447400,336.06,336.21,335.84,335.93,6576
1769447700,335.87,335.97,335.72,335.76,6756
1769448000,335.72,336.26,335.68,336.19,12976
1769448300,336.18,336.28,336.03,336.07,7713
1769448600,336.04,336.07,335.61,335.73,7985
1769448900,335.76,336.04,335.65,335.73,2735
1769449200,335.68,336.04,335.68,335.9,4009
1769449500,335.9,335.9,335.54,335.59,4035
1769449800,335.575,335.94,335.42,335.51,5924
1769450100,335.51,335.71,335.33,335.45,3029
1769450400,335.42,335.81,335.23,335.5,3759
1769450700,335.48,335.48,334.92,334.97,6528
1769451000,334.9,335.2,334.81,335.09,3153
1769451300,335.1,335.38,334.97,335.35,5549
1769451600,335.37,335.57,335.35,335.53,4598
1769451900,335.56,335.56,335.22,335.23,3672
1769452200,335.23,335.63,335.23,335.46,3497
1769452500,335.48,335.65,335.39,335.6,1899
1769452800,335.57,335.57,335.17,335.27,3393
1769453100,335.24,335.37,335.11,335.22,3905
1769453400,335.21,335.33,335.08,335.16,4596
1769453700,335.14,335.18,334.92,335.13,6736
1769454000,335.12,335.38,334.965,335.1,10444
1769454300,335.1,335.33,335.06,335.32,3922
1769454600,335.33,335.69,335.28,335.6,5400
1769454900,335.6,335.6,335.35,335.38,8695
1769455200,335.35,335.39,334.78,334.87,3610
1769455500,334.85,335.2,334.84,335.18,4208
1769455800,335.17,335.17,334.4,334.43,3980
1769456100,334.45,334.56,334.15,334.22,3939
1769456400,334.25,334.84,334.16,334.81,3099
1769456700,334.86,335,334.68,334.88,5503
1769457000,334.9,335.08,334.82,334.82,6388
1769457300,334.83,334.91,334.38,334.38,4274
1769457600,334.4,334.44,333.97,334.41,4503
1769457900,334.42,334.65,334.39,334.46,3433
1769458200,334.48,334.62,334.42,334.52,4372
1769458500,334.54,334.69,334.3,334.51,4631
1769458800,334.5,334.61,334.335,334.335,4265
1769459100,334.33,334.52,334.29,334.38,7273
1769459400,334.35,334.61,334.27,334.44,11051
1769459700,334.45,334.53,334.21,334.24,9373
1769460000,334.25,334.28,333.95,334.07,20665
1769460300,334.04,334.17,333.88,333.97,12758
1769460600,333.91,334.01,333.38,333.7,35210
1769460900,333.69,333.75,333.35,333.61,53537
1769461200,333.61,333.61,333.29,333.46,430
1769461500,333.51,333.595,333.5,333.59,520
1769461800,333.56,333.67,333.56,333.67,870
1769462100,333.73,334.26,333.73,334.14,341
1769462400,334.15,334.15,334.1,334.14,438
1769462700,334.2,334.26,334.07,334.26,456
1769463000,334.25,334.26,334.12,334.13,319
1769463300,334.14,334.21,334.05,334.05,712
1769463600,334.02,334.05,334,334,229
1769463900,334,334.04,333.97,334.04,139
1769464200,333.96,333.97,333.88,333.89,343
1769464500,333.89,333.94,333.8,333.89,226
1769464800,333.89,333.9,333.79,333.79,17
1769465100,333.71,333.83,333.7,333.83,128
1769465400,333.73,333.73,333.73,333.73,6
1769465700,333.85,333.85,333.85,333.85,1
1769466000,333.85,333.92,333.75,333.81,118
1769466300,333.76,333.94,333.76,333.88,23
1769466600,333.94,333.94,333.9,333.91,140
1769466900,333.78,333.78,333.76,333.76,10
1769467200,333.9,333.9,333.9,333.9,6
1769467500,333.9,333.94,333.86,333.94,423
1769467800,333.9,333.9,333.9,333.9,3
1769468700,333.85,333.9,333.85,333.9,196
1769469000,333.96,334,333.96,334,2
1769469300,334.05,334.29,334.02,334.02,2143
1769469600,334.2,334.26,334.2,334.26,2383
1769469900,334.26,334.26,334.09,334.09,1074
1769470800,334.2,334.21,334.2,334.21,76
1769471100,334.26,334.26,334.09,334.26,130
1769471400,334.26,334.26,334.26,334.26,247
1769471700,334.26,334.26,334.21,334.21,192
1769472000,334.21,334.21,334.15,334.21,169
1769472300,334.1,334.1,334.1,334.1,1
1769472600,334.19,334.21,334.1,334.21,175
1769472900,334.16,334.26,334.16,334.26,749
1769473200,334.26,334.26,334.26,334.26,10
1769473500,334.25,334.26,334.25,334.26,142
1769473800,334.26,334.26,334.21,334.26,1181
1769474100,334.26,334.26,334.26,334.26,116
1769474400,334.26,334.26,334.25,334.25,7
1769474700,334.26,334.26,334.26,334.26,353
1769475000,334.26,334.26,334.25,334.25,1076
1769504400,334.52,336.2,334.25,335.3,1519
1769504700,335.43,335.53,335.43,335.43,34
1769505000,335.59,335.65,335.5,335.54,117
1769505300,335.62,335.7,335.55,335.58,100
1769505600,335.71,335.71,335.69,335.69,8
1769505900,335.7,335.7,335.59,335.65,64
1769506200,335.62,335.68,335.62,335.67,62
1769506500,335.79,335.96,335.78,335.93,70
