time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769110200,30.38,30.46,30.34,30.4,29.57,29.16,29.365000000000002,29.24774,0,0,0,29.984093461375533
1769111100,30.4,30.67,30.4,30.55,29.57,29.16,29.365000000000002,29.24774,0,0,0,29.98972437220762
1769112000,30.52,30.765,30.44,30.73,29.57,29.16,29.365000000000002,29.24774,0,0,0,29.997090298852317
1769112900,30.74,30.745,30.37,30.41,29.57,29.16,29.365000000000002,29.24774,0,0,0,30.001198853092593
1769113800,30.39,30.51,30.19,30.51,29.57,29.16,29.365000000000002,29.24774,0,0,0,30.00626155107177
1769114700,30.53,30.68,30.45,30.54,29.57,29.16,29.365000000000002,29.24774,0,0,0,30.011572381409366
1769115600,30.56,30.59,30.52,30.52,29.57,29.16,29.365000000000002,29.24774,0,0,0,30.016631362688873
1769116500,30.51,30.55,30.46,30.51,30.765,29,29.8825,29.37771,0,0,0,30.021540503358636
1769117400,30.51,30.52,30.5,30.52,30.765,29,29.8825,29.37771,0,0,0,30.026500299345116
1769118300,30.5,30.51,30.46,30.51,30.765,29,29.8825,29.37771,0,0,0,30.03131124164019
1769119200,30.52,30.52,30.46,30.46,30.765,29,29.8825,29.37771,0,0,0,30.035576801424863
1769120100,30.5,30.5,30.46,30.46,30.765,29,29.8825,29.37771,0,0,0,30.039799917828596
1769121000,30.48,30.48,30.48,30.48,30.765,29,29.8825,29.37771,0,0,0,30.044180018148708
1769121900,30.49,30.5,30.46,30.46,30.765,29,29.8825,29.37771,0,0,0,30.048317530405935
1769122800,30.45,30.45,30.45,30.45,30.765,29,29.8825,29.37771,0,0,0,30.05231437089941
1769123700,30.46,30.46,30.46,30.46,30.765,29,29.8825,29.37771,0,0,0,30.056370944323298
1769124600,30.45,30.45,30.44,30.44,30.765,29,29.8825,29.37771,0,0,0,30.060188148857396
1769125500,30.37,30.39,30.37,30.38,30.765,29,29.8825,29.37771,0,0,0,30.06337035633145
1769126400,30.4,30.449,30.4,30.449,30.765,29,29.8825,29.37771,0,0,0,30.067207467213724
1769127300,30.38,30.42,30.27,30.42,30.765,29,29.8825,29.37771,0,0,0,30.070717840674284
1769129100,30.45,30.45,30.44,30.44,30.765,29,29.8825,29.37771,0,0,0,30.074392290020807
1769158800,30.65,30.65,30.56,30.56,30.765,29,29.8825,29.37771,0,0,0,30.079224207533038
1769159700,30.58,30.6,30.52,30.53,30.765,29,29.8825,29.37771,0,0,0,30.083709538801365
1769160600,30.53,30.53,30.4,30.44,30.765,29,29.8825,29.37771,0,0,0,30.08725471751976
1769161500,30.37,30.42,30.35,30.42,30.765,29,29.8825,29.37771,0,0,0,30.090565615852896
1769162400,30.4,30.42,30.4,30.4,30.765,29,29.8825,29.37771,0,0,0,30.093644564948885
1769163300,30.41,30.44,30.41,30.44,30.65,30.27,30.46,30.351319999999998,0,0,0,30.097090887685713
1769164200,30.41,30.41,30.38,30.38,30.65,30.27,30.46,30.351319999999998,0,0,0,30.09990590372864
1769165100,30.39,30.4,30.36,30.4,30.65,30.27,30.46,30.351319999999998,0,0,0,30.102891914636814
1769166000,30.43,30.53,30.42,30.51,30.65,30.27,30.46,30.351319999999998,0,0,0,30.106942741356846
1769166900,30.5,30.5,30.44,30.44,30.65,30.27,30.46,30.351319999999998,0,0,0,30.11025674393041
