time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769643840,28.68,28.68,28.68,28.68,28.77,28.71,28.740000000000002,28.728,0,0,0,28.70689700262125
1769643960,28.67,28.67,28.66,28.66,28.77,28.71,28.740000000000002,28.728,0,0,0,28.706430365779248
1769644260,28.64,28.64,28.64,28.64,28.77,28.71,28.740000000000002,28.728,0,0,0,28.705769367114776
1769644320,28.64,28.65,28.64,28.65,28.77,28.71,28.740000000000002,28.728,0,0,0,28.70521444803901
1769644440,28.61,28.61,28.61,28.61,28.77,28.71,28.740000000000002,28.728,0,0,0,28.704267040595834
1769644500,28.65,28.65,28.65,28.65,28.77,28.71,28.740000000000002,28.728,0,0,0,28.703727070042643
1769644680,28.65,28.65,28.65,28.65,28.77,28.71,28.740000000000002,28.728,0,0,0,28.703192472330777
1769644740,28.6,28.65,28.6,28.65,28.77,28.71,28.740000000000002,28.728,0,0,0,28.702663193999125
1769644860,28.61,28.61,28.61,28.61,28.77,28.71,28.740000000000002,28.728,0,0,0,28.701741172168287
1769644980,28.6,28.6,28.6,28.6,28.77,28.71,28.740000000000002,28.728,0,0,0,28.700728822196464
1769645040,28.6,28.6,28.6,28.6,28.77,28.71,28.740000000000002,28.728,0,0,0,28.699726545358686
1769645100,28.6,28.6,28.55,28.55,28.77,28.71,28.740000000000002,28.728,0,0,0,28.69823672898696
1769645340,28.56,28.56,28.56,28.56,28.77,28.71,28.740000000000002,28.728,0,0,0,28.696861239146294
1769645460,28.65,28.65,28.65,28.65,28.77,28.71,28.740000000000002,28.728,0,0,0,28.696394958159765
1769645880,28.65,28.65,28.65,28.65,28.77,28.71,28.740000000000002,28.728,0,0,0,28.69593331678504
1769646180,28.61,28.61,28.61,28.61,28.77,28.71,28.740000000000002,28.728,0,0,0,28.695078258906584
1769646240,28.6,28.6,28.6,28.6,28.77,28.71,28.740000000000002,28.728,0,0,0,28.694132206579155
1769646300,28.6,28.6,28.58,28.58,28.65,28.55,28.6,28.58,0,0,0,28.692996562732596
1769646660,28.56,28.56,28.56,28.56,28.65,28.55,28.6,28.58,0,0,0,28.691673213849683
1769646720,28.56,28.56,28.56,28.56,28.65,28.55,28.6,28.58,0,0,0,28.69036303261735
1769647380,28.58,28.58,28.58,28.58,28.65,28.55,28.6,28.58,0,0,0,28.689264892989314
1769647980,28.54,28.54,28.53,28.53,28.65,28.55,28.6,28.58,0,0,0,28.687680167685937
1769648040,28.52,28.52,28.52,28.52,28.65,28.55,28.6,28.58,0,0,0,28.686011708305976
1769648160,28.55,28.55,28.55,28.55,28.65,28.55,28.6,28.58,0,0,0,28.684658357974573
1769648280,28.56,28.56,28.56,28.56,28.65,28.55,28.6,28.58,0,0,0,28.683417976303186
1769677200,28.66,28.8,28.58,28.77,28.65,28.55,28.6,28.58,0,0,0,28.684279488976788
1769677560,28.79,28.8,28.79,28.8,28.65,28.55,28.6,28.58,0,0,0,28.685430936847666
1769677620,28.78,28.78,28.78,28.78,28.65,28.55,28.6,28.58,0,0,0,28.686371922550673
1769677680,28.79,28.79,28.79,28.79,28.65,28.55,28.6,28.58,0,0,0,28.687403047699423
1769677800,28.79,28.79,28.79,28.79,28.8,28.52,28.66,28.604,0,0,0,28.688423912896443
1769677860,28.79,28.8,28.79,28.8,28.8,28.52,28.66,28.604,0,0,0,28.68953412271837
1769677980,28.79,28.79,28.79,28.79,28.8,28.52,28.66,28.604,0,0,0,28.690533783188833
1769678040,28.79,28.79,28.79,28.79,28.8,28.52,28.66,28.604,0,0,0,28.691523496788943
1769678100,28.79,28.8,28.79,28.8,28.8,28.52,28.66,28.604,0,0,0,28.6926028649801
1769678160,28.79,28.79,28.79,28.79,28.8,28.52,28.66,28.604,0,0,0,28.69357199070169
1769678220,28.8,28.8,28.8,28.8,28.8,28.52,28.66,28.604,0,0,0,28.69463097586884
1769678280,28.8,28.8,28.8,28.8,28.8,28.52,28.66,28.604,0,0,0,28.695679423870146
1769678580,28.8,28.85,28.8,28.85,28.8,28.52,28.66,28.604,0,0,0,28.69721495199084
1769678880,28.82,28.82,28.82,28.82,28.8,28.52,28.66,28.604,0,0,0,28.698436693762076
1769678940,28.85,28.85,28.85,28.85,28.8,28.52,28.66,28.604,0,0,0,28.69994478636146
1769679300,28.87,28.87,28.87,28.87,28.8,28.52,28.66,28.604,0,0,0,28.701636878039455
1769679540,28.89,28.89,28.89,28.89,28.8,28.52,28.66,28.604,0,0,0,28.70351113795946
1769679600,28.935,28.935,28.935,28.935,28.8,28.52,28.66,28.604,0,0,0,28.70581450972106
1769679780,28.9,28.9,28.9,28.9,28.8,28.52,28.66,28.604,0,0,0,28.70774670365418
1769680080,28.88,28.88,28.87,28.87,28.8,28.52,28.66,28.604,0,0,0,28.709361164314338
1769680320,28.87,28.87,28.86,28.86,28.935,28.52,28.7275,28.6445,0,0,0,28.710860058201757
1769680380,28.86,28.86,28.86,28.86,28.935,28.52,28.7275,28.6445,0,0,0,28.712344037722136
1769680680,28.81,28.81,28.81,28.81,28.935,28.52,28.7275,28.6445,0,0,0,28.71331573883933
1769681280,28.83,28.83,28.83,28.83,28.935,28.52,28.7275,28.6445,0,0,0,28.714476776263815
1769681640,28.83,28.83,28.83,28.83,28.935,28.52,28.7275,28.6445,0,0,0,28.715626261077112
1769681760,28.8,28.8,28.8,28.8,28.935,28.52,28.7275,28.6445,0,0,0,28.71646580076789
1769682780,28.8,28.8,28.8,28.8,28.935,28.52,28.7275,28.6445,0,0,0,28.7172969868299
1769683080,28.82,28.84,28.82,28.84,28.935,28.52,28.7275,28.6445,0,0,0,28.718517912334082
1769683320,28.8,28.8,28.8,28.8,28.935,28.52,28.7275,28.6445,0,0,0,28.719328679375533
1769683680,28.77,28.8,28.77,28.8,28.935,28.52,28.7275,28.6445,0,0,0,28.720131379083238
1769684100,28.79,28.79,28.79,28.79,28.935,28.52,28.7275,28.6445,0,0,0,28.720826589241614
1769684160,28.77,28.77,28.77,28.77,28.935,28.52,28.7275,28.6445,0,0,0,28.72131587691085
1769684280,28.76,28.76,28.73,28.73,28.935,28.52,28.7275,28.6445,0,0,0,28.721402286095817
1769684520,28.72,28.72,28.72,28.72,28.935,28.52,28.7275,28.6445,0,0,0,28.721388333000338
1769684700,28.73,28.73,28.73,28.73,28.935,28.52,28.7275,28.6445,0,0,0,28.72147402122919
1769684820,28.74,28.74,28.72,28.72,28.935,28.52,28.7275,28.6445,0,0,0,28.72145935435129
1769685300,28.75,28.75,28.74,28.74,28.935,28.52,28.7275,28.6445,0,0,0,28.721643838387596
1769685360,28.73,28.73,28.72,28.72,28.935,28.52,28.7275,28.6445,0,0,0,28.721627481786726
1769685840,28.75,28.75,28.75,28.75,28.935,28.52,28.7275,28.6445,0,0,0,28.721909795400787
1769685900,28.75,28.75,28.75,28.75,28.935,28.52,28.7275,28.6445,0,0,0,28.722189299924164
1769686020,28.77,28.77,28.77,28.77,28.935,28.52,28.7275,28.6445,0,0,0,28.722665028283128
1769686380,28.77,28.77,28.77,28.77,28.935,28.52,28.7275,28.6445,0,0,0,28.72313602302658
1769686440,28.78,28.79,28.78,28.79,28.935,28.52,28.7275,28.6445,0,0,0,28.723801336230295
1769686500,28.8,28.8,28.8,28.8,28.935,28.52,28.7275,28.6445,0,0,0,28.724559531889696
1769686680,28.77,28.77,28.74,28.74,28.935,28.52,28.7275,28.6445,0,0,0,28.724713168388305
1769686920,28.76,28.76,28.76,28.76,28.935,28.52,28.7275,28.6445,0,0,0,28.72506428114066
1769687220,28.76,28.77,28.75,28.77,28.8,28.72,28.759999999999998,28.744,0,0,0,28.725511402721352
1769687280,28.78,28.78,28.78,28.78,28.8,28.72,28.759999999999998,28.744,0,0,0,28.726053577818654
1769687400,28.79,28.79,28.79,28.79,28.8,28.72,28.759999999999998,28.744,0,0,0,28.72668986062643
1769688000,28.78,28.78,28.69,28.69,28.8,28.72,28.759999999999998,28.744,0,0,0,28.726324787386364
