time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769626740,74.78,74.81,74.75,74.81,,,,,,,,
1769626800,74.74,74.9,74.72,74.9,,,,,,,,
1769626860,74.95,74.95,74.87,74.91,,,,,,,,
1769626920,74.84,74.84,74.77,74.84,,,,,,,,
1769626980,74.9,74.91,74.88,74.88,,,,,,,,
1769627040,74.895,75.02,74.895,75.02,,,,,,,,
1769627100,74.97,74.97,74.95,74.95,,,,,,,,
1769627160,74.96,75.08,74.93,75.02,,,,,,,,
1769627220,75.01,75.04,74.99,75.04,,,,,,,,
1769627280,75.06,75.07,75.03,75.06,,,,,,,,
1769627340,75.08,75.08,75.02,75.02,,,,,,,,
1769627400,75.01,75.16,75.01,75.16,,,,,,,,
1769627460,75.1,75.2,75.08,75.2,,,,,,,,
1769627520,75.22,75.25,75.15,75.16,,,,,,,,
1769627580,75.12,75.12,75.06,75.09,,,,,,,,
1769627640,75.04,75.08,75.04,75.065,,,,,,,,
1769627700,75.04,75.07,75.03,75.07,,,,,,,,
1769627760,75.09,75.11,75.05,75.11,,,,,,,,
1769627820,75.09,75.1,75.06,75.06,,,,,,,,
1769627880,75.04,75.07,75.04,75.06,,,,,,,,
1769627940,75.07,75.13,75.07,75.13,,,,,,,,
1769628000,75.09,75.12,75.04,75.04,,,,,,,,
1769628060,75.04,75.08,75.02,75.02,,,,,,,,
1769628120,75.02,75.12,75.02,75.12,,,,,,,,
1769628180,75.11,75.12,75.1,75.12,,,,,,,,
1769628240,75.12,75.14,75.08,75.09,,,,,,,,
1769628300,75.06,75.11,75.06,75.11,,,,,,,,
1769628360,75.12,75.13,75.1,75.11,,,,,,,,
1769628420,75.09,75.09,75.05,75.07,,,,,,,,
1769628480,75.06,75.1,75.06,75.1,,,,,,,,
1769628540,75.1,75.13,74.84,74.84,,,,,,,,
1769628600,74.84,75.25,74.74,75.25,,,,,,,,
1769628660,75.28,75.56,75.28,75.45,,,,,,,,
1769628720,75.4,75.4,75.2,75.29,,,,,,,,
1769628780,75.28,75.28,75.03,75.155,,,,,,,,
1769628840,75.14,75.19,75.04,75.14,,,,,,,,
1769628900,75.2,75.26,75.19,75.25,,,,,,,,
1769628960,75.24,75.24,75.14,75.14,,,,,,,,
1769629020,75.16,75.26,75.15,75.26,,,,,,,,
1769629080,75.27,75.27,75.18,75.18,,,,,,,,
1769629140,75.185,75.34,75.185,75.305,,,,,,,,
1769629200,75.23,75.245,75.2,75.23,,,,,,,,
1769629260,75.26,75.29,75.2,75.29,,,,,,,,
1769629320,75.33,75.34,75.29,75.34,,,,,,,,
1769629380,75.28,75.31,75.22,75.22,,,,,,,,
1769629440,75.25,75.32,75.25,75.31,,,,,,,,
1769629500,75.3,75.38,75.29,75.38,,,,,,,,
1769629560,75.38,75.38,75.325,75.34,,,,,,,,
1769629620,75.38,75.39,75.33,75.33,,,,,,,,
1769629680,75.31,75.45,75.31,75.44,,,,,,,,
1769629740,75.43,75.46,75.37,75.38,,,,,,,,
1769629800,75.36,75.37,75.36,75.37,,,,,,,,
1769629860,75.4,75.42,75.4,75.42,,,,,,,,
1769629920,75.45,75.48,75.45,75.45,,,,,,,,
1769629980,75.49,75.49,75.42,75.42,,,,,,,,
1769630040,75.41,75.47,75.41,75.47,,,,,,,,
1769630100,75.45,75.49,75.42,75.44,,,,,,,,
1769630160,75.41,75.43,75.37,75.39,,,,,,,,
1769630220,75.33,75.33,75.31,75.31,,,,,,,,
1769630280,75.32,75.36,75.32,75.36,,,,,,,,
1769630340,75.36,75.38,75.17,75.17,,,,,,,,
1769630400,75.17,75.19,75.17,75.19,,,,,,,,
1769630460,75.22,75.28,75.22,75.28,,,,,,,,
1769630520,75.26,75.32,75.26,75.28,,,,,,,,
1769630580,75.31,75.31,75.26,75.26,,,,,,,,
1769630640,75.26,75.3,75.26,75.27,,,,,,,,
1769630700,75.29,75.34,75.29,75.34,,,,,,,,
1769630760,75.34,75.34,75.31,75.34,,,,,,,,
1769630820,75.37,75.4,75.37,75.37,,,,,,,,
1769630880,75.39,75.39,75.34,75.34,,,,,,,,
1769630940,75.36,75.46,75.36,75.43,,,,,,,,
1769631000,75.43,75.43,75.37,75.37,,,,,,,,
1769631060,75.39,75.42,75.37,75.39,,,,,,,,
1769631120,75.41,75.48,75.41,75.44,,,,,,,,
1769631180,75.41,75.42,75.4,75.42,,,,,,,,
1769631240,75.44,75.465,75.43,75.44,,,,,,,,
1769631300,75.45,75.46,75.42,75.45,,,,,,,,
1769631360,75.45,75.52,75.45,75.52,,,,,,,,
1769631420,75.47,75.5,75.43,75.47,,,,,,,,
1769631480,75.47,75.55,75.44,75.54,,,,,,,,
1769631540,75.55,75.56,75.53,75.54,,,,,,,,
1769631600,75.55,75.58,75.54,75.55,,,,,,,,
1769631660,75.55,75.61,75.55,75.61,,,,,,,,
1769631720,75.62,75.63,75.6,75.6,,,,,,,,
1769631780,75.6,75.61,75.58,75.6,,,,,,,,
1769631840,75.595,75.6,75.53,75.53,,,,,,,,
1769631900,75.51,75.52,75.41,75.43,,,,,,,,
1769631960,75.45,75.49,75.45,75.47,,,,,,,,
1769632020,75.48,75.55,75.48,75.545,,,,,,,,
1769632080,75.53,75.55,75.53,75.54,,,,,,,,
1769632140,75.51,75.51,75.44,75.44,,,,,,,,
1769632200,75.45,75.47,75.44,75.47,,,,,,,,
1769632260,75.48,75.48,75.46,75.46,,,,,,,,
1769632320,75.45,75.45,75.42,75.44,,,,,,,,
1769632380,75.46,75.46,75.425,75.43,,,,,,,,
1769632440,75.44,75.44,75.39,75.39,,,,,,,,
1769632500,75.4,75.47,75.36,75.46,,,,,,,,
1769632560,75.47,75.48,75.44,75.46,,,,,,,,
1769632620,75.46,75.52,75.46,75.49,,,,,,,,
1769632680,75.46,75.46,75.4,75.42,,,,,,,,
1769632740,75.43,75.5,75.43,75.49,,,,,,,,
1769632800,75.52,75.535,75.47,75.47,,,,,,,,
1769632860,75.44,75.45,75.38,75.4,,,,,,,,
1769632920,75.39,75.42,75.38,75.42,,,,,,,,
1769632980,75.42,75.46,75.42,75.46,,,,,,,,
1769633040,75.46,75.46,75.43,75.44,,,,,,,,
1769633100,75.42,75.43,75.38,75.39,,,,,,,,
1769633160,75.4,75.41,75.4,75.4,,,,,,,,
1769633220,75.38,75.42,75.38,75.41,,,,,,,,
1769633280,75.39,75.39,75.39,75.39,,,,,,,,
1769633340,75.39,75.43,75.36,75.38,,,,,,,,
1769633400,75.42,75.55,75.38,75.5,,,,,,,,
1769633460,75.51,75.55,75.5,75.52,,,,,,,,
1769633520,75.52,75.55,75.52,75.55,,,,,,,,
1769633580,75.56,75.56,75.485,75.52,,,,,,,,
1769633640,75.52,75.52,75.43,75.43,,,,,,,,
1769633700,75.44,75.44,75.41,75.43,,,,,,,,
1769633760,75.43,75.49,75.43,75.46,,,,,,,,
1769633820,75.45,75.475,75.45,75.475,,,,,,,,
1769633880,75.47,75.49,75.45,75.49,,,,,,,,
1769633940,75.48,75.53,75.43,75.46,,,,,,,,
1769634000,75.45,75.45,75.45,75.45,,,,,,,,
1769634900,75.51,75.51,75.51,75.51,,,,,,,,
1769635260,75.65,75.65,75.65,75.65,,,,,,,,
1769637000,75.51,75.51,75.51,75.51,,,,,,,,
