time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769445900,76.47,76.61,76.45,76.565,76.98,76.3,76.64,76.47,0,0,0,76.99440727323096
1769446200,76.54,76.6,76.51,76.515,76.98,76.3,76.64,76.47,0,0,0,76.98963705160678
1769446500,76.51,76.52,76.2,76.26,76.98,76.3,76.64,76.47,0,0,0,76.98237698144153
1769446800,76.21,76.22,76.06,76.06,76.98,76.3,76.64,76.47,0,0,0,76.97319910102918
1769447100,76.075,76.075,75.75,75.875,76.98,76.3,76.64,76.47,0,0,0,76.96227174679008
1769447400,75.86,75.87,75.59,75.87,76.98,76.3,76.64,76.47,0,0,0,76.95140337120013
1769447700,75.86,75.865,75.73,75.865,76.98,76.3,76.64,76.47,0,0,0,76.94059338740709
1769448000,75.86,75.96,75.815,75.83,76.98,76.3,76.64,76.47,0,0,0,76.92954270693538
1769448300,75.84,76.075,75.83,75.99,76.98,76.3,76.64,76.47,0,0,0,76.92019402328428
1769448600,75.99,76.22,75.98,76.11,76.98,76.3,76.64,76.47,0,0,0,76.9121323912118
1769448900,76.13,76.15,76.05,76.05,76.98,76.3,76.64,76.47,0,0,0,76.90355395945845
1769449200,76.02,76.02,75.95,75.98,76.98,76.3,76.64,76.47,0,0,0,76.89436436782205
1769449500,75.96,76.01,75.92,75.96,76.98,76.3,76.64,76.47,0,0,0,76.88506720993327
1769449800,75.94,76.01,75.91,75.99,76.22,75.59,75.905,75.7475,0,0,0,76.8761610685409
1769450100,75.97,75.97,75.92,75.93,76.22,75.59,75.905,75.7475,0,0,0,76.86674653054547
1769450400,75.94,75.94,75.81,75.81,76.22,75.59,75.905,75.7475,0,0,0,76.85623163969427
1769450700,75.81,75.81,75.65,75.68,76.22,75.59,75.905,75.7475,0,0,0,76.84452784228438
1769451000,75.71,75.74,75.5,75.51,76.22,75.59,75.905,75.7475,0,0,0,76.83124895828155
1769451300,75.47,75.76,75.46,75.73,76.22,75.59,75.905,75.7475,0,0,0,76.82029125720412
1769451600,75.76,75.81,75.67,75.73,76.22,75.59,75.905,75.7475,0,0,0,76.80944258797821
1769451900,75.75,75.85,75.66,75.7,76.22,75.59,75.905,75.7475,0,0,0,76.79840335824709
1769452200,75.73,75.81,75.66,75.71,76.22,75.59,75.905,75.7475,0,0,0,76.78757347408542
1769452500,75.69,75.86,75.54,75.57,76.22,75.59,75.905,75.7475,0,0,0,76.77545831513929
1769452800,75.55,75.65,75.55,75.61,76.22,75.59,75.905,75.7475,0,0,0,76.76386171498865
1769453100,75.62,75.69,75.57,75.68,76.22,75.59,75.905,75.7475,0,0,0,76.75307702130718
1769453400,75.7,75.77,75.64,75.71,76.22,75.59,75.905,75.7475,0,0,0,76.74269814547327
1769453700,75.74,75.98,75.59,75.925,76.22,75.59,75.905,75.7475,0,0,0,76.73456184551831
1769454000,75.97,76.16,75.97,76.12,76.22,75.59,75.905,75.7475,0,0,0,76.72844680227932
1769454300,76.1,76.31,76.03,76.28,76.22,75.59,75.905,75.7475,0,0,0,76.7239846450427
1769454600,76.32,76.32,76.02,76.035,76.22,75.59,75.905,75.7475,0,0,0,76.71712907643531
1769454900,76.02,76.1,75.94,75.97,76.22,75.59,75.905,75.7475,0,0,0,76.70969495627178
1769455200,75.93,75.97,75.8,75.84,76.22,75.59,75.905,75.7475,0,0,0,76.70104127511485
1769455500,75.87,75.97,75.84,75.89,76.22,75.59,75.905,75.7475,0,0,0,76.69297121267589
1769455800,75.88,75.93,75.84,75.84,76.32,75.46,75.88999999999999,75.675,0,0,0,76.68448393692786
1769456100,75.84,75.89,75.74,75.87,76.32,75.46,75.88999999999999,75.675,0,0,0,76.67637961914748
1769456400,75.85,75.93,75.84,75.93,76.32,75.46,75.88999999999999,75.675,0,0,0,76.66895295627039
1769456700,75.92,75.92,75.67,75.74,76.32,75.46,75.88999999999999,75.675,0,0,0,76.65970964327268
1769457000,75.73,75.73,75.6,75.67,76.32,75.46,75.88999999999999,75.675,0,0,0,76.64986178612568
1769457300,75.65,75.68,75.45,75.5,76.32,75.46,75.88999999999999,75.675,0,0,0,76.63842037531846
1769457600,75.5,75.57,75.31,75.57,76.32,75.46,75.88999999999999,75.675,0,0,0,76.62778932680783
1769457900,75.59,75.6,75.54,75.6,76.32,75.46,75.88999999999999,75.675,0,0,0,76.6175625673371
1769458200,75.6,75.67,75.6,75.645,76.32,75.46,75.88999999999999,75.675,0,0,0,76.60788532786111
1769458500,75.62,75.67,75.57,75.63,76.32,75.46,75.88999999999999,75.675,0,0,0,76.59815512559383
1769458800,75.65,75.71,75.55,75.64,76.32,75.46,75.88999999999999,75.675,0,0,0,76.58862124374713
