time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1766782800,66.14,66.14,65.94,66.12,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.86912225560914
1766786400,66.12,66.12,66.12,66.12,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.88156880032945
1766790000,66.14,66.14,66.14,66.14,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.89409050380875
1766998800,66.1,66.1,65.98,65.98,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.90489557342259
1767002400,66,66,66,66,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.91579213488107
1767009600,65.86,65.86,65.86,65.86,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.92518723801659
1767013200,65.84,65.84,65.71,65.71,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.93299632022539
1767016800,65.66,65.8,64.97,65.28,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.93644909315847
1767020400,65.26,65.505,65.26,65.4,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.94106153999272
1767024000,65.4,65.48,65.34,65.45,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.9461256042714
1767027600,65.44,65.5,65.27,65.38,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.95044276243786
1767031200,65.38,65.41,65.295,65.305,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.95397069514992
1767034800,65.32,65.525,65.3,65.515,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.9595530762927
1767038400,65.52,65.58,65.29,65.335,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.96328886657835
1767045600,65.47,65.47,65.47,65.47,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.96833076840345
1767088800,65.58,65.62,65.58,65.62,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.97481503936461
1767103200,65.55,66.39,65.55,65.75,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.98252832255501
1767106800,65.74,65.86,65.32,65.5,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.98767729446989
1767110400,65.495,65.62,65.38,65.58,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.99357105273387
1767114000,65.61,65.68,65.38,65.42,66.23,65.5,65.86500000000001,65.6533,0,0,0,64.99781412683602
1767117600,65.41,65.44,65.26,65.26,66.23,65.5,65.86500000000001,65.6533,0,0,0,65.00042294149436
1767121200,65.29,65.32,65.16,65.16,66.39,64.97,65.68,65.2682,0,0,0,65.00201077292228
1767124800,65.15,65.18,64.87,64.995,66.39,64.97,65.68,65.2682,0,0,0,65.00194101398773
1767128400,65.01,65.01,65.01,65.01,66.39,64.97,65.68,65.2682,0,0,0,65.00202120290328
1767135600,65,65,65,65,66.39,64.97,65.68,65.2682,0,0,0,65.00200109143161
1767175200,64.93,64.93,64.93,64.93,66.39,64.97,65.68,65.2682,0,0,0,65.00128466266115
1767178800,64.93,64.93,64.93,64.93,66.39,64.97,65.68,65.2682,0,0,0,65.00057536253517
1767182400,64.92,64.93,64.92,64.93,66.39,64.97,65.68,65.2682,0,0,0,64.99987312012189
1767186000,64.94,65.09,64.94,65.09,66.39,64.97,65.68,65.2682,0,0,0,65.0007699049963
1767189600,65.01,65.2,64.88,64.96,66.39,64.97,65.68,65.2682,0,0,0,65.00036423429982
1767193200,64.98,64.98,64.72,64.77,66.39,64.97,65.68,65.2682,0,0,0,64.998072052864
1767196800,64.78,65.01,64.76,64.87,66.39,64.97,65.68,65.2682,0,0,0,64.99679770407928
1767200400,64.87,64.94,64.64,64.64,66.39,64.97,65.68,65.2682,0,0,0,64.99324747816804
1767204000,64.67,64.85,64.66,64.71,66.39,64.97,65.68,65.2682,0,0,0,64.9904290953007
1767207600,64.72,64.77,64.45,64.49,65.2,64.87,65.035,64.9393,0,0,0,64.9854497013176
1767211200,64.5,64.52,64.26,64.305,65.2,64.87,65.035,64.9393,0,0,0,64.97867905752341
1767214800,64.3,64.3,64.3,64.3,65.2,64.87,65.035,64.9393,0,0,0,64.97192603207542
1767344400,64.65,65.21,64.32,65.21,65.2,64.87,65.035,64.9393,0,0,0,64.97429492727865
1767348000,65.14,65.17,65.14,65.15,65.2,64.87,65.035,64.9393,0,0,0,64.97604323645996
1767351600,65.1,65.18,65.1,65.18,65.2,64.87,65.035,64.9393,0,0,0,64.9780726569927
1767355200,65.07,65.14,65.07,65.14,65.2,64.87,65.035,64.9393,0,0,0,64.97968387433605
1767358800,65,65,64.98,65,65.2,64.87,65.035,64.9393,0,0,0,64.97988602484017
1767362400,65,66.21,65,65.8,65.2,64.87,65.035,64.9393,0,0,0,64.98804636290146
1767366000,65.83,65.95,65.09,65.58,65.2,64.87,65.035,64.9393,0,0,0,64.99393644884273
1767369600,65.625,65.98,65.48,65.6,65.2,64.87,65.035,64.9393,0,0,0,64.99996693193883
1767373200,65.56,67.57,65.56,66.86,65.2,64.87,65.035,64.9393,0,0,0,65.01847472366083
1767376800,66.91,67.07,66.57,66.79,65.2,64.87,65.035,64.9393,0,0,0,65.03610184083834
1767380400,66.82,67.08,66.74,67.01,65.2,64.87,65.035,64.9393,0,0,0,65.05574261854144
1767384000,66.99,67.47,66.99,67.255,65.2,64.87,65.035,64.9393,0,0,0,65.07762577656591
1767387600,67.26,67.26,67.24,67.245,65.2,64.87,65.035,64.9393,0,0,0,65.09919168923689
1767391200,66.94,66.94,66.94,66.94,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.1175081898415
1767603600,66.8,67.33,66.8,67.25,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.13872701382317
1767607200,67.31,67.33,67.31,67.33,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.16053072512841
1767610800,67.33,67.33,67.33,67.33,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.18211748408235
1767614400,67.37,67.6,67.37,67.6,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.20617601657905
1767618000,67.6,67.6,67.51,67.56,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.22959715074245
1767621600,67.59,70.14,67.59,69.78,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.27487479103357
1767625200,69.8,70.94,69.6,70.82,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.33005016624716
1767628800,70.88,70.93,70.37,70.92,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.38567155762779
1767632400,70.92,71.25,70.82,71.23,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.44382407944244
1767636000,71.23,71.34,71.05,71.34,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.50249249656241
1767639600,71.335,71.68,71.32,71.48,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.56197018316378
1767643200,71.49,71.615,71.13,71.57,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.62175157437608
1767646800,71.6,71.6,71.57,71.57,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.68093812587482
1767690000,71.65,71.65,71.44,71.5,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.7388392390502
1767697200,71.49,71.5,71.49,71.5,67.57,64.26,65.91499999999999,64.9551,0,0,0,65.79616422174621
