time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1760126400,36.34,36.75,33.96,35.65,38.67,32.99,35.83,34.1828,0,0,0,28.950948039375035
1760342400,37.19,37.45,35.4,36.53,38.67,32.99,35.83,34.1828,0,0,0,29.026361491719562
1760356800,36.52,37.51,36.27,37.29,38.67,32.99,35.83,34.1828,0,0,0,29.108586750508422
1760371200,37.29,37.38,36.925,37.2,38.67,32.99,35.83,34.1828,0,0,0,29.189098325130228
1760385600,37.17,37.36,37.11,37.34,39.65,35.92,37.785,36.7033,0,0,0,29.270201824382664
1760428800,36.36,36.57,35.48,36.04,39.65,35.92,37.785,36.7033,0,0,0,29.337563000259454
1760443200,36.01,36.02,34.695,35.265,39.65,35.92,37.785,36.7033,0,0,0,29.39654247289369
1760457600,35.265,36.545,35.11,35.64,39.65,35.92,37.785,36.7033,0,0,0,29.458666428387286
1760472000,35.6,35.96,35.56,35.7,39.65,35.92,37.785,36.7033,0,0,0,29.52076924999537
1760515200,36.16,36.42,36,36.24,39.65,35.92,37.785,36.7033,0,0,0,29.587627267408354
1760529600,36.23,36.895,35.85,36.415,39.65,35.92,37.785,36.7033,0,0,0,29.655561324449067
1760544000,36.41,37.485,35.645,37.16,39.65,35.92,37.785,36.7033,0,0,0,29.73023235604659
1760558400,37.155,37.19,36.94,37.06,39.65,35.92,37.785,36.7033,0,0,0,29.80316536742921
1760601600,37.1,37.4,36.9,37.17,39.65,35.92,37.785,36.7033,0,0,0,29.876467204569217
1760616000,37.16,38.01,36.9,37.26,39.65,35.92,37.785,36.7033,0,0,0,29.949935192583453
1760630400,37.26,37.51,36.41,36.835,39.65,35.92,37.785,36.7033,0,0,0,30.018443300119937
1760644800,36.795,36.87,36.39,36.47,39.65,35.92,37.785,36.7033,0,0,0,30.082637894148593
1760688000,36.18,36.35,34.93,36.29,39.65,35.92,37.785,36.7033,0,0,0,30.144402691221742
1760702400,36.25,38.379,35.93,37.32,39.65,35.92,37.785,36.7033,0,0,0,30.215801669418543
1760716800,37.34,37.595,36.725,37,39.65,35.92,37.785,36.7033,0,0,0,30.283306130419355
1760731200,37,37.15,36.98,37.14,39.65,35.92,37.785,36.7033,0,0,0,30.351531940066923
1760947200,37.8,37.8,37.31,37.61,39.65,35.92,37.785,36.7033,0,0,0,30.423755502852327
1760961600,37.61,38.51,37.53,37.9,39.65,35.92,37.785,36.7033,0,0,0,30.49814599536126
1760976000,37.91,38.305,37.9,38.085,39.65,35.92,37.785,36.7033,0,0,0,30.57363707998453
1760990400,38.085,38.24,38.08,38.21,39.65,35.92,37.785,36.7033,0,0,0,30.64962079063145
1761033600,38.23,38.29,37.89,38.27,39.65,35.92,37.785,36.7033,0,0,0,30.725445459381383
