time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1768476600,48.65,48.79,48.48,48.57,49.46,48.32,48.89,48.75548,0,0,0,44.99198317928527
1768478400,48.54,49.2,48.205,48.95,49.46,48.32,48.89,48.75548,0,0,0,45.031366431232684
1768480200,48.96,49.01,48.63,48.75,49.46,48.32,48.89,48.75548,0,0,0,45.068367760275144
1768482000,48.7,49.1,48.69,49,49.46,48.32,48.89,48.75548,0,0,0,45.10748847907838
1768483800,49.02,49.31,48.88,48.94,49.46,48.32,48.89,48.75548,0,0,0,45.14562292207262
1768485600,48.94,49.46,48.8,49.37,49.46,48.32,48.89,48.75548,0,0,0,45.18765652483807
1768487400,49.36,50.38,48.86,48.86,49.46,48.32,48.89,48.75548,0,0,0,45.22419725593421
1768489200,48.85,49.09,47.83,48.07,49.46,48.32,48.89,48.75548,0,0,0,45.25251370114879
1768491000,48.07,48.66,47.91,48.51,49.46,48.32,48.89,48.75548,0,0,0,45.28492650014234
1768492800,48.51,49.06,48.36,49.04,49.46,48.32,48.89,48.75548,0,0,0,45.322290415563806
1768494600,49.04,49.125,48.79,48.88,50.38,47.59,48.985,48.65578,0,0,0,45.35769051093133
1768496400,48.9,48.965,48.6,48.795,50.38,47.59,48.985,48.65578,0,0,0,45.391892595399675
1768498200,48.795,48.94,48.63,48.645,50.38,47.59,48.985,48.65578,0,0,0,45.424261823306146
1768500000,48.64,49.135,48.52,49.12,50.38,47.59,48.985,48.65578,0,0,0,45.4610353375021
1768501800,49.12,49.33,49.01,49.19,50.38,47.59,48.985,48.65578,0,0,0,45.498139463497104
1768503600,49.18,49.2,48.72,48.85,50.38,47.59,48.985,48.65578,0,0,0,45.53149130963146
1768505400,48.84,48.9,48.665,48.71,50.38,47.59,48.985,48.65578,0,0,0,45.563118261774434
1768507200,48.7,49.06,48.62,48.88,50.38,47.59,48.985,48.65578,0,0,0,45.59612206016474
1768509000,48.88,48.88,48.215,48.32,49.33,47.83,48.58,48.403,0,0,0,45.623225323247674
1768510800,48.27,48.5,48.25,48.34,49.33,47.83,48.58,48.403,0,0,0,45.650257907095956
1768512600,48.37,48.42,48.3,48.38,49.33,47.83,48.58,48.403,0,0,0,45.67741951996067
1768514400,48.39,48.45,48.33,48.41,49.33,47.83,48.58,48.403,0,0,0,45.70460937548345
1768516200,48.41,48.42,48.38,48.4,49.33,47.83,48.58,48.403,0,0,0,45.73142918269257
1768518000,48.39,48.45,48.39,48.45,49.33,47.83,48.58,48.403,0,0,0,45.75847963858618
1768519800,48.44,48.68,48.42,48.58,49.33,47.83,48.58,48.403,0,0,0,45.786554468052984
1768521600,48.58,48.67,48.58,48.67,49.33,47.83,48.58,48.403,0,0,0,45.81524546837086
1768523400,48.64,48.69,48.6,48.69,49.33,47.83,48.58,48.403,0,0,0,45.84384999107364
1768554000,48.72,49.3,48.53,49.29,49.33,47.83,48.58,48.403,0,0,0,45.878140040913706
1768555800,49.28,49.28,49.05,49.05,49.33,47.83,48.58,48.403,0,0,0,45.909700836526504
1768557600,49.05,49.24,49.05,49.15,49.33,47.83,48.58,48.403,0,0,0,45.941942619247634
1768559400,49.13,49.29,49.06,49.06,49.33,47.83,48.58,48.403,0,0,0,45.972968065822286
1768561200,49.08,49.13,48.95,48.96,49.3,48.215,48.7575,48.62947,0,0,0,46.002689776610126
1768563000,48.96,49,48.89,48.89,49.3,48.215,48.7575,48.62947,0,0,0,46.03141923156923
1768564800,48.89,49,48.71,48.77,49.3,48.215,48.7575,48.62947,0,0,0,46.05866879145412
1768566600,48.76,48.8,48.22,48.37,49.3,48.215,48.7575,48.62947,0,0,0,46.08166711193716
1768568400,48.36,48.55,48.32,48.51,49.3,48.215,48.7575,48.62947,0,0,0,46.10582962823629
1768570200,48.5,48.55,48.41,48.5,49.3,48.215,48.7575,48.62947,0,0,0,46.129652219000114
1768572000,48.52,49.29,48.51,49.25,49.3,48.215,48.7575,48.62947,0,0,0,46.16070045562698
1768573800,49.25,50.21,47.96,48.02,49.3,48.215,48.7575,48.62947,0,0,0,46.17920094860582
1768575600,48.015,48.55,47.82,47.88,49.3,48.215,48.7575,48.62947,0,0,0,46.19612432225153
1768577400,47.87,48.1,47.41,47.735,49.3,48.215,48.7575,48.62947,0,0,0,46.21143651805002
1768579200,47.74,47.79,46.85,46.99,49.3,48.215,48.7575,48.62947,0,0,0,46.21918341836793
1768581000,47.01,47.19,46.815,46.94,50.21,48.215,49.212500000000006,48.977090000000004,0,0,0,46.22635572266278
1768582800,46.93,47.035,46.71,47.02,50.21,48.215,49.212500000000006,48.977090000000004,0,0,0,46.234252680646236
1768584600,47.02,47.4,46.99,47.26,50.21,48.215,49.212500000000006,48.977090000000004,0,0,0,46.24445912163483
1768586400,47.26,47.47,47.2,47.36,50.21,48.215,49.212500000000006,48.977090000000004,0,0,0,46.2555590308723
1768588200,47.365,47.59,47.22,47.52,50.21,48.215,49.212500000000006,48.977090000000004,0,0,0,46.26814053305267
1768590000,47.52,47.65,47.33,47.42,50.21,48.215,49.212500000000006,48.977090000000004,0,0,0,46.279601821281005
1768591800,47.41,47.695,47.37,47.51,50.21,48.215,49.212500000000006,48.977090000000004,0,0,0,46.29184458922846
1768593600,47.5,47.5,47.12,47.125,50.21,48.215,49.212500000000006,48.977090000000004,0,0,0,46.300134692818226
1768595400,47.12,47.3,46.945,46.96,50.21,48.215,49.212500000000006,48.977090000000004,0,0,0,46.306700516770285
1768597200,47.06,47.16,46.96,47.1,50.21,48.215,49.212500000000006,48.977090000000004,0,0,0,46.3145940439666
1768599000,47.12,47.17,46.96,47.11,47.695,46.71,47.2025,47.08627,0,0,0,46.32250853109131
1768600800,47.12,47.16,47.031,47.08,47.695,46.71,47.2025,47.08627,0,0,0,46.33004575963766
1768602600,47.07,47.1,47.05,47.1,47.695,46.71,47.2025,47.08627,0,0,0,46.337706995860174
1768604400,47.09,47.1,47.04,47.04,47.695,46.71,47.2025,47.08627,0,0,0,46.344694985951115
1768606200,47.03,47.07,46.97,46.99,47.695,46.71,47.2025,47.08627,0,0,0,46.35111593136454
1768608000,46.97,47.06,46.97,47.06,47.695,46.71,47.2025,47.08627,0,0,0,46.35816950418678
1768609800,47.03,47.07,46.99,46.99,47.695,46.71,47.2025,47.08627,0,0,0,46.36445637479189
1768899600,46.12,46.335,45.9,45.99,47.695,46.71,47.2025,47.08627,0,0,0,46.36073044071436
1768901400,46,46.15,45.86,46.04,47.695,46.71,47.2025,47.08627,0,0,0,46.35753909304557
1768903200,45.99,46.45,45.92,46.35,47.695,46.71,47.2025,47.08627,0,0,0,46.357464077194365
1768905000,46.34,46.34,46.12,46.2,47.695,46.71,47.2025,47.08627,0,0,0,46.35589727045611
1768906800,46.22,46.3,46.05,46.15,47.695,46.71,47.2025,47.08627,0,0,0,46.35384854139684
1768908600,46.18,46.31,46.03,46.29,47.695,46.71,47.2025,47.08627,0,0,0,46.353213232527224
1768910400,46.25,46.51,46.13,46.42,47.695,46.71,47.2025,47.08627,0,0,0,46.3538777774772
1768912200,46.4,46.71,46.32,46.69,47.695,46.71,47.2025,47.08627,0,0,0,46.357222277203796
1768914000,46.72,47.32,46.7,47.03,47.695,46.71,47.2025,47.08627,0,0,0,46.36391658290326
1768915800,47.03,47.16,46.66,46.92,47.695,46.71,47.2025,47.08627,0,0,0,46.36944975123258
1768917600,46.9,47.52,46.83,47.32,47.695,46.71,47.2025,47.08627,0,0,0,46.3789079626631
1768919400,47.34,49.37,47,49.23,47.695,46.71,47.2025,47.08627,0,0,0,46.40727703766148
1768921200,49.21,49.74,48.95,49.44,47.695,46.71,47.2025,47.08627,0,0,0,46.437453385545446
1768923000,49.44,50.22,49.11,49.23,47.695,46.71,47.2025,47.08627,0,0,0,46.46523991902261
1768924800,49.225,49.68,49.05,49.565,47.695,46.71,47.2025,47.08627,0,0,0,46.49608330291293
1768926600,49.56,50.01,49.5,49.87,47.695,46.71,47.2025,47.08627,0,0,0,46.52965461333171
1768928400,49.86,50.015,49.55,49.69,47.695,46.71,47.2025,47.08627,0,0,0,46.56110083608463
1768930200,49.68,49.7,49.08,49.085,50.22,45.86,48.04,47.52552,0,0,0,46.586214260601196
1768932000,49.08,49.19,48.55,48.56,50.22,45.86,48.04,47.52552,0,0,0,46.60585391969969
1768933800,48.555,48.64,48.03,48.125,50.22,45.86,48.04,47.52552,0,0,0,46.62096980109571
1768935600,48.14,48.315,47.99,48.19,50.22,45.86,48.04,47.52552,0,0,0,46.63658204188083
1768937400,48.19,48.475,47.84,48.44,50.22,45.86,48.04,47.52552,0,0,0,46.654526499175546
1768939200,48.43,48.525,48.24,48.49,50.22,45.86,48.04,47.52552,0,0,0,46.6727899170942
1768941000,48.5,48.79,48.44,48.59,50.22,45.86,48.04,47.52552,0,0,0,46.691866634337046
1768942800,48.62,49.1,48.62,48.89,50.22,45.86,48.04,47.52552,0,0,0,46.713738608124736
1768944600,48.87,48.91,48.71,48.769,50.22,45.86,48.04,47.52552,0,0,0,46.73418897023295
1768946400,48.76,48.82,48.73,48.75,50.22,45.86,48.04,47.52552,0,0,0,46.75424679142466
1768948200,48.74,48.77,48.71,48.72,50.22,45.86,48.04,47.52552,0,0,0,46.77380652484332
1768950000,48.73,48.89,48.73,48.84,49.1,47.84,48.47,48.32132,0,0,0,46.79436566389961
1768951800,48.85,48.85,48.76,48.76,49.1,47.84,48.47,48.32132,0,0,0,46.81392421450757
1768953600,48.76,48.95,48.76,48.95,49.1,47.84,48.47,48.32132,0,0,0,46.835178699935355
1768955400,48.95,49.13,48.95,49.06,49.1,47.84,48.47,48.32132,0,0,0,46.857316225309134
1768986000,49.86,50.32,49.56,50,49.1,47.84,48.47,48.32132,0,0,0,46.88858671062944
1768987800,50,50.005,49.68,49.68,49.1,47.84,48.47,48.32132,0,0,0,46.91636196724009
1768989600,49.68,49.9,49.66,49.88,49.1,47.84,48.47,48.32132,0,0,0,46.94585090288945
1768991400,49.89,50.03,49.7,49.82,49.1,47.84,48.47,48.32132,0,0,0,46.97444940136816
1768993200,49.82,49.84,49.7,49.73,50.32,47.84,49.08,48.78736,0,0,0,47.001867815284896
1768995000,49.77,49.9,49.55,49.59,50.32,47.84,49.08,48.78736,0,0,0,47.027620374336784
1768996800,49.56,49.8,49.51,49.77,50.32,47.84,49.08,48.78736,0,0,0,47.05490773379612
1768998600,49.76,49.88,49.56,49.81,50.32,47.84,49.08,48.78736,0,0,0,47.08232158719118
1769000400,49.81,50.1,49.74,49.9,50.32,47.84,49.08,48.78736,0,0,0,47.110358188313654
1769002200,49.9,50.18,49.7,49.99,50.32,47.84,49.08,48.78736,0,0,0,47.139011340668745
1769004000,49.98,50.55,49.91,50.265,50.32,47.84,49.08,48.78736,0,0,0,47.17011570543821
1769005800,50.32,52.65,50.15,52.25,50.32,47.84,49.08,48.78736,0,0,0,47.220661817821906
