time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1767218400,36.83,36.89,36.82,36.84,38.26,35.83,37.045,36.3403,0,0,0,37.2209996734309
1767222000,36.85,36.87,36.84,36.86,38.26,35.83,37.045,36.3403,0,0,0,37.21740763687935
1767225600,36.87,36.87,36.84,36.86,38.26,35.83,37.045,36.3403,0,0,0,37.21385134198503
1767344400,37.46,37.65,37.41,37.61,38.26,35.83,37.045,36.3403,0,0,0,37.21779311967672
1767348000,37.62,37.66,37.56,37.59,38.26,35.83,37.045,36.3403,0,0,0,37.22149667072471
1767351600,37.62,37.73,37.56,37.6,38.26,35.83,37.045,36.3403,0,0,0,37.22526287300606
1767355200,37.605,37.65,37.48,37.62,38.26,35.83,37.045,36.3403,0,0,0,37.22919060561296
1767358800,37.62,37.75,37.61,37.68,38.26,35.83,37.045,36.3403,0,0,0,37.23367627122875
1767362400,37.68,39.55,37.41,39.49,38.26,35.83,37.045,36.3403,0,0,0,37.25612725360459
1767366000,39.5,39.855,38.95,39.06,38.26,35.83,37.045,36.3403,0,0,0,37.274076236155786
1767369600,39.06,39.73,38.955,39.4,38.26,35.83,37.045,36.3403,0,0,0,37.29522970644279
1767373200,39.4,39.435,39.035,39.135,38.26,35.83,37.045,36.3403,0,0,0,37.31353587851799
1767376800,39.13,39.42,39.11,39.16,38.26,35.83,37.045,36.3403,0,0,0,37.33190865584617
1767380400,39.165,39.695,39.14,39.565,38.26,35.83,37.045,36.3403,0,0,0,37.35412847021586
1767384000,39.56,39.725,39.33,39.38,39.855,36.73,38.2925,37.38625,0,0,0,37.374286395885356
1767387600,39.37,39.59,39.36,39.5,39.855,36.73,38.2925,37.38625,0,0,0,37.39543777503078
1767391200,39.5,39.51,39.43,39.43,39.855,36.73,38.2925,37.38625,0,0,0,37.41568217527923
1767394800,39.43,39.48,39.43,39.46,39.855,36.73,38.2925,37.38625,0,0,0,37.436023646171975
1767398400,39.46,39.49,39.41,39.48,39.855,36.73,38.2925,37.38625,0,0,0,37.45636171934439
1767603600,39.98,40.16,39.955,40.1,39.855,36.73,38.2925,37.38625,0,0,0,37.48266657785838
1767607200,40.1,40.7,40.1,40.67,39.855,36.73,38.2925,37.38625,0,0,0,37.5143813382777
1767610800,40.64,41.31,40.58,41,39.855,36.73,38.2925,37.38625,0,0,0,37.54906411103116
1767614400,40.98,41.29,40.91,41.03,39.855,36.73,38.2925,37.38625,0,0,0,37.583700289030844
1767618000,41.03,41.25,40.94,41.22,39.855,36.73,38.2925,37.38625,0,0,0,37.61988237570716
1767621600,41.23,42.09,39.865,39.93,39.855,36.73,38.2925,37.38625,0,0,0,37.642868620725
1767625200,39.94,40.455,39.56,40.37,39.855,36.73,38.2925,37.38625,0,0,0,37.67000425633967
1767628800,40.38,40.385,39.785,39.785,39.855,36.73,38.2925,37.38625,0,0,0,37.69104899010744
1767632400,39.78,39.79,39.425,39.5,39.855,36.73,38.2925,37.38625,0,0,0,37.70904850264368
1767636000,39.505,39.8,39.28,39.77,39.855,36.73,38.2925,37.38625,0,0,0,37.72955548271688
1767639600,39.765,39.765,39.32,39.32,42.09,36.73,39.41,37.855599999999995,0,0,0,37.74538080129681
1767643200,39.315,39.575,39.27,39.36,42.09,36.73,39.41,37.855599999999995,0,0,0,37.761446663970474
1767646800,39.37,39.44,39.33,39.38,42.09,36.73,39.41,37.855599999999995,0,0,0,37.77755167228918
1767650400,39.38,39.5,39.36,39.47,42.09,36.73,39.41,37.855599999999995,0,0,0,37.79439195415695
