time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1764615600,13.37,13.39,13.14,13.14,13.48,12.77,13.125,12.9191,0,0,0,13.255268163089324
1764619200,13.13,13.2,13.03,13.09,13.48,12.77,13.125,12.9191,0,0,0,13.253623703755101
1764684000,13.11,13.23,13.07,13.07,13.48,12.77,13.125,12.9191,0,0,0,13.2517966022252
1764687600,13.04,13.23,13.03,13.23,13.48,12.77,13.125,12.9191,0,0,0,13.25157972061102
1764691200,13.26,13.635,13.24,13.59,13.48,12.77,13.125,12.9191,0,0,0,13.254947086575088
1764694800,13.59,13.6,13.34,13.36,13.48,12.77,13.125,12.9191,0,0,0,13.255992389196232
1764698400,13.39,13.52,13.39,13.51,13.48,12.77,13.125,12.9191,0,0,0,13.258519828109701
1764702000,13.52,13.58,13.5,13.53,13.48,12.77,13.125,12.9191,0,0,0,13.26122112335239
1764705600,13.54,13.61,13.45,13.53,13.48,12.77,13.125,12.9191,0,0,0,13.26389554003545
1764770400,13.6,13.95,13.6,13.76,13.48,12.77,13.125,12.9191,0,0,0,13.268831902821168
1764774000,13.8,13.835,13.67,13.68,13.48,12.77,13.125,12.9191,0,0,0,13.272923127668719
1764777600,13.71,13.75,13.64,13.69,13.48,12.77,13.125,12.9191,0,0,0,13.27707314629888
1764781200,13.67,13.75,13.65,13.74,13.48,12.77,13.125,12.9191,0,0,0,13.28167938364914
1764784800,13.74,13.865,13.74,13.79,13.48,12.77,13.125,12.9191,0,0,0,13.286737300229746
1764788400,13.78,13.85,13.77,13.85,13.95,13.03,13.489999999999998,13.223199999999999,0,0,0,13.292341904207559
1764792000,13.83,13.955,13.8,13.935,13.95,13.03,13.489999999999998,13.223199999999999,0,0,0,13.298736512125892
1764842400,14,14,14,14,13.95,13.03,13.489999999999998,13.223199999999999,0,0,0,13.305714258273893
1764856800,13.83,13.84,13.71,13.71,13.95,13.03,13.489999999999998,13.223199999999999,0,0,0,13.30973700197266
1764860400,13.71,13.71,13.6,13.62,13.95,13.03,13.489999999999998,13.223199999999999,0,0,0,13.312824195982882
1764864000,13.62,13.66,13.58,13.66,13.95,13.03,13.489999999999998,13.223199999999999,0,0,0,13.316278681594993
1764867600,13.655,13.72,13.65,13.72,13.95,13.03,13.489999999999998,13.223199999999999,0,0,0,13.32029580914131
1764871200,13.72,13.86,13.7,13.86,14,13.03,13.515,13.233699999999999,0,0,0,13.325666000095127
1764874800,13.92,13.93,13.78,13.82,14,13.03,13.515,13.233699999999999,0,0,0,13.330584746362838
1764878400,13.82,14.04,13.82,13.95,14,13.03,13.515,13.233699999999999,0,0,0,13.336748082219925
1764943200,13.99,14.11,13.94,13.94,14,13.03,13.515,13.233699999999999,0,0,0,13.342750588864503
1764946800,14.02,14.13,14.01,14.07,14,13.03,13.515,13.233699999999999,0,0,0,13.349986901413114
1764950400,14.05,14.05,13.97,14.02,14,13.03,13.515,13.233699999999999,0,0,0,13.356653698413979
1764954000,14.01,14.03,13.94,14,14,13.03,13.515,13.233699999999999,0,0,0,13.363055154151153
1764957600,14.01,14.03,13.95,13.99,14,13.03,13.515,13.233699999999999,0,0,0,13.36929341132378
1764961200,13.99,14.01,13.96,14.01,14,13.03,13.515,13.233699999999999,0,0,0,13.375668601260855
1764964800,13.98,14.02,13.95,14.02,14.13,13.58,13.855,13.695500000000001,0,0,0,13.382079858959752
1765202400,14.06,14.2,13.99,14.18,14.13,13.58,13.855,13.695500000000001,0,0,0,13.3900193628507
1765206000,14.14,14.36,14.08,14.23,14.13,13.58,13.855,13.695500000000001,0,0,0,13.398377379140742
1765209600,14.22,14.22,14.16,14.17,14.13,13.58,13.855,13.695500000000001,0,0,0,13.406055216164217
1765213200,14.15,14.15,14,14,14.13,13.58,13.855,13.695500000000001,0,0,0,13.411965114510842
1765216800,14.03,14.05,13.925,13.97,14.13,13.58,13.855,13.695500000000001,0,0,0,13.417517700436107
1765220400,13.97,14,13.91,13.91,14.13,13.58,13.855,13.695500000000001,0,0,0,13.422418021824804
1765224000,13.88,13.96,13.79,13.86,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.426772071358885
1765288800,13.88,14.08,13.88,14.08,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.433271851743374
1765292400,14.01,14.12,13.97,14.05,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.43940845023349
1765296000,14.07,14.07,13.96,13.96,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.444588465654052
1765299600,13.96,13.96,13.875,13.94,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.449517933657495
1765303200,13.93,14.035,13.9,14.015,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.455144620884782
1765306800,13.99,13.99,13.96,13.98,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.460367062468018
1765310400,13.97,14.03,13.95,13.995,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.465686793189729
1765375200,14.02,14.04,14.02,14.03,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.47130184997391
1765378800,14.02,14.15,13.9,13.97,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.476264020620937
1765382400,13.97,14.03,13.96,13.98,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.481276318923216
1765386000,13.97,14.04,13.91,14.01,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.486537251073234
1765389600,14,14.06,13.98,14.03,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.491944840614794
1765393200,14.03,14.41,14.03,14.3,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.499985190459423
1765396800,14.31,14.52,14.28,14.35,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.508443049260821
1765443600,14.39,14.4,14.39,14.4,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.517314262701012
1765461600,14.4,14.52,14.37,14.37,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.525798697898017
1765465200,14.35,14.59,14.35,14.41,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.534596720804505
1765468800,14.44,14.46,14.21,14.21,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.541317151443266
1765472400,14.25,14.28,14.095,14.22,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.548070214612984
1765476000,14.21,14.27,14.15,14.245,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.555004839343203
1765479600,14.23,14.36,14.2,14.3,14.36,13.58,13.969999999999999,13.7438,0,0,0,13.562417726513917
1765483200,14.32,14.34,14.22,14.22,14.59,13.79,14.19,13.957999999999998,0,0,0,13.568960833712785
1765486800,14.14,14.14,14.14,14.14,14.59,13.79,14.19,13.957999999999998,0,0,0,13.574642815466886
1765548000,14.33,14.345,14.27,14.27,14.59,13.79,14.19,13.957999999999998,0,0,0,13.581561792427415
1765551600,14.23,14.23,14.13,14.13,14.59,13.79,14.19,13.957999999999998,0,0,0,13.587018889020177
1765555200,14.13,14.13,14,14.05,14.59,13.79,14.19,13.957999999999998,0,0,0,13.591625666243857
1765558800,14.06,14.175,14.06,14.14,14.59,13.79,14.19,13.957999999999998,0,0,0,13.597082127276256
1765562400,14.15,14.16,14.085,14.1,14.59,13.79,14.19,13.957999999999998,0,0,0,13.602086285213804
1765566000,14.09,14.09,13.98,14,14.59,13.79,14.19,13.957999999999998,0,0,0,13.606045625659439
1765569600,14,14,13.9,13.92,14.59,13.79,14.19,13.957999999999998,0,0,0,13.60916954978223
1765807200,13.92,13.96,13.88,13.88,14.59,13.79,14.19,13.957999999999998,0,0,0,13.611864380132655
1765810800,13.94,13.95,13.68,13.825,14.59,13.79,14.19,13.957999999999998,0,0,0,13.613985132569146
1765814400,13.81,13.94,13.77,13.785,14.59,13.79,14.19,13.957999999999998,0,0,0,13.615686773041094
1765818000,13.81,13.92,13.81,13.92,14.59,13.79,14.19,13.957999999999998,0,0,0,13.618714765349143
1765821600,13.92,13.96,13.86,13.86,14.59,13.79,14.19,13.957999999999998,0,0,0,13.621115613455121
1765825200,13.85,13.9,13.76,13.81,14.59,13.79,14.19,13.957999999999998,0,0,0,13.622995060087408
1765828800,13.805,13.89,13.72,13.85,14.59,13.79,14.19,13.957999999999998,0,0,0,13.62525381570843
1765879200,13.9,13.9,13.9,13.9,14.59,13.79,14.19,13.957999999999998,0,0,0,13.627987608586952
1765893600,13.75,13.87,13.73,13.73,14.59,13.79,14.19,13.957999999999998,0,0,0,13.629002657257729
1765897200,13.81,13.81,13.59,13.73,14.59,13.79,14.19,13.957999999999998,0,0,0,13.630007605941731
1765900800,13.72,13.89,13.72,13.85,14.59,13.79,14.19,13.957999999999998,0,0,0,13.632196584987087
1765904400,13.85,13.88,13.685,13.78,14.59,13.79,14.19,13.957999999999998,0,0,0,13.633667265733484
1765908000,13.78,13.78,13.62,13.68,14.59,13.79,14.19,13.957999999999998,0,0,0,13.634128287964991
1765911600,13.68,13.705,13.595,13.665,14.59,13.79,14.19,13.957999999999998,0,0,0,13.63443546917927
1765915200,13.675,13.74,13.66,13.66,14.59,13.79,14.19,13.957999999999998,0,0,0,13.634689842620272
1765980000,13.7,14.16,13.7,14.13,14.59,13.79,14.19,13.957999999999998,0,0,0,13.639618301897682
1765983600,14.15,14.37,13.94,13.94,14.59,13.79,14.19,13.957999999999998,0,0,0,13.642607174515616
1765987200,13.95,13.95,13.84,13.84,14.59,13.79,14.19,13.957999999999998,0,0,0,13.644571282231878
1765990800,13.83,13.92,13.79,13.85,14.59,13.79,14.19,13.957999999999998,0,0,0,13.646615349075342
1765994400,13.79,13.79,13.71,13.73,14.59,13.79,14.19,13.957999999999998,0,0,0,13.647445047094493
1765998000,13.69,13.74,13.6,13.61,14.59,13.79,14.19,13.957999999999998,0,0,0,13.647072459561214
1766001600,13.56,13.69,13.45,13.46,14.37,13.59,13.98,13.7538,0,0,0,13.645211042053141
1766066400,13.785,14.11,13.785,14.11,14.37,13.59,13.98,13.7538,0,0,0,13.649835807803855
1766070000,14.14,14.45,14.13,14.38,14.37,13.59,13.98,13.7538,0,0,0,13.65710112314909
1766073600,14.41,14.48,14.31,14.32,14.37,13.59,13.98,13.7538,0,0,0,13.663697131873974
1766077200,14.29,14.29,14.2,14.25,14.37,13.59,13.98,13.7538,0,0,0,13.669530991258313
1766080800,14.24,14.47,14.22,14.37,14.37,13.59,13.98,13.7538,0,0,0,13.676500832141315
1766084400,14.36,14.49,14.32,14.45,14.37,13.59,13.98,13.7538,0,0,0,13.684197341274237
1766088000,14.48,14.57,14.36,14.36,14.37,13.59,13.98,13.7538,0,0,0,13.690921745838672
1766134800,14.45,14.45,14.45,14.45,14.37,13.59,13.98,13.7538,0,0,0,13.698474763293014
1766152800,14.65,14.7,14.36,14.4,14.37,13.59,13.98,13.7538,0,0,0,13.705455113907014
1766156400,14.34,14.43,14.26,14.35,14.37,13.59,13.98,13.7538,0,0,0,13.711868495858187
1766160000,14.34,14.41,14.32,14.4,14.37,13.59,13.98,13.7538,0,0,0,13.71871557550139
1766163600,14.41,14.47,14.39,14.465,14.37,13.59,13.98,13.7538,0,0,0,13.726141291168043
1766167200,14.46,14.49,14.42,14.48,14.37,13.59,13.98,13.7538,0,0,0,13.733642372847962
1766170800,14.48,14.54,14.45,14.52,14.7,13.45,14.075,13.712499999999999,0,0,0,13.741466826849475
