time,open,high,low,close,Volume
1769105700,392.68,392.86,390.88,392.46,39723
1769106600,392.54,393.54,392,393.05,29281
1769107500,392.99,394.51,392.61,393.04,76654
1769108400,392.97,394.99,392.23,394.8,66363
1769109300,394.77,395.7,393.75,395.57,56155
1769110200,395.6,396.6,394.91,395.23,73333
1769111100,395.06,396.46,394.75,396.01,49643
1769112000,395.93,396.42,394.11,395.05,64021
1769112900,395.09,397.42,395,395.84,105710
1769113800,395.8,397.33,395.79,396.31,137333
1769114700,396.43,397.78,394.84,397.58,248669
1769115600,397.57,397.7,395.42,395.45,20755
1769116500,395.49,397.28,395.49,397.04,8283
1769117400,397.17,397.29,396.3,396.45,6544
1769118300,396.45,396.49,394.05,394.5,10369
1769119200,394.65,395.22,394.38,394.4,3640
1769120100,394.5,394.62,393.1,393.5,17909
1769121000,393.38,393.79,392.22,393.79,6663
1769121900,393.5,393.849,392.6,393.3,3650
1769122800,393.3,393.45,391.75,391.89,8657
1769123700,392,393,391.83,393,1951
1769124600,393,394.5,392.97,394.33,6340
1769125500,394.34,394.4,393.25,393.75,3058
1769126400,393.62,393.85,393.411,393.77,808
1769127300,393.6,394,393.52,393.76,3133
1769128200,393.68,393.98,393.68,393.88,2404
1769129100,393.8,394.44,393.731,394.3,1294
1769158800,392.77,395.52,392.48,393.37,3227
1769159700,393.31,394.24,393.25,393.33,1756
1769160600,393.28,393.38,390.9,391.11,2784
1769161500,391.05,392.31,390.8,392.01,1280
1769162400,392,392.87,392,392.09,808
1769163300,392.12,393.13,391.86,392.71,1269
1769164200,392.71,393.2,392.49,392.64,2134
1769165100,392.64,392.88,392.4,392.76,930
1769166000,392.71,396.8,392.6,394.53,3094
1769166900,394.63,395.54,394,395.4,1203
1769167800,395.28,396.5,394,394,4639
1769168700,394.02,394.47,393.59,393.62,1277
1769169600,393.89,395.25,393.5,394.97,9978
1769170500,395.03,395.97,394.68,394.79,9180
1769171400,394.88,394.88,393.72,394.37,6972
1769172300,394.37,396.5,394.36,396.5,7316
1769173200,396.35,396.8,395.34,395.5,8169
1769174100,395.65,395.72,393.4,393.6,7409
1769175000,393.71,394.5,393.66,394.02,5457
1769175900,394.05,394.34,392.51,392.7,13028
1769176800,392.8,394.5,392.3,394.24,15871
1769177700,394.19,397.5,393.55,397.3,15057
1769178600,397.19,400.6,390.76,396.6,380970
1769179500,396.99,404,393.17,403.55,308204
1769180400,403.94,407.29,402.4,405.6,273872
1769181300,405.55,412.04,404.9,409.79,305848
1769182200,409.87,412.38,406.43,407.2,191352
1769183100,407.22,408.26,404.8,405.02,118921
1769184000,405,406.37,403.74,405.58,100124
1769184900,405.8,406.8,401.15,402.52,109145
1769185800,402.52,402.7,399.85,401.26,114217
1769186700,401.36,401.57,397.16,399.38,90704
1769187600,399.5,401.74,398.04,401.46,90547
