time,open,high,low,close,Volume
1679491800,58.4,60.41,58.09,58.17,16949317
1679578200,59.18,61.78,59.13,61.34,23903101
1679664600,60.505,61.4,60.5,61.16,18740564
1679923800,61.19,61.42,59.1701,59.79,15901000
1680010200,59.8,59.87,57.815,59.28,20496261
1680096600,60.91,64.42,60.87,63.54,51939839
1680183000,64.03,64.1,62.48,63.09,23038346
1680269400,60.35,61.6582,59.9,60.34,35416496
1680528600,59.805,59.805,57.87,59.61,23610823
1680615000,59.675,60.095,56.95,57.27,21303220
1680701400,56.82,57.11,56.01,57.02,19456216
1680787800,56.95,59.15,56.8,58.56,21496506
1681133400,61.18,63.77,61,63.27,43280135
1681219800,63.64,64.29,63.04,63.57,23090190
1681306200,64.36,64.36,61.84,61.96,16694110
1681392600,61.51,63.37,60.79,63,23286546
1681479000,63.18,63.22,61.765,62.63,14953015
1681738200,62.22,62.77,61.975,62.54,11546753
1681824600,63.33,63.45,61.48,61.93,12175168
1681911000,60.98,61.21,60.38,60.65,11652635
1681997400,59.88,61.95,59.87,61.46,14382205
1682083800,61.15,61.445,60.73,61.13,9606175
1682343000,60.095,60.875,59.35,59.51,13402645
1682429400,59.13,59.34,58.03,58.14,15987313
1682515800,59.575,61.18,59.34,61.02,25385015
1682602200,60.75,61.96,60.13,61.9,13524587
1682688600,62.43,64.435,62.3,64.36,18094717
1682947800,63.89,64.1,62.305,62.35,12823373
1683034200,62.23,62.58,61.245,61.9,12237630
1683120600,61.49,62.18,60.815,60.91,10818080
1683207000,60.55,60.96,59.9,60.51,13357926
1683293400,60.61,61.74,60.105,61.23,12312661
1683552600,61.25,61.345,60.305,60.87,11510442
1683639000,59.88,61.39,59.55,60.93,11895219
1683725400,61.92,62.31,59.79,59.99,14548695
1683811800,60.59,61.81,60.065,61.61,15536578
1683898200,61.99,62.19,60.15,60.92,12131366
1684157400,62.23,64.87,61.8,64.64,22227199
1684243800,64.55,65.22,63.3,63.73,15266397
1684330200,64.58,65.32,63.44,64.92,15947694
1684416600,65.98,68.59,65.08,67.57,30688019
1684503000,67.57,68.39,66.43,68.17,16812097
1684762200,65.75,66.75,64.76,66.23,37491046
1684848600,65.85,67.56,65.71,66.01,15896231
1684935000,64.95,66.73,64.88,66.53,15806645
1685021400,69.745,69.88,67.51,69.61,29021516
1685107800,69.88,74.59,69.8,73.93,33409984
1685453400,74.385,74.7699,71.5832,71.69,24454683
1685539800,68.895,69.85,67.92,68.2,30403609
1685626200,68.94,69.79,68.095,69.09,18153026
1685712600,69.985,70.545,68.29,69.17,13468239
1685971800,69.5,69.5,67.51,67.77,12441091
1686058200,67.025,68.84,66.815,67.54,12476560
1686144600,68.41,68.665,66.945,67.06,14610807
1686231000,66.502,66.52,64.01,65.32,25856752
1686317400,65.93,66.4,64.465,65.43,14652510
1686576600,65.84,67.54,65.79,67.45,14742476
1686663000,68.555,68.88,67.6,67.87,11911879
1686749400,67.54,69.21,67.52,69.12,11085818
1686835800,68.59,69.52,68.36,68.82,11842643
1686922200,70.15,70.5,66.06,67.66,32259693
1687267800,67.315,67.62,65.77,66.9,13265684
1687354200,66.75,67.2,65.34,65.8,10427173
1687440600,65.53,66.66,65.51,66.25,8646854
1687527000,65.45,65.96,64.84,65.28,12663593
1687786200,65.63,66.7,65.41,65.45,13815879
1687872600,65.27,66.84,63.7946,66.79,18305177
1687959000,65.65,67.73,65.39,67.07,27100091
1688045400,67.84,67.95,63.55,64.33,51141898
1688131800,64.495,65.1,62.9,63.11,31549615
1688391000,63.44,64.32,63.255,63.9,12921258
1688563800,63.5,63.75,62.02,62.06,16552989
1688650200,60.99,61.79,60.5,61.23,15622711
1688736600,61.43,61.49,60.625,60.65,15028085
1688995800,60.825,62.83,60.58,62.48,16953141
1689082200,62.6,63.67,62.31,63.6,13464462
1689168600,64.47,64.7,63.125,63.79,13953588
1689255000,64.18,64.645,63.55,64.53,11384662
1689341400,64.3,65.54,63.68,64.08,13860248
1689600600,63.8,65.67,63.34,65.16,11333639
1689687000,64.37,65.12,63.7508,64.94,10402308
1689773400,65.63,65.76,64.8,64.96,9463941
1689859800,64.4,65.545,64.25,64.69,12745070
1689946200,65.29,66.16,64.34,65.65,24540157
1690205400,65.36,66.64,65.225,65.48,10275069
1690291800,65.4,65.995,65.08,65.68,8610906
1690378200,65,67.88,65,67.38,14920570
1690464600,70.48,72.34,69.96,71.07,25068346
1690551000,71.58,72.1299,70.655,71.2,11935820
1690810200,71.12,71.77,70.87,71.39,11193789
1690896600,71,71.08,69.89,70.76,13153444
1690983000,69.75,69.85,67.34,68.17,14012010
1691069400,67.57,69.39,67.1614,69.18,11081192
1691155800,69.5,70.9345,69.13,69.91,11255547
1691415000,69.85,70.2294,68.83,69.38,10537537
1691501400,68.7,68.76,66.96,67.65,14767793
1691587800,67.78,67.97,66.62,66.7,10043174
1691674200,67.06,67.46,64.93,65.44,12775328
1691760600,64.9,65.31,64.07,64.37,11823083
1692019800,64.37,68.48,64.2,68.28,21953958
1692106200,67.59,67.63,65.32,65.33,13808529
1692192600,65,65.2299,64.09,64.22,9895360
1692279000,64.49,64.709,63.4,63.56,9933301
1692365400,62.31,63.855,61.75,63.59,9576535
1692624600,63.68,64.195,62.86,63.96,11311886
1692711000,64.3,65.08,63.285,63.41,8877758
1692797400,63.57,65.62,63.17,65.19,10747418
1692883800,66.14,66.24,63.37,63.69,12661624
1692970200,63.46,64.39,62.625,63.72,9409035
1693229400,65.72,66.11,64.66,65.31,9904856
1693315800,64.9,67.03,64.87,66.68,9954960
1693402200,67.19,68.7,66.52,68.09,16892172
1693488600,67.97,70.54,67.97,69.94,18420869
1693575000,70.21,70.62,69.55,70.39,10772024
1693920600,69.91,71.16,69.53,70.29,11144304
1694007000,70.13,70.6599,69.64,70.41,9192768
1694093400,69.45,70.288,69.1,69.87,12043224
1694179800,69.765,70.61,69.61,70.18,9806902
1694439000,70.83,70.86,69.31,70.03,9310367
1694525400,69.955,71.69,69.79,70.31,11062110
1694611800,71.05,71.86,70.365,70.85,14525471
1694698200,71.67,72.23,71.28,71.79,11170290
1694784600,71.29,71.628,69.64,69.88,16416127
1695043800,70.65,71.0501,69.9101,70.5,12735677
1695130200,70.62,71.06,69.97,70.71,10400203
1695216600,70.95,72.3052,69.65,69.68,15529661
1695303000,69,69.29,67.83,67.9,14978568
1695389400,68.59,69.75,67.79,68.88,15489768
1695648600,68.29,69.185,67.61,68.58,14899963
1695735000,67.97,69.045,67.59,67.94,12752503
1695821400,68.12,68.85,66.75,68.21,20852300
1695907800,65.97,67.0899,63.83,65.2,46749773
1695994200,66.36,68.73,66.36,68.03,24315500
1696253400,68.24,69.28,67.06,67.96,14880490
1696339800,67.17,69.65,67.11,67.83,12481501
1696426200,68.31,68.5,67.12,68.11,12912847
1696512600,68.61,69.54,68.34,69.05,14045022
1696599000,68.71,70.325,68.0001,69.96,15113360
1696858200,69.61,69.95,68.575,69.48,8588667
1696944600,69.49,70.11,68.89,69.07,9007592
1697031000,69.72,70.27,68.93,70.21,11165347
1697117400,70.39,70.72,69.295,69.75,11408726
1697203800,69.87,70.06,69.09,69.21,10288566
1697463000,69.01,70.03,68.14,69.08,11294107
1697549400,68.07,69.63,67.62,69,11843014
1697635800,68.01,69.55,67.98,69.14,11200982
1697722200,69.68,69.78,67.18,67.53,18111022
1697808600,67.56,68.52,67.135,67.22,11506070
1698067800,66.82,68.16,66.23,66.88,9489552
1698154200,67.29,68.35,67.13,68.07,8450723
1698240600,68.485,69.2,65.8998,66.5,11924264
