time,open,high,low,close,Volume
1769645280,445.7,445.7,445.3,445.3,172
1769645340,445.14,445.4,445.14,445.4,102
1769645400,445.5,446.37,445.5,446.37,125
1769645460,446.48,446.48,446.2,446.39,454
1769645520,446.29,446.29,446.07,446.07,622
1769645580,446.21,446.21,445.53,445.67,312
1769645640,445.57,445.57,445.2,445.47,512
1769645700,445.49,445.67,445.49,445.67,27
1769645760,445.94,445.94,445.75,445.75,31
1769645820,445.85,445.85,445.66,445.66,53
1769645880,445.6,445.61,445.5,445.5,113
1769645940,445.27,445.69,445.27,445.55,217
1769646000,445.64,445.64,445.55,445.55,131
1769646060,445.55,445.56,445.07,445.08,2416
1769646120,445.11,445.11,444.75,444.75,488
1769646180,445,445,444.45,444.46,360
1769646240,444.46,444.51,444.21,444.25,490
1769646300,444.25,444.25,444.25,444.25,20
1769646360,444.25,444.5,444.15,444.5,129
1769646420,444.5,444.5,444.47,444.47,83
1769646480,444.49,444.8,444.47,444.8,1379
1769646540,445,445,444.9,444.93,470
1769646600,444.81,444.81,444.73,444.8,872
1769646660,444.73,444.73,444.5,444.5,72
1769646720,444.7,444.7,444.07,444.15,1370
1769646780,444.48,444.75,444.48,444.6,1067
1769646840,444.58,444.58,444.33,444.35,447
1769646900,444.15,444.15,444,444.01,992
1769646960,444.18,444.18,444.18,444.18,202
1769647020,444.18,444.4,444.18,444.4,519
1769647080,444.3,444.3,444.1,444.15,58
1769647140,444.34,444.34,444.25,444.34,357
1769647200,444.5,444.9,444.5,444.75,223
1769647260,444.52,444.52,444,444.05,801
1769647320,444.12,444.12,443.47,443.5,1804
1769647380,443.5,443.89,443.5,443.71,314
1769647440,443.89,445.28,443.89,444.16,754
1769647500,444.5,444.5,444.15,444.15,114
1769647560,444.5,444.5,444.5,444.5,60
1769647620,444.5,444.5,444.15,444.25,1118
1769647680,444.08,444.28,444.08,444.28,38
1769647740,444.28,444.5,444.28,444.44,97
1769647800,444.25,444.25,443,443.31,580
1769647860,443.25,443.25,442,442,469
1769647920,442.2,442.2,441.01,441.67,1733
1769647980,441.5,441.75,441.5,441.75,345
1769648040,441.5,442,441.49,441.75,1559
1769648100,441.77,444,441.77,443,602
1769648160,443.2,443.2,443,443,155
1769648220,442.58,442.58,442.23,442.5,5
1769648280,442.38,442.57,442.3,442.3,34
1769648340,442,443.15,442,443.15,108
1769677200,445.01,447.71,444.65,444.65,2183
1769677260,444.63,444.63,444,444.01,1297
1769677320,443.85,443.9,443.24,443.69,394
1769677380,443.76,444.61,443.7,444.61,280
1769677440,444.62,446,444.51,445.78,745
1769677500,446,446.08,445.14,445.5,3437
1769677560,445.34,445.34,444.52,445,283
1769677620,445.22,445.29,444.99,445.01,8
1769677680,445.08,445.08,444.25,444.25,335
1769677740,444.48,444.77,444.47,444.77,81
1769677800,444.79,444.99,444.31,444.99,500
1769677860,445,446.7,445,446.36,1039
1769677920,446.35,446.8,446.06,446.4,265
1769677980,446.21,446.35,446,446,404
1769678040,445.57,445.73,445.33,445.73,49
1769678100,445.5,445.5,445.45,445.45,54
1769678160,445.25,445.44,444.89,444.89,269
1769678220,445.28,445.28,444.8,444.9,166
1769678280,445.47,445.47,445.26,445.47,44
1769678340,445.47,445.49,445.25,445.3,125
1769678400,445.56,445.56,445,445,72
1769678460,445.27,445.3,444.69,444.69,281
1769678520,444.69,444.99,444.69,444.97,753
1769678580,444.98,444.99,444.7,444.7,45
1769678640,444.7,444.74,444.37,444.51,2275
1769678700,444.87,444.99,444.87,444.89,87
1769678760,444.87,444.97,444.51,444.71,458
1769678820,444.6,444.68,444.36,444.68,157
1769678880,444.81,444.82,444.79,444.8,204
1769678940,444.82,444.84,444.52,444.52,83
1769679000,444.61,444.82,444.61,444.64,16
1769679060,444.61,444.66,444.3,444.3,430
1769679120,444.49,444.59,444.4,444.58,197
1769679180,444.51,444.78,444.51,444.6,77
1769679240,444.65,445.68,444.6,445.59,686
1769679300,445.37,445.37,445.19,445.35,155
1769679360,445.5,445.63,445.5,445.58,94
1769679420,445.57,445.9,445.38,445.9,49
1769679480,445.77,446.01,445.74,445.95,485
1769679540,446,446.11,445.86,445.86,178
1769679600,445.8,445.8,445.37,445.5,38
1769679660,445.57,445.68,445.57,445.59,202
1769679720,445.73,445.73,445.57,445.67,42
1769679780,445.72,445.75,445.5,445.75,63
1769679840,445.86,445.86,445.65,445.78,5
1769679900,445.74,445.74,445.74,445.74,2
1769679960,445.74,445.76,445.53,445.59,659
1769680020,445.79,445.79,445.71,445.71,6
1769680080,445.81,446,445.8,446,56
1769680140,446,446.09,446,446.09,56
1769680200,445.89,445.89,445.79,445.87,511
1769680260,445.79,445.79,445.2,445.43,518
1769680320,445.2,445.2,445,445,47
1769680380,445.05,445.05,445,445,15
1769680440,445.3,445.34,445.3,445.34,50
1769680500,444.84,444.84,444.2,444.45,224
1769680560,444.09,444.27,443.8,443.83,307
1769680620,444.06,444.06,443.97,443.97,25
1769680680,443.88,443.88,443.64,443.64,51
1769680740,443.84,444.01,443.84,443.98,31
1769680800,443.99,444,443.72,444,176
1769680860,444,444.01,443.86,444,234
1769680920,444,444.04,443.56,443.59,125
1769680980,443.63,443.63,443.26,443.49,354
1769681040,443.25,443.3,442.57,443,1199
1769681100,442.8,443.27,442.8,443.27,95
1769681160,443.23,443.23,443.08,443.09,35
1769681220,442.95,443.15,442.95,443.15,18
1769681280,443.26,443.26,443.01,443.1,744
1769681340,443,443,442.98,442.98,2
1769681400,443,443.4,442.85,443.22,311
1769681460,443.35,443.49,442.4,442.47,646
1769681520,442.48,442.48,441.25,441.92,741
1769681580,441.75,441.75,441.2,441.2,63
1769681640,441.37,441.79,441.35,441.6,92
1769681700,441.81,442.25,441.81,442.25,12
1769681760,442.25,442.25,442,442,126
1769681820,442.16,442.36,442.16,442.26,51
1769681880,442.56,443.14,442.56,443.14,24
1769681940,443.14,443.4,442.88,443.4,181
1769682000,442.8,442.8,442.69,442.77,50
1769682060,442.79,443,442.79,443,109
1769682120,442.95,442.95,442.49,442.53,914
1769682180,442.59,442.81,442.59,442.81,316
1769682240,442.81,442.81,442.59,442.8,59
1769682300,442.91,442.93,442.82,442.82,36
1769682360,443.06,443.06,443,443,22
1769682420,443,443.07,442.78,442.78,259
1769682480,442.7,442.7,442.5,442.5,35
1769682540,442.5,442.5,442.5,442.5,9
1769682600,442.5,442.59,442.33,442.33,79
1769682660,442.3,442.3,442.3,442.3,4
1769682720,442.18,442.47,442.02,442.34,154
1769682780,442.4,442.5,442.18,442.3,350
1769682840,442.62,442.75,442.53,442.75,94
1769682900,442.75,442.75,442.7,442.7,2
1769682960,442.59,442.59,442.48,442.48,154
1769683020,442.48,442.5,442.28,442.28,168
1769683080,442.42,442.42,442.19,442.33,79
1769683140,442.37,442.45,442.27,442.45,11
1769683200,442.32,442.32,441.81,441.99,329
1769683260,441.72,441.76,441.66,441.75,473
1769683320,441.67,441.67,441.15,441.21,390
1769683380,441.28,441.39,441,441.22,362
1769683440,441,441.12,440.75,441,200
1769683500,441.25,441.25,441.2,441.2,33
1769683560,441.2,441.38,441.07,441.25,94
1769683620,441,441.22,440.7,440.98,262
1769683680,441,441,441,441,22
1769683740,440.91,441.31,440.91,441.31,220
1769683800,441.26,441.49,441.26,441.31,17
1769683860,441.9,442,441.51,441.63,463
1769683920,441.6,441.67,441.5,441.5,64
1769683980,441.58,441.77,441,441.33,848
1769684040,441.34,441.58,441.34,441.58,8
1769684100,441.42,441.6,441.3,441.3,8
1769684160,441.21,441.21,440.88,440.88,15
1769684220,440.8,441,440.67,440.67,324
1769684280,440.62,441.1,440.41,441.1,223
1769684340,441.1,441.24,441,441.2,49
1769684400,441.35,441.38,441.19,441.38,57
1769684460,441.21,441.37,441.2,441.34,71
1769684520,441.23,441.33,440.8,440.8,149
1769684580,440.72,440.83,440.58,440.83,85
1769684640,440.87,441.09,440.64,440.64,192
1769684700,440.9,441,440.87,440.99,57
1769684760,440.89,441,440.88,441,31
1769684820,440.9,441,440.77,441,458
1769684880,440.93,441.1,440.91,441.1,176
1769684940,441.28,441.66,441.28,441.66,105
1769685000,441.64,442,441.64,442,565
1769685060,442.02,442.1,441.94,441.94,309
1769685120,441.99,441.99,441.7,441.7,7
1769685180,442,442,441.82,441.82,125
1769685240,441.88,442.11,441.88,441.99,244
1769685300,441.95,441.95,441.55,441.79,78
1769685360,441.85,441.85,441.2,441.2,425
1769685420,441.25,441.25,441.07,441.21,189
1769685480,441.38,441.64,441.38,441.64,8
1769685540,441.57,441.58,441.36,441.5,23
1769685600,441.6,442,441.6,442,620
1769685660,442,442,441.95,441.96,1233
1769685720,441.99,442,441.4,441.4,516
1769685780,441.79,441.79,441.46,441.46,27
1769685840,441.73,441.73,441.73,441.73,1
1769685900,441.66,441.79,441.66,441.79,33
1769685960,441.7,441.7,441.66,441.7,27
1769686020,441.67,441.73,441.5,441.73,120
1769686080,441.74,441.8,441.74,441.8,7
1769686140,441.99,442,441.99,442,713
1769686200,441.99,442,441.5,441.76,1648
1769686260,441.76,441.94,441.32,441.32,538
1769686320,441.32,441.63,441.32,441.35,105
1769686380,441.66,441.66,441.66,441.66,1
1769686440,441.61,441.67,441.61,441.67,211
1769686500,441.7,441.7,441.2,441.27,239
1769686560,441.66,441.67,441.26,441.26,341
1769686620,441.31,441.6,440.4,440.4,999
1769686680,440.32,440.84,440.32,440.8,68
1769686740,440.7,440.7,440.68,440.68,3
1769686800,441.1,441.1,441.1,441.1,5
1769686860,440.82,441,440.7,440.97,872
1769686920,441.19,441.32,441.19,441.32,27
1769686980,441.23,441.3,441.05,441.3,49
1769687040,441.31,441.87,441.31,441.78,834
1769687100,441.87,442,441.87,442,2485
1769687160,441.99,441.99,441.78,441.79,79
1769687220,441.78,441.87,441.63,441.75,688
1769687280,441.75,442,441.68,442,486
1769687340,441.95,441.95,441.87,441.9,19
1769687400,441.88,441.92,441.88,441.91,14
1769687460,441.85,441.87,441.7,441.81,161
1769687520,441.8,441.94,441.8,441.85,138
1769687580,441.9,442,441.75,441.75,313
1769687640,441.76,441.96,441.76,441.96,9
1769687700,441.9,442.19,441.9,442.19,106
1769687760,442.1,442.1,441.92,442,44
1769687820,442.03,442.03,441.96,442,401
1769687880,442.21,442.38,442.17,442.33,307
1769687940,442.25,442.31,442.12,442.21,138
1769688000,442.12,442.92,442.12,442.84,3134
1769688060,442.77,442.9,442.44,442.44,1272
1769688120,442.38,442.38,442,442,1376
1769688180,441.92,442.1,441.67,441.67,1701
1769688240,441.63,441.89,441.63,441.68,169
1769688300,441.69,441.69,441.6,441.64,445
1769688360,441.91,442,441.8,442,490
