time,open,high,low,close,Volume
1760112000,184.365,186,181.21,181.44,1256556
1760126400,181.67,182.76,175.11,179.79,94886
1760342400,187.2,191.95,185.36,190.25,169236
1760356800,190.24,192.98,188,189.6,981623
1760371200,189.54,193.38,189.11,192.71,757258
1760385600,192.71,193.33,192.24,193.21,20943
1760428800,187.6,189.88,182.18,186.67,81232
1760443200,186.75,190.79,185.66,190.25,549954
1760457600,190.25,192.43,186.59,187.04,641274
1760472000,187.15,188.16,186.7,187.8,30640
1760515200,189,192.7,189,191.75,50163
1760529600,191.7,192.8,188.02,189.64,833147
1760544000,189.57,192.11,187.45,191.98,737406
1760558400,191.97,192.41,191.15,191.91,15600
1760601600,193.09,199.88,192.7,199.22,98007
1760616000,199.2,206.32,195.24,203.07,2297103
1760630400,203.13,204.35,199.43,202.52,1317047
1760644800,202.68,203.7,201.05,201.2,35184
1760688000,196.57,200.74,193.53,199.25,134896
1760702400,198.94,202.46,195.55,198,1203296
1760716800,198.02,203.4,197.73,202.38,848400
1760731200,202.14,202.89,202.14,202.8,13499
1760947200,205.5,209.8,204.54,209.39,98995
1760961600,209.45,214.73,207.39,209.41,1300404
1760976000,209.42,209.51,205.51,206.76,667898
1760990400,206.81,208.4,206.7,207.98,19829
1761033600,206.89,206.89,204.63,205.6,27211
1761048000,205.57,206.19,200.87,203.55,787963
1761062400,203.58,205.18,202.16,202.235,544046
1761076800,202.55,203.12,202.02,202.11,16401
1761120000,203.02,204.96,201.61,201.75,33423
1761134400,201.75,205.56,194.61,197.07,881559
1761148800,197.11,199.2,192.36,198.495,946648
1761163200,198.46,198.97,197.2,198.12,14660
1761206400,200,203,193.41,193.77,52932
1761220800,193.91,205.96,192.03,205,1033470
1761235200,204.95,206.93,203.8,206.68,787676
1761249600,206.68,208,206.56,208,25112
1761292800,210,212.24,208.85,211.74,47728
1761307200,211.76,217.7,209.99,216.13,1414130
1761321600,216.1,219.82,215.88,219,1129902
1761336000,219,219.98,218.75,219.53,17157
1761552000,225.85,229.02,224.01,227.1,112244
1761566400,227.2,227.9,215.78,219.765,1368511
1761580800,219.71,220.6,217.65,220.055,698357
1761595200,220.05,220.6,219.11,219.18,16143
1761638400,215.35,217.88,214.3,214.93,61811
1761652800,214.98,220.29,214.58,219.29,687961
1761667200,219.35,222.88,218.8,221.87,695377
1761681600,221.85,225.11,221.05,224.71,47483
1761724800,226.96,229.86,226.52,228.15,53891
1761739200,228.22,232.4,226.31,228.635,937310
1761753600,228.63,231.1,226.09,226.66,780350
1761768000,226.5,227.4,225.95,226.7,23445
1761811200,227.12,229.96,225.9,227,26754
1761825600,226.95,227.37,220.76,225.47,721535
1761840000,225.5,226.8,222.82,224.06,505532
1761854400,224.06,228.46,223.95,228.42,35842
1761897600,228.69,229,224.9,226.42,37298
1761912000,226.57,231.23,222.28,222.41,640493
1761926400,222.37,225.77,218.84,223.77,666857
1761940800,223.95,224.06,223.12,223.49,11546
1762160400,229.83,233.99,228.79,232.3,111030
1762174800,232.1,237.65,231.2,235.86,915186
1762189200,235.86,237.41,233.45,234.64,1000986
1762203600,234.22,234.8,233.1,233.32,17362
1762246800,227.01,228.89,223.64,225.64,67606
1762261200,225.64,228.63,220.33,224.62,1047282
1762275600,224.66,225.02,217.5,218.01,1117865
1762290000,218.55,218.9,213,213.25,72014
1762333200,218.99,222.37,217.34,222.22,72246
1762347600,221.99,237.46,221.7,234.91,1450120
1762362000,234.95,239.88,233.95,237.4,1095564
1762376400,237.4,238.49,236.9,237.5,32351
1762419600,236.8,240.12,235.55,239.7,64759
1762434000,239.7,246.41,234.88,236.64,1560625
1762448400,236.8,242.1,235.82,238.35,1266560
1762462800,238.41,245.3,238.17,243.5,100328
1762506000,243.96,244.92,236.11,237.8,68663
1762520400,237.62,242.5,226.44,227.5,1828864
1762534800,227.65,237.93,226.7,237.88,1173316
1762549200,237.99,239.93,237.99,239.91,39335
1762765200,248.01,251.01,245.32,249.54,85987
1762779600,249.53,257.1,247.21,254.17,1736389
1762794000,254.14,255.46,252,253.2,821655
1762808400,253.17,254.7,252.5,254.7,21947
1762851600,251.58,252.39,248.12,249.37,32899
1762866000,249.17,250.72,239.53,242.88,1290856
1762880400,242.85,245.79,238.79,241.145,908743
1762894800,241.02,243.48,240.97,243.36,26298
1762938000,246.57,249,245.05,246.46,51877
1762952400,246.4,249.19,240.8,243.13,1122108
1762966800,243.16,246.17,242.05,245.01,545165
1762981200,244.75,245.4,243.27,243.75,18314
1763024400,241.32,247.33,237.37,246.2,62033
1763038800,246.26,249.45,234.62,235.5,1630388
1763053200,235.37,238.86,230.14,236.98,1392775
1763067600,237.14,238.24,234.5,235.47,23090
1763110800,232.54,238.5,232.06,232.44,84966
1763125200,232.66,255.15,231.01,254.32,1964859
1763139600,254.21,254.75,246.27,246.88,983765
1763154000,246.84,250.17,246.84,250.1,25139
1763370000,252.62,254.15,249.85,250.75,59266
1763384400,250.67,260.6,245.92,250.27,1720566
1763398800,250.16,250.29,239.46,241.99,1009006
1763413200,241.12,242.61,240,240,40892
1763456400,241.42,241.75,236.41,237,38983
1763470800,237.03,239.3,225.52,231.92,1680139
1763485200,231.99,235.01,228.3,228.46,1222326
1763499600,228.61,229,227,227.41,55493
1763542800,228.78,234.5,227.85,232.3,82492
1763557200,232.31,237,222.07,222.97,1681090
1763571600,222.93,228.4,216.36,225.9,1407358
1763586000,225.92,237.83,225.2,235.5,230926
1763629200,235.5,236.29,229.35,231.95,47691
1763643600,231.9,234.13,206.38,207.59,2109450
1763658000,207.38,211.77,199.6,201.38,2053511
1763672400,201.33,202.31,197.45,201.04,75815
1763715600,202.26,203.33,194.72,202.25,104796
1763730000,202.36,206.05,192.6,205.2,1760305
1763744400,205.25,211.99,202.1,207.37,1502019
1763758800,207.37,208.79,206.6,208.26,33836
1763974800,212.59,214,209.76,212.58,64272
1763989200,212.72,224.36,212.35,223.16,1188260
1764003600,223.22,226.06,221.97,223.82,912710
1764018000,223.8,228.55,223.6,226.55,65739
1764061200,223.99,225.55,218.5,221.57,58994
1764075600,221.57,223.005,216,221.62,830986
1764090000,221.69,226.18,221.61,224.48,511927
1764104400,224.46,224.58,222.06,224.29,19019
1764147600,226.5,227.73,224.78,227.24,23205
1764162000,227.2,233.12,226,230.75,826550
1764176400,230.83,233.8,229.67,230.26,560792
1764190800,230.41,231.91,230.35,231.9,7765
1764320400,235,237.86,232.92,237.47,60115
1764334800,237.39,238.1,233.49,237.04,787831
1764349200,236.99,237.75,234.65,236.78,255555
1764363600,236.79,237.2,236.76,237.2,570
1764579600,234.58,235.89,230.5,230.92,40002
1764594000,230.99,238.175,230.12,237.4,652198
1764608400,237.43,242.36,237.42,240.55,640102
1764622800,240.46,241.46,239.94,240.62,13800
1764666000,240.36,243.34,238.6,239.88,40379
1764680400,240,244.35,234.4,237.61,1209251
1764694800,237.5,240.93,236.56,239.5,439572
1764709200,239.48,240,239.12,239.7,9545
1764752400,240,240.41,236,237.15,29354
1764766800,237.28,238.01,228.09,233.07,934002
1764781200,233.065,234.46,231.83,234.17,623758
1764795600,234.13,234.17,232.3,232.3,15556
1764838800,232.12,233.85,230.01,230.69,29923
1764853200,230.71,231.43,223.36,228.64,1440009
1764867600,228.58,230.17,224.76,226.65,697587
1764882000,226.65,227.88,226.01,227.08,27761
1764925200,229,230.77,228.6,228.88,22532
1764939600,229.03,237.32,226.7,236.24,1038004
1764954000,236.17,240.56,235.8,237.17,835565
1764968400,237.15,237.5,236,237.2,34023
1765184400,240.97,245.4,239.62,243.5,62052
1765198800,243.65,248.99,241.64,242.49,1021850
1765213200,242.41,249.23,241.67,246.94,540964
1765227600,246.78,248.91,246.62,247.26,46476
1765270800,247.42,248.09,244.85,245.52,26739
1765285200,245.33,255.55,242.8,252.87,1071479
1765299600,252.84,253.56,250.49,252.5,509006
1765314000,252.35,253.16,251.95,252.1,16801
1765357200,254.1,254.84,252.8,253.86,28118
1765371600,253.78,258.92,250.61,258.27,791313
1765386000,258.17,264.75,257.52,263.71,1249123
1765400400,263.69,264.29,260.11,260.7,48613
1765443600,259.15,261.58,257.16,261,31086
1765458000,261,262.74,251.72,256.2,881366
1765472400,256.13,259.8,255.85,258.46,707944
1765486800,258.41,261.5,253.87,255.6,67856
1765530000,257.31,258.44,253.29,255.75,23081
1765544400,255.78,257.34,239.33,242.74,1298460
1765558800,242.61,247.9,239.78,241.09,942475
1765573200,241.02,242.46,241,241.4,37363
1765789200,242.42,248,240.74,246.41,58406
1765803600,246.21,250.1,241.4,243.64,843238
1765818000,243.58,244.53,236,237.545,681978
1765832400,237.37,238.6,235.5,235.9,14981
1765875600,235.97,237.6,234,236.69,31181
1765890000,236.81,239.38,231.365,234.74,662926
1765904400,234.78,235.01,230.58,232.74,827660
1765918800,232.12,233.7,231.45,233.3,17410
1765962000,238,240.79,236.72,238.29,65188
1765976400,238.23,238.46,225.69,226.89,1670696
1765990800,226.83,227.18,221.69,225.72,1294500
1766005200,225.53,246.23,225.53,243.74,1731186
1766048400,247.34,259.17,245.8,255,500555
1766062800,254.98,263.66,246.25,253.94,3888961
1766077200,253.86,258.18,245,248.46,1753130
1766091600,248.47,251.48,247,251.411,65945
1766134800,252.81,254.5,250.85,250.91,52503
1766149200,250.94,268.4,250.75,262.04,2437880
1766163600,262.25,268.02,262.2,265.915,1681057
1766178000,265.73,270.45,265.67,270.26,89873
1766394000,273.63,276.63,272.52,276.16,136393
1766408400,276.21,277.93,268.3,271.2,1664709
1766422800,271.25,277.8,270.7,276.61,1005122
1766437200,276.66,278.28,276.55,278.2,37805
1766480400,275.68,277.42,273.98,274.6,36272
1766494800,274.88,281.84,272.33,276.83,1068569
1766509200,276.68,277.78,275.28,276.28,554529
1766523600,276.25,276.5,275.65,275.8,18366
1766566800,276.27,278.59,275.76,278.1,19175
1766581200,278.09,289.3,277.25,286.5,1438208
1766595600,286.52,287.2,284.31,286.89,355044
1766610000,286.83,288.62,286.82,288.16,5383
1766739600,292.83,294.63,289.72,292.24,77189
1766754000,292.23,293.19,284.23,284.61,1115491
