time,open,high,low,close,Volume
1768433400,331.6,331.89,331.47,331.58,1591
1768435200,331.58,331.7,331.2,331.23,2121
1768437000,331.29,331.3,330.5,330.89,3353
1768467600,340,345.4,338.35,344.4,32621
1768469400,344.6,345.4,344,344.2,15982
1768471200,344.1,345.7,344.05,345.7,10937
1768473000,345.8,346.34,344.73,344.96,8199
1768474800,344.97,346.5,344.95,346.25,6986
1768476600,346.12,347.79,345.69,345.69,8887
1768478400,345.63,346.02,342.7,343.36,62493
1768480200,343.28,343.7,341.71,343.46,29541
1768482000,343.37,345.62,343.32,344.51,34074
1768483800,344.48,346.8,344.48,344.73,51991
1768485600,344.89,347,344.34,345.48,51063
1768487400,345.325,347.77,338.95,344.82,566021
1768489200,344.69,345.13,340.55,341.6,248387
1768491000,341.64,345.04,341.16,344,168867
1768492800,343.85,344.62,342.88,343.41,160534
1768494600,343.33,345.32,341.43,342.1,228971
1768496400,342.14,343.8,341.3,342.49,90715
1768498200,342.51,344.64,342.35,343.67,95197
1768500000,343.73,345.66,342.86,343.05,212784
1768501800,343.01,343.6,342.13,342.26,82847
1768503600,342.21,342.23,340.02,340.56,134294
1768505400,340.54,340.68,338.76,339.62,97574
1768507200,339.5,340.48,338.45,339.01,59271
1768509000,339.07,339.095,336.26,336.77,201309
1768510800,336.6,337.77,336.56,337.27,7585
1768512600,337.3,338.33,337.21,338.15,4250
1768514400,338.16,338.74,337.92,338.47,1696
1768516200,338.49,338.75,338.17,338.5,992
1768518000,338.5,339.59,338.2,339.59,3698
1768519800,339.49,339.75,339.41,339.64,2513
1768521600,339.45,340.04,339.44,339.7,2783
1768523400,339.74,340.19,339.65,339.65,3051
1768554000,346.65,352.55,346.46,352.55,37448
1768555800,352.6,354,352.01,352.85,19486
1768557600,352.9,356.81,352.5,356,20234
1768559400,356.14,359.88,356.14,358.27,19632
1768561200,358.33,358.39,355.71,356.36,10774
1768563000,356.49,356.68,354.99,355,16151
1768564800,355.02,356.26,354.01,354.98,53969
1768566600,354.99,355.88,353.39,353.78,34215
1768568400,353.82,354.94,352.2,354.63,62215
1768570200,354.69,355.1,351.74,352.2,40765
1768572000,352.1,353.79,351.41,353.04,79455
1768573800,353.13,365.83,352.48,357.45,1598096
1768575600,357.4,360.6,355.48,356.24,426617
1768577400,356.39,358.67,354.5,357.95,311484
1768579200,357.96,358.3,353.35,354.77,261711
1768581000,354.83,355.82,352.74,353.31,153725
1768582800,353.3,356.69,352.07,355.81,182576
1768584600,355.71,356.58,353.38,353.46,143783
1768586400,353.55,354.56,352.67,354.09,113061
1768588200,354.02,355.59,353.29,355.35,115459
1768590000,355.35,356.89,355.22,356.01,137150
1768591800,356.05,357.63,355.98,357.06,140201
1768593600,357.03,360.29,356.88,359.26,235731
1768595400,359.22,362.84,358.4,362.75,503597
1768597200,362.71,363.6,362.4,362.78,31166
1768599000,362.8,363,362.71,362.87,5345
1768600800,362.94,363,362.75,362.9,6893
1768602600,362.98,364,362.83,363.65,22269
1768604400,363.7,364.15,363.63,363.75,4328
1768606200,363.8,363.97,363.7,363.75,2140
1768608000,363.85,364,363.72,363.85,2133
1768609800,363.81,363.84,363.35,363.35,5696
1768899600,357.66,359.89,352.89,353,30128
1768901400,353.07,354.67,349.77,354.67,30960
1768903200,354.57,358.31,353.47,357.33,18864
1768905000,357.62,357.94,355,356.3,8479
1768906800,356,357.3,355.4,355.4,6829
1768908600,355.5,356.9,355.01,356.23,5646
1768910400,356.55,360.59,355.75,359.94,43612
1768912200,359.81,362.64,359,361.68,54122
1768914000,361.85,362.86,360.5,361.85,55114
1768915800,361.94,362.87,359.8,362.2,52561
1768917600,362.13,365.89,359.83,364.92,75324
1768919400,364.84,381.53,363.4,379.27,1210405
1768921200,379.31,380.37,365.56,367.03,739240
1768923000,367.01,371.09,363.9,369.89,495916
1768924800,369.95,374.93,368.5,372.72,327800
1768926600,372.7,372.7,365.54,365.69,251343
1768928400,365.6,366.72,364.3,365.54,227984
1768930200,365.45,367.09,364.2,366.66,156992
1768932000,366.72,366.88,363.09,363.83,153604
1768933800,363.79,366.16,363.54,365.77,93172
1768935600,365.83,366.44,362.58,362.98,127678
1768937400,362.94,366.84,361.35,366.03,194899
1768939200,366,367.15,363.7,366.74,151859
1768941000,366.81,367.77,364.965,365.02,344948
1768942800,365.36,366.96,364.65,366.75,14375
1768944600,366.7,367.42,365.86,366.8,7150
1768946400,366.88,367.98,366.88,367.54,10474
1768948200,367.75,367.91,365.86,366.5,11940
1768950000,366.63,367.4,366.62,367.15,9608
1768951800,367,367.81,366.5,366.7,5737
1768953600,366.79,367.8,366.78,367.75,5033
1768955400,367.77,369.8,367.21,369.75,11423
1768986000,371.02,375.89,371.02,375,17885
1768987800,374.8,374.83,372.25,372.6,7439
1768989600,372.6,374.7,372.4,374,4164
