time,open,high,low,close,Volume
1767204000,286.98,288.39,286.68,287.36,122077
1767207600,287.34,288.02,285.29,285.82,166395
1767211200,285.83,286.61,284.19,285.42,268842
1767214800,285.5,286.2,285,285.81,8428
1767218400,285.81,285.81,285.2,285.56,3925
1767222000,285.65,285.899,285.51,285.68,936
1767225600,285.75,286.16,285.72,286.16,2101
1767344400,291.52,296.47,291.37,295.61,21354
1767348000,295.68,296.5,294.5,295.01,17875
1767351600,295.07,295.7,294.86,294.89,9211
1767355200,294.55,295.1,293.11,293.4,37455
1767358800,293.55,293.82,292.7,293.16,28532
1767362400,293.23,308.58,292.66,307.1,1112641
1767366000,307.21,310.45,306.4,306.81,963283
1767369600,306.77,308.98,304.88,307.02,399462
1767373200,307.01,310,306.83,309.44,275094
1767376800,309.36,313,309.3,311.76,430912
1767380400,311.74,314.33,310.92,313.82,421062
1767384000,313.78,315.56,313.42,315.38,629282
1767387600,315.39,317.99,315.34,317.79,37554
1767391200,317.65,317.71,317.01,317.63,11191
1767394800,317.61,319.41,317.52,319.05,28586
1767398400,319.05,319.6,318.59,319.54,14836
1767603600,325.13,326.37,323.63,326.2,33293
1767607200,326.2,327.7,326,327.28,28425
1767610800,327.4,328.44,326.05,326.2,28943
1767614400,326.07,327.27,325.3,325.8,78271
1767618000,325.72,325.85,322.05,324.24,116062
1767621600,324.45,325.78,312.57,315.8,933635
1767625200,315.82,319.9,311.5,317.41,657525
1767628800,317.4,317.46,313.4,313.8,357142
1767632400,313.8,314.12,310.05,312.625,375025
1767636000,312.6,313.14,310.26,311.88,225273
1767639600,311.87,311.87,309.55,310.76,205135
1767643200,310.79,312.43,310.11,312.15,287626
1767646800,312.13,313.46,311.63,312.91,23281
1767650400,312.82,313.11,311.99,312.45,13419
1767654000,312.5,312.65,311.79,311.91,6759
1767657600,311.95,312.2,311.39,311.44,3558
1767690000,314.86,316.69,314.83,316,11610
1767693600,316.31,317.87,316.1,317.3,10211
1767697200,317.37,317.55,316.2,316.45,8644
1767700800,316.61,316.85,315.61,316.35,30376
1767704400,316.35,317.29,315.54,315.98,35811
1767708000,315.95,334.4,315.7,332.4,1293473
1767711600,332.43,336.52,329.7,330.06,859478
1767715200,330,334.98,328.66,331.79,464733
1767718800,331.8,334.6,330.23,334.42,383872
1767722400,334.42,336.91,333.05,336.86,349537
1767726000,336.89,339.07,336.16,338.945,403519
1767729600,338.98,344.5,338.23,343.49,976669
1767733200,343.66,345.98,343.36,345.1,58104
1767736800,344.97,346.59,344.97,345.92,31448
1767740400,345.92,345.92,343.57,345.16,35489
1767744000,345.17,345.68,344.5,344.73,17095
1767776400,341.7,341.7,336.79,337.6,23835
1767780000,337.71,338.6,336.18,337.55,14961
1767783600,337.75,339.9,337.63,339.47,15126
1767787200,339.16,340.06,338.63,339.52,44754
1767790800,339.51,339.56,337.15,337.59,51073
1767794400,337.62,345.69,335,339.64,864182
1767798000,339.71,346.27,337.3,342.88,695119
1767801600,342.88,343.89,340.34,341.535,257618
1767805200,341.59,342.57,339.34,339.91,207749
1767808800,339.91,340.75,337.95,339.35,271959
1767812400,339.35,340.11,337.43,338.07,277401
1767816000,338.14,340.01,337.19,338.65,445789
1767819600,339.55,341.98,339.55,340.41,39375
1767823200,340.48,340.749,340.02,340.57,5157
1767826800,340.56,340.68,339,339.39,6909
1767830400,339.36,341.11,338,341,9685
1767862800,338.64,341.58,336.5,337.5,7078
1767866400,337.36,337.63,336.33,337.62,3437
1767870000,337.45,339.72,337.4,339.34,6033
1767873600,339.2,339.9,338.11,339.5,20043
1767877200,339.59,342.69,339.26,341,88008
1767880800,340.99,343.615,328.52,328.7,554619
1767884400,328.66,330.9,321.37,324.87,1104209
1767888000,324.885,326,322.43,323.84,404576
1767891600,323.99,328.22,322.89,327.9,318638
1767895200,327.895,328.34,326.25,327.29,214334
1767898800,327.33,328.1,323.77,327.35,318474
1767902400,327.26,327.65,325.39,327.07,350660
1767906000,327,327.96,326.51,327.1,20287
1767909600,326.95,327.18,326.78,327.05,6364
1767913200,327.17,327.17,325.47,325.57,8177
1767916800,325.56,326.39,325.02,325.72,7908
1767949200,327.49,330.2,326.95,329.805,12749
1767952800,329.9,333.82,329.6,332.2,13709
1767956400,332.31,333.4,331.75,332.33,10373
1767960000,332.38,332.5,330.02,332.06,49105
1767963600,332,333.3,330.55,333.1,46249
1767967200,333.13,338.09,326.25,337.57,632282
1767970800,337.42,340.28,334.68,339.715,573091
1767974400,339.67,342.54,338.17,338.89,350040
1767978000,338.91,340.6,338.55,340.01,269332
1767981600,340.045,342.3,339.76,342.035,349345
1767985200,341.99,345.51,341.27,344.67,465855
1767988800,344.61,345.79,343.38,344.96,607806
1767992400,344.7,345.75,344.7,345.25,16726
1767996000,345.23,345.48,345.05,345.23,7319
1767999600,345.23,345.25,345.02,345.24,1120
1768003200,345.29,345.56,345,345,5668
1768208400,339.96,340.75,337.52,338.74,13475
1768212000,338.6,341,337.71,338.97,13380
1768215600,338.86,340.57,338.65,339.19,5908
1768219200,339.46,341.8,338.82,340.38,43083
1768222800,340.5,341.26,339.4,340.3,36514
1768226400,340.38,348.46,339,344.52,541740
1768230000,344.59,346.36,341.72,345.47,328743
1768233600,345.4,347.24,343.88,345.905,222784
1768237200,345.94,346.7,344.36,344.42,134066
1768240800,344.45,345.74,344.07,344.46,159770
1768244400,344.31,345.42,343.84,344.75,98004
1768248000,344.77,346.9,344.42,345.89,313405
1768251600,345.7,346,345.21,346,8755
1768255200,346,346.1,345.62,346.1,3836
1768258800,345.95,346,345.47,345.5,2646
1768262400,345.45,345.58,343.37,343.74,6783
1768294800,345.66,345.78,344.3,344.71,6363
1768298400,344.82,345.09,344.16,344.32,3873
1768302000,344.25,345.4,344.18,344.77,4006
1768305600,345.1,345.9,344.6,345.4,30070
1768309200,345.3,348.44,345.02,347.52,51911
1768312800,347.45,351.11,339.695,341.75,538991
1768316400,341.88,343.91,337.37,340.28,447457
1768320000,340.24,343.3,338.8,340.02,267735
1768323600,340.02,340.865,337,337.88,264803
1768327200,337.81,340.64,336.8,338.53,163532
1768330800,338.56,339.16,337.56,338.1,132447
1768334400,338.05,338.24,335.21,338.11,424726
1768338000,338.19,339.11,338.19,338.82,17538
1768341600,338.99,339.5,338.92,339.17,3975
1768345200,339.19,340.39,339.051,340.11,4700
1768348800,340.05,340.56,339.56,339.56,5217
1768381200,339.65,339.85,338.75,339.03,7253
1768384800,338.82,339.77,333.52,334.68,13833
1768388400,334.53,335.7,333.13,334.63,12119
1768392000,334.93,335.9,333.33,335.9,28318
1768395600,335.98,337.46,335.3,335.81,21408
1768399200,336.09,337.81,331.57,335.85,365809
1768402800,335.73,339.1,331.7,333.28,427381
1768406400,333.31,335.49,330.84,332.51,184663
1768410000,332.46,333.1,330.24,331,142125
1768413600,330.89,333.95,330.66,332.78,153555
1768417200,332.78,333.13,329.8,330.24,208063
1768420800,330.36,333.45,328.2,333.28,268608
1768424400,333.35,333.9,331.2,331.99,15799
1768428000,331.85,332.47,331.5,331.93,2944
1768431600,331.81,332.3,331.3,331.58,4717
1768435200,331.58,331.7,330.5,330.89,5474
1768467600,340,345.4,338.35,344.2,48603
1768471200,344.1,346.34,344.05,344.96,19136
1768474800,344.97,347.79,344.95,345.69,15873
1768478400,345.63,346.02,341.71,343.46,92034
1768482000,343.37,346.8,343.32,344.73,86065
1768485600,344.89,347.77,338.95,344.82,617084
1768489200,344.69,345.13,340.55,344,417254
1768492800,343.85,345.32,341.43,342.1,389505
1768496400,342.14,344.64,341.3,343.67,185912
1768500000,343.73,345.66,342.13,342.26,295631
1768503600,342.21,342.23,338.76,339.62,231868
1768507200,339.5,340.48,336.26,336.77,260580
1768510800,336.6,338.33,336.56,338.15,11835
1768514400,338.16,338.75,337.92,338.5,2688
1768518000,338.5,339.75,338.2,339.64,6211
1768521600,339.45,340.19,339.44,339.65,5834
1768554000,346.65,354,346.46,352.85,56934
1768557600,352.9,359.88,352.5,358.27,39866
1768561200,358.33,358.39,354.99,355,26925
1768564800,355.02,356.26,353.39,353.78,88184
1768568400,353.82,355.1,351.74,352.2,102980
1768572000,352.1,365.83,351.41,357.45,1677551
1768575600,357.4,360.6,354.5,357.95,738101
1768579200,357.96,358.3,352.74,353.31,415436
1768582800,353.3,356.69,352.07,353.46,326359
1768586400,353.55,355.59,352.67,355.35,228520
1768590000,355.35,357.63,355.22,357.06,277351
1768593600,357.03,362.84,356.88,362.75,739328
1768597200,362.71,363.6,362.4,362.87,36511
1768600800,362.94,364,362.75,363.65,29162
1768604400,363.7,364.15,363.63,363.75,6468
1768608000,363.85,364,363.35,363.35,7829
1768899600,357.66,359.89,349.77,354.67,61088
1768903200,354.57,358.31,353.47,356.3,27343
1768906800,356,357.3,355.01,356.23,12475
1768910400,356.55,362.64,355.75,361.68,97734
1768914000,361.85,362.87,359.8,362.2,107675
1768917600,362.13,381.53,359.83,379.27,1285729
1768921200,379.31,380.37,363.9,369.89,1235156
1768924800,369.95,374.93,365.54,365.69,579143
1768928400,365.6,367.09,364.2,366.66,384976
1768932000,366.72,366.88,363.09,365.77,246776
1768935600,365.83,366.84,361.35,366.03,322577
1768939200,366,367.77,363.7,365.02,496807
1768942800,365.36,367.42,364.65,366.8,21525
1768946400,366.88,367.98,365.86,366.5,22414
1768950000,366.63,367.81,366.5,366.7,15345
1768953600,366.79,369.8,366.78,369.75,16456
1768986000,371.02,375.89,371.02,372.6,25324
1768989600,372.6,374.73,372.4,373.32,12504
1768993200,373.4,374.8,371.03,371.54,23390
1768996800,371.89,374.27,371.01,374,72918
1769000400,374.09,374.99,370.99,371.91,60119
1769004000,371.55,380.79,366.74,380.58,1021618
1769007600,380.475,391.2,379.96,388.22,948607
1769011200,388.3,393.9,387.73,388.57,745236
1769014800,388.59,388.765,381.82,387.5,534798
1769018400,387.44,388.69,382.62,388.18,333905
1769022000,388.17,393.65,383.94,391.07,591513
1769025600,391,394.17,384.72,389,837525
1769029200,388.93,393,388.93,391.85,36984
1769032800,391.85,394.82,391.51,394.6,37396
1769036400,394.6,396.47,393.6,395,35963
1769040000,395.1,395.75,394.56,395.249,12349
1769072400,401.45,403.91,396.82,397.41,27314
1769076000,397.64,398.99,396.1,398.01,27466
1769079600,398.15,399,396.8,397.03,23261
1769083200,397.16,398.64,395.92,397.83,49835
1769086800,397.9,398.3,394.56,395.92,84269
1769090400,395.91,398.35,376.92,384.54,1138582
1769094000,384.4,388.33,381.3,386.25,558741
1769097600,386.22,392.19,386.22,388.295,452004
1769101200,388.39,396.35,388.04,393.26,398289
1769104800,393.31,394.51,390.88,393.04,232413
1769108400,392.97,396.6,392.23,396.01,245494
1769112000,395.93,397.78,394.11,397.58,555733
1769115600,397.57,397.7,394.05,394.5,45951
1769119200,394.65,395.22,392.22,393.3,31862
1769122800,393.3,394.5,391.75,393.75,20006
1769126400,393.62,394.44,393.411,394.3,7639
1769158800,392.77,395.52,390.8,392.01,9047
1769162400,392,393.2,391.86,392.76,5141
1769166000,392.71,396.8,392.6,393.62,10213
1769169600,393.89,396.5,393.5,396.5,33446
1769173200,396.35,396.8,392.51,392.7,34063
1769176800,392.8,404,390.76,403.55,720102
1769180400,403.94,412.38,402.4,405.02,889993
1769184000,405,406.8,397.16,399.38,414190
1769187600,399.5,402.69,394.4,394.63,377122
1769191200,394.59,400.83,394.35,399.49,278203
1769194800,399.47,401.86,399.45,401.17,190206
1769198400,401.25,401.95,397.5,399.57,375001
1769202000,399.8,399.8,397.98,399,13090
1769205600,398.92,399.37,398.65,398.65,4715
1769209200,398.67,398.97,398.31,398.71,4694
1769212800,398.75,399.56,398.74,399.18,4016
1769418000,397,399.15,391.97,393.58,29503
