time,open,high,low,close,Volume
1768424400,16.71,16.72,16.65,16.7,1628
1768425300,16.71,16.72,16.71,16.71,952
1768426200,16.71,16.71,16.67,16.67,60
1768427100,16.68,16.72,16.67,16.67,3090
1768428000,16.69,16.7,16.69,16.7,312
1768428900,16.71,16.71,16.71,16.71,1
1768429800,16.67,16.67,16.67,16.67,181
1768430700,16.66,16.67,16.66,16.67,157
1768431600,16.67,16.67,16.55,16.55,450
1768433400,16.55,16.66,16.54,16.66,5023
1768434300,16.66,16.66,16.52,16.52,155
1768467600,16.78,16.78,16.74,16.74,13
1768468500,16.72,16.72,16.69,16.69,143
1768469400,16.7,16.7,16.69,16.69,2
1768472100,16.65,16.66,16.65,16.66,100
1768473900,16.7,16.7,16.7,16.7,10
1768475700,16.73,16.79,16.73,16.79,200
1768476600,16.75,16.75,16.75,16.75,1
1768477500,16.7,16.75,16.7,16.75,52
1768478400,16.69,16.71,16.69,16.71,130
1768479300,16.7,16.72,16.66,16.67,78
1768480200,16.7,16.7,16.69,16.69,19
1768481100,16.72,16.72,16.72,16.72,1
1768482000,16.69,16.69,16.68,16.69,708
1768482900,16.65,16.67,16.65,16.67,201
1768483800,16.68,16.75,16.66,16.69,1385
1768484700,16.65,16.69,16.65,16.69,40
1768485600,16.69,16.69,16.65,16.65,2638
1768486500,16.74,16.74,16.74,16.74,34
1768487400,16.755,16.88,16.33,16.335,28881
1768488300,16.35,16.52,16.33,16.48,25145
1768489200,16.5,16.54,16.38,16.4,24998
1768490100,16.44,16.5,16.4,16.435,13267
1768491000,16.43,16.54,16.42,16.465,8158
1768491900,16.48,16.5,16.44,16.5,9852
1768492800,16.49,17.08,16.33,17.015,81967
1768493700,17.02,17.51,16.99,17.465,109665
1768494600,17.465,17.63,17.35,17.57,60035
1768495500,17.58,17.61,17.47,17.6,42304
1768496400,17.615,17.88,17.445,17.87,67247
1768497300,17.89,17.985,17.83,17.865,56392
1768498200,17.865,17.895,17.75,17.855,33391
1768499100,17.855,17.94,17.685,17.72,32855
1768500000,17.72,18.08,17.72,18.08,54612
1768500900,18.08,18.195,18.05,18.18,35416
1768501800,18.15,18.15,17.99,18.01,35156
1768502700,18.01,18.015,17.86,17.86,25669
1768503600,17.86,17.86,17.715,17.785,26085
1768504500,17.78,17.84,17.68,17.72,36882
1768505400,17.71,17.745,17.67,17.71,11870
1768506300,17.71,17.75,17.64,17.725,15853
1768507200,17.72,17.79,17.63,17.75,17144
1768508100,17.755,17.76,17.56,17.64,24506
1768509000,17.63,17.65,17.44,17.53,47686
1768509900,17.535,17.63,17.395,17.42,126641
1768510800,17.47,17.49,17.44,17.49,195
1768511700,17.48,17.48,17.46,17.47,230
1768512600,17.45,17.46,17.45,17.46,130
1768513500,17.46,17.54,17.46,17.54,86
1768514400,17.5,17.55,17.5,17.52,462
1768515300,17.49,17.49,17.48,17.48,54
1768516200,17.54,17.55,17.53,17.55,904
1768520700,17.54,17.54,17.52,17.52,151
1768521600,17.5,17.5,17.5,17.5,10
1768523400,17.51,17.51,17.51,17.51,281
1768554000,17.53,17.53,17.53,17.53,3
1768555800,17.56,17.58,17.56,17.58,270
1768556700,17.59,17.59,17.59,17.59,100
1768557600,17.56,17.57,17.56,17.57,97
1768559400,17.57,17.57,17.57,17.57,13
1768560300,17.56,17.66,17.56,17.635,223
1768561200,17.6,17.63,17.6,17.61,84
1768562100,17.6,17.6,17.55,17.55,95
1768563000,17.56,17.56,17.56,17.56,34
1768564800,17.54,17.54,17.52,17.52,270
1768565700,17.52,17.52,17.51,17.51,84
1768566600,17.52,17.52,17.5,17.5,190
1768567500,17.5,17.5,17.49,17.5,9
1768568400,17.51,17.51,17.51,17.51,10
1768569300,17.5,17.5,17.46,17.46,91
1768570200,17.47,17.47,17.47,17.47,10
1768571100,17.47,17.5,17.47,17.5,960
1768572000,17.45,17.45,17.43,17.43,11
1768572900,17.46,17.46,17.4,17.4,2268
1768573800,17.36,17.435,16.835,17.08,61165
1768574700,17.09,17.34,17.09,17.14,13404
1768575600,17.13,17.3,17.115,17.21,18612
1768576500,17.21,17.215,17.08,17.12,11967
1768577400,17.13,17.13,16.89,16.96,12980
1768578300,16.955,17.07,16.955,17.03,4299
1768579200,17.02,17.15,16.995,17.1,14704
1768580100,17.105,17.11,17.01,17.04,4235
1768581000,17.04,17.06,16.95,16.96,17708
1768581900,16.97,17.18,16.97,17.115,16162
1768582800,17.11,17.11,16.97,16.99,49894
1768583700,16.99,16.99,16.92,16.96,13537
1768584600,16.96,16.97,16.87,16.885,14913
1768585500,16.88,16.92,16.87,16.87,5522
1768586400,16.87,16.9,16.855,16.865,6715
1768587300,16.87,16.96,16.87,16.935,9215
1768588200,16.945,17.14,16.945,17.06,7242
1768589100,17.07,17.08,17.02,17.02,6276
1768590000,17,17.075,16.995,17.01,6569
1768590900,17.015,17.02,16.94,16.96,7801
1768591800,16.97,16.99,16.935,16.935,7097
1768592700,16.93,16.93,16.82,16.825,10681
1768593600,16.82,16.84,16.73,16.76,26858
1768594500,16.75,16.75,16.68,16.68,13563
1768595400,16.68,16.68,16.525,16.56,26601
1768596300,16.55,16.58,16.5,16.545,76195
1768597200,16.57,16.63,16.56,16.6,1617
1768598100,16.58,16.61,16.58,16.6,541
1768599000,16.61,16.61,16.59,16.59,191
1768599900,16.62,16.62,16.55,16.57,659
1768600800,16.6,16.6,16.6,16.6,950
1768601700,16.62,16.62,16.61,16.61,114
1768602600,16.59,16.59,16.59,16.59,110
1768605300,16.6,16.6,16.6,16.6,15
1768607100,16.59,16.59,16.58,16.58,22
1768608000,16.58,16.59,16.57,16.59,201
1768608900,16.57,16.57,16.57,16.57,30
