time,open,high,low,close,Volume
1703860200,9.25,9.34,9.06,9.15,2933822
1704205800,9.03,9.17,8.86,9.1,2460628
1704292200,8.97,9.3699,8.87,8.89,2079669
1704378600,8.89,8.96,8.585,8.66,1375328
1704465000,8.64,8.84,8.49,8.82,1951238
1704724200,8.87,9.785,8.87,9.69,2514275
1704810600,9.51,9.53,9.03,9.03,1856213
1704897000,9.03,9.73,8.435,9.66,4892052
1704983400,9.7,11.21,9.7,11.16,8911776
1705069800,11.23,12.115,11.075,11.45,8144755
1705415400,11.4,11.47,10.91,10.95,2898590
1705501800,10.74,11.518,10.63,11.22,3660843
1705588200,11.22,11.29,10.45,11.03,3178606
1705674600,11.18,11.25,10.66,10.73,2449891
1705933800,10.88,11.26,10.7,11.06,2347889
1706020200,11.16,11.24,10.835,11.17,2416558
1706106600,11.38,12.04,11.38,11.69,3568130
1706193000,11.79,12.07,11.525,11.89,3915101
1706279400,11.99,12.51,11.9112,12.47,3853694
1706538600,12.53,13.1795,12.4271,13.13,3815517
1706625000,13.14,13.2475,12.48,12.81,2941044
1706711400,12.76,12.98,12.51,12.52,2149145
1706797800,12.59,13.31,12.59,13.29,2848276
1706884200,13.32,13.79,13.1047,13.64,2495580
1707143400,13.5,13.5,12.84,13.11,3026775
1707229800,13.2,13.82,13.125,13.59,2504274
1707316200,13.32,13.69,13.2,13.41,4119683
1707402600,17.43,17.55,15.91,16.68,12698308
1707489000,16.49,17.99,16.45,17.68,6017871
1707748200,17.5,17.5,16.75,17.33,4471330
1707834600,16.26,17.225,15.84,16.82,3568251
1707921000,16.85,17.23,16.57,16.89,2824365
1708007400,17.07,18.55,16.825,18.25,5217209
1708093800,17.97,18.43,17.4,17.76,2813592
1708439400,17.54,17.59,17.1,17.5,3993406
1708525800,17.29,17.31,16.61,16.95,2805589
1708612200,16.6,17.1,16.51,16.71,4530375
1708698600,16.31,16.55,15.75,16.34,3675987
1708957800,16.47,16.98,16.31,16.75,1890641
1709044200,16.8,17.24,16.59,16.79,2577068
1709130600,16.6,16.65,15.71,15.98,3836232
1709217000,16.25,16.57,15.925,16.26,2428987
1709303400,16.38,16.805,16.18,16.58,2776715
1709562600,16.82,17.3,15.2481,15.35,4424209
1709649000,14.97,14.984,13.86,13.91,4573987
1709735400,14.2,15.19,13.99,14.95,4553463
1709821800,14.98,15,14.1,14.33,3041367
