time,open,high,low,close,Volume
1769545560,14.935,14.935,14.93,14.93,114
1769545620,14.93,14.935,14.93,14.935,1733
1769545680,14.94,14.94,14.93,14.93,125
1769545740,14.92,14.92,14.91,14.91,380
1769545800,14.9,14.9,14.84,14.86,4037
1769545860,14.87,14.89,14.87,14.87,4369
1769545920,14.87,14.87,14.865,14.87,103
1769545980,14.865,14.87,14.865,14.87,183
1769546040,14.87,14.875,14.87,14.87,641
1769546100,14.87,14.87,14.87,14.87,424
1769546220,14.86,14.865,14.86,14.865,67
1769546280,14.86,14.86,14.855,14.86,633
1769546340,14.86,14.865,14.86,14.86,78
1769546400,14.86,14.865,14.855,14.855,1288
1769546460,14.87,14.87,14.87,14.87,201
1769546520,14.875,14.88,14.875,14.875,2176
1769546580,14.865,14.905,14.86,14.9,2492
1769546640,14.895,14.9,14.89,14.9,468
1769546700,14.905,14.905,14.895,14.9,1349
1769546760,14.88,14.88,14.86,14.86,416
1769546820,14.86,14.875,14.86,14.87,1044
1769546880,14.87,14.875,14.87,14.87,1731
1769546940,14.865,14.875,14.855,14.87,3507
1769547000,14.87,14.87,14.84,14.84,4773
1769547060,14.83,14.835,14.82,14.825,5350
1769547120,14.82,14.82,14.81,14.82,758
1769547180,14.815,14.835,14.815,14.825,3051
1769547240,14.825,14.825,14.82,14.825,1616
1769547300,14.825,14.835,14.825,14.825,5060
1769547360,14.83,14.895,14.83,14.88,14091
1769547420,14.875,14.885,14.865,14.88,7635
1769547480,14.875,14.88,14.855,14.855,8043
1769547540,14.85,14.885,14.85,14.88,22497
1769547720,14.92,14.92,14.92,14.92,2000
1769547840,14.95,14.95,14.9,14.9,645
1769548080,14.9,14.9,14.9,14.9,30
1769548380,14.91,14.91,14.91,14.91,115
1769548440,14.91,14.91,14.91,14.91,50
1769548560,14.91,14.91,14.91,14.91,2
1769548740,14.94,14.94,14.94,14.94,1
1769548860,14.91,14.91,14.9,14.9,402
1769549160,14.9,14.9,14.89,14.89,50
1769549520,14.91,14.91,14.91,14.91,100
1769550180,14.92,14.92,14.92,14.92,30
1769551080,14.92,14.92,14.92,14.92,5
1769551140,14.92,14.92,14.92,14.92,15
1769551500,14.92,14.92,14.92,14.92,85
1769551980,14.92,14.92,14.92,14.92,16
1769552460,14.91,14.91,14.91,14.91,4
1769553240,14.9,14.9,14.9,14.9,10
1769554260,14.91,14.91,14.91,14.91,1
1769555760,14.91,14.91,14.91,14.91,55
1769557380,14.91,14.91,14.91,14.91,18
1769557920,14.91,14.91,14.91,14.91,139
1769558760,14.93,14.93,14.92,14.92,110
1769559300,14.91,14.91,14.91,14.91,1
1769559540,14.91,14.91,14.9,14.9,40
1769561160,14.92,14.92,14.9,14.9,300
1769561280,14.91,14.91,14.91,14.91,50
1769561640,14.9,14.9,14.9,14.9,45
1769561760,14.94,14.94,14.94,14.94,1
1769561820,14.94,14.94,14.94,14.94,37
1769590800,14.95,14.95,14.95,14.95,30
1769590920,14.94,14.95,14.94,14.95,449
1769591280,14.93,14.93,14.93,14.93,5
1769591340,14.93,14.93,14.93,14.93,4
1769591760,14.93,14.94,14.93,14.94,152
1769591880,14.94,14.94,14.94,14.94,148
1769592000,14.94,14.94,14.94,14.94,9
1769592420,14.94,14.94,14.93,14.93,92
1769593920,14.95,14.95,14.95,14.95,3978
1769593980,14.98,14.99,14.98,14.99,231
1769594760,14.96,14.96,14.96,14.96,63
1769596920,14.98,14.98,14.98,14.98,50
1769599020,14.98,14.98,14.98,14.98,1
1769599080,14.97,14.97,14.96,14.96,1426
1769599140,14.98,14.98,14.96,14.96,8750
1769599200,14.96,14.96,14.96,14.96,10260
1769599260,14.96,14.96,14.96,14.96,9576
1769599500,14.97,14.97,14.97,14.97,1
1769599860,14.98,14.98,14.98,14.98,100
1769600220,14.96,14.96,14.96,14.96,250
1769600280,14.97,14.97,14.95,14.95,102
1769600340,14.95,14.95,14.93,14.93,121
1769601240,14.93,14.93,14.92,14.92,74
1769601600,14.92,14.95,14.92,14.95,308
1769601660,14.97,14.98,14.97,14.98,91
1769601900,14.99,14.99,14.99,14.99,11
1769602260,14.99,14.99,14.99,14.99,6
1769602320,14.96,14.96,14.96,14.96,615
1769602380,14.97,14.97,14.96,14.96,180
1769602440,14.92,14.92,14.92,14.92,90
1769602680,14.91,14.91,14.9,14.9,218
1769603160,14.93,14.93,14.93,14.93,90
1769603700,14.94,14.94,14.94,14.94,25
1769604060,14.92,14.92,14.92,14.92,51
1769604300,14.9,14.9,14.9,14.9,156
1769604780,14.9,14.9,14.9,14.9,2
1769604840,14.9,14.9,14.88,14.89,950
1769604900,14.87,14.87,14.85,14.86,167
1769605920,14.89,14.89,14.89,14.89,34
1769606040,14.89,14.89,14.89,14.89,3
1769606160,14.9,14.9,14.9,14.9,1
1769606280,14.89,14.9,14.88,14.9,126
1769606340,14.94,14.94,14.94,14.94,2
1769606820,14.89,14.89,14.89,14.89,92
1769607000,14.88,14.88,14.86,14.86,121
1769607300,14.9,14.9,14.9,14.9,2
1769607600,14.87,14.87,14.87,14.87,50
1769607900,14.91,14.91,14.91,14.91,2
1769608440,14.94,14.95,14.94,14.95,1352
1769608920,14.93,14.93,14.93,14.93,25
1769609160,14.9,14.9,14.9,14.9,192
1769609400,14.92,14.92,14.92,14.92,90
1769609580,14.94,14.94,14.94,14.94,1000
1769609640,14.92,14.92,14.89,14.89,473
1769610120,14.98,14.98,14.98,14.98,90
1769610480,14.97,14.97,14.97,14.97,80
1769610540,15,15.1,14.99,15.1,960
1769610600,14.99,15.05,14.93,14.93,1368
1769610660,14.95,15.09,14.95,15.07,2551
1769610720,15.04,15.22,15.04,15.13,3580
1769610780,15.11,15.11,15.04,15.1,780
1769610840,15.13,15.15,15.09,15.09,2711
1769610900,15.1,15.13,15.08,15.08,342
1769610960,15.12,15.15,15.085,15.1,3216
1769611020,15.09,15.09,15.03,15.05,946
1769611080,15.04,15.075,15.04,15.075,812
1769611140,15.06,15.08,15.06,15.07,451
1769611200,15.05,15.08,15.05,15.05,1240
1769611260,15.07,15.08,15.06,15.06,797
1769611320,15.05,15.07,14.99,15.02,2426
1769611380,15.02,15.02,15,15,1946
1769611440,14.99,15.04,14.985,15.03,3513
1769611500,15.04,15.07,15.04,15.07,395
1769611560,15.075,15.1,15.07,15.085,3608
1769611620,15.08,15.13,15.08,15.13,2827
1769611680,15.13,15.18,15.13,15.18,1721
1769611740,15.185,15.19,15.18,15.18,1769
1769611800,15.17,15.17,15.14,15.15,3049
1769611860,15.13,15.13,15.125,15.125,548
1769611920,15.12,15.13,15.11,15.13,1547
1769611980,15.13,15.145,15.12,15.135,2106
1769612040,15.13,15.13,15.1,15.1,2470
1769612100,15.1,15.13,15.07,15.07,3776
1769612160,15.06,15.155,15.06,15.14,6151
1769612220,15.12,15.12,15.12,15.12,203
1769612280,15.12,15.17,15.12,15.17,2251
1769612340,15.175,15.175,15.15,15.15,1111
1769612400,15.155,15.155,15.1,15.1,1262
1769612460,15.105,15.13,15.095,15.12,1700
1769612520,15.12,15.145,15.12,15.135,1217
1769612580,15.135,15.17,15.135,15.17,832
1769612640,15.16,15.18,15.15,15.15,974
1769612700,15.14,15.14,15.105,15.11,2268
1769612760,15.12,15.12,15.12,15.12,882
1769612820,15.12,15.12,15.11,15.11,401
1769612880,15.11,15.14,15.11,15.13,234
1769612940,15.13,15.14,15.125,15.14,896
1769613000,15.14,15.145,15.13,15.13,753
1769613060,15.135,15.15,15.135,15.145,2807
1769613120,15.145,15.16,15.115,15.115,1759
1769613180,15.11,15.135,15.11,15.11,116
1769613240,15.09,15.095,15.055,15.055,749
1769613300,15.06,15.11,15.06,15.095,2735
1769613360,15.09,15.1,15.09,15.1,615
1769613420,15.095,15.095,15,15,4050
1769613480,14.98,14.98,14.93,14.93,3118
1769613540,14.93,14.93,14.92,14.93,868
1769613600,14.94,14.97,14.94,14.97,580
1769613660,14.97,14.97,14.96,14.96,718
1769613720,14.96,14.97,14.96,14.97,408
1769613780,14.96,14.96,14.91,14.91,2127
1769613840,14.9,14.94,14.9,14.92,1590
1769613900,14.91,14.91,14.86,14.86,3462
1769613960,14.86,14.875,14.84,14.87,2823
1769614020,14.87,14.88,14.87,14.88,600
1769614080,14.88,14.88,14.85,14.85,435
1769614200,14.85,14.89,14.85,14.89,2082
1769614260,14.88,14.91,14.88,14.91,667
1769614320,14.9,14.9,14.9,14.9,100
1769614380,14.88,14.88,14.87,14.87,200
1769614440,14.87,14.9,14.87,14.89,1178
1769614500,14.885,14.89,14.885,14.89,208
1769614560,14.895,14.92,14.89,14.92,1934
1769614620,14.915,14.92,14.915,14.92,132
1769614680,14.925,14.94,14.925,14.94,747
1769614740,14.945,14.945,14.94,14.94,519
1769614800,14.95,14.95,14.94,14.94,708
1769614860,14.945,14.95,14.945,14.95,327
1769614920,14.95,14.95,14.93,14.93,912
1769614980,14.93,14.93,14.915,14.915,1866
1769615040,14.915,14.93,14.91,14.93,1126
1769615100,14.92,14.945,14.92,14.945,1600
1769615160,14.93,14.935,14.93,14.935,233
1769615220,14.94,14.94,14.94,14.94,505
1769615280,14.94,14.94,14.94,14.94,200
1769615340,14.94,14.94,14.94,14.94,800
1769615400,14.95,14.98,14.95,14.955,2078
1769615460,14.95,14.955,14.95,14.955,333
1769615520,14.96,14.96,14.95,14.96,1157
1769615580,14.96,14.96,14.945,14.945,454
1769615640,14.95,14.95,14.95,14.95,300
1769615700,14.96,14.97,14.95,14.95,2159
1769615760,14.94,14.985,14.935,14.98,1781
1769615820,14.98,15,14.98,15,5507
1769615880,14.995,14.995,14.98,14.98,776
1769615940,14.97,14.97,14.95,14.95,4240
1769616000,14.96,14.965,14.95,14.95,1260
1769616060,14.95,14.97,14.95,14.96,1256
1769616120,14.955,14.955,14.955,14.955,100
1769616180,14.955,14.955,14.93,14.93,213
1769616240,14.93,14.94,14.93,14.94,534
1769616300,14.94,14.94,14.94,14.94,307
1769616360,14.95,14.96,14.95,14.95,515
1769616420,14.945,14.975,14.945,14.965,1141
1769616480,14.97,14.97,14.96,14.97,619
1769616540,14.975,15.02,14.97,15.02,2521
1769616660,15.04,15.04,15.04,15.04,203
1769616720,15.05,15.07,15.05,15.05,2788
1769616780,15.06,15.065,15.03,15.055,7153
1769616840,15.06,15.09,15.06,15.09,1339
1769616900,15.1,15.115,15.1,15.115,1920
1769616960,15.11,15.11,15.11,15.11,560
1769617020,15.12,15.13,15.12,15.12,3097
1769617080,15.12,15.13,15.11,15.13,7114
1769617140,15.12,15.12,15.03,15.035,7705
1769617200,14.99,14.99,14.97,14.97,842
1769617260,14.98,14.98,14.96,14.96,734
1769617320,14.97,14.97,14.97,14.97,1234
1769617380,14.98,14.98,14.96,14.965,1807
1769617440,14.97,14.97,14.96,14.96,1470
1769617500,14.96,14.96,14.96,14.96,856
1769617620,14.96,14.98,14.96,14.98,1736
1769617680,14.98,14.98,14.965,14.965,1602
1769617740,14.965,14.965,14.965,14.965,100
1769617800,14.97,14.99,14.97,14.99,1821
1769617860,14.98,15,14.955,14.955,4584
1769617920,14.955,14.955,14.94,14.94,633
1769617980,14.94,14.945,14.94,14.945,500
1769618040,14.945,14.945,14.92,14.93,3864
1769618160,14.94,14.95,14.94,14.95,807
1769618220,14.96,14.96,14.96,14.96,532
1769618280,14.955,14.96,14.955,14.96,851
1769618520,14.93,14.93,14.92,14.92,31
1769618580,14.92,14.93,14.92,14.93,1546
1769618640,14.93,14.93,14.92,14.92,622
1769618700,14.93,14.94,14.93,14.94,552
1769618760,14.94,14.94,14.94,14.94,109
1769618820,14.95,14.95,14.94,14.94,628
1769618940,14.935,14.935,14.935,14.935,110
1769619000,14.93,14.96,14.93,14.96,1645
1769619060,14.96,14.965,14.96,14.96,47
1769619120,14.97,14.97,14.97,14.97,855
1769619180,14.98,15.015,14.98,15.015,924
1769619360,15.02,15.02,15.02,15.02,849
1769619420,15.015,15.015,15,15,1365
1769619480,15.01,15.03,15,15,1286
1769619540,15,15,14.96,14.96,1123
1769619600,14.955,14.96,14.955,14.96,1458
1769619720,14.955,14.96,14.94,14.96,2110
1769619780,14.97,14.975,14.92,14.92,966
1769619840,14.92,14.93,14.92,14.93,105
1769619900,14.93,14.93,14.915,14.915,36
1769619960,14.905,14.905,14.905,14.905,330
1769620020,14.9,14.9,14.86,14.87,1910
1769620080,14.875,14.89,14.87,14.89,339
1769620140,14.88,14.88,14.88,14.88,200
1769620200,14.88,14.92,14.88,14.92,2985
1769620260,14.92,14.92,14.875,14.875,1197
1769620380,14.87,14.87,14.87,14.87,106
1769620440,14.85,14.85,14.85,14.85,10
1769620500,14.85,14.87,14.85,14.86,1142
1769620560,14.86,14.87,14.86,14.87,528
1769620620,14.87,14.87,14.86,14.86,307
1769620680,14.85,14.85,14.85,14.85,100
1769620740,14.85,14.85,14.825,14.83,5230
1769620860,14.83,14.83,14.82,14.82,446
1769620920,14.81,14.81,14.8,14.8,694
1769620980,14.8,14.8,14.8,14.8,3364
1769621160,14.8,14.8,14.795,14.795,165
1769621280,14.79,14.795,14.79,14.795,297
1769621340,14.8,14.8,14.8,14.8,100
1769621400,14.79,14.8,14.77,14.79,19649
1769621460,14.8,14.8,14.8,14.8,171
1769621580,14.81,14.81,14.81,14.81,300
1769621640,14.81,14.81,14.81,14.81,132
1769621700,14.81,14.82,14.81,14.82,500
1769621760,14.83,14.83,14.82,14.82,270
1769621820,14.82,14.84,14.82,14.84,331
1769621940,14.835,14.835,14.83,14.83,31
1769622000,14.83,14.84,14.83,14.84,1020
1769622060,14.84,14.84,14.83,14.83,150
1769622120,14.83,14.83,14.83,14.83,100
1769622300,14.83,14.83,14.83,14.83,701
1769622360,14.835,14.85,14.835,14.85,1247
1769622420,14.85,14.865,14.85,14.865,407
1769622600,14.87,14.87,14.87,14.87,570
1769622660,14.86,14.86,14.825,14.83,1757
1769622720,14.83,14.84,14.83,14.84,1916
1769622780,14.84,14.84,14.835,14.84,805
1769622840,14.88,14.89,14.88,14.89,237
1769622900,14.89,14.89,14.89,14.89,741
1769623020,14.9,14.9,14.89,14.89,1659
1769623080,14.88,14.88,14.85,14.85,1014
1769623200,14.82,14.83,14.82,14.83,412
1769623320,14.84,14.85,14.84,14.85,531
1769623440,14.85,14.85,14.85,14.85,583
1769623500,14.85,14.85,14.85,14.85,14
1769623560,14.85,14.85,14.845,14.845,150
1769623620,14.84,14.84,14.835,14.84,719
1769623740,14.845,14.845,14.845,14.845,70
1769623800,14.84,14.84,14.835,14.835,1983
1769623860,14.835,14.835,14.835,14.835,90
1769623920,14.835,14.84,14.835,14.84,1030
1769623980,14.85,14.85,14.85,14.85,419
1769624040,14.85,14.86,14.85,14.855,721
1769624160,14.855,14.855,14.855,14.855,100
1769624280,14.855,14.87,14.855,14.87,3771
1769624340,14.865,14.87,14.86,14.86,1397
1769624400,14.88,14.88,14.88,14.88,414
1769624460,14.89,14.89,14.89,14.89,35
1769624520,14.89,14.89,14.89,14.89,218
1769624580,14.88,14.88,14.88,14.88,55
