time,open,high,low,close,Volume
1753344000,15.84,16.06,15.55,16,87191
1753358400,16.01,16.35,14.66,14.735,1550654
1753372800,14.73,14.75,14.115,14.195,1314117
1753387200,14.21,14.45,14.2,14.37,98735
1753430400,14.43,14.43,13.64,13.76,149423
1753444800,13.76,14.61,13.76,14.55,1073006
1753459200,14.56,14.58,14.11,14.45,858862
1753473600,14.45,14.45,14.32,14.44,25242
1753689600,14.72,14.73,14.5,14.54,45854
1753704000,14.55,14.56,13.905,14.07,847050
1753718400,14.07,14.755,13.985,14.69,862134
1753732800,14.67,14.67,14.5,14.58,34875
1753776000,14.6,14.68,14.225,14.36,68017
1753790400,14.36,14.6,13.985,13.99,595350
1753804800,13.99,14.21,13.8,13.835,555415
1753819200,13.85,13.97,13.76,13.9,39963
1753862400,13.88,13.95,13.83,13.86,29500
1753876800,13.88,14.205,13.76,13.855,534129
1753891200,13.85,14.21,13.835,14.005,691989
1753905600,14.02,14.35,13.87,14.35,85892
1753948800,14.24,14.35,14.08,14.1,30563
1753963200,14.11,14.62,13.97,14.21,697465
1753977600,14.22,14.44,13.985,14.06,607066
1753992000,14.05,14.16,14,14,30110
1754035200,14,14.01,13.4,13.84,222947
1754049600,13.82,14.17,13.38,13.415,786988
1754064000,13.42,13.72,13.305,13.575,654986
1754078400,13.57,13.64,13.53,13.55,10315
1754294400,13.55,13.8,13.55,13.61,76554
1754308800,13.61,13.845,13.44,13.845,429534
1754323200,13.85,14.115,13.785,13.83,723637
1754337600,13.83,13.98,13.81,13.98,29749
1754380800,14,14,13.8,13.84,19328
1754395200,13.84,14.07,13.66,13.785,624733
1754409600,13.78,13.93,13.58,13.815,1080460
1754424000,13.81,13.93,13.68,13.8,37900
1754467200,13.85,14,12.83,13.54,345916
1754481600,13.53,14.45,13.02,14.27,1859044
1754496000,14.26,14.455,14.18,14.35,819023
1754510400,14.31,14.37,14.15,14.32,18774
1754553600,14.26,14.34,14.15,14.34,16250
1754568000,14.34,15.23,14.33,14.86,1503448
1754582400,14.86,15.195,14.615,15.155,1099676
1754596800,15.155,15.16,15.01,15.09,26730
1754640000,15.2,15.28,14.83,15.17,25161
1754654400,15.2,15.48,14.89,15.335,614908
1754668800,15.34,15.52,15.18,15.445,861047
1754683200,15.44,15.47,15.4,15.47,12802
1754899200,15.45,15.6,15.3,15.34,34751
1754913600,15.35,16.255,15.23,15.54,989548
1754928000,15.54,15.87,15.415,15.615,787386
1754942400,15.61,15.63,15.55,15.57,4626
1754985600,15.6,15.7,15.43,15.51,11672
1755000000,15.48,15.81,15.07,15.26,633305
1755014400,15.26,15.31,14.89,14.99,728397
1755028800,14.98,14.99,14.93,14.97,27854
1755072000,15,15.05,14.93,15,12865
1755086400,15,15.36,14.93,15.05,508298
1755100800,15.05,15.235,14.95,14.955,540172
1755115200,14.95,15.04,14.945,14.97,9733
1755158400,15.02,15.02,14.93,14.99,9352
1755172800,14.97,14.98,14.4,14.62,505274
1755187200,14.61,14.78,14.505,14.69,388357
1755201600,14.64,15.23,14.64,15.09,61100
1755244800,15.24,15.48,15.17,15.25,52721
1755259200,15.25,15.97,15.13,15.355,1215885
1755273600,15.36,15.905,15.285,15.63,897445
1755288000,15.635,15.8,15.59,15.8,18949
1755504000,15.8,15.96,15.6,15.73,31364
1755518400,15.73,16.78,15.31,16.51,1824419
1755532800,16.505,16.95,16.49,16.655,955563
1755547200,16.68,16.88,16.65,16.85,25953
1755590400,16.78,16.8,16.1,16.64,59141
1755604800,16.64,17.7,16.395,16.475,1721717
1755619200,16.475,16.98,16.3,16.64,844760
1755633600,16.61,16.62,16.2,16.28,49643
1755676800,16.07,16.46,16.07,16.27,24661
1755691200,16.28,16.33,15.195,15.28,750657
1755705600,15.28,15.53,15.17,15.265,597869
1755720000,15.28,15.3,15.22,15.26,25205
1755763200,15.45,15.46,15.26,15.28,13395
1755777600,15.28,15.5,14.82,15.395,426077
1755792000,15.385,15.52,15.145,15.43,342867
1755806400,15.43,15.43,15.18,15.23,13666
1755849600,15.26,15.49,15.26,15.46,8618
1755864000,15.42,16.305,15.36,16.055,712849
1755878400,16.06,16.83,16,16.825,908467
1755892800,16.8,17.3,16.8,17.02,134830
1756108800,17.2,17.2,16.81,16.83,51386
1756123200,16.83,17.83,16.73,16.975,856770
1756137600,16.97,17.045,16.605,16.71,556555
1756152000,16.705,16.705,16.54,16.66,7391
1756195200,16.63,16.66,16.53,16.57,17894
1756209600,16.56,16.78,16.34,16.57,339221
1756224000,16.565,17.17,16.4,17.07,499203
1756238400,17.03,17.08,16.98,17.04,10938
1756281600,17.03,17.15,16.92,16.99,14682
1756296000,16.99,17.715,16.7,17.385,638509
1756310400,17.385,17.455,16.995,17.03,554963
1756324800,17.02,17.09,16.73,16.88,22199
1756368000,17,17.33,17,17.16,13251
1756382400,17.15,17.4,16.855,17.29,278107
1756396800,17.29,17.5,17.175,17.225,487149
1756411200,17.25,17.25,17.16,17.23,2716
