time,open,high,low,close,Volume
1767393000,14.97,14.97,14.7,14.7,3674
1767394800,14.87,14.9,14.87,14.9,207
1767400200,14.96,14.96,14.96,14.96,19
1767603600,15.05,15.07,15.05,15.06,349
1767605400,15.06,15.06,15.06,15.06,100
1767607200,15.1,15.7,15.1,15.51,3777
1767609000,15.55,15.7,15.51,15.54,2849
1767610800,15.54,15.57,15.52,15.56,1464
1767612600,15.55,15.58,15.51,15.51,2121
1767614400,15.47,15.51,15.44,15.48,6527
1767616200,15.45,15.54,15.43,15.53,2707
1767618000,15.47,15.49,15.43,15.46,1795
1767619800,15.46,15.48,15.44,15.47,1010
1767621600,15.455,15.63,15.45,15.63,5341
1767623400,15.65,16.14,15.4,16.1,222386
1767625200,16.08,16.32,15.93,16.29,83209
1767627000,16.285,16.495,16.28,16.46,52945
1767628800,16.46,16.57,16.35,16.56,41893
1767630600,16.56,16.92,16.54,16.865,65307
1767632400,16.86,16.945,16.79,16.87,38328
1767634200,16.87,16.87,16.7,16.78,33932
1767636000,16.79,16.87,16.78,16.87,21408
1767637800,16.86,16.95,16.845,16.95,21103
1767639600,16.955,16.96,16.875,16.935,22469
1767641400,16.93,16.945,16.825,16.865,23220
1767643200,16.86,16.945,16.83,16.945,31274
1767645000,16.94,16.945,16.44,16.57,242861
1767646800,16.62,16.62,16.55,16.58,694
1767648600,16.54,16.55,16.54,16.55,190
1767650400,16.56,16.6,16.56,16.57,64
1767655800,16.64,16.64,16.64,16.64,13
1767690000,16.525,16.525,16.39,16.42,750
1767691800,16.38,16.45,16.38,16.44,382
1767693600,16.46,16.46,16.45,16.45,2
1767695400,16.48,16.48,16.46,16.46,45
1767697200,16.49,16.49,16.48,16.48,8
1767699000,16.48,16.54,16.48,16.5,390
1767700800,16.51,16.51,16.51,16.51,27
1767702600,16.5,16.54,16.45,16.45,852
1767704400,16.45,16.54,16.45,16.54,700
1767706200,16.51,16.51,16.5,16.5,107
1767708000,16.49,16.55,16.49,16.55,2235
1767709800,16.6,17.02,16.54,16.78,72863
1767711600,16.78,17.04,16.705,17.015,82042
1767713400,17.02,17.05,16.795,16.81,55783
1767715200,16.81,16.83,16.73,16.74,21819
1767717000,16.75,16.75,16.67,16.705,29326
1767718800,16.71,16.85,16.705,16.785,27804
1767720600,16.79,16.815,16.65,16.76,46441
1767722400,16.75,16.76,16.61,16.735,22850
1767724200,16.735,16.75,16.515,16.605,23013
1767726000,16.61,16.675,16.56,16.635,35708
1767727800,16.64,16.76,16.575,16.75,28805
1767729600,16.76,16.8,16.7,16.7,41975
1767731400,16.7,16.74,16.47,16.52,105424
1767733200,16.515,16.58,16.43,16.56,2747
1767735000,16.46,16.46,16.45,16.45,250
1767736800,16.49,16.49,16.47,16.47,453
1767740400,16.49,16.52,16.49,16.5,200
1767745800,16.47,16.47,16.46,16.46,243
1767776400,16.52,16.52,16.52,16.52,25
1767778200,16.49,16.49,16.48,16.48,39
1767780000,16.48,16.53,16.48,16.51,662
1767781800,16.52,16.52,16.47,16.51,220
1767787200,16.53,16.53,16.49,16.51,2967
1767789000,16.5,16.5,16.49,16.49,115
1767790800,16.5,16.51,16.5,16.51,1161
1767792600,16.52,16.56,16.51,16.51,147
1767794400,16.5,16.5,16.47,16.48,1003
1767796200,16.54,16.62,16.07,16.16,42795
1767798000,16.15,16.15,15.91,15.935,34671
1767799800,15.93,15.94,15.855,15.915,17813
1767801600,15.91,15.945,15.87,15.895,13445
1767803400,15.89,15.97,15.88,15.9,10407
1767805200,15.905,16.065,15.905,16.01,25769
1767807000,16.01,16.12,15.92,16.06,43911
1767808800,16.04,16.225,15.995,16.17,27311
1767810600,16.17,16.3,16.17,16.255,38316
1767812400,16.26,16.26,16.04,16.13,19433
1767814200,16.135,16.3,16.135,16.29,19687
1767816000,16.29,16.495,16.265,16.39,61658
1767817800,16.395,16.555,16.38,16.485,146189
1767819600,16.49,16.53,16.47,16.48,131
1767821400,16.5,16.5,16.42,16.49,206
1767823200,16.44,16.5,16.41,16.47,352
1767828600,16.5,16.5,16.5,16.5,70
1767832200,16.55,17,16.55,17,3949
1767862800,16.75,16.84,16.75,16.75,1386
1767864600,16.75,16.76,16.75,16.76,2079
1767866400,16.75,16.77,16.75,16.75,2154
1767868200,16.76,16.84,16.76,16.84,390
1767870000,16.79,16.79,16.75,16.75,745
1767871800,16.78,17.11,16.78,16.96,6421
1767873600,16.98,17.14,16.92,17.05,9501
1767875400,17.01,17.02,16.91,16.99,7350
1767877200,16.99,17.5,16.93,17.49,25453
1767879000,17.49,17.85,17.43,17.68,15675
1767880800,17.65,17.725,17.4,17.65,14736
1767882600,17.65,17.66,16.79,17.34,115270
1767884400,17.34,17.55,17.15,17.53,83294
1767886200,17.53,17.565,17.37,17.51,61554
1767888000,17.5,17.53,17.135,17.22,40169
1767889800,17.23,17.25,17,17.03,23809
1767891600,17.02,17.1,16.995,17.04,12163
1767893400,17.05,17.06,16.89,16.98,15365
1767895200,16.965,16.965,16.82,16.91,11073
1767897000,16.91,16.96,16.86,16.9,11263
1767898800,16.9,17.13,16.875,17.11,12215
1767900600,17.13,17.16,16.96,16.98,18779
1767902400,16.975,17.07,16.97,17.005,27125
1767904200,17.01,17.04,16.9,16.905,89452
1767906000,16.905,16.97,16.8,16.97,2851
1767907800,16.94,16.98,16.91,16.95,697
1767909600,16.97,17.9,16.95,17.84,37812
1767911400,17.85,17.95,17.59,17.89,27200
1767913200,17.9,18.14,17.79,17.93,65171
1767915000,17.81,18.17,17.8,18.15,13027
1767916800,18.15,18.15,17.95,17.96,1844
1767918600,17.98,18,17.87,18,11577
1767949200,18.07,18.26,18.07,18.12,1039
1767951000,18.12,18.2,18.1,18.1,1094
1767952800,18.1,18.31,18.1,18.31,1037
1767954600,18.25,18.33,18.22,18.3,1357
1767956400,18.3,18.3,18.15,18.15,2511
1767958200,18.14,18.17,17.97,18.05,2571
1767960000,18.05,18.09,17.77,17.78,12996
1767961800,17.81,17.95,17.7,17.89,4039
1767963600,17.89,17.93,17.81,17.85,3049
1767965400,17.89,18.01,17.85,17.92,9669
1767967200,17.89,18.06,17.72,18.06,7963
1767969000,18.05,18.2,17.47,17.58,173737
1767970800,17.575,17.7,17.39,17.655,71599
1767972600,17.66,17.74,17.5,17.58,56482
1767974400,17.585,17.84,17.54,17.79,59012
1767976200,17.8,17.87,17.74,17.84,43652
1767978000,17.86,17.99,17.76,17.98,68022
1767979800,17.975,17.975,17.835,17.9,43407
1767981600,17.89,17.975,17.865,17.895,66478
1767983400,17.9,18.025,17.89,17.97,58916
1767985200,17.975,17.995,17.86,17.99,26626
1767987000,17.99,18.05,17.85,17.91,30171
1767988800,17.9,17.9,17.75,17.815,36960
1767990600,17.81,17.99,17.57,17.735,215986
1767992400,17.74,17.79,17.64,17.79,2930
1767994200,17.72,17.73,17.72,17.73,550
1767996000,17.73,17.77,17.7,17.73,43
1767997800,17.75,17.75,17.75,17.75,342
1767999600,17.75,17.75,17.72,17.75,28
1768001400,17.75,17.75,17.74,17.75,1846
1768003200,17.8,17.8,17.8,17.8,4
1768005000,17.8,17.8,17.8,17.8,5
1768208400,17.5,17.5,17.04,17.1,1238
1768210200,17.15,17.2,16.9,16.92,6322
1768212000,17,17,16.79,16.91,2992
1768213800,16.93,17,16.93,17,370
1768215600,16.99,16.99,16.6,16.95,3148
1768217400,16.99,17.15,16.98,17.15,3902
1768219200,17.17,17.22,17.05,17.17,2053
1768221000,17.12,17.27,17.11,17.25,1551
1768222800,17.29,17.29,17.2,17.24,4021
1768224600,17.2,17.27,17.18,17.22,980
1768226400,17.25,17.68,17.25,17.68,5067
1768228200,17.7,17.83,16.88,16.88,104274
1768230000,16.87,17.11,16.87,16.99,81344
1768231800,17,17.19,16.96,17.145,48428
1768233600,17.14,17.145,17.035,17.11,37751
1768235400,17.09,17.21,17.08,17.09,26408
1768237200,17.09,17.335,17.09,17.325,16444
1768239000,17.33,17.335,17.24,17.27,13446
1768240800,17.27,17.31,17.23,17.31,10677
1768242600,17.305,17.36,17.265,17.28,14166
1768244400,17.28,17.28,17.19,17.2,12102
1768246200,17.2,17.26,17.12,17.15,48418
1768248000,17.14,17.57,17.125,17.57,93515
1768249800,17.58,17.795,17.55,17.665,159219
1768251600,17.57,17.7,17.54,17.58,691
1768253400,17.6,17.64,17.6,17.64,115
1768255200,17.63,17.69,17.63,17.63,326
1768257000,17.62,17.62,17.62,17.62,11
1768258800,17.7,17.7,17.7,17.7,35
1768260600,17.71,17.72,17.7,17.7,900
1768264200,17.69,17.7,17.69,17.7,320
1768294800,17.76,17.76,17.63,17.63,235
1768298400,17.67,17.67,17.6,17.6,132
1768300200,17.57,17.57,17.5,17.55,834
1768302000,17.52,17.56,17.5,17.56,224
1768303800,17.53,17.56,17.5,17.56,341
1768305600,17.6,17.68,17.58,17.68,621
1768307400,17.68,17.68,17.67,17.67,311
1768309200,17.69,17.71,17.66,17.66,235
1768311000,17.74,17.81,17.72,17.81,2942
1768312800,17.8,17.95,17.8,17.95,8815
1768314600,17.895,18.03,17.62,17.62,76571
1768316400,17.63,17.63,17.39,17.52,42633
1768318200,17.49,17.96,17.49,17.91,73738
1768320000,17.885,18.04,17.785,17.99,54442
1768321800,18.01,18.16,17.81,17.835,84062
1768323600,17.84,17.99,17.84,17.93,27574
1768325400,17.935,17.935,17.61,17.65,49159
1768327200,17.65,17.67,17.44,17.64,40235
1768329000,17.645,17.665,17.34,17.35,35831
1768330800,17.35,17.35,17.245,17.305,25658
1768332600,17.31,17.615,17.18,17.57,44981
1768334400,17.57,17.855,17.495,17.64,74145
1768336200,17.63,17.63,17.37,17.38,96848
1768338000,17.42,17.44,17.31,17.42,6787
1768343400,17.38,17.38,17.38,17.38,11
1768345200,17.4,17.4,17.4,17.4,2
1768350600,17.37,17.37,17.37,17.37,3
1768381200,17.49,17.49,17.49,17.49,378
1768383000,17.46,17.46,17.46,17.46,10
1768384800,17.42,17.42,17.41,17.41,26
1768386600,17.41,17.41,17.4,17.4,35
1768388400,17.4,17.44,17.39,17.44,226
1768390200,17.39,17.39,17.35,17.35,59
1768392000,17.37,17.37,17.29,17.29,2028
1768393800,17.36,17.36,17.36,17.36,2000
1768395600,17.3,17.325,17.3,17.325,1979
1768397400,17.34,17.34,17.24,17.24,2258
1768399200,17.26,17.43,17.26,17.43,869
1768401000,17.38,17.6,17.01,17.02,54947
1768402800,17,17.18,16.9,17.02,31614
1768404600,17.015,17.16,16.9,17.15,28511
1768406400,17.14,17.23,17.105,17.17,22886
1768408200,17.18,17.225,17.03,17.06,15535
1768410000,17.05,17.165,17.03,17.075,23597
1768411800,17.07,17.07,16.97,17,13556
1768413600,17,17.045,16.96,17,14008
1768415400,17.01,17.01,16.81,16.89,30368
1768417200,16.89,17,16.79,17,29108
1768419000,17.01,17.01,16.79,16.83,30669
1768420800,16.84,16.87,16.63,16.66,61966
1768422600,16.66,16.755,16.49,16.68,144417
1768424400,16.71,16.72,16.65,16.71,2580
1768426200,16.71,16.72,16.67,16.67,3150
1768428000,16.69,16.71,16.69,16.71,313
1768429800,16.67,16.67,16.66,16.67,338
1768431600,16.67,16.67,16.55,16.55,450
1768433400,16.55,16.66,16.52,16.52,5178
1768467600,16.78,16.78,16.69,16.69,156
1768469400,16.7,16.7,16.69,16.69,2
