time,open,high,low,close,Volume
1769177400,15.63,15.63,15.63,15.63,60
1769178000,15.6,15.61,15.57,15.59,523
1769178300,15.56,15.66,15.49,15.49,1948
1769178600,15.43,15.5,15.3,15.4,3568
1769178900,15.41,15.55,15.41,15.55,5059
1769179200,15.54,15.55,15.48,15.54,3430
1769179500,15.5,15.52,15.46,15.5,6331
1769179800,15.49,15.52,15.44,15.52,6394
1769180100,15.52,15.56,15.49,15.49,2485
1769180400,15.5,15.5,15.44,15.45,4240
1769180700,15.45,15.5,15.43,15.44,3860
1769181000,15.44,15.48,15.43,15.44,5422
1769181300,15.43,15.43,15.39,15.4,1362
1769181600,15.42,15.52,15.4,15.51,6391
1769181900,15.52,15.56,15.52,15.55,7028
1769182200,15.575,15.59,15.57,15.57,2470
1769182500,15.56,15.57,15.545,15.57,3733
1769182800,15.57,15.585,15.57,15.58,922
1769183100,15.57,15.575,15.56,15.57,2845
1769183400,15.59,15.63,15.59,15.6,3026
1769183700,15.6,15.605,15.585,15.605,1458
1769184000,15.6,15.6,15.57,15.58,4559
1769184300,15.57,15.57,15.53,15.55,12235
1769184600,15.54,15.55,15.495,15.5,2292
1769184900,15.49,15.57,15.48,15.53,2177
1769185200,15.52,15.53,15.49,15.49,1956
1769185500,15.49,15.49,15.45,15.47,1424
1769185800,15.47,15.47,15.46,15.46,838
1769186100,15.47,15.51,15.47,15.51,2514
1769186400,15.505,15.54,15.49,15.54,4392
1769186700,15.53,15.535,15.52,15.53,1486
1769187000,15.525,15.57,15.52,15.565,3711
1769187300,15.56,15.56,15.55,15.55,877
1769187600,15.55,15.575,15.545,15.575,814
1769187900,15.57,15.595,15.565,15.59,915
1769188200,15.585,15.61,15.585,15.61,1222
1769188500,15.63,15.645,15.61,15.645,2271
1769188800,15.65,15.79,15.645,15.77,9469
1769189100,15.77,15.77,15.725,15.725,2972
1769189400,15.72,15.72,15.625,15.625,1591
1769189700,15.63,15.635,15.62,15.63,8373
1769190000,15.62,15.62,15.575,15.575,1914
1769190300,15.575,15.59,15.57,15.59,4003
1769190600,15.58,15.58,15.535,15.56,1857
1769190900,15.56,15.565,15.555,15.56,955
1769191200,15.56,15.56,15.535,15.55,2735
1769191500,15.55,15.59,15.535,15.59,1078
1769191800,15.6,15.61,15.565,15.565,2251
1769192100,15.565,15.595,15.565,15.595,931
1769192400,15.59,15.63,15.59,15.605,1630
1769192700,15.605,15.64,15.605,15.625,784
1769193000,15.63,15.645,15.615,15.615,2298
1769193300,15.62,15.65,15.6,15.645,4055
1769193600,15.635,15.64,15.62,15.63,924
1769193900,15.63,15.655,15.63,15.64,998
1769194200,15.635,15.645,15.63,15.635,1266
1769194500,15.64,15.655,15.64,15.65,1421
1769194800,15.65,15.67,15.64,15.66,576
1769195100,15.65,15.65,15.635,15.65,738
1769195400,15.65,15.67,15.645,15.67,1287
1769195700,15.66,15.7,15.65,15.7,4026
1769196000,15.72,15.74,15.7,15.7,2252
1769196300,15.7,15.7,15.675,15.675,2656
1769196600,15.68,15.695,15.665,15.665,1604
1769196900,15.66,15.69,15.66,15.67,1197
1769197200,15.675,15.695,15.645,15.69,2741
1769197500,15.68,15.68,15.65,15.66,2204
1769197800,15.66,15.66,15.65,15.655,1158
1769198100,15.66,15.67,15.655,15.66,1917
1769198400,15.66,15.66,15.595,15.595,5218
1769198700,15.61,15.635,15.605,15.635,1446
1769199000,15.63,15.63,15.6,15.63,516
1769199300,15.635,15.655,15.62,15.62,1658
1769199600,15.6,15.6,15.54,15.55,3078
1769199900,15.555,15.58,15.54,15.575,2542
1769200200,15.58,15.59,15.54,15.59,6341
1769200500,15.59,15.64,15.59,15.6,2622
1769200800,15.61,15.65,15.58,15.58,10034
1769201100,15.58,15.66,15.58,15.62,8284
1769201400,15.62,15.68,15.62,15.63,12883
1769201700,15.64,15.71,15.63,15.675,24477
1769202000,15.69,15.74,15.57,15.74,1653
1769202900,15.65,15.65,15.65,15.65,100
1769203200,15.62,15.62,15.62,15.62,180
1769204100,15.65,15.65,15.65,15.65,5
1769205000,15.68,15.68,15.68,15.68,5
1769206200,15.64,15.64,15.64,15.64,1
1769206500,15.63,15.63,15.63,15.63,5
1769207100,15.63,15.63,15.63,15.63,5
1769209500,15.61,15.61,15.61,15.61,10
1769418000,15.51,15.51,15.5,15.5,148
1769418300,15.48,15.54,15.48,15.54,187
1769418600,15.47,15.47,15.47,15.47,4
1769419800,15.49,15.49,15.47,15.47,109
1769420100,15.46,15.46,15.46,15.46,1
1769420400,15.48,15.48,15.48,15.48,90
1769422800,15.48,15.5,15.47,15.5,22
1769423100,15.48,15.48,15.48,15.48,25
1769423400,15.47,15.47,15.47,15.47,25
1769424000,15.47,15.49,15.47,15.49,177
1769424600,15.5,15.505,15.49,15.5,272
1769426100,15.5,15.5,15.5,15.5,3
1769426700,15.49,15.49,15.49,15.49,200
1769427000,15.5,15.5,15.5,15.5,312
1769427900,15.51,15.51,15.51,15.51,1
1769428800,15.52,15.52,15.52,15.52,90
1769429100,15.54,15.56,15.54,15.56,963
1769429400,15.56,15.56,15.56,15.56,1
1769430300,15.53,15.53,15.52,15.52,5
1769430600,15.52,15.52,15.52,15.52,27
1769430900,15.51,15.55,15.5,15.55,9
1769431800,15.51,15.51,15.51,15.51,200
1769432100,15.52,15.52,15.52,15.52,178
1769432700,15.54,15.54,15.54,15.54,90
1769433000,15.55,15.57,15.55,15.57,154
1769434500,15.56,15.56,15.56,15.56,1000
1769434800,15.56,15.565,15.54,15.54,807
1769435100,15.54,15.54,15.53,15.54,923
1769435400,15.54,15.54,15.54,15.54,50
1769436600,15.53,15.53,15.47,15.47,137
1769436900,15.52,15.52,15.52,15.52,2
1769437500,15.42,15.52,15.4,15.52,455
1769437800,15.515,15.55,15.4,15.455,6721
1769438100,15.45,15.49,15.38,15.49,4978
1769438400,15.49,15.55,15.48,15.485,5106
1769438700,15.48,15.51,15.41,15.51,4021
1769439000,15.535,15.7,15.51,15.63,10969
1769439300,15.64,15.64,15.56,15.61,3177
1769439600,15.575,15.63,15.52,15.52,3034
1769439900,15.53,15.55,15.47,15.5,2182
1769440200,15.505,15.545,15.5,15.52,1675
1769440500,15.51,15.54,15.49,15.49,1258
1769440800,15.48,15.505,15.48,15.5,964
1769441100,15.485,15.66,15.485,15.65,7932
1769441400,15.645,15.695,15.645,15.695,4291
1769441700,15.69,15.775,15.68,15.69,11221
1769442000,15.67,15.7,15.63,15.64,5471
1769442300,15.64,15.66,15.62,15.635,4025
1769442600,15.635,15.645,15.6,15.6,2493
1769442900,15.61,15.645,15.61,15.635,2667
1769443200,15.64,15.645,15.61,15.645,3859
1769443500,15.645,15.65,15.6,15.635,16346
1769443800,15.635,15.655,15.61,15.61,3888
1769444100,15.6,15.62,15.57,15.62,4043
1769444400,15.61,15.62,15.59,15.59,2287
1769444700,15.6,15.64,15.6,15.64,3420
1769445000,15.65,15.66,15.64,15.64,2813
1769445300,15.64,15.65,15.6,15.61,3034
1769445600,15.6,15.61,15.56,15.57,3843
1769445900,15.57,15.59,15.56,15.59,5054
1769446200,15.6,15.62,15.6,15.61,4480
1769446500,15.6,15.63,15.6,15.6,2517
1769446800,15.605,15.635,15.605,15.635,1781
1769447100,15.63,15.635,15.62,15.62,1437
1769447400,15.62,15.655,15.615,15.635,1727
1769447700,15.635,15.635,15.55,15.55,4528
1769448000,15.56,15.605,15.56,15.6,4290
1769448300,15.59,15.6,15.57,15.58,1334
1769448600,15.59,15.62,15.59,15.62,1959
1769448900,15.63,15.645,15.62,15.645,812
1769449200,15.65,15.69,15.65,15.665,3833
1769449500,15.66,15.675,15.645,15.675,2579
1769449800,15.67,15.685,15.665,15.67,1482
1769450100,15.66,15.66,15.65,15.65,1658
1769450400,15.64,15.64,15.57,15.57,2469
1769450700,15.56,15.59,15.56,15.57,2622
1769451000,15.57,15.57,15.55,15.55,681
1769451300,15.55,15.575,15.55,15.56,5218
1769451600,15.55,15.58,15.55,15.56,2786
1769451900,15.57,15.59,15.55,15.59,4035
1769452200,15.59,15.59,15.56,15.575,2407
1769452500,15.575,15.575,15.56,15.56,2417
1769452800,15.56,15.58,15.56,15.58,5358
1769453100,15.57,15.58,15.56,15.58,3279
1769453400,15.58,15.615,15.58,15.6,2530
1769453700,15.6,15.61,15.59,15.61,968
1769454000,15.61,15.615,15.595,15.6,3472
1769454300,15.605,15.66,15.58,15.64,4391
1769454600,15.63,15.65,15.63,15.65,2242
1769454900,15.65,15.655,15.63,15.63,6610
1769455200,15.63,15.64,15.61,15.63,4322
1769455500,15.63,15.63,15.62,15.62,1067
1769455800,15.615,15.63,15.61,15.625,2655
1769456100,15.62,15.62,15.61,15.615,274
1769456400,15.61,15.62,15.61,15.62,1452
1769456700,15.62,15.655,15.62,15.65,3330
1769457000,15.65,15.665,15.62,15.62,4448
1769457300,15.62,15.625,15.605,15.605,2533
1769457600,15.6,15.6,15.52,15.52,3684
1769457900,15.515,15.525,15.5,15.515,2151
1769458200,15.51,15.51,15.485,15.495,2370
1769458500,15.5,15.54,15.5,15.54,4235
1769458800,15.53,15.555,15.51,15.52,7499
1769459100,15.495,15.515,15.495,15.515,3602
1769459400,15.52,15.565,15.52,15.54,6480
1769459700,15.535,15.55,15.53,15.545,3619
1769460000,15.54,15.585,15.52,15.57,9963
1769460300,15.575,15.62,15.575,15.62,9722
1769460600,15.615,15.665,15.615,15.655,11544
1769460900,15.66,15.745,15.66,15.69,36776
1769461200,15.69,15.79,15.55,15.55,1708
1769461500,15.45,15.51,15.2,15.51,859
1769461800,15.48,15.5,15.48,15.48,356
1769462100,15.47,15.47,15.35,15.38,101
1769462400,15.38,15.38,15.33,15.35,921
1769462700,15.33,15.33,15.32,15.32,1104
1769463600,15.52,15.53,15.44,15.44,531
1769463900,15.51,15.51,15.43,15.47,1430
1769464200,15.45,15.45,15.43,15.43,482
1769464500,15.53,15.54,15.48,15.48,120
1769464800,15.49,15.49,15.49,15.49,200
1769465100,15.43,15.43,15.41,15.41,80
1769465400,15.38,15.38,15.34,15.34,467
1769466000,15.34,15.38,15.34,15.38,4
1769466600,15.34,15.35,15.34,15.35,176
1769467200,15.43,15.43,15.43,15.43,4
1769467500,15.43,15.43,15.43,15.43,12
1769467800,15.49,15.49,15.49,15.49,1
1769468100,15.49,15.49,15.49,15.49,199
1769468700,15.36,15.36,15.29,15.29,1585
1769469300,15.32,15.33,15.3,15.3,9
1769469600,15.28,15.28,15.2,15.2,137
1769469900,15.18,15.18,15.1,15.1,2374
1769470200,15.22,15.22,15.22,15.22,12
1769470800,15.19,15.19,15.19,15.19,200
1769474700,15.24,15.24,15.22,15.22,79
1769475000,15.27,15.27,15.27,15.27,20
1769504400,15.43,15.43,15.43,15.43,3
1769505000,15.53,15.53,15.53,15.53,1
1769506200,15.54,15.58,15.54,15.58,725
1769507100,15.57,15.57,15.57,15.57,20
1769508000,15.6,15.6,15.6,15.6,1
1769508300,15.62,15.62,15.62,15.62,1
1769509200,15.59,15.61,15.59,15.61,4
1769511300,15.59,15.59,15.59,15.59,37
1769511600,15.53,15.53,15.17,15.18,1316
1769512500,15.33,15.35,15.33,15.35,200
1769512800,15.35,15.35,15.3,15.3,548
1769513100,15.35,15.37,15.32,15.325,154
1769514000,15.32,15.32,15.32,15.32,3
1769514600,15.35,15.35,15.35,15.35,2
1769515200,15.36,15.36,15.36,15.36,51
1769515500,15.36,15.36,15.3,15.31,3553
1769515800,15.3,15.3,15.27,15.27,185
1769516100,15.27,15.27,15.24,15.24,424
1769516700,15.19,15.19,15.19,15.19,2
1769517000,15.17,15.17,15.11,15.11,332
1769517300,15.13,15.17,15.13,15.17,578
1769517600,15.19,15.19,15.18,15.18,45
1769517900,15.19,15.19,15.19,15.19,1837
1769518200,15.16,15.175,15.12,15.12,1605
1769518500,15.11,15.11,15.11,15.11,28
1769518800,15.14,15.14,15.14,15.14,115
1769519400,15.19,15.19,15.08,15.08,4840
1769519700,15.17,15.17,15.17,15.17,107
1769520300,15.16,15.16,15.16,15.16,90
1769520600,15.16,15.17,15.16,15.17,735
1769520900,15.17,15.17,15.11,15.11,2049
1769521500,15.12,15.12,15.12,15.12,25
1769521800,15.11,15.11,15.1,15.1,267
1769522100,15.08,15.12,15.08,15.12,180
1769522400,15.12,15.12,15.11,15.12,658
1769522700,15.09,15.11,15.05,15.05,562
1769523000,15.09,15.12,15.07,15.07,849
1769523300,15.1,15.25,15.1,15.24,1335
1769523600,15.27,15.39,15.24,15.24,1109
1769523900,15.22,15.22,15.18,15.18,1127
1769524200,15.27,15.27,14.93,14.96,125874
1769524500,14.98,15.07,14.89,14.895,52965
1769524800,14.9,15.04,14.9,15.015,29867
1769525100,15.01,15.07,14.95,15.045,10824
1769525400,15.045,15.08,14.98,14.98,7586
1769525700,14.98,15.04,14.88,14.9,16048
1769526000,14.89,14.91,14.84,14.85,16286
1769526300,14.83,14.87,14.8,14.86,34434
1769526600,14.86,14.94,14.86,14.93,10709
1769526900,14.92,15.02,14.91,15.01,10675
1769527200,15.01,15.04,14.97,15.03,6424
1769527500,15.03,15.035,14.96,15.015,7167
1769527800,15.01,15.04,14.96,14.99,17943
1769528100,14.98,15.025,14.97,14.98,12713
1769528400,14.98,14.99,14.97,14.99,6047
1769528700,15,15.11,15,15.04,13550
1769529000,15.04,15.05,15.03,15.035,1772
1769529300,15.03,15.05,15.02,15.03,2311
1769529600,15.02,15.07,15,15.06,6832
1769529900,15.07,15.15,15.07,15.15,7983
1769530200,15.16,15.25,15.15,15.19,12115
1769530500,15.19,15.29,15.19,15.28,4205
1769530800,15.28,15.31,15.275,15.28,6868
1769531100,15.28,15.31,15.27,15.28,4735
1769531400,15.27,15.285,15.2,15.22,6274
1769531700,15.22,15.22,15.18,15.195,2048
1769532000,15.2,15.21,15.13,15.135,4280
1769532300,15.135,15.16,15.12,15.135,3330
1769532600,15.13,15.13,15.1,15.1,1820
1769532900,15.09,15.1,15.075,15.075,3292
1769533200,15.08,15.11,15.08,15.1,5079
1769533500,15.1,15.1,15.07,15.08,1232
1769533800,15.07,15.07,15.04,15.055,2060
1769534100,15.04,15.04,15,15.01,20175
1769534400,15.02,15.045,15.01,15.01,1953
1769534700,15.02,15.02,15.005,15.005,999
1769535000,15,15,14.95,14.98,10484
1769535300,14.98,14.995,14.955,14.995,3568
1769535600,14.99,14.99,14.97,14.98,4175
1769535900,14.98,15.01,14.98,14.99,7232
1769536200,14.99,14.99,14.93,14.93,15906
1769536500,14.93,14.95,14.92,14.92,2446
1769536800,14.92,14.97,14.92,14.925,58933
1769537100,14.92,14.92,14.875,14.88,6436
1769537400,14.87,14.87,14.82,14.82,4367
