time,open,high,low,close,Volume
1765357200,16.91,16.91,16.9,16.9,124
1765360800,16.91,16.92,16.8,16.83,1923
1765364400,16.82,16.85,16.82,16.84,46
1765368000,16.84,16.89,16.84,16.89,6015
1765371600,16.86,16.89,16.82,16.87,673
1765375200,16.84,16.85,16.52,16.66,43674
1765378800,16.65,16.685,16.23,16.265,75606
1765382400,16.27,16.41,16.19,16.22,59770
1765386000,16.23,16.23,15.91,16.05,118015
1765389600,16.05,16.1,15.805,15.84,89424
1765393200,15.84,16.08,15.82,15.97,173850
1765396800,15.98,15.98,15.53,15.6,258401
1765400400,15.67,15.78,15.58,15.67,11684
1765404000,15.67,15.78,15.56,15.56,4425
1765407600,15.6,15.65,15.6,15.62,1807
1765411200,15.63,15.71,15.63,15.65,451
1765443600,15.73,15.76,15.59,15.69,3892
1765447200,15.69,15.7,15.61,15.63,1764
1765450800,15.62,15.62,15.6,15.62,49
1765454400,15.66,15.7,15.62,15.7,2059
1765458000,15.7,15.76,15.58,15.58,3628
1765461600,15.59,16.03,15.58,15.97,85665
1765465200,15.965,16.21,15.94,16.08,91221
1765468800,16.07,16.355,16.07,16.335,95365
1765472400,16.34,16.485,16.245,16.29,66879
1765476000,16.3,16.37,16.21,16.255,43414
1765479600,16.26,16.325,16.01,16.03,43238
1765483200,16.02,16.02,15.775,15.87,151340
1765486800,15.89,15.94,15.85,15.91,1501
1765490400,15.91,15.92,15.88,15.88,1455
1765494000,15.87,15.93,15.87,15.93,161
1765497600,15.94,15.94,15.94,15.94,65
1765530000,15.95,15.965,15.945,15.945,192
1765533600,15.94,15.95,15.86,15.89,1021
1765537200,15.89,15.89,15.85,15.87,125
1765540800,15.87,15.91,15.85,15.86,2300
1765544400,15.89,15.97,15.86,15.93,1912
1765548000,15.92,16.6,15.85,16.44,115745
1765551600,16.42,16.64,16.26,16.45,157237
1765555200,16.47,16.535,16.17,16.26,85346
1765558800,16.27,16.4,16.24,16.36,40601
1765562400,16.365,16.75,16.34,16.59,89180
1765566000,16.58,16.7,16.425,16.44,97920
1765569600,16.44,16.65,16.37,16.64,286878
1765573200,16.65,16.69,16.45,16.45,4383
1765576800,16.47,16.53,16.47,16.53,14
1765580400,16.49,16.49,16.49,16.49,98
1765584000,16.54,16.54,16.48,16.5,278
1765789200,16.8,16.83,16.75,16.79,772
1765792800,16.79,16.79,16.69,16.71,449
1765796400,16.73,16.73,16.65,16.69,1899
1765800000,16.67,16.68,16.51,16.58,1652
1765803600,16.58,16.59,16.56,16.59,380
1765807200,16.59,16.78,16.27,16.29,45032
1765810800,16.31,16.58,16.14,16.26,102462
1765814400,16.28,16.51,16.275,16.435,50571
1765818000,16.44,16.535,16.34,16.46,37360
1765821600,16.46,16.48,16.16,16.25,22328
1765825200,16.25,16.3,16.22,16.275,16109
1765828800,16.27,16.28,16.065,16.14,92416
1765832400,16.14,16.16,16.11,16.11,1053
1765836000,16.11,16.11,16.09,16.09,1594
1765839600,16.1,16.14,16.1,16.14,16
1765843200,16.08,16.1,16.03,16.1,292
1765875600,15.94,16.13,15.9,16,1479
1765879200,15.95,16.05,15.93,16.02,387
1765882800,16.03,16.05,16.03,16.05,107
1765886400,16.05,16.14,16.02,16.08,3078
1765890000,16.07,16.08,15.96,16.03,4591
1765893600,16.03,16.15,15.9,16.04,20952
1765897200,16.05,16.11,15.66,15.75,74475
1765900800,15.77,15.77,15.6,15.64,33327
1765904400,15.63,15.745,15.41,15.47,47895
1765908000,15.46,15.78,15.44,15.72,82646
1765911600,15.71,15.8,15.63,15.66,40480
1765915200,15.655,15.785,15.565,15.705,176587
1765918800,15.68,15.87,15.63,15.77,3200
1765922400,15.75,15.75,15.74,15.74,212
1765929600,15.74,15.74,15.74,15.74,10
1765962000,15.77,15.77,15.7,15.7,198
1765965600,15.71,15.75,15.71,15.75,520
1765969200,15.77,15.77,15.75,15.75,47
1765972800,15.74,15.8,15.71,15.77,1583
1765976400,15.74,15.78,15.72,15.74,944
1765980000,15.77,15.82,15.4,15.52,54007
1765983600,15.53,16.32,15.47,15.77,203098
1765987200,15.77,15.85,15.64,15.75,52234
1765990800,15.76,15.79,15.65,15.655,36554
1765994400,15.67,15.69,15.485,15.575,27757
1765998000,15.575,15.595,15.495,15.555,50901
1766001600,15.555,15.575,15.295,15.385,189580
1766005200,15.4,15.4,15.28,15.36,1010
1766008800,15.38,15.41,15.36,15.41,1339
1766012400,15.41,15.41,15.39,15.39,75
1766016000,15.4,15.4,15.36,15.38,91
1766048400,15.46,15.46,15.36,15.39,718
1766052000,15.39,15.39,15.33,15.33,74
1766055600,15.34,15.39,15.1,15.14,2117
1766059200,15.15,15.28,15.15,15.23,2648
1766062800,15.23,15.49,15.1,15.43,20873
1766066400,15.47,15.84,15.32,15.38,48397
1766070000,15.38,15.51,15.24,15.49,111344
1766073600,15.495,15.51,15.28,15.4,98527
1766077200,15.4,15.4,15.05,15.17,65592
1766080800,15.18,15.18,15.04,15.07,63579
1766084400,15.08,15.13,14.74,14.77,101811
1766088000,14.77,14.92,14.62,14.8,237057
1766091600,14.78,14.87,14.62,14.8,2052
1766095200,14.76,14.77,14.75,14.77,1633
1766098800,14.77,14.77,14.77,14.77,5
1766102400,14.75,14.75,14.69,14.69,209
1766134800,14.82,14.89,14.82,14.88,235
1766138400,14.85,14.85,14.82,14.85,808
1766142000,14.86,14.91,14.84,14.88,1782
1766145600,14.87,14.88,14.81,14.85,1956
1766149200,14.82,14.85,14.75,14.85,2456
1766152800,14.83,15.02,14.73,15.02,48500
1766156400,15.02,15.15,14.88,15.14,67553
1766160000,15.15,15.27,15.125,15.23,87335
1766163600,15.235,15.24,15.04,15.055,77135
1766167200,15.055,15.075,15.005,15.06,26480
1766170800,15.06,15.095,14.96,14.97,34903
1766174400,14.98,14.98,14.815,14.91,167884
1766178000,14.9,14.94,14.9,14.91,1949
1766181600,14.94,14.94,14.94,14.94,1
1766185200,14.93,14.98,14.93,14.98,1930
1766188800,15,15.05,14.99,15.02,1220
1766394000,15,15.09,14.98,15.03,1968
1766397600,15.04,15.05,15.02,15.05,928
1766401200,15.04,15.11,15.04,15.11,4644
1766404800,15.06,15.11,15.04,15.08,2853
1766408400,15.05,15.09,15.02,15.02,3262
1766412000,15.02,15.2,14.82,14.94,73075
1766415600,14.96,15.23,14.96,15.04,92811
1766419200,15.045,15.11,15,15.06,57258
1766422800,15.06,15.09,15,15.05,18234
1766426400,15.05,15.05,14.93,14.935,59429
1766430000,14.94,15.04,14.895,15.035,49462
1766433600,15.04,15.06,14.95,15.03,148100
1766437200,15.07,15.09,15.03,15.06,4974
1766440800,15.04,15.04,15.03,15.03,87
1766444400,15.06,15.07,15.04,15.04,675
1766448000,15.03,15.03,15.03,15.03,60
1766480400,15.02,15.06,15.02,15.04,39
1766484000,15.05,15.09,15.01,15.01,259
1766487600,15.05,15.05,15.05,15.05,1
1766491200,15.04,15.05,14.97,14.97,2344
1766494800,15,15.04,14.91,14.92,2070
1766498400,14.93,14.99,14.71,14.73,57078
1766502000,14.735,14.925,14.63,14.755,89779
1766505600,14.76,14.82,14.7,14.795,42505
1766509200,14.795,14.83,14.685,14.7,45388
1766512800,14.705,14.77,14.69,14.71,26424
