time,open,high,low,close,Volume
1768561200,178.57,178.58,178.43,178.53,1552
1768562100,178.52,178.61,178.52,178.53,1362
1768563000,178.53,178.56,178.39,178.44,2420
1768563900,178.42,178.44,178.29,178.31,967
1768564800,178.39,178.5,178.2,178.38,6831
1768565700,178.36,178.39,178.2,178.3,1873
1768566600,178.28,178.28,178.18,178.26,1145
1768567500,178.29,178.31,178,178.11,3183
1768568400,178.12,178.22,177.9,177.94,2519
1768569300,177.95,178.05,177.75,177.89,3609
1768570200,177.93,178.03,177.83,178.01,2834
1768571100,177.97,178.1,177.93,177.97,2999
1768572000,178,178.09,177.96,178.02,3605
1768572900,178,179.72,177.95,179.54,35412
1768573800,179.53,182.43,177.36,177.39,722801
1768574700,177.36,177.89,174.22,174.35,526757
1768575600,174.34,175.23,173.15,173.38,489971
1768576500,173.405,173.8,172.57,173.03,311750
1768577400,173.03,173.63,171.77,172.23,253541
1768578300,172.19,173.7,171.98,173.67,199799
1768579200,173.66,173.82,173.15,173.5,122884
1768580100,173.49,174.27,173.22,174.17,124747
1768581000,174.22,174.85,174.22,174.44,132449
1768581900,174.47,174.97,173.69,174.35,132990
1768582800,174.34,174.34,173.08,173.1,136288
1768583700,173.08,173.26,172.06,172.69,156539
1768584600,172.68,172.785,171.7,171.85,201734
1768585500,171.85,171.96,170.81,170.86,208203
1768586400,170.91,171.48,170.77,171.175,137811
1768587300,171.17,171.85,170.86,171.79,128336
1768588200,171.8,171.96,171.26,171.59,93025
1768589100,171.58,171.75,171.11,171.14,81153
1768590000,171.12,171.34,170.79,171,156623
1768590900,171.02,171.37,170.53,170.6,152206
1768591800,170.62,170.94,170.01,170.53,213526
1768592700,170.51,171.3,170.51,171.28,97408
1768593600,171.28,171.36,170.16,170.345,181159
1768594500,170.33,171.48,170.22,171.11,127955
1768595400,171.1,171.25,170.71,171,193480
1768596300,170.99,171.35,170.51,170.975,353823
1768597200,171.03,171.28,170.92,171.26,12415
1768598100,171.27,171.51,171.17,171.45,13234
1768599000,171.49,171.5,171.42,171.46,7160
1768599900,171.47,171.49,171.1,171.29,6080
1768600800,171.28,171.31,171.24,171.28,2670
1768601700,171.28,171.45,171.28,171.42,2207
1768602600,171.45,171.47,171.41,171.41,2036
1768603500,171.43,171.47,171.37,171.47,3994
1768604400,171.48,171.5,171.45,171.5,3624
1768605300,171.49,171.6,171.49,171.6,1985
1768606200,171.6,171.64,171.58,171.64,1706
1768607100,171.64,171.93,171.64,171.93,4160
1768608000,171.93,171.94,171.72,171.75,1697
1768608900,171.75,171.75,171.73,171.74,928
1768609800,171.75,171.75,171.69,171.72,1253
1768610700,171.72,171.72,171.55,171.65,554
1768899600,166.41,167.51,165.62,166.28,44431
1768900500,166.26,166.4,165.43,165.44,20876
1768901400,165.42,165.45,164.61,164.78,34951
1768902300,164.8,165.63,164.75,165.45,11078
1768903200,165.45,166,165.23,165.93,8366
1768904100,165.9,166.33,165.65,166.32,10334
1768905000,166.34,166.49,165.79,165.98,10992
1768905900,165.98,166,165.82,165.97,7497
1768906800,165.97,167.22,165.97,166.73,10306
1768907700,166.75,166.9,166.43,166.43,8079
1768908600,166.5,166.57,166.22,166.53,8247
1768909500,166.53,166.84,166.35,166.6,4529
1768910400,166.63,167.72,166.3,167.27,32623
1768911300,167.27,167.38,166.51,166.63,18208
1768912200,166.62,167.16,166.51,167.15,13278
1768913100,167.15,167.39,166.95,167.1,13721
1768914000,167.13,167.43,166.71,166.81,27407
1768914900,166.75,167.36,166.7,166.9,11738
1768915800,166.88,166.91,166.05,166.6,24594
1768916700,166.65,166.91,166.47,166.55,15076
1768917600,166.55,168.99,166.49,167.31,48862
1768918500,167.35,167.87,166.61,167.6,30362
1768919400,167.62,169.46,166.25,168.16,391696
1768920300,168.14,168.14,166.86,167.37,245633
1768921200,167.31,169.29,167.1,169.08,191315
1768922100,169.08,170.42,168.57,170.42,148180
1768923000,170.43,170.43,169.43,169.91,104126
1768923900,169.95,170.28,169.23,170.24,88175
1768924800,170.25,171.8,170.24,171.48,136657
1768925700,171.47,171.87,170.72,171.78,94456
1768926600,171.76,171.95,171.07,171.1,66950
1768927500,171.13,171.21,170.08,170.38,88894
1768928400,170.35,170.97,170.14,170.71,50012
1768929300,170.71,170.8,170.09,170.63,41378
1768930200,170.58,170.79,169.95,170.14,49862
1768931100,170.14,170.5,169.57,170.425,47541
1768932000,170.41,170.66,169.61,170.17,60356
1768932900,170.15,170.15,169.58,169.77,29987
1768933800,169.74,169.87,169.05,169.095,58467
1768934700,169.06,169.62,168.94,169.11,73436
1768935600,169.08,169.42,168.95,169.23,45868
1768936500,169.22,169.25,168.6,168.78,64839
1768937400,168.76,169.38,168.36,168.92,53033
1768938300,168.9,169.78,168.83,169.7,48257
1768939200,169.675,169.7,168.97,169.03,57595
1768940100,169.05,169.54,168.89,168.96,63129
1768941000,169,169.27,168.75,169.03,77721
1768941900,169.02,169.07,168.3,168.55,242560
1768942800,168.49,168.79,168.49,168.79,11582
1768943700,168.79,168.8,168.6,168.74,2942
1768944600,168.71,168.72,168.52,168.56,3355
1768945500,168.57,168.62,168.5,168.6,4342
1768946400,168.62,168.74,168.59,168.66,1080
1768947300,168.66,168.69,168.53,168.53,3766
1768948200,168.52,168.53,168.4,168.4,3349
1768949100,168.4,168.41,168.18,168.18,2507
1768950000,168.24,168.36,168.15,168.34,2216
1768950900,168.3,168.31,168.15,168.18,1431
1768951800,168.18,168.25,168.17,168.24,286
1768952700,168.23,168.23,167.63,167.75,7473
1768953600,167.81,168,167.8,167.99,253
1768954500,168,168.3,167.99,168.19,440
1768955400,168.2,168.58,168.2,168.53,1623
