time,open,high,low,close,Volume
1704205800,16.95,16.95,16.5,16.58,41626684
1704292200,16.12,16.38,16.01,16.09,46865204
1704378600,16.05,16.58,15.95,16.25,39937698
1704465000,15.7,16.1279,15.664,15.98,57700013
1704724200,16.22,16.89,16.14,16.67,49089953
1704810600,16.51,16.63,16.28,16.39,35794473
1704897000,16.5,17.0299,16.4,16.79,41254398
1704983400,16.81,16.93,16.17,16.68,39552365
1705069800,16.68,17.06,16.62,16.76,33952550
1705415400,16.59,16.74,16.29,16.53,32659260
1705501800,16.26,16.41,16.05,16.39,30832775
1705588200,16.75,16.81,16.1,16.4,35239739
1705674600,16.57,16.78,16.15,16.78,40690625
1705933800,17.46,18.3503,17.43,17.6,85573913
1706020200,17.64,17.73,17.2,17.33,37794300
1706106600,17.51,17.65,16.735,16.75,42710696
1706193000,16.92,17,16.31,16.46,44589040
1706279400,16.4,16.75,16.34,16.35,28612154
1706538600,16.45,17.11,16.43,17.09,35987779
1706625000,17.04,17.24,16.66,16.74,36388182
1706711400,16.41,16.76,16.07,16.09,43582546
1706797800,16.21,16.4868,16.03,16.33,40454381
1706884200,16.34,17.02,16.145,17.02,57672675
1707143400,17.56,17.87,16.48,16.72,167698349
1707229800,20.3,22.18,19.76,21.87,421271485
1707316200,21.6,23.87,21.38,23.6,254911069
1707402600,23.96,25.06,23.32,24.51,212671149
1707489000,25.04,25.11,23.57,24.38,149061975
1707748200,23.91,25.525,23.82,25.05,108173046
1707834600,23.53,24.66,23.31,24.01,102293322
1707921000,24.15,25.5,23.755,25.19,97227926
1708007400,25.04,25.46,24.71,25.41,70544321
1708093800,24.96,25.495,24.39,24.44,65498227
1708439400,23.84,24,22.715,23.4,93374349
1708525800,22.3,22.9299,22.29,22.74,60411461
1708612200,23.77,23.95,23.05,23.59,64458247
1708698600,23.53,24.07,22.82,22.97,48840765
1708957800,23.03,23.88,22.94,23.56,46499481
1709044200,23.76,24.62,23.72,24.53,64967421
1709130600,24.52,24.84,24.245,24.42,47313982
1709217000,24.81,25.2928,24.36,25.08,62753300
1709303400,25.3,25.69,24.535,24.93,64794407
1709562600,24.4,24.58,23.53,24.04,64320031
1709649000,23.96,24.4092,23.43,23.81,49542272
1709735400,25.75,26.75,24.53,26.16,207386942
1709821800,27.01,27.5,26.38,26.46,117519319
1709908200,27.19,27.28,25.81,26.04,84256124
1710163800,25.89,26.83,25.29,25.35,60829269
1710250200,25.57,25.64,24.35,24.7,75202613
1710336600,24.7,25.44,24.6,25,59712992
1710423000,24.83,24.97,24.14,24.43,49214784
1710509400,23.85,24.1,23.42,23.49,61420999
1710768600,23.77,24.18,23.32,24,44083043
1710855000,23.5,23.83,22.92,23.8,43247249
1710941400,23.77,24.65,23.67,24.57,40273774
1711027800,25.3,25.33,24.44,24.49,37099608
1711114200,24.2,24.475,24.02,24.18,25453029
1711373400,24.12,24.62,24.05,24.51,29255903
1711459800,24.76,25.47,24.4702,24.89,43610464
1711546200,25,25.48,24.26,24.51,38600086
1711632600,24.17,24.28,22.94,23.01,70008165
1711978200,22.98,23.21,22.4,22.86,41000029
1712064600,22,22.79,21.72,22.72,39770573
1712151000,22.44,23.01,22.38,22.7,30357412
1712237400,23.82,24.1,22.4,22.48,64995295
1712323800,22.42,23.32,22.3065,22.96,38716824
1712583000,23.08,23.2,22.67,23,25022708
1712669400,23.01,23.0868,22.46,22.81,27724525
1712755800,22.22,22.71,22.01,22.42,28642932
1712842200,22.65,22.91,22.25,22.84,26399380
1712928600,22.7,23.2,22.41,22.67,36764458
1713187800,22.79,23.13,21.83,21.9,38182078
1713274200,21.59,21.99,21.27,21.88,33869201
1713360600,22.01,22.11,21.22,21.31,30139797
1713447000,21.25,21.43,20.7,21.13,34550542
1713533400,20.98,21.43,20.33,20.47,39632591
1713792600,20.72,21.08,20.36,20.97,31894517
1713879000,21.25,22.06,21.23,21.64,36304634
1713965400,22.05,22.25,21.3,21.59,34426476
1714051800,20.82,21.7399,20.66,21.71,26226705
1714138200,22.05,22.67,21.91,22.52,33119766
1714397400,22.75,23.09,22.545,22.83,30330698
1714483800,22.77,22.87,21.95,21.97,30511879
1714570200,21.93,22.83,21.63,22.12,34812852
1714656600,22.6,22.715,22.1,22.55,30396133
1714743000,23.48,23.64,22.91,23.33,55976409
1715002200,24.37,25.355,24.03,25.21,175936565
1715088600,21.99,22.7,21.35,21.4,161061622
1715175000,21.58,21.73,21.06,21.56,67582882
1715261400,21.49,21.58,20.94,21.14,54101937
1715347800,21.27,21.37,20.5,20.6,59845413
1715607000,20.6,21.19,20.6,20.94,37524809
1715693400,20.95,22.07,20.93,21.44,57894354
1715779800,21.73,21.8099,21.185,21.67,39424029
1715866200,21.74,21.87,21.535,21.65,27416677
1715952600,21.78,22.1693,21.56,21.76,30032254
1716211800,21.77,21.77,21.22,21.62,35255258
1716298200,21.34,21.45,21.12,21.24,27953962
1716384600,21.23,21.42,21.08,21.17,25212469
1716471000,21.39,21.5198,20.63,20.72,36887627
1716557400,20.72,21.15,20.65,21.01,22158712
1716903000,21.06,21.22,20.73,21.05,26274188
1716989400,20.77,20.99,20.64,20.94,24834240
1717075800,21.28,21.96,21.02,21.73,47583129
1717162200,21.79,22.2,21.31,21.68,44416074
1717421400,21.7,21.79,21.005,21.32,33876070
1717507800,21.05,22.26,21.04,22.1,41974047
1717594200,22.48,22.98,22.22,22.96,39825392
1717680600,22.98,23.95,22.98,23.79,60400366
1717767000,23.24,23.57,23.06,23.31,37149877
1718026200,22.75,23.16,22.66,23.13,31509278
1718112600,23.06,23.95,22.89,23.85,30601852
1718199000,24.2,24.33,23.57,23.77,38542724
