time,open,high,low,close,Volume
1753358400,154.18,155.16,152.58,154.35,2426802
1753372800,154.33,155.62,153.97,154.85,1615310
1753387200,154.81,155,154.56,154.81,65892
1753430400,154.8,155.5,153.97,154.61,55100
1753444800,154.63,160.06,154.59,158.89,3620572
1753459200,158.87,160.38,158.29,158.81,2128659
1753473600,158.81,159.33,158.71,159.32,69130
1753689600,160.88,161.44,160.12,161.07,162348
1753704000,161.07,161.18,156.94,157.3,2618609
1753718400,157.29,158.37,153.06,157.89,3215739
1753732800,157.9,157.99,157.72,157.91,71452
1753776000,158.21,158.8,157.65,158.7,83207
1753790400,158.68,160.14,154.91,156.89,2399506
1753804800,156.9,157.2,155.38,156.27,1245387
1753819200,156.29,156.37,156.02,156.05,41405
1753862400,156.01,156.7,155.85,156.45,45878
1753876800,156.45,159.38,156.25,158.28,2300784
1753891200,158.3,159.12,156.57,158.65,1685358
1753905600,158.66,159.9,158.3,159.77,195937
1753948800,159.83,160.36,159.65,160.02,91816
1753963200,160.04,160.89,157.805,158.93,2219117
1753977600,158.89,159.58,156.73,158.31,1463164
1753992000,158.52,159.16,157.2,157.28,124159
1754035200,157.35,157.57,153.45,156.14,307257
1754049600,156.1,157.14,151.06,156.99,3249314
1754064000,157.01,158.19,154.08,154.25,2172999
1754078400,154.35,155.27,153.88,155.16,102607
1754294400,157.04,157.82,155.84,157.5,235414
1754308800,157.41,160.91,157.05,159.72,2969765
1754323200,159.75,161.4,159.35,160.77,3064161
1754337600,160.67,172.25,160.5,168.049,2830901
1754380800,169.04,171.71,168.13,171.42,778435
1754395200,171.44,176.33,169.24,170.43,8617384
1754409600,170.41,173.45,170.38,173.195,3102828
1754424000,173,173.35,171.2,171.79,219585
1754467200,173.87,174.54,171.53,172.33,156484
1754481600,172.3,180.57,171.01,177.95,5234390
1754496000,177.96,179.64,176.16,179.56,2348836
1754510400,179.38,179.98,178.71,179.92,227711
1754553600,180.99,181.54,180.54,181.24,176746
1754568000,181.25,184.48,179.04,184.05,3941999
1754582400,183.96,184.07,178.17,182.21,3290642
1754596800,182.14,183.01,182.08,182.9,104078
1754640000,183.1,184.42,182.95,184.3,182938
1754654400,184.32,187.99,183.76,186.69,3986355
1754668800,186.67,187.63,184.93,187,2390664
1754683200,186.97,187.7,186.9,187.7,118692
1754899200,187.69,188.45,185.29,186.59,192299
