time,open,high,low,close,Volume
1767690000,173.88,174.36,173.41,173.7,8880
1767691800,173.7,173.9,173.46,173.65,7511
1767693600,173.5,173.65,173.4,173.62,4244
1767695400,173.65,175.44,173.62,174.97,10508
1767697200,175.3,175.42,174.83,175.02,12974
1767699000,175,175.15,174.94,175,6236
1767700800,174.98,175.2,174.74,175.13,13604
1767702600,175.16,175.51,175.07,175.48,10409
1767704400,175.46,175.55,175.25,175.29,16401
1767706200,175.28,175.49,175.01,175.28,17483
1767708000,175.27,175.8,175,175.7,23927
1767709800,175.68,177.99,174.78,177.4,753233
1767711600,177.45,179.11,175.95,179.08,386156
1767713400,179.03,179.18,176.85,177.13,223048
1767715200,177.07,177.39,175.77,176.84,157680
1767717000,176.83,177.82,176.71,177.515,109514
1767718800,177.55,178.82,177.52,178.56,160995
1767720600,178.55,180.09,178.52,179.92,288629
1767722400,179.89,180.18,178.86,178.88,187015
1767724200,178.91,179.61,178.78,179.58,75818
1767726000,179.57,179.87,179.27,179.72,81793
1767727800,179.7,180.04,179.4,179.405,87286
1767729600,179.43,179.62,179.06,179.48,88461
1767731400,179.47,179.91,179.01,179.67,276069
1767733200,179.69,179.72,179.4,179.45,8475
1767735000,179.42,179.46,179.28,179.46,5546
1767736800,179.46,179.6,179.31,179.31,4321
1767738600,179.33,179.37,179.14,179.25,3318
1767740400,179.26,179.34,179.15,179.15,1001
1767742200,179.25,179.39,179.12,179.31,690
1767744000,179.21,179.57,179.21,179.5,2505
1767745800,179.51,179.56,179.32,179.4,1304
1767776400,179.05,179.43,178.19,178.53,12852
1767778200,178.59,178.79,178.36,178.73,4946
1767780000,178.64,178.78,178.37,178.4,3570
1767781800,178.46,178.49,178,178.06,6939
1767783600,178.17,178.26,177.95,177.97,5190
1767785400,178.03,178.32,177.92,178.31,5426
1767787200,178.33,178.63,178.1,178.44,10118
1767789000,178.44,178.48,178.07,178.17,8534
1767790800,178.2,178.43,177.96,178.42,20029
1767792600,178.45,178.63,178.24,178.51,10679
1767794400,178.53,179.88,178.22,179.85,23133
1767796200,179.775,181.7,177.67,181.34,561313
1767798000,181.35,181.47,179.59,180.65,312248
1767799800,180.65,182.17,180.64,181.67,263400
1767801600,181.65,183,181.53,182.97,223874
1767803400,182.99,185.3,182.61,184.83,460815
1767805200,184.83,186.98,184.67,186.81,507093
1767807000,186.8,187.27,186.03,186.27,371324
1767808800,186.28,186.28,185.03,185.1,244492
1767810600,185.1,185.58,184.8,185.14,166586
1767812400,185.13,185.59,183.02,183.62,254190
1767814200,183.59,184.82,183.59,184.22,145708
1767816000,184.24,184.26,182.195,182.48,176986
1767817800,182.47,182.64,181.43,181.69,280980
1767819600,181.59,185.51,180.78,184.43,52309
1767821400,184.45,186.47,184.2,186.1,61696
1767823200,186.02,186.18,184.31,184.64,31528
1767825000,184.64,184.68,183.8,184.26,11323
1767826800,184.29,184.67,184.11,184.19,3273
1767828600,184.27,184.7,184.21,184.35,7769
1767830400,184.31,184.35,184.19,184.25,7701
1767832200,184.28,184.35,184.02,184.35,3336
1767862800,185.1,185.26,184.05,184.56,12306
1767864600,184.52,185.2,184.48,185.17,4516
1767866400,185.15,185.58,185.06,185.1,10217
1767868200,185.1,185.46,185.01,185.39,5095
1767870000,185.41,185.55,185.21,185.54,6381
1767871800,185.47,186.05,185.2,186.03,25221
1767873600,186,186.59,185.65,186.4,43954
1767875400,186.39,186.5,186.09,186.16,28802
1767877200,186.14,186.9,185.68,186.6,38052
1767879000,186.65,186.87,185.98,186.09,46495
1767880800,186.03,186.32,185.42,185.53,53671
1767882600,185.57,185.64,180.54,181.49,875155
1767884400,181.45,182.07,179.89,181.6,409039
1767886200,181.58,181.89,177.7,178.93,562624
1767888000,178.95,179.52,178.3,178.39,179613
1767889800,178.39,178.67,177.03,178.2,213149
1767891600,178.22,178.61,177.29,177.38,150228
1767893400,177.37,178.65,177.03,178.12,162841
1767895200,178.11,178.23,176.83,177.21,190719
1767897000,177.25,177.3,176.2,176.33,215659
1767898800,176.32,176.5,175.54,175.63,200921
1767900600,175.63,175.77,174.43,174.68,327941
1767902400,174.67,177.22,174.37,177.22,244180
1767904200,177.23,177.45,176.53,176.81,338730
1767906000,176.82,176.84,176.37,176.47,19610
1767907800,176.5,177.07,176.5,176.72,14723
1767909600,176.74,176.94,176.74,176.89,6822
1767911400,176.89,177.18,176.89,177.17,3522
1767913200,177.179,177.3,177.03,177.17,3501
1767915000,177.18,177.19,176.78,176.78,7322
1767916800,176.76,176.8,176.67,176.76,2476
1767918600,176.76,176.84,176.67,176.78,1989
1767949200,177.22,177.38,176.8,177.33,4389
1767951000,177.3,177.8,177.11,177.8,3715
1767952800,177.8,177.85,177.64,177.69,4818
1767954600,177.68,177.75,177.48,177.54,2846
1767956400,177.54,177.61,177.46,177.58,4406
1767958200,177.58,178.11,177.48,177.6,10822
1767960000,177.56,177.75,177.31,177.38,15597
1767961800,177.36,177.43,176.91,177.36,7446
1767963600,177.35,177.9,176.85,177.88,22749
1767965400,177.99,178.12,177.35,177.8,18797
1767967200,177.84,178.15,176.7,176.85,38106
1767969000,176.97,177.29,175,175.65,496942
1767970800,175.68,178.72,174.75,178.29,459846
1767972600,178.3,178.58,176.42,176.74,230479
1767974400,176.74,177.94,176.69,177.35,162853
1767976200,177.35,178.44,177.2,178.37,143783
1767978000,178.38,178.43,177.54,177.88,103219
1767979800,177.87,177.98,176.75,177.33,167004
1767981600,177.31,177.51,176.33,176.715,141302
1767983400,176.72,177.38,176.585,177.105,143889
1767985200,177.1,177.52,176.51,177.47,119495
1767987000,177.485,177.69,177.13,177.49,101139
1767988800,177.52,177.74,177.23,177.38,117971
1767990600,177.34,177.635,177.09,177.47,289298
1767992400,177.47,177.59,177.38,177.42,6448
1767994200,177.38,177.52,177.35,177.48,3833
1767996000,177.49,177.5,177.41,177.49,1242
1767997800,177.44,177.49,177.36,177.42,2166
1767999600,177.45,177.55,177.45,177.48,1631
1768001400,177.48,177.5,177.42,177.42,3853
1768003200,177.41,177.44,177.4,177.44,1039
1768005000,177.44,177.48,177.41,177.41,867
1768208400,174.72,175.17,174.14,174.21,11412
1768210200,174.18,174.56,174.01,174.54,6593
1768212000,174.57,174.78,174.34,174.59,4765
1768213800,174.65,174.83,174.5,174.51,4355
1768215600,174.52,174.86,174.52,174.77,2351
1768217400,174.8,174.92,174.67,174.92,6884
1768219200,174.95,175.37,174.82,175.2,21952
1768221000,175.25,179.88,175.25,178.74,96371
1768222800,178.72,179.42,178.58,179.2,33731
1768224600,179.24,179.24,178.21,178.35,25850
1768226400,178.35,178.35,177.31,177.69,41480
1768228200,177.69,182.5,176.34,180.4,846143
1768230000,180.41,181.03,179.1,179.48,334276
1768231800,179.49,180.08,178.5,179.92,200823
1768233600,179.93,180.31,178.26,178.45,148539
1768235400,178.43,178.45,177.25,178.1,183468
1768237200,178.14,178.3,177.71,177.87,111341
1768239000,177.93,178.67,177.81,178.39,94630
1768240800,178.37,178.96,178.34,178.83,81523
1768242600,178.84,179.33,178.65,178.69,83440
1768244400,178.69,179.26,178.38,179.24,76536
1768246200,179.22,179.72,178.8,178.91,117061
1768248000,178.91,179.35,178.76,178.9,118231
1768249800,178.89,179.62,178.56,179.41,250219
1768251600,179.12,179.5,179.12,179.4,11418
1768253400,179.4,179.47,179,179.29,5270
1768255200,179.27,179.27,179.15,179.24,2931
1768257000,179.25,179.41,179.22,179.31,1936
1768258800,179.32,179.35,179.03,179.21,4014
1768260600,179.2,179.32,178.94,178.99,4072
1768262400,179.02,179.05,178.77,178.77,778
1768264200,178.84,178.84,178.6,178.67,3199
1768294800,178.9,179.41,178.69,179.23,3915
1768296600,179.22,179.3,178.9,178.96,4502
1768298400,178.99,179,178.69,178.79,3556
1768300200,178.82,178.9,178.63,178.7,3904
1768302000,178.66,178.89,178.65,178.73,3706
1768303800,178.73,178.83,178.56,178.83,6031
1768305600,178.83,179.13,178.76,179.1,5890
1768307400,179.08,179.135,178.56,178.65,10624
1768309200,178.6,178.96,178.45,178.7,17524
1768311000,179,180.42,178.97,179.7,58967
1768312800,179.7,179.96,178.65,178.81,18844
1768314600,178.82,179.18,176.63,178.735,561982
1768316400,178.74,179.07,176.9,177.23,253128
1768318200,177.195,178.15,176.14,177.55,241283
1768320000,177.54,179.06,177.31,178.66,161101
1768321800,178.61,181.1,178.45,180.8,271842
1768323600,180.8,181.03,178.98,179.29,147082
1768325400,179.32,179.59,178.2,178.27,138000
1768327200,178.26,179.05,178.09,178.61,90031
1768329000,178.65,178.76,177.01,177.01,102253
1768330800,177.06,178.44,176.77,178.41,123187
1768332600,178.41,179.2,178.22,179.2,73295
1768334400,179.19,179.43,178.84,178.98,101982
1768336200,178.96,179.02,178.25,178.915,187623
1768338000,178.94,179.39,178.88,178.98,12590
1768339800,178.98,178.99,178.8,178.8,2856
1768341600,178.81,178.95,178.75,178.89,2510
1768343400,178.9,178.97,178.9,178.95,1521
1768345200,178.95,178.98,178.78,178.78,960
1768347000,178.78,178.85,178.74,178.75,2013
1768348800,178.74,178.89,178.72,178.85,772
1768350600,178.85,178.89,178.8,178.81,1312
1768381200,178.65,178.65,178.17,178.17,4001
1768383000,178.19,178.3,177.89,178.27,6667
1768384800,178.17,178.33,177.59,177.73,8036
1768386600,177.8,177.82,177.26,177.66,8549
1768388400,177.66,178,177.42,177.92,9591
1768390200,177.97,177.97,177.63,177.64,3969
1768392000,177.67,178.08,177.26,177.97,17013
1768393800,177.97,178.9,177.95,178.55,20607
1768395600,178.5,178.71,178.27,178.55,13093
1768397400,178.62,178.7,177.92,178.27,15607
1768399200,178.28,178.45,177.81,178.07,14139
1768401000,178.15,181.58,175.21,175.61,644857
1768402800,175.57,179.29,174.47,177.44,464351
1768404600,177.42,177.42,174.56,174.88,388921
1768406400,174.9,175.74,174.59,175.54,166761
1768408200,175.52,175.67,173.95,174.39,240413
1768410000,174.39,175.6,174.05,175.51,188121
1768411800,175.49,175.76,174.73,175.48,100468
1768413600,175.46,176.32,175.39,176.03,119340
1768415400,176,176.17,174.88,175.65,126023
1768417200,175.63,176.25,175.11,176.13,109257
1768419000,176.14,176.78,176,176.31,101249
1768420800,176.39,178.04,175.99,177.62,196880
1768422600,177.61,178.48,177.55,178.45,268038
1768424400,178.35,178.5,178,178.02,8875
1768426200,178.01,178.15,177.5,177.87,4523
1768428000,177.9,177.9,177.71,177.9,991
1768429800,177.79,177.9,177.72,177.79,3389
1768431600,177.78,177.88,177.5,177.6,3175
1768433400,177.75,177.75,177.55,177.7,1261
1768435200,177.76,177.78,177.701,177.701,477
1768437000,177.66,177.73,177.65,177.71,203
1768467600,177.75,179.04,177.75,178.97,14777
1768469400,178.96,179.08,178.69,178.77,5032
1768471200,178.8,179.13,178.8,178.97,13272
1768473000,178.97,179.2,178.95,178.98,7981
1768474800,178.98,179.2,178.95,178.96,5124
1768476600,178.97,179.26,178.97,179.11,7005
1768478400,179.11,179.28,178.84,178.84,30979
1768480200,178.85,179,178.78,178.9,5441
1768482000,178.88,179.05,178.75,179.04,11395
1768483800,179.05,179.34,178.87,179.16,11783
1768485600,179.17,179.39,178.71,178.8,24627
1768487400,178.7,180.6,178.3,178.77,616077
1768489200,178.77,179.02,177.18,178.67,387272
1768491000,178.66,180.21,178.05,179.745,430171
1768492800,179.75,179.86,178.3,178.32,177950
1768494600,178.28,180.09,178.13,179.8,207512
1768496400,179.78,180.3,179.56,179.56,169943
1768498200,179.56,179.65,178.88,179.32,160244
1768500000,179.27,180.44,179.23,180.1,158929
1768501800,180.09,180.4,179.58,179.64,109538
1768503600,179.6,179.81,178.3,178.48,191853
1768505400,178.39,178.72,177.71,178.12,159513
1768507200,178.05,178.07,176.64,176.81,230728
1768509000,176.82,177.79,176.54,177.1,298079
1768510800,176.99,177.26,176.99,177.13,7022
1768512600,177.13,177.18,177.02,177.15,2603
1768514400,177.13,177.35,177.07,177.15,3737
1768516200,177.2,177.7,177.2,177.62,4720
1768518000,177.62,177.62,177.3,177.53,2477
1768519800,177.53,177.7,177.37,177.62,3257
1768521600,177.62,177.62,177.411,177.55,2290
1768523400,177.55,177.71,177.55,177.7,1370
1768554000,178.13,178.41,178,178.41,2472
1768555800,178.42,178.42,178.17,178.18,1119
1768557600,178.17,178.43,178.16,178.4,2149
1768559400,178.39,178.61,178.36,178.54,4074
1768561200,178.57,178.61,178.43,178.53,2914
1768563000,178.53,178.56,178.29,178.31,3387
1768564800,178.39,178.5,178.2,178.3,8704
1768566600,178.28,178.31,178,178.11,4328
1768568400,178.12,178.22,177.75,177.89,6128
1768570200,177.93,178.1,177.83,177.97,5833
1768572000,178,179.72,177.95,179.54,39017
1768573800,179.53,182.43,174.22,174.35,1249558
1768575600,174.34,175.23,172.57,173.03,801721
1768577400,173.03,173.7,171.77,173.67,453340
1768579200,173.66,174.27,173.15,174.17,247631
1768581000,174.22,174.97,173.69,174.35,265439
1768582800,174.34,174.34,172.06,172.69,292827
1768584600,172.68,172.785,170.81,170.86,409937
1768586400,170.91,171.85,170.77,171.79,266147
1768588200,171.8,171.96,171.11,171.14,174178
1768590000,171.12,171.37,170.53,170.6,308829
1768591800,170.62,171.3,170.01,171.28,310934
1768593600,171.28,171.48,170.16,171.11,309114
1768595400,171.1,171.35,170.51,170.975,547303
1768597200,171.03,171.51,170.92,171.45,25649
1768599000,171.49,171.5,171.1,171.29,13240
1768600800,171.28,171.45,171.24,171.42,4877
1768602600,171.45,171.47,171.37,171.47,6030
1768604400,171.48,171.6,171.45,171.6,5609
1768606200,171.6,171.93,171.58,171.93,5866
1768608000,171.93,171.94,171.72,171.74,2625
1768609800,171.75,171.75,171.55,171.65,1807
1768899600,166.41,167.51,165.43,165.44,65307
