time,open,high,low,close,Volume
1769449200,169.59,169.68,169.51,169.56,5941
1769449500,169.53,169.53,169.28,169.46,17147
1769449800,169.48,169.51,169.2,169.2,12389
1769450100,169.23,169.31,169.08,169.24,10707
1769450400,169.23,169.23,168.75,168.86,37209
1769450700,168.84,168.85,168.7,168.77,12650
1769451000,168.77,168.89,168.62,168.72,9608
1769451300,168.71,169.25,168.68,169.1,16071
1769451600,169.09,169.21,168.91,169.18,9198
1769451900,169.18,169.21,169,169.04,4853
1769452200,169.06,169.21,168.9,168.9,9532
1769452500,168.895,168.895,168.44,168.46,26835
1769452800,168.45,168.49,168.22,168.49,11899
1769453100,168.46,168.64,168.33,168.46,8872
1769453400,168.43,168.58,168.41,168.47,7410
1769453700,168.47,168.59,168.28,168.35,11326
1769454000,168.33,168.69,168.31,168.42,9952
1769454300,168.41,168.48,168.34,168.39,13609
1769454600,168.42,168.61,168.37,168.37,10972
1769454900,168.35,168.49,168.07,168.22,19161
1769455200,168.19,168.23,167.99,168.05,24457
1769455500,168.02,168.13,167.96,168.1,10841
1769455800,168.08,168.32,168,168.28,22388
1769456100,168.28,168.48,168.27,168.29,6354
1769456400,168.28,168.33,168.12,168.12,6108
1769456700,168.11,168.11,167.7,167.78,15316
1769457000,167.79,167.84,167.6,167.67,14548
1769457300,167.67,167.67,167.44,167.63,29202
1769457600,167.63,167.81,167.41,167.77,14266
1769457900,167.81,167.92,167.78,167.8,12787
1769458200,167.8,167.83,167.66,167.75,8110
1769458500,167.74,167.85,167.62,167.84,8849
1769458800,167.86,168.16,167.8,168.03,27865
1769459100,168.06,168.24,167.99,168.15,18614
1769459400,168.18,168.36,168.13,168.24,21442
1769459700,168.24,168.37,168.14,168.16,14609
1769460000,168.15,168.32,168.03,168.07,18964
1769460300,168.07,168.23,168.04,168.13,19029
1769460600,167.97,168.12,167.7,167.81,51987
1769460900,167.86,167.87,167.325,167.48,70888
1769461200,167.41,167.8,167.41,167.48,3511
1769461500,167.49,167.5,167.4,167.49,2885
1769461800,167.46,167.5,167.42,167.49,2050
1769462100,167.49,167.69,167.46,167.65,1872
1769462400,167.65,167.65,167.51,167.55,251
1769462700,167.54,167.63,167.51,167.55,1062
1769463000,167.6,167.6,167.53,167.55,561
1769463300,167.58,167.59,167.44,167.49,2599
1769463600,167.49,167.6,167.41,167.52,2281
1769463900,167.54,167.54,167.47,167.47,1278
1769464200,167.48,167.5,167.46,167.47,1038
1769464500,167.46,167.5,167.33,167.35,1626
1769464800,167.38,167.46,167.38,167.4,886
1769465100,167.4,167.4,167.32,167.33,1541
1769465400,167.33,167.42,167.33,167.39,291
1769465700,167.41,167.43,167.37,167.38,366
1769466000,167.4,167.45,167.36,167.36,379
1769466300,167.36,167.44,167.35,167.41,199
1769466600,167.41,167.44,167.4,167.44,289
1769466900,167.43,167.44,167.41,167.41,50
1769467200,167.42,167.45,167.42,167.45,220
1769467500,167.44,167.47,167.42,167.47,235
1769467800,167.47,167.5,167.47,167.47,287
1769468100,167.47,167.55,167.47,167.55,831
1769468400,167.55,167.55,167.46,167.47,508
1769468700,167.49,167.5,167.49,167.5,2
1769469000,167.47,167.55,167.45,167.53,367
1769469300,167.53,167.66,167.53,167.6,2457
1769469600,167.64,167.68,167.64,167.68,856
1769469900,167.64,167.64,167.57,167.58,85
1769470200,167.6,167.62,167.45,167.45,1119
1769470500,167.5,167.5,167.49,167.5,26
1769470800,167.5,167.69,167.5,167.68,1515
1769471100,167.68,167.68,167.63,167.63,441
1769471400,167.67,167.68,167.67,167.68,262
1769471700,167.68,167.68,167.52,167.64,39
1769472000,167.6,167.64,167.58,167.6,123
1769472300,167.64,167.64,167.63,167.63,21
1769472600,167.63,167.66,167.61,167.66,68
1769472900,167.66,167.68,167.66,167.68,217
1769473200,167.71,167.76,167.68,167.68,360
1769473500,167.69,167.76,167.5,167.68,333
1769473800,167.69,167.69,167.68,167.69,174
1769474100,167.749,167.749,167.73,167.74,46
1769474400,167.75,167.75,167.7,167.749,366
1769474700,167.7,167.76,167.7,167.75,64
1769475000,167.69,167.69,167.69,167.69,1
1769475300,167.76,167.76,167.76,167.76,102
1769504400,169,169,168,168.42,1813
1769504700,168.42,168.53,168.2,168.34,764
1769505000,168.37,168.5,168.09,168.21,2749
1769505300,168.26,168.41,168.16,168.32,447
1769505600,168.33,168.43,168.23,168.4,1055
1769505900,168.4,168.47,168.39,168.43,68
1769506200,168.4,168.43,168.31,168.33,225
1769506500,168.44,168.44,168.32,168.42,251
1769506800,168.45,168.56,168.39,168.45,496
1769507100,168.44,168.55,168.43,168.48,115
1769507400,168.48,168.54,168.33,168.45,891
1769507700,168.45,168.47,168.13,168.17,2103
1769508000,168.21,168.41,168.21,168.38,222
1769508300,168.38,168.42,168.31,168.39,617
1769508600,168.42,168.43,168.37,168.37,237
1769508900,168.39,168.52,168.36,168.5,960
1769509200,168.5,168.59,168.49,168.55,451
1769509500,168.57,168.63,168.51,168.63,631
1769509800,168.54,168.61,168.5,168.61,309
1769510100,168.595,168.6,168.55,168.55,195
1769510400,168.56,168.62,168.54,168.58,658
1769510700,168.58,168.64,168.56,168.61,687
1769511000,168.6,168.61,168.55,168.59,459
1769511300,168.59,168.62,168.53,168.62,446
1769511600,168.63,168.64,168.51,168.58,649
1769511900,168.6,168.62,168.5,168.59,899
1769512200,168.58,168.61,168.52,168.52,280
1769512500,168.55,168.61,168.5,168.56,709
1769512800,168.56,168.66,168.56,168.62,614
1769513100,168.61,168.63,168.58,168.6,424
1769513400,168.61,168.8,168.61,168.8,1911
1769513700,168.84,168.87,168.78,168.82,1752
1769514000,168.84,168.97,168.83,168.96,1811
1769514300,168.96,168.98,168.88,168.97,516
1769514600,168.97,169.2,168.95,169.18,2849
1769514900,169.18,169.19,168.91,168.96,1437
1769515200,168.94,169.05,168.62,168.62,3162
1769515500,168.67,168.68,168.47,168.56,2344
1769515800,168.53,168.53,168.42,168.435,856
1769516100,168.435,168.435,168.34,168.42,2034
1769516400,168.41,168.5,168.4,168.46,599
1769516700,168.42,168.46,168.17,168.18,1581
1769517000,168.18,168.25,167.98,168.15,4358
1769517300,168.14,168.31,167.98,168.31,639
1769517600,168.24,168.44,168.24,168.29,697
1769517900,168.26,168.39,168.22,168.26,2570
1769518200,168.27,168.3,167.75,167.9,3811
1769518500,167.9,167.96,167.6,167.75,1355
1769518800,167.76,168.01,167.76,167.89,2082
1769519100,167.88,167.98,167.85,167.96,623
1769519400,167.93,168.12,167.91,168.12,1208
1769519700,168.08,168.16,167.99,168.04,617
1769520000,168.02,168.04,167.95,167.97,410
1769520300,167.96,168,167.79,167.8,2439
1769520600,167.78,167.82,167.7,167.73,916
1769520900,167.73,167.83,167.66,167.76,2122
1769521200,167.79,167.8,167.61,167.71,2387
1769521500,167.69,167.8,167.46,167.6,5471
1769521800,167.61,167.69,167.54,167.64,2306
1769522100,167.64,167.67,167.54,167.56,1125
1769522400,167.57,167.74,167.57,167.66,1914
1769522700,167.66,167.79,167.66,167.71,1408
1769523000,167.7,167.74,167.63,167.66,1124
1769523300,167.63,168.13,167.63,168.12,3927
1769523600,168.11,168.16,168.04,168.13,921
1769523900,167.81,168.11,167.4,167.41,6550
1769524200,167.53,168.18,166.45,166.65,92155
1769524500,166.67,167.15,166.16,166.56,46875
1769524800,166.58,167.41,165.84,165.92,54477
1769525100,165.9,166.36,165.87,166.04,39073
1769525400,166.06,167.05,166.03,167.01,46489
1769525700,167.06,167.75,167.06,167.57,43457
1769526000,167.59,168.47,167.33,168.34,73451
1769526300,168.33,168.99,168.19,168.96,36524
1769526600,169,169.18,168.42,168.56,38070
1769526900,168.58,169.35,168.56,169.16,47638
1769527200,169.14,169.41,168.59,168.64,62920
1769527500,168.645,168.645,168.28,168.32,16222
1769527800,168.3,168.51,167.97,168.1,29703
1769528100,168.1,168.1,167.89,168.07,26329
1769528400,168.07,168.11,167.83,167.84,17220
