time,open,high,low,close,Volume
1765389600,187.47,187.54,186.22,186.92,356386
1765393200,186.95,190.13,186.81,190.09,1411422
1765396800,190.12,190.39,187.78,187.91,877979
1765400400,187.82,187.9,186.71,187.75,55333
1765404000,187.72,187.74,186.76,186.83,14727
1765407600,187.07,187.63,186.87,187.2,14277
1765411200,187.13,187.26,186.66,186.81,9788
1765443600,184.6,186.1,183.63,185.68,21501
1765447200,185.66,185.81,185.1,185.38,12343
1765450800,185.46,185.81,185.2,185.69,10321
1765454400,185.77,186.73,185.59,186.38,39536
1765458000,186.38,186.38,184.9,185.2,62826
1765461600,185.2,186,180.25,180.61,929359
1765465200,180.65,184.79,180.21,183.46,727506
1765468800,183.45,185.31,182.77,184.63,339659
1765472400,184.61,186.9,184.39,186.18,465526
1765476000,186.16,187.4,185.98,187.12,210137
1765479600,187.14,188.03,186.93,187.37,250954
1765483200,187.36,187.86,186.52,187.52,406879
1765486800,187.47,188.5,187.32,187.92,36207
1765490400,187.91,188.06,186.15,186.65,22822
1765494000,186.8,187.37,186.42,186.96,6647
1765497600,186.95,186.95,186.57,186.701,15797
1765530000,187.46,187.54,185.62,185.8,15794
1765533600,185.8,186.35,185.72,185.89,7555
1765537200,185.85,186.22,185.2,185.49,10844
1765540800,185.54,186.02,185.31,186,15671
1765544400,185.9,186.76,185.85,186.69,26359
1765548000,186.7,186.86,182.61,184.35,638103
1765551600,184.32,184.53,180.26,180.63,855456
1765555200,180.61,181.5,177.66,180.1,890237
1765558800,180.04,184.21,179.87,183.79,598274
1765562400,183.77,185.71,183.56,184.01,504818
1765566000,184.02,184.36,183.14,183.84,303317
1765569600,183.81,184.01,182.48,183.58,476071
1765573200,183.57,183.74,182.75,182.87,18657
1765576800,182.85,182.85,182.3,182.3,9222
1765580400,182.29,182.5,181.61,181.7,8165
1765584000,181.7,182.25,181.7,182.1,4929
1765789200,182.1,184.03,182.09,183.78,20787
1765792800,183.77,184.09,183.69,183.74,7914
1765796400,183.8,183.95,183.65,183.95,7285
1765800000,183.92,184.02,183.47,183.85,22862
1765803600,183.84,184.92,183.7,184.68,36416
1765807200,184.64,187.775,183.81,184.84,680540
1765810800,184.79,186.37,183.17,185.31,512677
1765814400,185.37,187.19,184.25,185.47,507530
1765818000,185.45,186.16,184.97,185.875,201148
1765821600,185.85,186.78,185.02,186.71,223176
1765825200,186.7,187.02,185.86,186.175,250828
1765828800,186.16,186.18,183.21,183.27,378502
1765832400,183.29,183.59,182.67,182.69,28447
1765836000,182.71,182.93,182.71,182.82,6177
1765839600,182.82,183.05,182.25,182.31,11034
1765843200,182.37,182.42,181.03,181.25,14309
1765875600,181,182,180.13,180.7,20283
1765879200,180.71,181.85,180.53,181.64,8621
1765882800,181.62,181.96,181.28,181.84,9128
1765886400,181.69,182.3,181.57,181.94,20917
1765890000,181.92,182.97,181.04,181.28,49226
1765893600,181.37,185.81,180.5,185.72,665529
1765897200,185.77,187.29,181.88,184.66,903037
1765900800,184.67,186.01,183.73,186,438637
1765904400,185.94,186.35,184.47,184.63,355030
1765908000,184.58,187.58,184.21,187.11,472074
1765911600,187.09,187.21,185.83,187.02,370595
1765915200,187,188.51,186.86,187.72,554534
1765918800,187.67,187.7,187,187.36,32983
1765922400,187.36,187.54,187.3,187.33,5944
1765926000,187.38,187.5,186.88,187.2,7176
1765929600,187.02,187.43,186.78,187.14,1768
1765962000,187.5,188.34,187.14,188.14,21753
1765965600,188.1,188.4,188.01,188.09,13697
1765969200,188.06,188.2,187.52,188.09,11541
1765972800,188.13,188.94,188,188.81,48205
1765976400,188.79,188.9,187.81,188.69,29972
1765980000,188.63,188.67,184.61,187.11,702025
1765983600,187.07,187.5,181.28,181.94,1096026
1765987200,181.92,183.37,177.7,179.08,1188616
1765990800,179.08,181.44,178.52,181.24,476658
1765994400,181.27,181.91,178.67,179.48,337676
1765998000,179.5,179.69,177.41,178.81,469134
1766001600,178.8,178.95,176.94,177.31,610851
1766005200,177.24,178.45,177.24,177.9,39980
1766008800,177.92,178.47,177.5,178.41,13657
1766012400,178.47,178.5,177.5,177.5,12366
1766016000,177.66,178.48,177.6,178.48,7724
1766048400,179.2,179.98,178.32,179.83,17605
1766052000,179.8,179.86,179.5,179.59,8110
1766055600,179.67,179.94,179.49,179.79,10916
1766059200,179.75,180.6,179.64,180.14,24308
1766062800,180.12,182.78,179.75,182.02,105722
1766066400,182.1,184.76,181.3,183.56,784063
1766070000,183.41,187.22,182.12,186.12,1046605
1766073600,186.11,187.32,185.76,187.07,493153
1766077200,187.06,187.17,184.26,187.12,425585
1766080800,187.08,187.2,186.63,186.81,349058
1766084400,186.76,186.83,184.53,184.6,342043
1766088000,184.59,186.33,184.31,185.69,454350
1766091600,185.68,185.75,185,185.07,33434
1766095200,185.12,185.59,185.11,185.48,10852
1766098800,185.49,185.65,185.3,185.65,2960
1766102400,185.65,185.85,185.35,185.6,4549
1766134800,186.62,187.36,186.5,187.02,9894
1766138400,187.01,187.28,186.73,187.07,6963
1766142000,186.96,187.3,186.85,186.94,5931
1766145600,186.96,187.25,186.6,186.62,24429
1766149200,186.73,187.06,186.53,186.72,13952
1766152800,186.77,191.26,186.66,190.51,1170048
1766156400,190.49,192.36,189.65,190.39,973028
1766160000,190.34,191.5,189.83,190.44,485859
1766163600,190.45,191.45,190.4,190.43,349641
1766167200,190.42,190.98,189.18,189.41,373732
1766170800,189.38,191.08,189.35,190.91,318188
1766174400,190.89,195,190.88,193.4,1533632
1766178000,193.39,194.2,193.1,193.72,46896
1766181600,193.71,193.85,193.58,193.79,12166
1766185200,193.79,193.99,193.74,193.97,6128
1766188800,193.98,194.11,193.98,194,6608
1766394000,194.22,195.05,194.16,194.79,23050
1766397600,194.84,194.94,194.15,194.5,12975
1766401200,194.48,194.6,194.11,194.3,14412
1766404800,194.31,194.94,194.25,194.91,47159
1766408400,194.89,195.04,194.48,194.67,65104
1766412000,194.67,198.87,194.39,196.68,1488519
1766415600,196.74,196.905,192.7,193.7,896346
1766419200,193.73,194.14,192.88,193.34,320421
1766422800,193.39,193.81,192.86,193.42,183776
1766426400,193.42,193.54,192.7,192.77,146268
1766430000,192.8,193.61,192.44,193.23,198746
1766433600,193.2,194.09,192.73,193.95,401907
1766437200,194,194.1,193.5,193.71,13209
1766440800,193.61,193.75,193.57,193.65,6579
1766444400,193.65,193.78,193.54,193.6,4091
1766448000,193.6,193.76,193.53,193.76,1000
1766480400,193.59,193.98,193.51,193.58,11710
1766484000,193.59,193.67,193.2,193.22,6316
1766487600,193.22,193.33,192.97,193.1,7179
1766491200,193.12,193.3,192.88,193.03,14455
1766494800,193.04,193.04,191.59,191.8,47419
1766498400,191.76,195.37,191.76,193.63,516267
1766502000,193.58,194.065,191.74,193.59,511576
1766505600,193.63,194.42,193.2,193.8,248015
1766509200,193.78,193.9,193.14,193.14,145352
1766512800,193.16,193.7,192.85,193.07,150639
1766516400,193.08,193.79,193.04,193.79,130114
1766520000,193.78,194.24,193.64,194.1,315606
1766523600,194.02,194.12,193.75,193.94,11042
1766527200,193.91,193.91,193.73,193.75,4373
1766530800,193.76,193.8,193.7,193.73,788
1766534400,193.76,193.86,193.74,193.8,1083
1766566800,193.5,193.58,193.12,193.42,6204
1766570400,193.39,193.495,193.26,193.45,2784
1766574000,193.41,193.68,193.41,193.56,3741
1766577600,193.57,193.96,193.43,193.96,8814
1766581200,193.94,194.41,193.75,194.13,13546
1766584800,194.07,195.17,192.36,193.34,360728
1766588400,193.4,194.51,193.25,193.88,297657
1766592000,193.89,194.42,193.82,194.16,139060
1766595600,194.19,194.35,193.8,194.14,199002
1766599200,194.16,194.29,193.91,194,7266
1766602800,194,194,193.91,193.92,4152
1766606400,193.94,193.99,193.91,193.95,1161
1766610000,193.95,193.99,193.9,193.9,1620
1766739600,193.9,194.7,193.9,194.42,4042
1766743200,194.42,194.62,194.35,194.44,6371
1766746800,194.45,194.46,194.21,194.38,4907
1766750400,194.4,194.66,194.26,194.58,9068
1766754000,194.6,195,194.51,194.81,19501
1766757600,194.81,196.33,191.61,192.2,537095
1766761200,192.22,192.46,191.26,191.9,367109
1766764800,191.91,192.09,190.95,190.985,275238
1766768400,191,191.24,190.27,191.03,245455
1766772000,191.03,191.17,190.02,190.48,152530
1766775600,190.5,190.54,188.88,189.01,359960
1766779200,189.01,189.37,188.62,188.74,514914
1766782800,188.745,188.8,188.2,188.56,20398
1766786400,188.56,188.62,188.48,188.53,5450
1766790000,188.59,188.67,188.4,188.45,5029
1766793600,188.55,188.55,188.29,188.29,2110
1766998800,186.82,188.55,186.2,187.22,22991
1767002400,187.2,187.33,186.9,186.9,8421
1767006000,186.9,187.16,186.75,187.14,8694
1767009600,187.16,187.3,186.5,186.61,29285
1767013200,186.6,186.9,186.18,186.29,37310
1767016800,186.32,187.18,184.41,184.67,678444
1767020400,184.66,186.59,183.65,186.01,479447
1767024000,186.02,186.73,185.61,186.35,214337
1767027600,186.35,186.83,185.66,186.21,169819
1767031200,186.2,186.2,184.74,184.83,196449
1767034800,184.84,185.68,184.82,185.53,186141
1767038400,185.535,185.535,183.95,184.2,363038
1767042000,184.07,184.17,183.77,183.87,25247
1767045600,183.84,183.89,183.66,183.88,13500
1767049200,183.88,183.96,183.58,183.58,9489
1767052800,183.58,183.79,183.52,183.71,2073
1767085200,184.28,185,183.69,184.88,8812
1767088800,184.91,185.11,184.83,184.93,5957
1767092400,184.93,184.93,184.52,184.7,15507
1767096000,184.68,184.81,184.51,184.8,20171
1767099600,184.78,184.88,184.1,184.36,24497
1767103200,184.34,184.53,181.73,182.92,406929
1767106800,182.89,184.46,182.69,184.31,469041
1767110400,184.29,184.72,183.82,183.82,240061
1767114000,183.81,184.07,182.98,183.14,151039
1767117600,183.15,183.15,182.4,182.75,204254
1767121200,182.75,183.17,182.34,182.49,113419
1767124800,182.49,182.49,180.71,180.8,396695
1767128400,180.84,180.94,180.45,180.86,24667
1767132000,180.85,180.85,180.52,180.62,7032
1767135600,180.63,180.71,180.4,180.53,6099
1767139200,180.52,180.59,180.19,180.2,5755
1767171600,179.76,180.38,179.76,179.97,11254
1767175200,179.92,180.01,179.71,179.96,4187
1767178800,180,180.15,179.9,180.08,3676
1767182400,180.07,180.44,179.85,180.31,12005
1767186000,180.34,181.82,180.21,181.5,19639
1767189600,181.49,181.7,179.34,179.91,341507
1767193200,179.89,180.77,179.64,180.1,293318
1767196800,180.12,180.29,179.66,180.25,166430
1767200400,180.25,180.35,179.24,179.56,208629
1767204000,179.58,179.74,178.59,179.09,202137
1767207600,179.07,179.3,177.72,177.88,226261
1767211200,177.9,178.01,177.25,177.74,392240
1767214800,177.75,177.8,177.39,177.55,14115
1767218400,177.52,178.05,177.47,177.81,6174
1767222000,177.83,177.99,177.78,177.85,2675
1767225600,177.93,178.05,177.62,177.779,3531
1767344400,180.72,182.87,180.15,182.83,28375
1767348000,182.84,182.92,182.56,182.75,12522
1767351600,182.78,182.95,182.31,182.36,13270
1767355200,182.35,182.45,181.47,181.6,25801
1767358800,181.57,181.66,181.03,181.37,24731
1767362400,181.35,181.63,176.4,177.15,780947
1767366000,177.13,177.89,172.74,173,1256833
1767369600,173,173.06,169.86,170.41,935314
1767373200,170.39,170.75,168.37,168.66,701743
1767376800,168.66,169.09,166.36,166.88,717479
1767380400,166.89,168.86,166.69,167.48,705463
1767384000,167.48,169.4,167.43,167.88,761987
1767387600,167.91,169.11,167.84,169.1,48665
1767391200,169.1,169.37,169.09,169.25,20054
1767394800,169.23,169.77,169.23,169.73,16492
1767398400,169.75,169.9,169.55,169.61,9528
1767603600,174.25,175.08,173.48,173.72,49469
1767607200,173.68,174.91,173.68,174.61,34076
1767610800,174.62,175.06,174.35,174.41,45225
1767614400,174.41,174.6,173.59,173.99,102295
1767618000,174,174.44,173.01,173.85,118414
1767621600,173.92,175.75,171.79,174.28,948159
1767625200,174.33,175,173.37,174.96,689771
1767628800,174.94,175.81,174.41,174.52,456910
1767632400,174.56,174.97,173.67,173.77,233356
1767636000,173.77,174.36,173.17,174.34,190487
