time,open,high,low,close,Volume,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1731594600,19.43,19.43,17.2505,17.36,45508969,12.085,5.74,8.912500000000001,7.07245,0,0,0,7.1189916517850635
1731681000,17.03,19.48,16.8,19,42280047,12.085,5.74,8.912500000000001,7.07245,0,0,0,7.237210640324515
1731940200,19.54,20.35,18.47,19.29,29165923,12.085,5.74,8.912500000000001,7.07245,0,0,0,7.357138892659595
1732026600,19.025,20.97,18.72,20.5,28809562,12.085,5.74,8.912500000000001,7.07245,0,0,0,7.487913630046067
1732113000,20.55,20.76,19.64,20.18,17269695,22.55,10.29,16.42,12.8646,0,0,0,7.6142030466625235
1732199400,20.4,22.48,19.75,22.41,28114890,22.55,10.29,16.42,12.8646,0,0,0,7.761424906894737
1732285800,23.025,23.81,22.38,23.26,28378030,22.55,10.29,16.42,12.8646,0,0,0,7.915639584438073
1732545000,25.385,25.5799,22.8202,24.06,40883178,22.55,10.29,16.42,12.8646,0,0,0,8.076279986582968
1732631400,23.72,26.71,23.62,25.44,41464099,22.55,10.29,16.42,12.8646,0,0,0,8.249053320049804
1732717800,25.895,27.2,24.73,25.67,26623100,22.55,10.29,16.42,12.8646,0,0,0,8.422396073084133
1732890600,26,28.05,25.66,27.28,19870548,22.55,10.29,16.42,12.8646,0,0,0,8.610033923103197
1733149800,27.975,28.1,24,24.155,41206917,22.55,10.29,16.42,12.8646,0,0,0,8.764710202475305
1733236200,23.8,24.2599,22.5,23.01,30532442,22.55,10.29,16.42,12.8646,0,0,0,8.906454379565103
1733322600,22.95,24,22.34,23.11,23047128,22.55,10.29,16.42,12.8646,0,0,0,9.047783191708733
1733409000,23.105,24.52,22.66,23.92,19910388,22.55,10.29,16.42,12.8646,0,0,0,9.195765448507652
1733495400,24.425,25,23.43,24.68,19915408,22.55,10.29,16.42,12.8646,0,0,0,9.34983743409464
1733754600,24.96,25.09,21.87,23.24,27871041,28.1,10.29,19.195,14.0301,0,0,0,9.488048006889718
1733841000,22.85,24.4,22.8,22.85,12572951,28.1,10.29,19.195,14.0301,0,0,0,9.62100275308982
1733927400,22.98,23.985,21.93,23.35,14544824,28.1,10.29,19.195,14.0301,0,0,0,9.757609690870021
1734013800,22.92,23.96,22.33,22.58,13386699,28.1,10.29,19.195,14.0301,0,0,0,9.885195664095194
1734100200,22.43,24.57,22.42,24.42,18758537,28.1,10.29,19.195,14.0301,0,0,0,10.029820582860417
1734359400,24.465,25.95,23.35,25.9,19543689,28.1,10.29,19.195,14.0301,0,0,0,10.18773281586678
1734445800,25.9,26.45,24.53,26.37,15277958,28.1,10.29,19.195,14.0301,0,0,0,10.348750399788504
1734532200,26.28,26.78,22.89,22.92,21660874,28.1,10.29,19.195,14.0301,0,0,0,10.473837460487125
1734618600,23.66,24.7,22.7,23.22,15541757,28.1,10.29,19.195,14.0301,0,0,0,10.600664948442477
