time,open,high,low,close,Volume,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1760112000,70.08,70.3,64.15,64.24,1044742,54.15,46.79,50.47,48.3356,0,0,0,48.95090485658367
1760126400,64.24,65.01,58.51,63.22,289011,54.15,46.79,50.47,48.3356,0,0,0,49.09288590278682
1760342400,66.22,69.31,66.22,68.24,162850,54.15,46.79,50.47,48.3356,0,0,0,49.283404451017795
1760356800,68.2,70.42,66.13,66.64,1078812,54.15,46.79,50.47,48.3356,0,0,0,49.45610689429125
1760371200,66.64,68,64.65,65.41,691269,54.15,46.79,50.47,48.3356,0,0,0,49.61485209932318
1760385600,65.55,67.25,65.55,66.981,60586,73.5,45.22,59.36,51.1588,0,0,0,49.787649590872206
1760428800,66.99,66.99,62,66.52,162339,73.5,45.22,59.36,51.1588,0,0,0,49.95414063971925
1760443200,66.51,69.39,62.2,67.08,1272944,73.5,45.22,59.36,51.1588,0,0,0,50.12454720051806
1760457600,67.12,69.67,66.86,68.045,896678,73.5,45.22,59.36,51.1588,0,0,0,50.302860163696984
1760472000,68.05,68.6,67.7,68.36,33920,73.5,45.22,59.36,51.1588,0,0,0,50.48253319689403
1760515200,69.26,71.39,69.1,70.71,106016,73.5,45.22,59.36,51.1588,0,0,0,50.6838015232931
1760529600,70.69,73.97,68.6,69.98,1187460,73.5,45.22,59.36,51.1588,0,0,0,50.875803498185704
1760544000,69.95,70.36,67.09,69.28,935260,73.5,45.22,59.36,51.1588,0,0,0,51.05892983153709
1760558400,69.38,70,69.1,69.85,33175,73.5,45.22,59.36,51.1588,0,0,0,51.24590565410886
1760601600,69.94,70.65,69.77,70.39,51189,73.5,45.22,59.36,51.1588,0,0,0,51.436394155063
1760616000,70.37,72.25,67.31,67.43,1042782,73.5,45.22,59.36,51.1588,0,0,0,51.59553451172904
1760630400,67.4,69.25,66.44,66.99,697255,73.5,45.22,59.36,51.1588,0,0,0,51.74871327280636
1760644800,67.07,67.69,65.9,65.98,34483,73.97,58.51,66.24,61.7566,0,0,0,51.89031811586302
1760688000,64.1,66.72,60.91,66.53,203179,73.97,58.51,66.24,61.7566,0,0,0,52.03598659232209
1760702400,66.52,68.49,63.71,64.57,851293,73.97,58.51,66.24,61.7566,0,0,0,52.160703143642266
1760716800,64.6,66.38,64.32,66.27,441735,73.97,58.51,66.24,61.7566,0,0,0,52.301094157138365
1760731200,66.29,66.94,66.05,66.78,20775,73.97,58.51,66.24,61.7566,0,0,0,52.44516287199271
1760947200,68,70.7,68,69.17,146975,73.97,58.51,66.24,61.7566,0,0,0,52.61157916182363
1760961600,69.29,72.17,68.32,69.77,1402059,73.97,58.51,66.24,61.7566,0,0,0,52.782309717427374
1760976000,69.81,70.18,66.67,67.35,700783,73.97,58.51,66.24,61.7566,0,0,0,52.927261859542526
1760990400,67.49,68.7,67.36,68.51,29364,73.97,58.51,66.24,61.7566,0,0,0,53.082313980343095
1761033600,68.7,69.37,67.7,68.9,61667,73.97,58.51,66.24,61.7566,0,0,0,53.23970389098645
1761048000,68.82,69.41,65.7,66.85,536335,73.97,58.51,66.24,61.7566,0,0,0,53.37512972291693
1761062400,66.82,67.24,64.86,65.37,461862,73.97,58.51,66.24,61.7566,0,0,0,53.494481665972486
1761076800,65.45,65.55,64.62,64.66,23090,72.17,60.91,66.53999999999999,63.2746,0,0,0,53.60558135088818
1761120000,64.54,65.65,63.31,63.83,105869,72.17,60.91,66.53999999999999,63.2746,0,0,0,53.70731685983456
1761134400,63.86,64.12,59.65,60.55,1048434,72.17,60.91,66.53999999999999,63.2746,0,0,0,53.77540325923919
1761148800,60.52,60.95,58.4,60.56,685011,72.17,60.91,66.53999999999999,63.2746,0,0,0,53.842911684520395
1761163200,60.58,60.8,60.02,60.69,25603,72.17,60.91,66.53999999999999,63.2746,0,0,0,53.91104191651522
1761206400,61.33,63.9,60.9,61.51,86212,72.17,60.91,66.53999999999999,63.2746,0,0,0,53.98665343973397
1761220800,61.52,63.59,60.77,63.31,455844,72.17,60.91,66.53999999999999,63.2746,1,0,0,54.07942305724905
1761235200,63.22,64.7,62.78,63.57,571980,72.17,60.91,66.53999999999999,63.2746,0,0,0,54.17385665866946
1761249600,63.61,64.42,62.91,64.39,20053,72.17,60.91,66.53999999999999,63.2746,0,0,0,54.275509826244885
1761292800,64.55,65.25,64.42,65.15,49304,72.17,60.91,66.53999999999999,63.2746,0,0,0,54.38371370857081
1761307200,65.13,66.39,63.65,64.48,722494,72.17,60.91,66.53999999999999,63.2746,0,0,0,54.484174268684534
1761321600,64.5,65.41,64.25,64.57,285645,72.17,60.91,66.53999999999999,63.2746,0,0,0,54.584530743623
1761336000,64.57,65.03,64.48,64.82,15549,72.17,60.91,66.53999999999999,63.2746,0,0,0,54.68637620886058
1761552000,66.34,66.575,65.6,66.14,62511,72.17,60.91,66.53999999999999,63.2746,0,0,0,54.80034261474256
1761566400,66.14,66.39,64.25,64.39,426415,72.17,60.91,66.53999999999999,63.2746,0,0,0,54.89576209121279
1761580800,64.38,66.35,64.16,65.64,412916,72.17,60.91,66.53999999999999,63.2746,0,0,0,55.00266993110122
1761595200,65.59,65.99,65.55,65.87,30007,72.17,60.91,66.53999999999999,63.2746,0,0,0,55.1108025686027
1761638400,65.8,65.8,64.95,65.6,22847,72.17,60.91,66.53999999999999,63.2746,0,0,0,55.2151726922982
1761652800,65.58,66.54,64.695,65.4,402781,72.17,60.91,66.53999999999999,63.2746,0,0,0,55.31651425754896
1761667200,65.37,66.47,63.62,63.74,460375,66.575,58.4,62.4875,60.116749999999996,0,0,0,55.40033003608081
1761681600,63.75,64.34,63.75,64.34,20167,66.575,58.4,62.4875,60.116749999999996,0,0,0,55.4892819760203
1761724800,64.52,64.63,64.04,64.22,22505,66.575,58.4,62.4875,60.116749999999996,0,0,0,55.5761547921793
1761739200,64.19,67.37,63.49,67.07,579235,66.575,58.4,62.4875,60.116749999999996,0,0,0,55.69052141116259
1761753600,67.07,67.39,64.26,66.18,706070,66.575,58.4,62.4875,60.116749999999996,0,0,0,55.79489433244456
1761768000,66.16,66.78,65.65,65.97,12262,66.575,58.4,62.4875,60.116749999999996,0,0,0,55.896139164957546
1761811200,65.85,67,65.45,66.16,27200,66.575,58.4,62.4875,60.116749999999996,0,0,0,55.99826713346543
1761825600,66.145,66.145,62.84,63.19,513833,66.575,58.4,62.4875,60.116749999999996,0,0,0,56.06982666447573
1761840000,63.2,63.88,60.89,60.89,565482,66.575,58.4,62.4875,60.116749999999996,0,0,0,56.117788588212285
1761854400,60.96,62.49,60.92,62.05,67501,66.575,58.4,62.4875,60.116749999999996,0,0,0,56.176815567434055
1761897600,62.1,62.35,61.65,61.96,35425,67.39,58.4,62.894999999999996,60.2879,0,0,0,56.23435969114118
1761912000,61.98,63.44,60.87,61.93,507404,67.39,58.4,62.894999999999996,60.2879,0,0,0,56.291032729040275
1761926400,61.9,63.25,60.42,62.96,411026,67.39,58.4,62.894999999999996,60.2879,0,0,0,56.357390612333404
