time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1768938300,239.28,239.89,239.12,239.79,242.88,237,239.94,238.25832,0,0,0,243.37582712013503
1768939200,239.82,240.56,239.81,240.25,242.88,237,239.94,238.25832,0,0,0,243.34472436272074
1768940100,240.01,240.15,239.76,240.07,242.88,237,239.94,238.25832,0,0,0,243.3121400407036
1768941000,239.98,239.99,239.7,239.86,242.88,237,239.94,238.25832,0,0,0,243.2777903885573
1768941900,239.89,240.84,239.74,240.46,242.88,237,239.94,238.25832,0,0,0,243.24975267324825
1768943700,241,241.1,240.74,240.74,242.88,237,239.94,238.25832,0,0,0,243.22478000983284
1768944600,240.61,242.12,240.61,240.61,242.88,237,239.94,238.25832,0,0,0,243.19876229829222
1768946400,240.69,240.71,240.69,240.71,242.88,237,239.94,238.25832,0,0,0,243.1739984943291
1768947300,240.78,240.8,240.78,240.78,242.88,237,239.94,238.25832,0,0,0,243.15017761378851
1768949100,240.62,240.62,240.61,240.61,242.88,237,239.94,238.25832,0,0,0,243.12490221464634
1768950000,240.59,240.78,240.59,240.78,242.88,237,239.94,238.25832,0,0,0,243.1015698543016
1768951800,241,241,241,241,242.12,239.05,240.585,239.70698000000002,0,0,0,243.08065871147272
1768952700,240.85,240.85,240.85,240.85,242.12,239.05,240.585,239.70698000000002,0,0,0,243.05846310240335
1768953600,240.06,240.58,240.06,240.58,242.12,239.05,240.585,239.70698000000002,0,0,0,243.03380177800133
1768955400,240.78,240.78,240.78,240.78,242.12,239.05,240.585,239.70698000000002,0,0,0,243.01137588966301
1768986000,239.76,240.6,239.76,240.6,242.12,239.05,240.585,239.70698000000002,0,0,0,242.98738209971611
1768989600,241.43,241.43,241.43,241.43,242.12,239.05,240.585,239.70698000000002,0,0,0,242.97188576041546
1768993200,241.43,241.5,241.43,241.5,242.12,239.05,240.585,239.70698000000002,0,0,0,242.95724013095858
1768995000,240.83,240.83,240.6,240.6,242.12,239.05,240.585,239.70698000000002,0,0,0,242.9337850052774
1768995900,240.01,240.01,240,240,242.12,239.05,240.585,239.70698000000002,0,0,0,242.90459311467762
1768996800,239.51,240.59,239.51,240.59,242.12,239.05,240.585,239.70698000000002,0,0,0,242.88156233741714
