time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1731681000,181,181,176.6801,177.62,154.8519,147.23,151.04095,148.83059899999998,0,0,0,154.2889050471275
1731940200,178.14,183.36,177.085,182.93,154.8519,147.23,151.04095,148.83059899999998,0,0,0,154.57389106655907
1732026600,182.12,186.3,181.06,186.01,154.8519,147.23,151.04095,148.83059899999998,0,0,0,154.8866881703744
1732113000,186.07,186.75,184.2,185.5,154.8519,147.23,151.04095,148.83059899999998,0,0,0,155.1912982383309
1732199400,187.31,187.31,184.91,186.58,154.8519,147.23,151.04095,148.83059899999998,0,0,0,155.50362362899426
1732285800,187,188.445,185.87,188.15,154.8519,147.23,151.04095,148.83059899999998,0,0,0,155.82846319487493
1732545000,189.76,190.43,187.47,187.62,154.8519,147.23,151.04095,148.83059899999998,0,0,0,156.14479689442842
1732631400,188.19,189.28,187.14,187.85,154.8519,147.23,151.04095,148.83059899999998,0,0,0,156.4602715521953
1732717800,188.23,188.56,185.35,185.56,154.8519,147.23,151.04095,148.83059899999998,0,0,0,156.7498210889894
1732890600,186.21,189.31,186.21,188.38,154.8519,147.23,151.04095,148.83059899999998,0,0,0,157.06454923735765
1733149800,188.36,188.63,187,187.95,154.8519,147.23,151.04095,148.83059899999998,0,0,0,157.3718671553939
1733236200,187.4,188.38,186.935,188.06,190.43,146.76,168.595,155.9307,0,0,0,157.6772217110616
1733322600,188.5,188.88,187.25,188.2,190.43,146.76,168.595,155.9307,0,0,0,157.98093094776746
1733409000,189.35,191.63,188,190.03,190.43,146.76,168.595,155.9307,0,0,0,158.29982715724242
1733495400,190.355,191.91,188.17,189.71,190.43,146.76,168.595,155.9307,0,0,0,158.61236619050368
1733754600,188.97,191.02,187.67,187.9,190.43,146.76,168.595,155.9307,0,0,0,158.9037854323892
1733841000,186.71,188.24,184.71,185.36,190.43,146.76,168.595,155.9307,0,0,0,159.16703134848484
1733927400,188.88,191.26,186.05,190.46,190.43,146.76,168.595,155.9307,0,0,0,159.47840417088798
1734013800,189.33,190.54,188.27,189.64,190.43,146.76,168.595,155.9307,0,0,0,159.77851955227217
1734100200,188.3,188.65,184.7,185.48,191.91,146.76,169.33499999999998,156.2415,0,0,0,160.03425567613016
1734359400,185.915,188.78,185.315,187.18,191.91,146.76,169.33499999999998,156.2415,0,0,0,160.30436258482538
1734445800,186.64,187.32,185.85,185.93,191.91,146.76,169.33499999999998,156.2415,0,0,0,160.55934405164305
1734532200,186.52,188.4,181.64,181.9,191.91,146.76,169.33499999999998,156.2415,0,0,0,160.77168888695007
1734618600,183.5,184.49,181.16,181.38,191.91,146.76,169.33499999999998,156.2415,0,0,0,160.97674670897047
1734705000,180,184.2,179,181.97,191.91,146.76,169.33499999999998,156.2415,0,0,0,161.18563480141853
1734964200,181.09,183.37,181.085,183.22,191.91,146.76,169.33499999999998,156.2415,0,0,0,161.40488221632978
1735050600,184,185.82,183.63,185.39,191.91,146.76,169.33499999999998,156.2415,0,0,0,161.6435401047245
1735223400,184.75,187.56,184.71,187.16,191.91,146.76,169.33499999999998,156.2415,0,0,0,161.89743522806057
1735309800,187.43,188.36,184.699,186.43,191.91,146.76,169.33499999999998,156.2415,0,0,0,162.14154035016944
1735569000,184.19,185.93,182,184.54,191.91,146.76,169.33499999999998,156.2415,0,0,0,162.36441059544137
1735655400,184.77,185.765,183.65,184.08,191.91,146.76,169.33499999999998,156.2415,0,0,0,162.58048611190463
1735828200,184.66,185.1035,180.87,183.07,191.91,146.76,169.33499999999998,156.2415,0,0,0,162.7843618719852
1735914600,184.6,189.18,184.2,188.75,191.91,146.76,169.33499999999998,156.2415,0,0,0,163.0427264304729
1736173800,190.64,192.14,188.31,188.98,191.91,146.76,169.33499999999998,156.2415,0,0,0,163.3008087545478
1736260200,188.085,188.71,180.875,181.75,191.91,146.76,169.33499999999998,156.2415,0,0,0,163.4843827967911
1736346600,181.59,183.91,180.17,183.74,191.91,146.76,169.33499999999998,156.2415,0,0,0,163.68593122667377
1736519400,181.9,182.88,177.35,178.61,191.91,146.76,169.33499999999998,156.2415,0,0,0,163.8344294234233
1736778600,178.61,179.98,177.925,178.76,191.91,146.76,169.33499999999998,156.2415,0,0,0,163.98294256348873
1736865000,178.91,181.53,178.65,180.03,192.14,179,185.57,181.7594,0,0,0,164.14261477678735
1736951400,183.4,183.795,179.58,181.32,192.14,179,185.57,181.7594,0,0,0,164.3135340327397
1737037800,182.27,184.455,181.26,183.37,192.14,179,185.57,181.7594,0,0,0,164.50315060952838
1737124200,186.95,186.95,184.82,186.41,192.14,179,185.57,181.7594,0,0,0,164.7211292104286
1737469800,187.55,189.035,184.425,185.14,192.14,179,185.57,181.7594,0,0,0,164.9243020541059
1737556200,185.355,188.18,183.54,187.99,192.14,179,185.57,181.7594,0,0,0,165.15381148640336
1737642600,183.28,184.6875,179.61,183.82,192.14,179,185.57,181.7594,0,0,0,165.33954470544413
1737729000,184,185.63,182.565,185.49,192.14,179,185.57,181.7594,0,0,0,165.54004674817602
1737988200,185.05,190.575,184.18,187.87,192.14,179,185.57,181.7594,0,0,0,165.7622353377464
1738074600,186.852,189.7,185.725,187.14,192.14,179,185.57,181.7594,0,0,0,165.97494941398773
1738161000,186.92,191.605,186.92,190.09,192.14,179,185.57,181.7594,0,0,0,166.21490016608735
1738247400,190.91,192.5,189.875,191.23,192.14,179,185.57,181.7594,0,0,0,166.46380663209644
1738333800,190.07,190.93,185.39,185.51,192.14,179,185.57,181.7594,0,0,0,166.65332099396613
1738593000,184.62,187.59,182.89,186.07,192.14,179,185.57,181.7594,0,0,0,166.84652178009583
1738679400,186.14,186.61,182.66,183.54,192.14,179,185.57,181.7594,0,0,0,167.0126260409904
1738765800,185.1,186.17,182.92,184.92,192.14,179,185.57,181.7594,0,0,0,167.19080886645318
1738852200,184.08,184.525,181.86,183.08,192.5,177.35,184.925,180.5315,0,0,0,167.34891027076708
1738938600,198,212.88,195.97,208.77,192.5,177.35,184.925,180.5315,0,0,0,167.7610604173266
1739197800,210.01,215.8442,206.275,212.51,192.5,177.35,184.925,180.5315,0,0,0,168.2063234977512
1739284200,212.27,214.04,208.38,209.94,192.5,177.35,184.925,180.5315,0,0,0,168.62158396046016
1739370600,207.43,210.105,206.555,209.18,192.5,177.35,184.925,180.5315,0,0,0,169.0251502892118
1739457000,209.18,210.58,207.825,210.09,192.5,177.35,184.925,180.5315,0,0,0,169.4337557589709
1739543400,210.23,212.59,208.55,208.76,192.5,177.35,184.925,180.5315,0,0,0,169.82506167181697
1739889000,208.64,216.52,208.41,216.38,192.5,177.35,184.925,180.5315,0,0,0,170.28829488901283
1739975400,218.59,218.7499,212.4573,215.18,192.5,177.35,184.925,180.5315,0,0,0,170.73497852195797
1740061800,215.18,215.33,209.0446,215.24,192.5,177.35,184.925,180.5315,0,0,0,171.17781455656535
1740148200,216,216.53,210.66,211.65,192.5,177.35,184.925,180.5315,0,0,0,171.58052286943536
1740407400,213.21,213.7,207.28,212.02,192.5,177.35,184.925,180.5315,0,0,0,171.9829057264559
1740493800,210.48,210.68,206.07,207.91,192.5,177.35,184.925,180.5315,0,0,0,172.3403892515658
1740580200,208.81,210.28,207.4601,209.11,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,172.70625602518206
1740666600,209.85,211.37,207.625,208.21,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,173.0595271095086
1740753000,208.72,212.1,206.71,211.98,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,173.44679549647864
1741012200,212.89,214.4999,207.78,208.05,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,173.791105989051
1741098600,207.98,209.09,202.01,208.55,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,174.13696563095098
1741185000,208.1,215.27,208.1,214.81,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,174.54167244059326
1741271400,214.2,216.464,207.33,207.87,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,174.8732975904381
1741357800,206.76,207.4483,198.71,204.33,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,175.16639910695116
1741613400,200.98,202.4663,197,201.93,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,175.43270359344916
1741699800,202.04,206.02,201.77,203.8,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,175.71496524923575
1741786200,204.48,206.72,203.49,205.33,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,176.00964221192993
1741872600,204.48,206.2,201.925,203.63,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,176.284471642657
1741959000,205.67,206.32,201.835,204.57,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,176.56591968601364
1742218200,203.82,207.71,203.06,206.5,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,176.86377123142645
1742304600,205.96,206.36,203.7,204.32,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,177.13696753758143
1742391000,204,210.7125,203.48,208.86,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,177.4526196018841
1742477400,206.93,211.46,206.9,209.63,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,177.77279254116883
1742563800,207.51,215,204.21,213.47,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,178.12798863528656
1742823000,217.15,217.175,211.89,213.51,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,178.48004844986082
1742909400,213.66,218.56,211.57,217.95,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,178.8727842861806
1742995800,217,220.93,211.947,215.89,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,179.24111479079573
1743082200,215.77,216.7021,213.631,214.29,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,179.58985991725547
1743168600,214.28,215.52,209.32,210.47,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,179.89712499270567
1743427800,207.4,207.89,200.66,207.25,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,180.16929290322602
1743514200,205.23,210.57,204.7,210.13,218.7499,181.86,200.30495000000002,189.60687900000002,0,0,0,180.46740939175115
1743600600,207.88,212.715,207,211.1,220.93,197,208.965,202.02530000000002,0,0,0,180.77221128835063
1743687000,205.46,211.5,204.94,208.93,220.93,197,208.965,202.02530000000002,0,0,0,181.0523882904566
1743773400,205.1,208.33,194.18,194.58,220.93,197,208.965,202.02530000000002,0,0,0,181.1869913920441
