time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1768258800,248.61,248.61,248.61,248.61,249.55,245.8,247.675,247.23250000000002,0,0,0,252.5074693004056
1768260600,248.9,248.9,248.9,248.9,249.55,245.8,247.675,247.23250000000002,0,0,0,252.47157408348613
1768294800,248.93,248.93,248.42,248.42,249.55,245.8,247.675,247.23250000000002,0,0,0,252.4312599135012
1768296600,248.6,248.6,248.01,248.2,249.55,245.8,247.675,247.23250000000002,0,0,0,252.38915782480964
1768298400,248.62,248.63,248.62,248.63,249.55,245.8,247.675,247.23250000000002,0,0,0,252.3517532693389
1768303800,247.95,248.03,247.95,248.03,249.55,245.8,247.675,247.23250000000002,0,0,0,252.30875074924597
1768305600,248.08,248.65,247.86,248.25,249.55,245.8,247.675,247.23250000000002,0,0,0,252.26836516965147
1768307400,247.61,248.01,247.6,247.6,249.55,245.8,247.675,247.23250000000002,0,0,0,252.22191377492857
1768309200,247.14,247.2,247.14,247.2,249.55,245.8,247.675,247.23250000000002,0,0,0,252.17194448363574
1768311000,248.48,248.81,247.46,247.46,249.55,245.8,247.675,247.23250000000002,0,0,0,252.12505946389808
1768312800,248.6,248.84,248.6,248.6,249.55,245.8,247.675,247.23250000000002,0,0,0,252.08998424535184
1768314600,248.13,250.66,247.59,249.85,249.55,245.8,247.675,247.23250000000002,0,0,0,252.06769584490058
1768316400,249.9,249.925,248.26,248.37,249.55,245.8,247.675,247.23250000000002,0,0,0,252.03090285141897
1768318200,248.43,248.9,247.24,247.24,249.55,245.8,247.675,247.23250000000002,0,0,0,251.98323217628047
1768320000,247.34,247.82,247.09,247.63,249.55,245.8,247.675,247.23250000000002,0,0,0,251.9399164332329
1768321800,247.78,248.6,247.78,248.11,250.66,247.14,248.89999999999998,248.48463999999998,0,0,0,251.9018078120067
1768323600,248.23,248.26,246.44,246.46,250.66,247.14,248.89999999999998,248.48463999999998,0,0,0,251.8476604705937
1768325400,246.36,246.54,245.71,245.71,250.66,247.14,248.89999999999998,248.48463999999998,0,0,0,251.7865892221301
1768327200,245.8,245.9,244.88,245.81,250.66,247.14,248.89999999999998,248.48463999999998,0,0,0,251.72712067265616
1768329000,245.84,245.95,245.44,245.65,250.66,247.14,248.89999999999998,248.48463999999998,0,0,0,251.66665181024166
1768330800,245.59,246.07,245.25,245.74,250.66,247.14,248.89999999999998,248.48463999999998,0,0,0,251.60768015043826
1768332600,245.68,246.25,245.41,246.13,250.66,247.14,248.89999999999998,248.48463999999998,0,0,0,251.5531758703344
1768334400,246.11,246.91,245.98,246.42,250.66,247.14,248.89999999999998,248.48463999999998,0,0,0,251.50209949351515
1768336200,246.42,247.9,246.41,247.54,250.66,247.14,248.89999999999998,248.48463999999998,0,0,0,251.46267561795779
1768338000,247.22,247.22,247.22,247.22,250.66,247.14,248.89999999999998,248.48463999999998,0,0,0,251.42045994016715
1768339800,247.22,247.22,247.21,247.21,250.66,247.14,248.89999999999998,248.48463999999998,0,0,0,251.3785648163844
1768343400,247.22,247.22,247.21,247.21,250.66,247.14,248.89999999999998,248.48463999999998,0,0,0,251.33708655950494
1768345200,247.22,247.22,247.21,247.21,247.9,244.88,246.39,246.03364,0,0,0,251.29602102159942
1768381200,247,247,247,247,247.9,244.88,246.39,246.03364,0,0,0,251.25327454377256
1768383000,247.02,247.02,247.02,247.02,247.9,244.88,246.39,246.03364,0,0,0,251.21115240900866
1768384800,248,248,246.72,246.72,247.9,244.88,246.39,246.03364,0,0,0,251.16646432533693
1768386600,247.44,247.44,246.52,246.52,247.9,244.88,246.39,246.03364,0,0,0,251.12023084946293
1768388400,246.53,246.53,246.5,246.5,247.9,244.88,246.39,246.03364,0,0,0,251.07425840319962
1768392000,247.89,247.89,247.01,247.69,247.9,244.88,246.39,246.03364,0,0,0,251.04058419023247
1768393800,246.79,246.79,246.79,246.79,248,244.88,246.44,246.07184,0,0,0,250.9982898201804
1768395600,247.38,249.29,246.5,249.29,248,244.88,246.44,246.07184,0,0,0,250.98129191152188
1768397400,246.85,246.85,246.85,246.85,248,244.88,246.44,246.07184,0,0,0,250.9401845293177
1768399200,246.93,247.95,246.21,247.95,248,244.88,246.44,246.07184,0,0,0,250.91043144942398
1768401000,246.745,247.44,244.48,245.82,248,244.88,246.44,246.07184,0,0,0,250.85978039022572
1768402800,245.67,246.12,245,245.35,249.29,244.88,247.08499999999998,246.56462,0,0,0,250.80495670475085
1768404600,245.26,245.35,244.54,244.82,249.29,244.88,247.08499999999998,246.56462,0,0,0,250.74540489674337
1768406400,244.76,245.21,244.49,244.785,249.29,244.88,247.08499999999998,246.56462,0,0,0,250.68609738533297
1768408200,244.53,244.67,243.6,243.75,249.29,244.88,247.08499999999998,246.56462,0,0,0,250.61708149095153
1768410000,243.76,244.22,243.55,243.81,249.29,244.88,247.08499999999998,246.56462,0,0,0,250.54934933681272
1768411800,243.78,243.96,243.16,243.595,249.29,244.88,247.08499999999998,246.56462,0,0,0,250.4801518309738
