time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769445600,246.225,246.3,246.13,246.27,247.26,244.05,245.655,244.85250000000002,0,0,0,243.287298951096
1769445900,246.18,246.4,246.14,246.36,247.26,244.05,245.655,244.85250000000002,0,0,0,243.31787309088608
1769446200,246.42,246.5,246.28,246.28,247.26,244.05,245.655,244.85250000000002,0,0,0,243.34734699047925
1769446500,246.46,246.56,246.25,246.26,247.26,244.05,245.655,244.85250000000002,0,0,0,243.37632861246453
1769446800,246.37,246.44,246.36,246.38,247.26,244.05,245.655,244.85250000000002,0,0,0,243.40621588995245
1769447100,246.43,246.51,246.43,246.51,247.26,244.05,245.655,244.85250000000002,0,0,0,243.43709931393303
1769447400,246.45,246.45,246.33,246.365,247.26,244.05,245.655,244.85250000000002,0,0,0,243.4662326540929
1769447700,246.3,246.78,246.3,246.78,247.26,244.05,245.655,244.85250000000002,0,0,0,243.4992054635049
1769448000,246.78,246.81,246.51,246.51,247.26,244.05,245.655,244.85250000000002,0,0,0,243.52916361809687
1769448300,246.62,246.69,246.54,246.54,247.26,244.05,245.655,244.85250000000002,0,0,0,243.55912218906107
1769448600,246.52,246.63,246.37,246.63,247.26,244.05,245.655,244.85250000000002,0,0,0,243.58967818717986
1769448900,246.71,246.84,246.52,246.75,247.26,244.05,245.655,244.85250000000002,0,0,0,243.62112417536713
1769449200,246.77,247.04,246.77,246.88,247.26,244.05,245.655,244.85250000000002,0,0,0,243.65355080048786
1769449500,246.85,246.89,246.69,246.69,247.26,244.05,245.655,244.85250000000002,0,0,0,243.68376422535863
1769449800,246.68,246.86,246.62,246.76,247.26,244.05,245.655,244.85250000000002,0,0,0,243.7143735365491
1769450100,246.77,246.8,246.5,246.8,247.26,244.05,245.655,244.85250000000002,0,0,0,243.74507628742919
1769450400,246.5,246.82,246.45,246.81,247.04,246.06,246.55,246.305,0,0,0,243.7755730407881
1769450700,246.63,246.99,246.5,246.85,247.04,246.06,246.55,246.305,0,0,0,243.80616435381506
1769451000,247.04,247.04,246.7,246.875,247.04,246.06,246.55,246.305,0,0,0,243.83670003188655
1769451300,246.83,246.83,246.68,246.75,247.04,246.06,246.55,246.305,0,0,0,243.86568809127075
1769451600,246.93,247.02,246.79,247.02,247.04,246.06,246.55,246.305,0,0,0,243.89707427941732
1769451900,247.05,247.05,246.67,246.8,247.04,246.06,246.55,246.305,0,0,0,243.92595911245795
1769452200,246.8,246.91,246.55,246.69,247.04,246.06,246.55,246.305,0,0,0,243.95346200686134
1769452500,246.59,246.59,246,246.02,247.04,246.06,246.55,246.305,0,0,0,243.97402457395725
1769452800,245.93,246.06,245.8,246,247.04,246.06,246.55,246.305,0,0,0,243.99418353342037
1769453100,245.86,245.87,245.08,245.52,247.05,246.45,246.75,246.6,0,0,0,244.00936578681916
1769453400,245.45,245.84,245.45,245.83,247.05,246.45,246.75,246.6,0,0,0,244.02748155013438
1769453700,245.7,245.7,245.33,245.4,247.05,246.45,246.75,246.6,0,0,0,244.04113845013305
1769454000,245.4,245.76,245.39,245.75,247.05,246.45,246.75,246.6,0,0,0,244.05814204764417
1769454300,245.675,246.03,245.59,246.02,247.05,246.45,246.75,246.6,0,0,0,244.07766302229447
1769454600,246.31,246.49,246.31,246.48,247.05,246.45,246.75,246.6,0,0,0,244.1015668728189
1769454900,246.28,246.39,245.99,246.25,247.05,246.45,246.75,246.6,0,0,0,244.12294431687044
1769455200,246.23,246.23,245.97,246.14,247.05,246.45,246.75,246.6,0,0,0,244.14301452267273
1769455500,246.27,246.45,246.17,246.45,247.05,246.45,246.75,246.6,0,0,0,244.16596960204913
1769455800,246.47,246.5,246.36,246.38,247.05,246.45,246.75,246.6,0,0,0,244.18799975526258
1769456100,246.5,246.51,246.5,246.51,247.05,246.45,246.75,246.6,0,0,0,244.21110423530973
1769456400,246.57,246.58,246.47,246.56,247.05,246.45,246.75,246.6,0,0,0,244.23447633247082
1769456700,246.34,246.5,246.33,246.44,247.05,246.45,246.75,246.6,0,0,0,244.25642184160046
1769457000,246.41,246.49,246.31,246.49,247.05,246.45,246.75,246.6,0,0,0,244.278646499893
1769457300,246.35,246.38,246.29,246.29,247.05,246.45,246.75,246.6,0,0,0,244.29865996755575
1769457600,246.27,246.51,246.225,246.5,246.58,245.08,245.83,245.455,0,0,0,244.3205638484756
1769457900,246.57,246.81,246.52,246.67,246.58,245.08,245.83,245.455,0,0,0,244.3439413226201
1769458200,246.52,246.52,246.26,246.38,246.58,245.08,245.83,245.455,0,0,0,244.3642006129423
1769458500,246.28,246.28,246,246,246.58,245.08,245.83,245.455,0,0,0,244.38047722375882
1769458800,246.04,246.04,245.9,245.95,246.58,245.08,245.83,245.455,0,0,0,244.39609436581097
1769459100,246,246.16,245.97,246.16,246.81,245.08,245.945,245.51250000000002,0,0,0,244.41364566565363
1769459400,245.96,246.13,245.88,245.94,246.81,245.08,245.945,245.51250000000002,0,0,0,244.4288332709705
1769459700,245.91,246.12,245.85,246.07,246.81,245.08,245.945,245.51250000000002,0,0,0,244.44516328817477
1769460000,245.92,246.23,245.91,246.11,246.81,245.08,245.945,245.51250000000002,0,0,0,244.46172882759592
1769460300,246.155,246.33,246.1,246.11,246.81,245.08,245.945,245.51250000000002,0,0,0,244.47812953577903
1769460600,246.02,246.07,245.68,245.77,246.81,245.08,245.945,245.51250000000002,0,0,0,244.49098396825883
1769460900,245.78,245.93,245.6,245.62,246.81,245.08,245.945,245.51250000000002,0,0,0,244.5022179586244
1769461200,246.12,246.12,246.12,246.12,246.81,245.08,245.945,245.51250000000002,0,0,0,244.51831529236944
1769461500,245.63,245.63,245.63,245.63,246.81,245.08,245.945,245.51250000000002,0,0,0,244.52937683174883
1769462100,246.12,246.12,246.12,246.12,246.81,245.08,245.945,245.51250000000002,0,0,0,244.54520392795033
1769462700,245.63,245.63,245.63,245.63,246.81,245.08,245.945,245.51250000000002,0,0,0,244.555997918717
1769463300,245.63,245.63,245.63,245.63,246.81,245.08,245.945,245.51250000000002,0,0,0,244.56668450659046
1769463600,245.64,245.64,245.64,245.64,246.81,245.08,245.945,245.51250000000002,0,0,0,244.5773642627438
1769464500,245.64,245.64,245.64,245.64,246.12,245.6,245.86,245.73,0,0,0,244.58793775266673
1769472000,246.13,246.13,246.13,246.13,246.12,245.6,245.86,245.73,0,0,0,244.60328165562527
1769507400,246.67,246.67,246.67,246.67,246.12,245.6,245.86,245.73,0,0,0,244.62384601726083
1769507700,247.18,247.18,247.18,247.18,246.12,245.6,245.86,245.73,0,0,0,244.6492803852483
1769508600,246.15,246.15,246.15,246.15,246.12,245.6,245.86,245.73,0,0,0,244.6642129187284
1769509200,246.17,246.17,246.17,246.17,246.12,245.6,245.86,245.73,0,0,0,244.67919587476095
1769511000,246.68,246.68,246.68,246.68,246.12,245.6,245.86,245.73,0,0,0,244.69910437351956
1769511300,246.14,246.14,246.14,246.14,247.18,245.63,246.405,246.01749999999998,0,0,0,244.71344164343478
1769515200,245.78,245.78,245.78,245.78,247.18,245.63,246.405,246.01749999999998,0,0,0,244.72405416439562
1769517000,246.2,246.2,246.2,246.2,247.18,245.63,246.405,246.01749999999998,0,0,0,244.7387401926106
1769519400,246.2,246.2,246.2,246.2,247.18,245.63,246.405,246.01749999999998,0,0,0,244.75328009119158
1769520300,246.2,246.2,246.17,246.2,247.18,245.63,246.405,246.01749999999998,0,0,0,244.7676753141648
1769520600,246.19,246.19,246,246,247.18,245.63,246.405,246.01749999999998,0,0,0,244.7799372513373
1769520900,246.1,246.2,246.1,246.2,247.18,245.63,246.405,246.01749999999998,0,0,0,244.79406722893592
1769521800,246.25,246.25,246.25,246.25,247.18,245.63,246.405,246.01749999999998,0,0,0,244.80855412218034
1769522700,246.01,246.01,246.01,246.01,247.18,245.63,246.405,246.01749999999998,0,0,0,244.82050880753178
1769523900,246.62,246.62,246.62,246.62,247.18,245.63,246.405,246.01749999999998,0,0,0,244.83841419253147
1769524200,246.55,246.79,245.36,245.36,247.18,245.63,246.405,246.01749999999998,0,0,0,244.8436041010635
1769524500,245.34,245.53,244.75,245.24,247.18,245.63,246.405,246.01749999999998,0,0,0,244.84754833886387
1769524800,245.79,247.6,245.79,246.72,247.18,245.63,246.405,246.01749999999998,0,0,0,244.86617969867618
1769525100,246.7,247.84,246.7,247.18,247.18,245.63,246.405,246.01749999999998,0,0,0,244.88920278625153
1769525400,247.25,248.54,247.25,247.9,247.18,245.63,246.405,246.01749999999998,0,0,0,244.91916096748287
1769525700,247.84,247.91,246.63,246.96,247.18,245.63,246.405,246.01749999999998,0,0,0,244.93946782352782
1769526000,246.94,247.38,246.94,247.05,247.18,245.63,246.405,246.01749999999998,0,0,0,244.9604681436917
1769526300,247.13,247.13,246.91,246.91,247.18,245.63,246.405,246.01749999999998,0,0,0,244.97986647062015
1769526600,247,247.51,247,247.26,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.00255436643488
1769527200,247.45,247.47,247.03,247.03,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.02272795482855
1769527500,247,247.1,246.67,246.67,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.03911872144718
1769527800,246.77,246.77,246.39,246.53,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.05395336103476
1769528100,246.38,246.38,245.96,245.96,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.0629687504772
1769528400,245.94,246.29,245.94,246.28,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.07507851415406
1769528700,245.93,246.34,245.93,246.26,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.0868687776948
1769529000,246.21,246.66,246.21,246.44,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.10033276995654
1769529300,246.36,246.36,245.95,245.96,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.10888667274304
1769529600,245.95,246,245.71,245.71,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.11486789987993
1769529900,245.8,245.8,245.37,245.37,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.11740652774182
1769530200,245.71,246.03,245.66,245.81,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.12429800507772
1769530800,246.02,246.47,245.95,246.46,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.13758857219136
1769531100,246.51,246.73,246.11,246.21,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.14825933266707
1769531400,246.01,246.5,246.01,246.5,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.16170948856092
1769531700,246.29,246.38,246.03,246.03,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.1703491951424
1769532000,246,246.21,245.94,246.21,248.54,244.75,246.64499999999998,245.6975,0,0,0,245.18069397927033
1769532300,246.05,246.19,245.95,246.19,246.73,245.37,246.05,245.71,0,0,0,245.19073682524774
1769532600,246.21,246.21,246.1,246.1,246.73,245.37,246.05,245.71,0,0,0,245.1997842200214
1769532900,246.11,246.19,246.03,246.19,246.73,245.37,246.05,245.71,0,0,0,245.20963711335452
1769533200,246,246.19,245.87,245.87,246.73,245.37,246.05,245.71,0,0,0,245.21620788834602
1769533500,245.905,246.11,245.905,246.08,246.73,245.37,246.05,245.71,0,0,0,245.22480283473064
1769533800,246.13,246.13,245.39,245.47,246.73,245.37,246.05,245.71,0,0,0,245.2272426075194
1769534100,245.23,245.32,245.06,245.18,246.73,245.37,246.05,245.71,0,0,0,245.2267725318227
1769534400,245.05,245.05,244.97,244.97,246.73,245.37,246.05,245.71,0,0,0,245.22421758125728
1769534700,245.29,245.42,245.29,245.4,246.73,245.37,246.05,245.71,0,0,0,245.22596666005074
1769535000,245.4,245.45,244.95,245.09,246.73,245.37,246.05,245.71,0,0,0,245.2246137579607
1769535300,244.93,244.93,244.91,244.91,246.73,245.37,246.05,245.71,0,0,0,245.22148327280686
1769535600,244.75,244.85,244.75,244.85,246.73,245.37,246.05,245.71,0,0,0,245.21778692183366
