time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769436900,0.3488,0.3497,0.3484,0.3489,0.3485,0.3449,0.3467,0.3456704,0,0,0,0.3504732333509017
1769437800,0.3488,0.3548,0.3478,0.3529,0.3485,0.3449,0.3467,0.3456704,0,0,0,0.35049738028273353
1769438700,0.3529,0.3547,0.3521,0.3539,0.3485,0.3449,0.3467,0.3456704,0,0,0,0.3505312371953431
1769439600,0.3539,0.3584,0.3526,0.3572,0.3485,0.3449,0.3467,0.3456704,0,0,0,0.3505975930441457
1769440500,0.3573,0.3582,0.3546,0.3551,0.3485,0.3449,0.3467,0.3456704,0,0,0,0.35064239311335815
1769441400,0.3551,0.3554,0.3508,0.3513,0.3485,0.3449,0.3467,0.3456704,0,0,0,0.350648936465464
1769442300,0.3513,0.3531,0.3508,0.3524,0.3485,0.3449,0.3467,0.3456704,0,0,0,0.3506663599832206
1769443200,0.3524,0.3545,0.352,0.3523,0.3485,0.3449,0.3467,0.3456704,0,0,0,0.35068261510776566
1769444100,0.3523,0.3548,0.3507,0.3536,0.3584,0.3465,0.35245,0.3490466,0,0,0,0.350711643813161
1769445000,0.3537,0.3545,0.3519,0.3522,0.3584,0.3465,0.35245,0.3490466,0,0,0,0.3507264533274579
1769445900,0.3522,0.3546,0.3518,0.3532,0.3584,0.3465,0.35245,0.3490466,0,0,0,0.3507510657321598
1769446800,0.3533,0.3542,0.3522,0.3523,0.3584,0.3465,0.35245,0.3490466,0,0,0,0.35076647801343186
1769447700,0.3523,0.3532,0.3511,0.3512,0.3584,0.3465,0.35245,0.3490466,0,0,0,0.3507707916650395
1769448600,0.3512,0.3526,0.3494,0.3521,0.3584,0.3465,0.35245,0.3490466,0,0,0,0.3507840176186212
1769449500,0.352,0.3534,0.3518,0.3528,0.3584,0.3465,0.35245,0.3490466,0,0,0,0.3508040771448041
1769450400,0.3528,0.3533,0.3522,0.3533,0.3584,0.3465,0.35245,0.3490466,0,0,0,0.35082891219808965
