time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769167800,0.3604,0.3608,0.3598,0.36,0.3652,0.3577,0.36145000000000005,0.360565,0,0,0,0.36540544088741334
1769169600,0.36,0.3602,0.359,0.3591,0.3652,0.3577,0.36145000000000005,0.360565,0,0,0,0.36534270018206594
1769171400,0.3591,0.3607,0.3584,0.3601,0.3652,0.3577,0.36145000000000005,0.360565,0,0,0,0.3652905340111001
1769173200,0.36,0.3605,0.3597,0.3597,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.3652349068070096
1769175000,0.3597,0.3604,0.3588,0.359,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.365172867933308
1769176800,0.3589,0.3592,0.3571,0.358,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.3651014961130761
1769178600,0.3579,0.3581,0.3525,0.3549,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.36499998868906536
1769180400,0.355,0.3576,0.3533,0.3564,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.3649144166623085
1769182200,0.3564,0.3615,0.356,0.3604,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.36486949709352934
1769184000,0.3604,0.3623,0.3601,0.3608,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.364829004585136
1769185800,0.3608,0.3666,0.36,0.3634,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.36481478563404013
1769187600,0.3634,0.3683,0.3617,0.3682,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.36484846935907456
1769189400,0.3682,0.3707,0.3657,0.3659,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.3648589323505266
1769191200,0.3659,0.3686,0.3648,0.3671,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.36488123153111834
1769193000,0.3672,0.3684,0.3655,0.3659,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.3648913685308087
1769194800,0.3659,0.3659,0.3609,0.3619,0.3609,0.3576,0.35924999999999996,0.3588606,0,0,0,0.36486160366980563
1769196600,0.3619,0.362,0.3597,0.3615,0.3707,0.3525,0.3616,0.3594524,0,0,0,0.36482815487707126
1769198400,0.3616,0.3628,0.3603,0.3604,0.3707,0.3525,0.3616,0.3594524,0,0,0,0.36478409363451336
1769200200,0.3603,0.3603,0.3573,0.3592,0.3707,0.3525,0.3616,0.3594524,0,0,0,0.3647285305137719
1769202000,0.3591,0.3611,0.3585,0.3605,0.3707,0.3525,0.3616,0.3594524,0,0,0,0.3646864555832866
1769203800,0.3604,0.3606,0.3594,0.3599,0.3707,0.3525,0.3616,0.3594524,0,0,0,0.3646388291595723
1769205600,0.3598,0.3623,0.3597,0.3619,0.3707,0.3525,0.3616,0.3594524,0,0,0,0.36461157712813375
1769207400,0.362,0.3628,0.3614,0.3624,0.3707,0.3525,0.3616,0.3594524,0,0,0,0.36458957138556525
1769209200,0.3623,0.3623,0.3606,0.3611,0.3707,0.3525,0.3616,0.3594524,0,0,0,0.3645548492822263
1769211000,0.3611,0.3611,0.3602,0.3602,0.3707,0.3525,0.3616,0.3594524,0,0,0,0.3645115174485723
1769212800,0.3603,0.3614,0.3595,0.3596,0.3707,0.3525,0.3616,0.3594524,0,0,0,0.3644626466281885
1769214600,0.3597,0.3607,0.3592,0.3592,0.3628,0.3573,0.36005,0.359401,0,0,0,0.36441028198512193
1769216400,0.3591,0.3596,0.3586,0.3596,0.3628,0.3573,0.36005,0.359401,0,0,0,0.3643624184827824
1769218200,0.3596,0.3599,0.3584,0.3596,0.3628,0.3573,0.36005,0.359401,0,0,0,0.3643150312341975
1769220000,0.3597,0.3604,0.3595,0.3598,0.3628,0.3573,0.36005,0.359401,0,0,0,0.36427010555027517
1769221800,0.3597,0.3603,0.3596,0.3599,0.3628,0.3573,0.36005,0.359401,0,0,0,0.364226621912959
1769223600,0.36,0.3618,0.3595,0.3618,0.3628,0.3573,0.36005,0.359401,0,0,0,0.3642024764212878
1769225400,0.3617,0.3624,0.3609,0.3618,0.3628,0.3573,0.36005,0.359401,0,0,0,0.364178571183265
1769227200,0.3618,0.3625,0.3614,0.3615,0.3628,0.3573,0.36005,0.359401,0,0,0,0.3641519187336803
1769229000,0.3616,0.3616,0.3608,0.3612,0.3628,0.3573,0.36005,0.359401,0,0,0,0.36412254640797204
1769230800,0.3612,0.3614,0.3606,0.3611,0.3628,0.3573,0.36005,0.359401,0,0,0,0.3640924713193355
1769232600,0.361,0.3612,0.3602,0.3606,0.3628,0.3573,0.36005,0.359401,0,0,0,0.36405772036093415
1769234400,0.3606,0.3607,0.3599,0.36,0.3625,0.3584,0.36045,0.3599662,0,0,0,0.36401734503395966
1769236200,0.3601,0.3605,0.3599,0.36,0.3625,0.3584,0.36045,0.3599662,0,0,0,0.3639773714515322
1769238000,0.3599,0.3607,0.3596,0.3599,0.3625,0.3584,0.36045,0.3599662,0,0,0,0.36393680059131794
1769239800,0.3598,0.3603,0.3595,0.3596,0.3625,0.3584,0.36045,0.3599662,0,0,0,0.36389364834662824
1769241600,0.3596,0.3596,0.3586,0.359,0.3625,0.3584,0.36045,0.3599662,0,0,0,0.36384495532825384
1769243400,0.3591,0.3602,0.3591,0.3598,0.3625,0.3584,0.36045,0.3599662,0,0,0,0.3638047070165299
1769245200,0.3597,0.3605,0.3591,0.3604,0.3625,0.3584,0.36045,0.3599662,0,0,0,0.3637708293347734
1769247000,0.3604,0.3608,0.3594,0.3597,0.3625,0.3584,0.36045,0.3599662,0,0,0,0.36373032357024826
1769248800,0.3596,0.3597,0.359,0.3594,0.3625,0.3584,0.36045,0.3599662,0,0,0,0.36368723577352935
1769250600,0.3594,0.3596,0.3591,0.3592,0.3625,0.3584,0.36045,0.3599662,0,0,0,0.3636425866613549
1769252400,0.3591,0.3602,0.3591,0.3597,0.3625,0.3584,0.36045,0.3599662,0,0,0,0.36360335694333146
1769254200,0.3596,0.3601,0.3594,0.36,0.3608,0.3586,0.3597,0.3594404,0,0,0,0.36356750264538784
1769256000,0.3599,0.3601,0.3594,0.3599,0.3608,0.3586,0.3597,0.3594404,0,0,0,0.36353101008175215
1769257800,0.3599,0.3605,0.3597,0.3601,0.3608,0.3586,0.3597,0.3594404,0,0,0,0.3634968706779536
1769259600,0.3601,0.3604,0.3593,0.3594,0.3608,0.3586,0.3597,0.3594404,0,0,0,0.3634561057955859
1769261400,0.3594,0.3603,0.3582,0.3583,0.3608,0.3586,0.3597,0.3594404,0,0,0,0.36340480126030644
