time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769616300,0.3568,0.357,0.3563,0.3569,0.3588,0.3546,0.3567,0.35565,0,0,0,0.35866023291678606
1769616600,0.357,0.3574,0.3562,0.3563,0.3588,0.3546,0.3567,0.35565,0,0,0,0.3586367480121414
1769616900,0.3563,0.357,0.3561,0.3567,0.3588,0.3546,0.3567,0.35565,0,0,0,0.3586174768876425
1769617200,0.3568,0.3574,0.3567,0.3572,0.3588,0.3546,0.3567,0.35565,0,0,0,0.35860337264000425
1769617500,0.3573,0.3589,0.3572,0.3588,0.3588,0.3546,0.3567,0.35565,0,0,0,0.3586053291311485
1769617800,0.3587,0.3592,0.3574,0.3574,0.3588,0.3546,0.3567,0.35565,0,0,0,0.35859333580646047
1769618100,0.3574,0.358,0.3569,0.3579,0.3588,0.3546,0.3567,0.35565,0,0,0,0.3585864369427146
1769618400,0.3578,0.3578,0.3561,0.3567,0.3588,0.3546,0.3567,0.35565,0,0,0,0.3585676664258716
1769618700,0.3567,0.3575,0.3565,0.3573,0.3588,0.3546,0.3567,0.35565,0,0,0,0.35855505282959427
1769619000,0.3573,0.3578,0.3565,0.3578,0.3592,0.3561,0.35765,0.35687500000000005,0,0,0,0.3585475398661157
1769619300,0.3578,0.358,0.3567,0.3568,0.3592,0.3561,0.35765,0.35687500000000005,0,0,0,0.35853015140973643
1769619600,0.3568,0.358,0.3568,0.3579,0.3592,0.3561,0.35765,0.35687500000000005,0,0,0,0.35852388124645546
1769619900,0.3579,0.3582,0.3573,0.3579,0.3592,0.3561,0.35765,0.35687500000000005,0,0,0,0.3585176734728589
1769620200,0.3579,0.3585,0.3577,0.3579,0.3592,0.3561,0.35765,0.35687500000000005,0,0,0,0.35851152746815385
1769620500,0.3579,0.358,0.3573,0.3578,0.3592,0.3561,0.35765,0.35687500000000005,0,0,0,0.35850444759284883
1769620800,0.3579,0.3582,0.3567,0.357,0.3592,0.3561,0.35765,0.35687500000000005,0,0,0,0.3584894779650593
1769621100,0.357,0.3573,0.3567,0.3571,0.3592,0.3561,0.35765,0.35687500000000005,0,0,0,0.3584756523136657
1769621400,0.357,0.357,0.3551,0.3558,0.3585,0.3561,0.3573,0.3567,0,0,0,0.35844902890755953
1769621700,0.3559,0.3582,0.3559,0.358,0.3585,0.3561,0.3573,0.3567,0,0,0,0.3584445609582306
1769622000,0.358,0.3589,0.3575,0.3582,0.3585,0.3561,0.3573,0.3567,0,0,0,0.35844212751586013
1769622300,0.3583,0.3588,0.3582,0.3584,0.3585,0.3561,0.3573,0.3567,0,0,0,0.35844170833659783
1769622600,0.3585,0.3615,0.3585,0.3609,0.3585,0.3561,0.3573,0.3567,0,0,0,0.35846616895016403
1769622900,0.361,0.3611,0.3598,0.3599,0.3585,0.3561,0.3573,0.3567,0,0,0,0.35848043592578427
1769623200,0.3599,0.3599,0.3568,0.3578,0.3585,0.3561,0.3573,0.3567,0,0,0,0.35847366541906006
1769623500,0.3578,0.3581,0.3574,0.3577,0.3585,0.3561,0.3573,0.3567,0,0,0,0.3584659672556863
1769623800,0.3577,0.3582,0.3575,0.3579,0.3615,0.3551,0.3583,0.3567,0,0,0,0.35846033574070435
1769624100,0.3579,0.3583,0.3575,0.3578,0.3615,0.3551,0.3583,0.3567,0,0,0,0.35845376523582173
1769624400,0.3578,0.3585,0.3577,0.3583,0.3615,0.3551,0.3583,0.3567,0,0,0,0.35845223523347525
1769624700,0.3584,0.3584,0.3567,0.357,0.3615,0.3551,0.3583,0.3567,0,0,0,0.35843778513164964
1769625000,0.3569,0.3576,0.3568,0.3569,0.3615,0.3551,0.3583,0.3567,0,0,0,0.3584224837870561
1769625300,0.3569,0.3571,0.3565,0.3567,0.3615,0.3551,0.3583,0.3567,0,0,0,0.3584053446448963
1769625600,0.3568,0.3568,0.356,0.3562,0.3615,0.3551,0.3583,0.3567,0,0,0,0.3583834009170864
1769625900,0.3561,0.3563,0.3557,0.3561,0.3615,0.3551,0.3583,0.3567,0,0,0,0.35836068050995123
1769626200,0.3562,0.3567,0.3554,0.3564,0.3615,0.3551,0.3583,0.3567,0,0,0,0.35834117125114573
1769626500,0.3563,0.3575,0.3562,0.3575,0.3615,0.3551,0.3583,0.3567,0,0,0,0.35833280138795026
1769626800,0.3574,0.3587,0.3556,0.3581,0.3615,0.3551,0.3583,0.3567,0,0,0,0.3583304849562294
1769627100,0.3582,0.3584,0.3568,0.3576,0.3615,0.3551,0.3583,0.3567,0,0,0,0.35832321644920223
1769627400,0.3576,0.3583,0.357,0.3572,0.3615,0.3551,0.3583,0.3567,0,0,0,0.3583120401661256
1769627700,0.3572,0.358,0.3568,0.3575,0.3615,0.3551,0.3583,0.3567,0,0,0,0.35830396016447263
1769628000,0.3576,0.3583,0.357,0.3578,0.3587,0.3554,0.35705,0.356225,0,0,0,0.35829894563547293
1769628300,0.3578,0.3586,0.3573,0.3573,0.3587,0.3554,0.35705,0.356225,0,0,0,0.358289005877906
1769628600,0.3574,0.3583,0.3562,0.3568,0.3587,0.3554,0.35705,0.356225,0,0,0,0.3582741898990214
1769628900,0.3568,0.3574,0.3567,0.3569,0.3587,0.3554,0.35705,0.356225,0,0,0,0.35826051636768785
1769629200,0.3568,0.3572,0.356,0.3564,0.3587,0.3554,0.35705,0.356225,0,0,0,0.3582420037670143
1769629500,0.3565,0.3591,0.3564,0.3588,0.3587,0.3554,0.35705,0.356225,0,0,0,0.35824755596833757
1769629800,0.3588,0.3594,0.3581,0.3591,0.3587,0.3554,0.35705,0.356225,0,0,0,0.35825603799850336
1769630100,0.3591,0.3594,0.3584,0.3584,0.3587,0.3554,0.35705,0.356225,0,0,0,0.3582574704562297
1769630400,0.3583,0.3595,0.358,0.3589,0.3587,0.3554,0.35705,0.356225,0,0,0,0.3582638637850234
1769630700,0.3589,0.3594,0.3588,0.3592,0.3587,0.3554,0.35705,0.356225,0,0,0,0.3582731785732321
1769631000,0.3592,0.3592,0.3583,0.3588,0.3587,0.3554,0.35705,0.356225,0,0,0,0.35827842057747855
1769631300,0.3587,0.3599,0.3583,0.3592,0.3587,0.3554,0.35705,0.356225,0,0,0,0.3582875905219812
1769631600,0.3593,0.3598,0.3586,0.3596,0.3587,0.3554,0.35705,0.356225,0,0,0,0.3583006493227575
1769631900,0.3596,0.362,0.359,0.3604,0.3587,0.3554,0.35705,0.356225,0,0,0,0.3583215383842226
1769632200,0.3605,0.3605,0.3586,0.359,0.3587,0.3554,0.35705,0.356225,0,0,0,0.35832828924607113
1769632500,0.359,0.359,0.3574,0.3583,0.3587,0.3554,0.35705,0.356225,0,0,0,0.35832800776103557
1769632800,0.3583,0.3584,0.3577,0.3579,0.3587,0.3554,0.35705,0.356225,0,0,0,0.35832374897734365
1769633100,0.3578,0.358,0.3571,0.3571,0.362,0.356,0.359,0.3575,0,0,0,0.3583115723706039
1769633400,0.3571,0.3578,0.3568,0.3578,0.362,0.356,0.359,0.3575,0,0,0,0.3583064820982596
1769633700,0.3579,0.3583,0.3573,0.3575,0.362,0.356,0.359,0.3575,0,0,0,0.3582984574007645
1769634000,0.3576,0.3579,0.3551,0.3561,0.362,0.356,0.359,0.3575,0,0,0,0.35827658220274694
1769634300,0.3561,0.3588,0.3556,0.3587,0.362,0.356,0.359,0.3575,0,0,0,0.35828079531515744
