time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769687880,87830.07,87850.63,87830.06,87850.63,87904.86,87767.46,87836.16,87808.68000000001,0,0,0,87962.81234732915
1769687940,87850.63,87850.63,87846.5,87846.5,87904.86,87767.46,87836.16,87808.68000000001,0,0,0,87961.6550105398
1769688000,87846.5,87878.29,87817.97,87878.28,87904.86,87767.46,87836.16,87808.68000000001,0,0,0,87960.82540844489
1769688060,87878.28,87896.02,87878.28,87890.91,87904.86,87767.46,87836.16,87808.68000000001,0,0,0,87960.12973273896
1769688120,87890.92,87904.86,87878.29,87904.86,87904.86,87767.46,87836.16,87808.68000000001,0,0,0,87959.57978514952
1769688180,87904.86,87934,87904.85,87929,87904.86,87767.46,87836.16,87808.68000000001,0,0,0,87959.27550868037
1769688240,87928.99,87929,87920.93,87924.81,87904.86,87767.46,87836.16,87808.68000000001,0,0,0,87958.93256829548
1769688300,87924.82,87985.04,87924.81,87985.04,87904.86,87767.46,87836.16,87808.68000000001,0,0,0,87959.19234373533
1769688360,87985.03,88038.94,87985.03,88031.98,87904.86,87767.46,87836.16,87808.68000000001,0,0,0,87959.91659902154
1769688420,88031.98,88061.39,88031.97,88054.82,87904.86,87767.46,87836.16,87808.68000000001,0,0,0,87960.86091146909
1769688480,88054.82,88054.82,88040.61,88041.18,87904.86,87767.46,87836.16,87808.68000000001,0,0,0,87961.66010637984
1769688540,88041.18,88051.17,88020,88051.17,87904.86,87767.46,87836.16,87808.68000000001,0,0,0,87962.55075208751
1769688600,88051.16,88053.07,88035.47,88035.48,88061.39,87750.01,87905.7,87843.424,0,0,0,87963.27641624585
1769688660,88035.48,88035.48,88026.66,88026.66,88061.39,87750.01,87905.7,87843.424,0,0,0,87963.90709867126
1769688720,88026.67,88026.67,88026.66,88026.66,88061.39,87750.01,87905.7,87843.424,0,0,0,87964.53150564966
1769688780,88026.66,88026.66,88016.18,88016.18,88061.39,87750.01,87905.7,87843.424,0,0,0,87965.04542101633
1769688840,88016.19,88024.29,88001.7,88021.99,88061.39,87750.01,87905.7,87843.424,0,0,0,87965.61203374254
1769688900,88022,88040.57,88021.99,88040.56,88061.39,87750.01,87905.7,87843.424,0,0,0,87966.35778465058
1769688960,88040.57,88108.01,88040.56,88055.24,88061.39,87750.01,87905.7,87843.424,0,0,0,87967.24218480331
1769689020,88055.24,88055.24,88039.15,88039.16,88061.39,87750.01,87905.7,87843.424,0,0,0,87967.95778495452
1769689080,88039.16,88043.81,88039.15,88043.81,88061.39,87750.01,87905.7,87843.424,0,0,0,87968.71253336292
1769689140,88043.8,88043.81,88020.78,88020.79,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87969.23071711055
1769689200,88020.78,88023.79,88020.78,88023.79,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87969.77359554726
1769689260,88023.79,88023.79,88010.84,88010.84,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87970.18221648708
1769689320,88010.85,88010.85,87967.74,87967.75,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87970.15801532801
1769689380,87967.74,88013.53,87966.66,88013.52,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87970.58947786206
1769689440,88013.52,88024.62,88013.52,88023.78,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87971.1187367888
1769689500,88023.79,88023.79,88003.1,88003.2,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87971.43795333817
1769689560,88003.2,88003.21,88003.2,88003.2,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87971.75399360346
1769689620,88003.21,88003.76,87987.37,87987.37,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87971.90937675169
1769689680,87987.37,87987.38,87987.37,87987.37,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87972.06321379893
1769689740,87987.37,87987.38,87940.68,87940.69,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87971.75104251735
1769689800,87940.69,87940.69,87939.2,87939.21,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87971.42725104952
1769689860,87939.21,87960.32,87939.2,87960.31,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87971.31663163609
1769689920,87960.31,87986.23,87960.31,87986.22,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87971.46492385861
1769689980,87986.22,88005.9,87986.22,88005.89,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87971.80746192967
1769690040,88005.89,88019.97,88005.89,88019.97,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87972.2866911642
1769690100,88019.97,88056,88019.96,88048.72,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87973.04722160038
1769690160,88048.72,88070.06,88048.72,88070.05,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87974.0124233755
1769690220,88070.05,88070.06,88033.91,88033.92,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87974.6085186653
1769690280,88033.91,88033.92,87973.18,87973.18,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87974.59430454923
1769690340,87973.18,87973.18,87877.53,87877.53,88108.01,87750.01,87929.01,87857.40999999999,0,0,0,87973.62849057361
1769690400,87877.53,87915.44,87835.93,87895.07,88070.06,87939.2,88004.63,87978.458,0,0,0,87972.84681405048
1769690460,87895.08,87955.91,87895.07,87955.9,88070.06,87939.2,88004.63,87978.458,0,0,0,87972.67818903505
1769690520,87955.91,87993.48,87955.9,87993.32,88070.06,87939.2,88004.63,87978.458,0,0,0,87972.88358018894
1769690580,87993.32,88001.8,87993.31,88001.8,88070.06,87939.2,88004.63,87978.458,0,0,0,87973.1713057592
1769690640,88001.79,88001.8,88001.77,88001.77,88070.06,87939.2,88004.63,87978.458,0,0,0,87973.455869881
1769690700,88001.77,88019.05,88001.77,88019.05,88070.06,87939.2,88004.63,87978.458,0,0,0,87973.9095428175
1769690760,88019.05,88030.9,88019.04,88030.89,88070.06,87939.2,88004.63,87978.458,0,0,0,87974.47651254071
1769690820,88030.89,88061.71,88030.89,88037.81,88070.06,87939.2,88004.63,87978.458,0,0,0,87975.10669649554
1769690880,88037.82,88037.82,88022.82,88026.4,88070.06,87939.2,88004.63,87978.458,0,0,0,87975.61707762493
1769690940,88026.41,88026.41,88001.7,88008,88070.06,87939.2,88004.63,87978.458,0,0,0,87975.93929575801
1769691000,88007.99,88008,88007.99,88008,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87976.25830774051
1769691060,88007.99,88015.61,88007.99,88015.61,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87976.64986686748
1769691120,88015.61,88015.61,88009.43,88009.44,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87976.9761368489
1769691180,88009.43,88015.61,88009.43,88015.61,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87977.36055339767
1769691240,88015.61,88015.61,88015.6,88015.61,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87977.74114490615
1769691300,88015.61,88015.61,88004.39,88015.16,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87978.11347182251
1769691360,88015.16,88068.74,88015.15,88068.73,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87979.0151288193
1769691420,88068.74,88071.7,88061.42,88061.42,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87979.83507778628
1769691480,88061.43,88116.35,88061.42,88116.35,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87981.19343522124
1769691540,88116.34,88121.29,88105.3,88121.21,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87982.58663487078
1769691600,88121.21,88121.21,88110.3,88110.31,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87983.85751412579
1769691660,88110.3,88110.31,88110.3,88110.31,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87985.11574781607
1769691720,88110.31,88121.92,88110.3,88121.92,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87986.47698415621
1769691780,88121.92,88150,88115.61,88124.06,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87987.84596938848
1769691840,88124.07,88142.88,88124.06,88142.88,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87989.38859655874
1769691900,88142.87,88150,88131.37,88131.39,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87990.80154584671
1769691960,88131.39,88147.16,88118.82,88118.83,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87992.07546081342
1769692020,88118.83,88142.06,88100.01,88100.01,88061.71,87835.93,87948.82,87903.66399999999,0,0,0,87993.14943632772
1769692080,88100,88100.01,88085.89,88085.9,88150,87835.93,87992.965,87930.151,0,0,0,87994.07232750853
1769692140,88085.9,88102.75,88085.9,88093.08,88150,87835.93,87992.965,87930.151,0,0,0,87995.0574784786
1769692200,88093.08,88093.09,88093.08,88093.08,88150,87835.93,87992.965,87930.151,0,0,0,87996.03282695144
1769692260,88093.09,88119.47,88093.09,88110.09,88150,87835.93,87992.965,87930.151,0,0,0,87997.16772419571
1769692320,88110.09,88110.1,88108.44,88108.45,88150,87835.93,87992.965,87930.151,0,0,0,87998.27501052212
1769692380,88108.44,88108.45,88103.2,88103.21,88150,87835.93,87992.965,87930.151,0,0,0,87999.31913977065
1769692440,88103.21,88133.39,88103.2,88133.39,88150,87835.93,87992.965,87930.151,0,0,0,88000.6531781809
1769692500,88133.39,88133.39,88109.45,88109.46,88150,87835.93,87992.965,87930.151,0,0,0,88001.73583312437
1769692560,88109.45,88109.46,88103.2,88103.21,88150,87835.93,87992.965,87930.151,0,0,0,88002.74552632711
1769692620,88103.21,88103.21,88103.2,88103.21,88150,87835.93,87992.965,87930.151,0,0,0,88003.74517283132
1769692680,88103.21,88103.21,88085.9,88085.9,88150,87835.93,87992.965,87930.151,0,0,0,88004.56263379817
1769692740,88085.91,88085.91,88085.9,88085.9,88150,87835.93,87992.965,87930.151,0,0,0,88005.37196082505
1769692800,88085.91,88093.81,88085.9,88093.8,88150,87835.93,87992.965,87930.151,0,0,0,88006.25184181187
1769692860,88093.8,88093.81,88085.95,88091.78,88150,87835.93,87992.965,87930.151,0,0,0,88007.1028682615
1769692920,88091.78,88104,88091.78,88103.99,88150,87835.93,87992.965,87930.151,0,0,0,88008.06691932358
1769692980,88104,88128.68,88103.99,88110.59,88150,87835.93,87992.965,87930.151,0,0,0,88009.08704947957
1769693040,88110.6,88124.77,88104.3,88110.59,88150,87835.93,87992.965,87930.151,0,0,0,88010.09702908674
1769693100,88110.59,88110.6,88110.59,88110.59,88150,87835.93,87992.965,87930.151,0,0,0,88011.09695914558
1769693160,88110.6,88110.6,88104.03,88104.04,88150,87835.93,87992.965,87930.151,0,0,0,88012.02176552224
1769693220,88104.03,88104.04,88104.03,88104.04,88150,87835.93,87992.965,87930.151,0,0,0,88012.9373698454
1769693280,88104.04,88109.81,88103.21,88109.8,88150,87835.93,87992.965,87930.151,0,0,0,88013.90117711062
1769693340,88109.81,88182.29,88109.8,88167.98,88150,87835.93,87992.965,87930.151,0,0,0,88015.43429972643
1769693400,88167.98,88167.98,88072.75,88079.55,88150,87835.93,87992.965,87930.151,0,0,0,88016.07226689333
1769693460,88079.55,88130.82,88079.55,88130.81,88150,87835.93,87992.965,87930.151,0,0,0,88017.21393587947
1769693520,88130.81,88130.82,88112.12,88119.59,88182.29,87835.93,88009.10999999999,87939.83799999999,0,0,0,88018.23260318415
1769693580,88119.59,88119.59,88110.77,88110.77,88182.29,87835.93,88009.10999999999,87939.83799999999,0,0,0,88019.15337330173
