time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1765396800,92957.67,94476,91878,92015.37,94588.99,89500,92044.495,90568.6879,0,0,0,93916.2182427594
1765411200,92015.38,92080.32,89389.63,89880.01,94588.99,89500,92044.495,90568.6879,0,0,0,93876.05696671204
1765425600,89880,90480.14,89694.81,90272.75,94588.99,89500,92044.495,90568.6879,0,0,0,93840.20316604825
1765440000,90272.76,90504.19,89971.11,90242.35,94588.99,89500,92044.495,90568.6879,0,0,0,93804.40363205771
1765454400,90242.36,90653.33,89260.63,89872.51,94588.99,89500,92044.495,90568.6879,0,0,0,93765.28031233574
1765468800,89872.51,91538.26,89333,90839.81,94588.99,89500,92044.495,90568.6879,0,0,0,93736.17115499907
1765483200,90839.81,93555,90797.76,92513.38,94588.99,89500,92044.495,90568.6879,0,0,0,93724.00407882992
1765497600,92513.38,92754,91448.31,92283.4,94588.99,89500,92044.495,90568.6879,0,0,0,93709.66970988634
1765512000,92283.4,92720,92078.91,92425.34,94588.99,89500,92044.495,90568.6879,0,0,0,93696.89030978797
1765526400,92425.33,92650.01,92044.8,92418.19,94588.99,89500,92044.495,90568.6879,0,0,0,93684.16692362093
1765540800,92418.19,92660.74,89780,89935.14,94588.99,89500,92044.495,90568.6879,0,0,0,93646.86317313714
1765555200,89935.13,90666,89480,90198.22,94588.99,89500,92044.495,90568.6879,0,0,0,93612.548315693
1765569600,90198.23,90404.13,89898.61,90268.42,94588.99,89500,92044.495,90568.6879,0,0,0,93579.27340707913
1765584000,90268.43,90469.71,90120,90345.54,94588.99,89500,92044.495,90568.6879,0,0,0,93547.0969552674
1765598400,90345.55,90410.5,90268.91,90329.97,94588.99,89500,92044.495,90568.6879,0,0,0,93515.08574178215
1765612800,90329.98,90634.55,90290,90330.36,94588.99,89500,92044.495,90568.6879,0,0,0,93483.39692843109
1765627200,90330.36,90470.3,89932.99,90092.16,94588.99,89500,92044.495,90568.6879,0,0,0,93449.65327740193
1765641600,90092.17,90268.13,89981,90178.16,94588.99,89500,92044.495,90568.6879,0,0,0,93417.10110548748
1765656000,90178.17,90280.76,89766.39,90240.01,94588.99,89500,92044.495,90568.6879,0,0,0,93385.48825866671
1765670400,90240,90472.4,90117.05,90258.98,94588.99,89500,92044.495,90568.6879,0,0,0,93354.3787237546
1765684800,90258.99,90329.24,90050.74,90245.6,94588.99,89500,92044.495,90568.6879,0,0,0,93323.44560212521
