time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769166000,89046.49,89275.96,89000,89219.99,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90561.08089614267
1769167800,89219.99,89355.51,89164.97,89202.48,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90547.56247926563
1769169600,89202.47,89248.6,89125.18,89163.52,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90533.79091230777
1769171400,89163.51,89383.09,89099.2,89267.83,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90521.19428631465
1769173200,89267.83,89426.92,89237.65,89257.43,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90508.6195172966
1769175000,89257.43,89450.18,89247.44,89350.81,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90497.09902458718
1769176800,89350.8,89702.85,89254.23,89685.93,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90489.02769100919
1769178600,89685.92,89733.71,88663.65,89017.85,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90474.38910701906
1769180400,89017.85,89279.02,88578.36,88979.61,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90459.51568306862
1769182200,88979.61,89865.53,88933.79,89761.61,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90452.5713479137
1769184000,89761.61,89969.16,89518,89575.45,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90443.84377231257
1769185800,89575.46,90490.06,89489,90124.85,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90440.66970492637
1769187600,90124.86,90981.99,89978.4,90981.99,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90446.05597651914
1769189400,90981.98,91224.99,90565.6,90600,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90447.58775784732
1769191200,90600,91039.75,90449.42,90871.84,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90451.80917319212
1769193000,90871.83,91025,90505.86,90530.45,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90452.59166898124
1769194800,90530.44,90534.59,89756.41,89845.83,90088.94,89140.13,89614.535,89502.57542000001,0,0,0,90446.55423943914
1769196600,89845.82,90020,89612.01,89982.79,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90441.93966989248
1769198400,89982.79,90156.06,89812.7,89814.37,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90435.69519556519
1769200200,89814.38,89814.38,89200.68,89503.68,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90426.42141252474
1769202000,89503.67,89691.18,89437.77,89600.26,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90418.20090095732
1769203800,89600.25,89617.94,89317,89349.99,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90407.5719367687
1769205600,89349.99,89752.45,89335.35,89712.22,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90400.65301202473
1769207400,89712.23,89737.11,89554.83,89624.61,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90392.93119100956
1769209200,89624.6,89624.6,89505.29,89562,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90384.66321895971
1769211000,89562,89631,89472.13,89600.26,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90376.85821180588
1769212800,89600.26,89625.41,89457.87,89457.87,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90367.71405049438
1769214600,89457.87,89547.08,89424.39,89452.83,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90358.61072660887
1769216400,89452.83,89588.72,89450.58,89574.23,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90350.80594325952
1769218200,89574.22,89574.22,89469.11,89550.24,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90342.84011297833
1769220000,89550.24,89675,89550.24,89617.41,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90335.62190289894
1769221800,89617.41,89722.57,89607.18,89702.85,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90329.32566505915
1769223600,89702.85,89957.39,89670.88,89936.25,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90325.41446441179
1769225400,89936.26,89936.26,89740,89770.02,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90319.88815133307
1769227200,89770.03,89831.62,89709.08,89723.13,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90313.95025928
1769229000,89723.14,89853.38,89723.13,89829.35,91224.99,88578.36,89901.675,89589.37266000001,0,0,0,90309.12836615283
1769230800,89829.36,89849.78,89790,89816.12,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90304.22281027072
1769232600,89816.12,89816.13,89751.21,89775.2,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90298.95890171081
1769234400,89775.2,89784.88,89602.22,89649.99,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90292.50149970374
1769236200,89649.99,89677.51,89642.7,89649.32,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90286.10168378628
1769238000,89649.33,89657.77,89572.81,89604.88,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90279.32335857447
1769239800,89604.89,89692.31,89600,89620.1,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90272.76392217075
1769241600,89620.11,89641.44,89583.02,89615.86,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90266.22756473621
1769243400,89615.85,89686.43,89615.85,89660.88,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90260.20420588311
1769245200,89660.88,89660.88,89610.2,89620.68,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90253.84078094896
1769247000,89620.69,89620.69,89600,89600,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90247.33490253155
1769248800,89600.01,89654.79,89600,89620.42,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90241.09694330239
1769250600,89620.43,89632.57,89577.97,89626.8,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90234.98453590635
1769252400,89626.79,89654.85,89610.04,89633.87,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90229.0032967431
1769254200,89633.87,89676.26,89595.4,89595.4,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90222.69878632775
1769256000,89595.41,89595.41,89541.55,89549.99,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90216.0051665633
1769257800,89549.99,89583.4,89486.87,89537.82,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90209.25705545321
1769259600,89537.82,89540.44,89527.24,89532.3,89957.39,89200.68,89579.035,89489.74321999999,0,0,0,90202.52116435418
1769261400,89532.29,89536.77,89368.21,89368.22,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90194.21966023126
1769263200,89368.22,89491.35,89171.75,89472.83,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90187.0416536618
1769265000,89472.84,89512.05,89443.25,89450.03,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90179.70820437164
1769266800,89450.03,89492.14,89390,89394.43,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90171.8944908953
1769268600,89394.42,89429.75,89263.64,89275.77,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90162.97782929435
1769270400,89275.77,89369.79,89162.08,89260,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90153.99297527153
1769272200,89260,89316.37,89183.56,89290.01,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90145.39612974644
1769274000,89290.01,89414.38,89252.93,89406.69,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90138.04581999771
1769275800,89406.69,89406.69,89316.71,89406.5,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90130.76675711217
1769277600,89406.5,89430,89382.05,89426.69,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90123.76101823544
1769279400,89426.7,89461.4,89395.22,89395.23,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90116.51195337738
1769281200,89395.22,89395.23,89276.58,89296.03,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90108.3479538413
1769283000,89296.03,89358,89292.86,89331.36,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90100.61673041999
1769284800,89331.36,89399.99,89331.35,89399.99,89676.26,89572.81,89624.535,89612.32789999999,0,0,0,90093.64532016705
1769286600,89399.99,89399.99,89380,89380.01,89461.4,89162.08,89311.73999999999,89276.42023999999,0,0,0,90086.54447121016
1769288400,89380,89380.01,89270,89331.53,89461.4,89162.08,89311.73999999999,89276.42023999999,0,0,0,90079.03188940708
1769290200,89331.54,89386.61,89314.82,89386.61,89461.4,89162.08,89311.73999999999,89276.42023999999,0,0,0,90072.14211936323
1769292000,89386.61,89489.84,89386.6,89401.37,89461.4,89162.08,89311.73999999999,89276.42023999999,0,0,0,90065.46776991682
1769293800,89401.37,89430,89304.85,89430,89461.4,89162.08,89311.73999999999,89276.42023999999,0,0,0,90059.14470752959
1769295600,89429.99,89474.65,89304,89389.76,89461.4,89162.08,89311.73999999999,89276.42023999999,0,0,0,90052.48416317606
1769297400,89389.77,89389.77,89215.59,89225.34,89461.4,89162.08,89311.73999999999,89276.42023999999,0,0,0,90044.2538729952
1769299200,89225.34,89298.26,89183.49,89183.5,89489.84,89270,89379.92,89353.97888,0,0,0,90035.68915784103
1769301000,89183.5,89315.18,89183.49,89315.18,89489.84,89270,89379.92,89353.97888,0,0,0,90028.51991248937
1769302800,89315.18,89319.13,89200,89200,89489.84,89270,89379.92,89353.97888,0,0,0,90020.27593326062
1769304600,89200,89200.01,89102.58,89176.31,89489.84,89270,89379.92,89353.97888,0,0,0,90011.8782622829
1769306400,89176.31,89268.36,89129.62,89140.08,89489.84,89270,89379.92,89353.97888,0,0,0,90003.20365270795
1769308200,89140.08,89198.31,89139.04,89139.04,89489.84,89270,89379.92,89353.97888,0,0,0,89994.60500939742
1769310000,89139.04,89176.72,88990,89035.32,89489.84,89270,89379.92,89353.97888,0,0,0,89985.05988492581
1769311800,89035.32,89035.32,88838.72,88960.35,89489.84,89270,89379.92,89353.97888,0,0,0,89974.86376666784
1769313600,88960.36,89026.24,88941.03,88958.39,89489.84,89270,89379.92,89353.97888,0,0,0,89964.74959983533
1769315400,88958.4,89090.13,88958.39,89006.96,89489.84,89270,89379.92,89353.97888,0,0,0,89955.21935506085
1769317200,89006.97,89045.44,88989.99,88990,89489.84,89270,89379.92,89353.97888,0,0,0,89945.61518237367
1769319000,88990.01,88999.52,88870.45,88990.9,89489.84,89270,89379.92,89353.97888,0,0,0,89936.11552881771
1769320800,88990.89,88990.9,88649.98,88788.8,89489.84,89270,89379.92,89353.97888,0,0,0,89924.6994539041
1769322600,88788.8,88878.78,88695.49,88831.36,89489.84,89270,89379.92,89353.97888,0,0,0,89913.82045436277
1769324400,88831.36,88831.36,88730.95,88785.69,89489.84,89270,89379.92,89353.97888,0,0,0,89902.59527571239
1769326200,88785.69,88785.7,88635.84,88659.99,89489.84,89270,89379.92,89353.97888,0,0,0,89890.23104411326
1769328000,88659.99,88760,88635.85,88682.54,89489.84,89270,89379.92,89353.97888,0,0,0,89878.21421780367
1769329800,88682.54,88682.55,88136,88300.01,89489.84,89270,89379.92,89353.97888,0,0,0,89862.51069324842
1769331600,88300,88464.46,88238.5,88464.45,89489.84,89270,89379.92,89353.97888,0,0,0,89848.5996415743
1769333400,88464.45,88488,88337.63,88398.38,89489.84,89270,89379.92,89353.97888,0,0,0,89834.16959538948
1769335200,88398.38,88626.57,88398.37,88625.7,89489.84,89270,89379.92,89353.97888,0,0,0,89822.14502230103
