time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769436000,2907.62,2913.51,2881.03,2883.94,2911.68,2879.23,2895.455,2886.1743,0,0,0,2902.4089569535795
1769436900,2883.94,2890.88,2882.61,2884.18,2911.68,2879.23,2895.455,2886.1743,0,0,0,2902.227574297325
1769437800,2885.07,2930.67,2875.37,2915.75,2911.68,2879.23,2895.455,2886.1743,0,0,0,2902.3621257968543
1769438700,2916.48,2925.19,2907.65,2920.83,2911.68,2879.23,2895.455,2886.1743,0,0,0,2902.545885739174
1769439600,2920.37,2946.08,2914.6,2943.05,2911.68,2879.23,2895.455,2886.1743,0,0,0,2902.9489117517196
1769440500,2944.03,2947.67,2916.85,2920.48,2911.68,2879.23,2895.455,2886.1743,0,0,0,2903.1233504407573
1769441400,2921.33,2921.33,2887.96,2890.34,2911.68,2879.23,2895.455,2886.1743,0,0,0,2902.996152923934
1769442300,2891.5,2906.23,2886.33,2897.45,2911.68,2879.23,2895.455,2886.1743,0,0,0,2902.940967322701
1769443200,2898.17,2906.1,2890.76,2899.35,2911.68,2879.23,2895.455,2886.1743,0,0,0,2902.905236304565
1769444100,2898.6,2913.2,2891.72,2903.68,2911.68,2879.23,2895.455,2886.1743,0,0,0,2902.912945396062
1769445000,2904.46,2910.31,2896.5,2899.07,2947.67,2875.37,2911.52,2890.8422,0,0,0,2902.8747071334146
1769445900,2898.29,2915.63,2898.29,2900,2947.67,2875.37,2911.52,2890.8422,0,0,0,2902.846103082336
1769446800,2898.17,2907.21,2896.47,2897.34,2947.67,2875.37,2911.52,2890.8422,0,0,0,2902.7913159869895
1769447700,2897.78,2903.52,2889.66,2894.95,2947.67,2875.37,2911.52,2890.8422,0,0,0,2902.713292942343
1769448600,2894.03,2906.57,2884.4,2902.98,2947.67,2875.37,2911.52,2890.8422,0,0,0,2902.7159467439114
1769449500,2903.49,2912.73,2902.71,2907.49,2947.67,2875.37,2911.52,2890.8422,0,0,0,2902.763449761385
