time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769686560,2925.95,2926.83,2923.68,2923.89,2926.23,2920.1,2923.165,2921.939,0,0,0,2941.795521481899
1769686620,2923.84,2923.84,2923.84,2923.84,2926.23,2920.1,2923.165,2921.939,0,0,0,2941.6168595766067
1769686680,2924.43,2924.43,2924.43,2924.43,2926.23,2920.1,2923.165,2921.939,0,0,0,2941.445846048481
1769686740,2926.25,2926.64,2926.25,2926.64,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2941.2985241972524
1769686800,2926.02,2926.05,2926.02,2926.05,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2941.1467975883247
1769686860,2926.83,2926.83,2926.83,2926.83,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2941.0043418909286
1769686920,2926.01,2926.01,2925.14,2926.01,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2940.855144459178
1769686980,2925.94,2925.99,2925.04,2925.32,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2940.7005659073457
1769687040,2925.57,2925.57,2924.3,2924.3,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2940.537376196825
1769687100,2924.35,2924.39,2924.33,2924.39,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2940.3767057869063
1769687160,2923.68,2924.68,2923.68,2923.8,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2940.2117634407678
1769687280,2924.57,2924.57,2924.48,2924.48,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2940.0552284811583
1769687340,2923.54,2924.14,2923.54,2924.14,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2939.896867998759
1769687400,2924.02,2924.02,2924.02,2924.02,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2939.7388892127015
1769687520,2925.79,2927.79,2925.79,2927.54,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2939.6175072304854
1769687580,2928.62,2928.62,2925.79,2925.79,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2939.4799200938637
1769687760,2927.07,2929.06,2927.07,2929.06,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2939.3762392969097
1769687820,2929.06,2929.07,2925.62,2925.62,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2939.2393612939554
1769688000,2925.58,2926,2925.58,2926,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2939.107626355707
1769688060,2928.01,2928.01,2927.83,2927.83,2926.83,2920.1,2923.465,2922.1189999999997,0,0,0,2938.995411168088
1769688120,2927.69,2927.79,2927.69,2927.79,2929.07,2923.54,2926.3050000000003,2925.199,0,0,0,2938.88391453955
1769688180,2928.64,2928.64,2928.22,2928.32,2929.07,2923.54,2926.3050000000003,2925.199,0,0,0,2938.778800962042
1769688240,2928.16,2928.16,2926.48,2926.48,2929.07,2923.54,2926.3050000000003,2925.199,0,0,0,2938.6564248330665
1769688300,2925.8,2925.8,2925.8,2925.8,2929.07,2923.54,2926.3050000000003,2925.199,0,0,0,2938.5285002078617
1769688360,2929.25,2929.25,2929.25,2929.25,2929.07,2923.54,2926.3050000000003,2925.199,0,0,0,2938.436176822709
1769688480,2928.78,2929.58,2928.54,2928.7,2929.07,2923.54,2926.3050000000003,2925.199,0,0,0,2938.3392994413884
1769688540,2929.07,2929.34,2929.07,2929.34,2929.07,2923.54,2926.3050000000003,2925.199,0,0,0,2938.249754173315
1769688600,2929.64,2929.64,2929.64,2929.64,2929.07,2923.54,2926.3050000000003,2925.199,0,0,0,2938.164084977561
1769688660,2929.22,2929.22,2929.22,2929.22,2929.07,2923.54,2926.3050000000003,2925.199,0,0,0,2938.0750891071375
1769688780,2930.02,2930.02,2929.15,2929.92,2929.07,2923.54,2926.3050000000003,2925.199,0,0,0,2937.993943941892
1769688840,2928.77,2928.79,2927.81,2928.79,2929.07,2923.54,2926.3050000000003,2925.199,0,0,0,2937.902362410132
1769688900,2929.34,2929.44,2929.29,2929.44,2929.07,2923.54,2926.3050000000003,2925.199,0,0,0,2937.8181597990856
1769688960,2929.45,2929.56,2928.57,2929.56,2930.02,2925.58,2927.8,2926.912,0,0,0,2937.735989054816
1769689020,2928.69,2929.73,2928.69,2929.65,2930.02,2925.58,2927.8,2926.912,0,0,0,2937.6555314522807
1769689080,2928.71,2928.71,2928.71,2928.71,2930.02,2925.58,2927.8,2926.912,0,0,0,2937.566521189074
1769689140,2928.46,2928.46,2928.46,2928.46,2930.02,2925.58,2927.8,2926.912,0,0,0,2937.475909037939
1769689200,2927.52,2927.52,2927.52,2927.52,2930.02,2925.58,2927.8,2926.912,0,0,0,2937.376845266417
1769689260,2927.42,2927.42,2927.42,2927.42,2930.02,2925.58,2927.8,2926.912,0,0,0,2937.277772179189
1769689320,2926.09,2926.09,2926.09,2926.09,2930.02,2925.58,2927.8,2926.912,0,0,0,2937.166451062978
1769689380,2927.42,2927.66,2927.42,2927.66,2930.02,2925.58,2927.8,2926.912,0,0,0,2937.0718595101125
1769689440,2927.67,2928.66,2927.67,2928.61,2930.02,2925.58,2927.8,2926.912,0,0,0,2936.9876619030465
1769689500,2928.69,2928.69,2927.76,2928.33,2930.02,2925.58,2927.8,2926.912,0,0,0,2936.901516013464
1769689560,2928.5,2928.5,2928.44,2928.5,2930.02,2925.58,2927.8,2926.912,0,0,0,2936.817918839201
1769689620,2928.49,2928.49,2927.15,2927.15,2930.02,2925.58,2927.8,2926.912,0,0,0,2936.721720641796
1769689680,2927.87,2927.9,2926.99,2927.9,2928.69,2926.09,2927.3900000000003,2926.87,0,0,0,2936.633942326952
1769689740,2927.14,2927.49,2927.14,2927.49,2928.69,2926.09,2927.3900000000003,2926.87,0,0,0,2936.542957826186
1769689800,2927.27,2928.2,2927.1,2928.2,2928.69,2926.09,2927.3900000000003,2926.87,0,0,0,2936.459943320453
1769689860,2927.85,2929.45,2927.85,2929.41,2928.69,2926.09,2927.3900000000003,2926.87,0,0,0,2936.3897946306975
1769689920,2929.58,2929.58,2929.58,2929.58,2928.69,2926.09,2927.3900000000003,2926.87,0,0,0,2936.3220354801433
1769689980,2930.47,2931.64,2930.47,2931.64,2928.69,2926.09,2927.3900000000003,2926.87,0,0,0,2936.2754480624303
1769690100,2933.21,2934.43,2932.42,2933.47,2928.69,2926.09,2927.3900000000003,2926.87,0,0,0,2936.2475331563364
1769690160,2934.18,2934.18,2933.42,2933.92,2928.69,2926.09,2927.3900000000003,2926.87,0,0,0,2936.2243736224427
1769690220,2933.55,2933.55,2932.12,2932.12,2928.69,2926.09,2927.3900000000003,2926.87,0,0,0,2936.183534083911
1769690280,2933.04,2933.04,2930.93,2930.93,2934.43,2926.09,2930.26,2928.592,0,0,0,2936.131260112927
1769690340,2930.38,2930.38,2924.09,2924.09,2934.43,2926.09,2930.26,2928.592,0,0,0,2936.011446579465
