time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769616000,3005.28,3005.28,2996.51,2998.97,3041.01,3021.37,3031.19,3026.2799999999997,0,0,0,3005.6543660407106
1769616300,2998.97,2999.63,2996.84,2999.37,3010.54,2980.98,2995.76,2988.37,0,0,0,3005.5918350353304
1769616600,2999.81,3000.29,2993.79,2993.79,3010.54,2980.98,2995.76,2988.37,0,0,0,3005.474403840949
1769616900,2995.5,2999.73,2995.5,2998.51,3010.54,2980.98,2995.76,2988.37,0,0,0,3005.4051062902927
1769617200,2998.3,3001.86,2998.3,3001.33,3010.54,2980.98,2995.76,2988.37,0,0,0,3005.3645579689965
1769617500,3002.33,3013.41,3001.59,3012.62,3010.54,2980.98,2995.76,2988.37,0,0,0,3005.436751422041
1769617800,3012.37,3014.29,3004.18,3004.18,3010.54,2980.98,2995.76,2988.37,0,0,0,3005.424246432767
1769618100,3004.4,3006.62,3003.74,3006.62,3010.54,2980.98,2995.76,2988.37,0,0,0,3005.436144478212
1769618400,3004.65,3004.65,2994.83,2997.57,3010.54,2980.98,2995.76,2988.37,0,0,0,3005.3578743839016
1769618700,2998.58,3003.71,2997.69,3001,3010.54,2980.98,2995.76,2988.37,0,0,0,3005.3145124497332
1769619000,2999.84,3002.44,2996.42,3002.01,3014.29,2993.79,3004.04,2998.915,0,0,0,3005.2816317288402
1769619300,3002.97,3003.51,2996.94,2996.97,3014.29,2993.79,3004.04,2998.915,0,0,0,3005.198928925568
1769619600,2996.93,3003.24,2996.93,3003.24,3014.29,2993.79,3004.04,2998.915,0,0,0,3005.1794370954626
1769619900,3003.07,3004.05,2997.29,3000.11,3014.29,2993.79,3004.04,2998.915,0,0,0,3005.1289949353086
1769620200,3000.16,3004.59,2999.28,3003.53,3014.29,2993.79,3004.04,2998.915,0,0,0,3005.1130845379425
1769620500,3003.03,3003.81,3000.31,3003.58,3014.29,2993.79,3004.04,2998.915,0,0,0,3005.0978299654257
1769620800,3003.85,3005.91,2998.63,2999.73,3014.29,2993.79,3004.04,2998.915,0,0,0,3005.0444187219887
1769621100,2999.9,3002.15,2999.27,3000.17,3014.29,2993.79,3004.04,2998.915,0,0,0,3004.995917043163
1769621400,3000.29,3001.18,2987.45,2992.86,3014.29,2993.79,3004.04,2998.915,0,0,0,3004.875161649699
1769621700,2993.94,3009.23,2993.94,3009.23,3014.29,2993.79,3004.04,2998.915,0,0,0,3004.9184933745773
1769622000,3007.33,3014.75,3005.97,3010.71,3014.29,2993.79,3004.04,2998.915,0,0,0,3004.9761203061735
1769622300,3009.15,3015.59,3009.15,3013.61,3014.29,2993.79,3004.04,2998.915,0,0,0,3005.0620295568583
1769622600,3016.5,3027.45,3015.34,3024.19,3014.29,2993.79,3004.04,2998.915,0,0,0,3005.252357620969
1769622900,3023.7,3023.89,3012.18,3012.42,3014.29,2993.79,3004.04,2998.915,0,0,0,3005.3236774456363
1769623200,3011.92,3011.92,2998.33,3006.03,3014.29,2993.79,3004.04,2998.915,0,0,0,3005.3307055307546
1769623500,3004.39,3009.73,3004.02,3006.14,3014.29,2993.79,3004.04,2998.915,0,0,0,3005.338758212041
1769623800,3009.03,3015.7,3008.04,3014.75,3027.45,2987.45,3007.45,2997.45,0,0,0,3005.432402408936
1769624100,3015.84,3018.37,3013.3,3014.78,3027.45,2987.45,3007.45,2997.45,0,0,0,3005.52541333024
1769624400,3017.16,3020.73,3017.08,3020.73,3027.45,2987.45,3007.45,2997.45,0,0,0,3005.6767027498395
1769624700,3018.83,3018.83,3009.33,3011.05,3027.45,2987.45,3007.45,2997.45,0,0,0,3005.7301683941196
1769625000,3010.99,3013.57,3009.77,3010.67,3027.45,2987.45,3007.45,2997.45,0,0,0,3005.779320947412
1769625300,3011,3011,3006.81,3008.05,3027.45,2987.45,3007.45,2997.45,0,0,0,3005.801914768831
1769625600,3007.73,3008.68,3004.09,3007.28,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3005.816622084564
1769625900,3007.28,3007.28,3004.62,3007.21,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3005.8304865414343
1769626200,3007.46,3009.02,3002.46,3007.85,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3005.850581202714
1769626500,3007.83,3011.31,3005.5,3011.31,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3005.9049037778113
1769626800,3011.54,3019.94,2995.32,3015.9,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.0043574715646
1769627100,3015.88,3017.38,3003.57,3007.52,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.019438491748
1769627400,3008.16,3012.25,3005.82,3006.72,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.026409253024
1769627700,3006.44,3010.21,3006.41,3009.68,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.0627633898102
1769628000,3008.76,3014.18,3005.7,3012.64,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.12820853021
1769628300,3010.28,3015.73,3008.95,3009.68,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.1635497388647
1769628600,3008.94,3013.96,2999.57,3001.92,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.1213253633537
1769628900,3004.82,3008.19,3001.87,3004.12,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.101411678146
1769629200,3003.64,3003.64,2994.46,2995.93,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.0002036017468
1769629500,2996.55,3010.53,2996.55,3010.11,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.0410970982466
1769629800,3009.33,3016.83,3009.33,3016.83,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.148449365926
1769630100,3015,3021.23,3014.28,3015.65,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.242992158305
1769630400,3012.17,3019.27,3011.64,3014.56,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.325748455237
1769630700,3016.6,3020.55,3016.17,3019.15,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.4533529482196
1769631000,3020.83,3023.37,3017.83,3018.3,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.571230033312
1769631300,3018.51,3022.17,3013.59,3021.21,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.7168894359656
1769631600,3022.69,3025.2,3019.06,3025.2,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3006.9008009838667
1769631900,3025.17,3033.96,3022.8,3028.4,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3007.114723362137
1769632200,3028.67,3028.67,3015.77,3019.09,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3007.2338803436082
1769632500,3017.57,3017.57,3010.54,3012.91,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3007.2903591461595
1769632800,3013.94,3014.47,3009.78,3010.02,3020.73,2998.33,3009.5299999999997,3003.93,0,0,0,3007.3175197516703
1769633100,3010.43,3011.86,3006.07,3006.14,3033.96,2994.46,3014.21,3004.335,0,0,0,3007.3058031372257
1769633400,3005.97,3010.47,3004.98,3009.58,3033.96,2994.46,3014.21,3004.335,0,0,0,3007.328431961731
1769633700,3011.08,3014.81,3007.75,3007.75,3033.96,2994.46,3014.21,3004.335,0,0,0,3007.3326266685795
1769634000,3008.8,3011.05,2994,3002.05,3033.96,2994.46,3014.21,3004.335,0,0,0,3007.2800632191406
1769634300,3000.73,3009.3,2998.71,3009.26,3033.96,2994.46,3014.21,3004.335,0,0,0,3007.2997640826316
1769634600,3009.26,3013.27,3008.7,3012.47,3033.96,2994.46,3014.21,3004.335,0,0,0,3007.3512092161377
1769634900,3013.39,3014.57,3012.2,3012.63,3033.96,2994.46,3014.21,3004.335,0,0,0,3007.403734497569
1769635200,3015.38,3016.39,3013.46,3013.46,3033.96,2994.46,3014.21,3004.335,0,0,0,3007.463995845852
1769635500,3011.75,3012.95,3010.47,3011.47,3033.96,2994.46,3014.21,3004.335,0,0,0,3007.503856583704
