time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769687940,122.67,122.7,122.56,122.56,122.76,122.5,122.63,122.578,0,0,0,122.92848567568815
1769688000,122.57,122.71,122.57,122.7,122.76,122.5,122.63,122.578,0,0,0,122.92621218637782
1769688060,122.7,122.73,122.69,122.7,122.76,122.5,122.63,122.578,0,0,0,122.92396131885168
1769688120,122.68,122.79,122.65,122.78,122.76,122.5,122.63,122.578,0,0,0,122.92252886791783
1769688180,122.79,122.82,122.76,122.81,122.76,122.5,122.63,122.578,0,0,0,122.9214091776898
1769688240,122.79,122.79,122.71,122.71,122.76,122.5,122.63,122.578,0,0,0,122.91930560378243
1769688300,122.71,122.77,122.68,122.76,122.76,122.5,122.63,122.578,0,0,0,122.91772047339654
1769688360,122.77,122.86,122.75,122.8,122.76,122.5,122.63,122.578,0,0,0,122.91654912540255
1769688420,122.81,122.83,122.77,122.83,122.76,122.5,122.63,122.578,0,0,0,122.91568794007516
1769688480,122.81,122.82,122.77,122.78,122.76,122.5,122.63,122.578,0,0,0,122.91433781131819
1769688540,122.77,122.84,122.63,122.83,122.86,122.56,122.71000000000001,122.65,0,0,0,122.91349862911602
1769688600,122.83,122.85,122.79,122.82,122.86,122.56,122.71000000000001,122.65,0,0,0,122.91256829449794
1769688660,122.82,122.82,122.78,122.8,122.86,122.56,122.71000000000001,122.65,0,0,0,122.91144821196562
1769688720,122.8,122.8,122.78,122.79,122.86,122.56,122.71000000000001,122.65,0,0,0,122.91023977204557
1769688780,122.78,122.8,122.78,122.8,122.85,122.63,122.74,122.696,0,0,0,122.90914285889089
1769688840,122.8,122.8,122.73,122.76,122.85,122.63,122.74,122.696,0,0,0,122.90765885034472
1769688900,122.76,122.8,122.75,122.78,122.85,122.63,122.74,122.696,0,0,0,122.90638861302786
1769688960,122.79,122.85,122.72,122.72,122.85,122.63,122.74,122.696,0,0,0,122.90453399996291
1769689020,122.71,122.74,122.69,122.73,122.85,122.63,122.74,122.696,0,0,0,122.90279734324686
1769689080,122.73,122.76,122.69,122.73,122.85,122.63,122.74,122.696,0,0,0,122.90107796669714
1769689140,122.74,122.74,122.67,122.71,122.85,122.63,122.74,122.696,0,0,0,122.89917669339667
1769689200,122.69,122.7,122.67,122.68,122.85,122.63,122.74,122.696,0,0,0,122.89699583077581
1769689260,122.68,122.68,122.62,122.62,122.85,122.63,122.74,122.696,0,0,0,122.89423965335516
1769689320,122.65,122.65,122.57,122.57,122.85,122.63,122.74,122.696,0,0,0,122.89101338814764
1769689380,122.58,122.64,122.57,122.62,122.85,122.63,122.74,122.696,0,0,0,122.8883167375193
1769689440,122.62,122.68,122.62,122.66,122.85,122.63,122.74,122.696,0,0,0,122.88604492918577
1769689500,122.66,122.69,122.66,122.69,122.85,122.63,122.74,122.696,0,0,0,122.88409423337298
1769689560,122.68,122.68,122.65,122.65,122.85,122.63,122.74,122.696,0,0,0,122.88176493751853
1769689620,122.65,122.69,122.65,122.67,122.85,122.63,122.74,122.696,0,0,0,122.87965782371236
1769689680,122.67,122.67,122.63,122.63,122.85,122.63,122.74,122.696,0,0,0,122.8771736662625
