time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1765396800,138.73,142.62,135.41,136.31,144.9,131.6,138.25,134.393,0,0,0,144.65347934169424
1765411200,136.29,136.47,129.04,129.43,144.9,131.6,138.25,134.393,0,0,0,144.5020019353092
1765425600,129.39,131.59,129.06,131.06,144.9,131.6,138.25,134.393,0,0,0,144.3682506722713
1765440000,131.05,131.44,130.21,130.94,144.9,131.6,138.25,134.393,0,0,0,144.23463623772133
1765454400,130.96,132.91,129.87,131.18,144.9,131.6,138.25,134.393,0,0,0,144.10473935973405
1765468800,131.19,135.6,130.12,133.92,144.9,131.6,138.25,134.393,0,0,0,144.00339866958745
1765483200,133.92,137.84,133.83,136.44,144.9,131.6,138.25,134.393,0,0,0,143.92814097138262
1765497600,136.43,137.98,135.38,137.1,144.9,131.6,138.25,134.393,0,0,0,143.86019927017483
1765512000,137.09,140.16,136.57,139.09,144.9,131.6,138.25,134.393,0,0,0,143.81273460081985
1765526400,139.09,139.17,137.23,138.74,144.9,131.6,138.25,134.393,0,0,0,143.76225962966743
1765540800,138.74,139.87,132.87,133.51,144.9,131.6,138.25,134.393,0,0,0,143.6602470960389
1765555200,133.49,133.93,130.35,131.29,144.9,131.6,138.25,134.393,0,0,0,143.5371600602574
1765569600,131.29,133.07,131.01,132.32,144.9,131.6,138.25,134.393,0,0,0,143.4255465273195
1765584000,132.31,133.01,132.28,132.89,144.9,131.6,138.25,134.393,0,0,0,143.32071521858995
1765598400,132.89,133.02,132.33,132.96,140.16,129.04,134.6,131.3752,0,0,0,143.21762352487264
1765612800,132.96,134.29,132.96,133.32,140.16,129.04,134.6,131.3752,0,0,0,143.11913970870475
1765627200,133.33,133.71,132.63,133.32,140.16,129.04,134.6,131.3752,0,0,0,143.0216358310062
1765641600,133.3,133.83,132.15,132.77,140.16,129.04,134.6,131.3752,0,0,0,142.91962950432952
1765656000,132.76,133.3,131.65,133.17,140.16,129.04,134.6,131.3752,0,0,0,142.82261826548046
1765670400,133.16,133.69,132.74,132.98,140.16,129.04,134.6,131.3752,0,0,0,142.7246817653264
1765684800,132.98,133.41,132.08,133.3,140.16,129.04,134.6,131.3752,0,0,0,142.6309038373132
1765699200,133.28,133.51,130.2,131.52,140.16,129.04,134.6,131.3752,0,0,0,142.52034758022552
1765713600,131.48,131.92,130.34,130.68,140.16,129.04,134.6,131.3752,0,0,0,142.40253317644218
1765728000,130.67,131.64,129.43,130.32,140.16,129.04,134.6,131.3752,0,0,0,142.28230896573132
