time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1769616000,125.91,125.97,125.55,125.79,127,126.25,126.625,126.4375,0,0,0,126.6220965042991
1769616300,125.79,125.83,125.56,125.72,126.23,125.36,125.795,125.5775,0,0,0,126.6131204196792
1769616600,125.74,125.84,125.51,125.52,126.23,125.36,125.795,125.5775,0,0,0,126.60224359958289
1769616900,125.53,125.75,125.49,125.65,126.23,125.36,125.795,125.5775,0,0,0,126.59276853889052
1769617200,125.65,125.92,125.65,125.9,126.23,125.36,125.795,125.5775,0,0,0,126.58587531959809
1769617500,125.91,126.37,125.9,126.37,126.23,125.36,125.795,125.5775,0,0,0,126.58372730646776
1769617800,126.36,126.48,126.06,126.06,126.23,125.36,125.795,125.5775,0,0,0,126.57851608948799
1769618100,126.09,126.18,125.95,126.04,126.23,125.36,125.795,125.5775,0,0,0,126.57315772043836
1769618400,126.04,126.04,125.41,125.66,126.23,125.36,125.795,125.5775,0,0,0,126.56407157396633
1769618700,125.67,125.99,125.64,125.93,126.23,125.36,125.795,125.5775,0,0,0,126.55776240407612
1769619000,125.92,126.15,125.7,126.14,126.48,125.49,125.985,125.7375,0,0,0,126.55360556423456
1769619300,126.15,126.22,125.87,125.91,126.48,125.49,125.985,125.7375,0,0,0,126.54720152876953
1769619600,125.91,126.25,125.9,126.08,126.48,125.49,125.985,125.7375,0,0,0,126.542552757339
1769619900,126.08,126.18,125.83,125.95,126.48,125.49,125.985,125.7375,0,0,0,126.53665671000229
1769620200,125.93,126.19,125.9,126.01,126.48,125.49,125.985,125.7375,0,0,0,126.53141634472864
1769620500,126.01,126.03,125.84,125.98,126.48,125.49,125.985,125.7375,0,0,0,126.52592961493035
1769620800,125.99,126.08,125.68,125.71,126.25,125.41,125.83,125.62,0,0,0,126.51781091229422
1769621100,125.74,125.82,125.65,125.77,126.25,125.41,125.83,125.62,0,0,0,126.51037000769428
1769621400,125.76,125.76,125.05,125.48,126.25,125.41,125.83,125.62,0,0,0,126.50011756980678
1769621700,125.48,126.12,125.48,126.05,126.25,125.41,125.83,125.62,0,0,0,126.49563878801766
1769622000,126.04,126.4,125.98,126.17,126.25,125.41,125.83,125.62,0,0,0,126.49239860107221
1769622300,126.16,126.29,126.03,126.16,126.25,125.41,125.83,125.62,0,0,0,126.48909115230532
1769622600,126.16,126.87,126.16,126.73,126.25,125.41,125.83,125.62,0,0,0,126.49148825526746
1769622900,126.73,126.77,126.36,126.37,126.25,125.41,125.83,125.62,0,0,0,126.49027941690659
1769623200,126.38,126.39,125.74,126.09,126.25,125.41,125.83,125.62,0,0,0,126.48629653713637
1769623500,126.08,126.11,125.87,126.01,126.25,125.41,125.83,125.62,0,0,0,126.48155726811014
1769623800,126.02,126.2,125.91,126.15,126.87,125.05,125.96000000000001,125.505,0,0,0,126.47825819081551
1769624100,126.16,126.21,125.85,125.88,126.87,125.05,125.96000000000001,125.505,0,0,0,126.47230537299644
1769624400,125.9,126.24,125.89,126.21,126.87,125.05,125.96000000000001,125.505,0,0,0,126.46969536928503
1769624700,126.23,126.24,125.66,125.72,126.87,125.05,125.96000000000001,125.505,0,0,0,126.46223571386926
1769625000,125.72,125.88,125.62,125.72,126.87,125.05,125.96000000000001,125.505,0,0,0,126.45485028388052
1769625300,125.7,125.79,125.59,125.71,126.87,125.05,125.96000000000001,125.505,0,0,0,126.44743883826976
1769625600,125.71,125.84,125.59,125.76,126.87,125.05,125.96000000000001,125.505,0,0,0,126.44059865082428
1769625900,125.76,125.87,125.69,125.79,126.24,125.74,125.99,125.865,0,0,0,126.43412503240812
1769626200,125.79,125.89,125.51,125.77,126.24,125.74,125.99,125.865,0,0,0,126.42751682313043
1769626500,125.76,125.96,125.62,125.91,126.24,125.74,125.99,125.865,0,0,0,126.42236740200475
1769626800,125.9,126.51,125.63,126.3,126.24,125.74,125.99,125.865,0,0,0,126.42114981591516
1769627100,126.3,126.4,125.83,126.01,126.24,125.74,125.99,125.865,0,0,0,126.41705877297073
1769627400,126,126.23,125.69,125.8,126.24,125.74,125.99,125.865,0,0,0,126.41091888468247
1769627700,125.79,125.92,125.56,125.76,126.24,125.74,125.99,125.865,0,0,0,126.40444207985976
1769628000,125.76,126.08,125.66,125.88,126.51,125.51,126.01,125.76,0,0,0,126.39922375070692
1769628300,125.93,126.15,125.77,125.79,126.51,125.51,126.01,125.76,0,0,0,126.39316182283919
1769628600,125.79,126.09,125.41,125.66,126.51,125.51,126.01,125.76,0,0,0,126.38586668032337
1769628900,125.68,125.89,125.51,125.61,126.51,125.51,126.01,125.76,0,0,0,126.3781466138525
1769629200,125.59,125.73,125.16,125.3,126.51,125.51,126.01,125.76,0,0,0,126.36741878684899
1769629500,125.33,126.16,125.31,126.02,126.51,125.51,126.01,125.76,0,0,0,126.36396188349725
1769629800,126.03,126.27,125.8,126.1,126.51,125.51,126.01,125.76,0,0,0,126.3613353970943
1769630100,126.12,126.17,125.82,125.82,126.51,125.51,126.01,125.76,0,0,0,126.35594897523266
1769630400,125.81,126.2,125.68,125.97,126.51,125.51,126.01,125.76,0,0,0,126.3521086869219
1769630700,125.98,126.1,125.9,125.99,126.51,125.51,126.01,125.76,0,0,0,126.34850561541023
1769631000,126.01,126.09,125.83,125.98,126.27,125.16,125.715,125.4375,0,0,0,126.34483889286884
1769631300,125.97,126.09,125.63,125.94,126.27,125.16,125.715,125.4375,0,0,0,126.34081064517859
1769631600,125.95,126.11,125.87,126.05,126.27,125.16,125.715,125.4375,0,0,0,126.3379170069181
1769631900,126.05,126.5,125.86,126.24,126.27,125.16,125.715,125.4375,0,0,0,126.33694270834181
1769632200,126.24,126.28,125.72,125.89,126.27,125.16,125.715,125.4375,0,0,0,126.33249551721403
1769632500,125.88,125.88,125.57,125.76,126.27,125.16,125.715,125.4375,0,0,0,126.32679904440593
1769632800,125.74,125.82,125.58,125.6,126.27,125.16,125.715,125.4375,0,0,0,126.3195672131183
1769633100,125.6,125.63,125.32,125.35,126.5,125.16,125.83,125.495,0,0,0,126.3099197781619
1769633400,125.35,125.5,125.28,125.48,126.5,125.16,125.83,125.495,0,0,0,126.30166186992147
1769633700,125.49,125.59,125.14,125.27,126.5,125.16,125.83,125.495,0,0,0,126.29139657768344
1769634000,125.25,125.41,124.59,124.9,126.5,125.16,125.83,125.495,0,0,0,126.27755183561695
1769634300,124.9,125.39,124.78,125.34,126.5,125.16,125.83,125.495,0,0,0,126.26822296163071
1769634600,125.34,125.39,125.07,125.23,126.5,125.16,125.83,125.495,0,0,0,126.25789238489807
1769634900,125.23,125.46,125.11,125.42,126.5,125.16,125.83,125.495,0,0,0,126.24955514723739
1769635200,125.43,125.52,125.35,125.37,126.5,125.16,125.83,125.495,0,0,0,126.24080335472756
1769635500,125.37,125.46,125.29,125.33,126.5,125.16,125.83,125.495,0,0,0,126.23174063478002
1769635800,125.33,125.36,125,125.04,126.5,125.16,125.83,125.495,0,0,0,126.21988251901107
1769636100,125.04,125.22,124.86,125.14,126.5,125.16,125.83,125.495,0,0,0,126.20913741931942
1769636400,125.13,125.46,125.11,125.43,125.52,124.59,125.055,124.8225,0,0,0,126.20138480818191
1769636700,125.42,125.52,125.25,125.51,125.52,124.59,125.055,124.8225,0,0,0,126.19450535735423
1769637000,125.5,125.67,125.47,125.66,125.52,124.59,125.055,124.8225,0,0,0,126.18918689608702
1769637300,125.65,125.65,125.2,125.31,125.52,124.59,125.055,124.8225,0,0,0,126.18043876776775
1769637600,125.32,125.49,125.32,125.39,125.52,124.59,125.055,124.8225,0,0,0,126.1725737054019
